SMILES,PubChem_CID,cluster
C1=CC(=C2C(=C1)S(=O)(=O)C=C2CC=O)F,117194808,0
CN1C2=C(C=C(C(=C2)C=O)F)N=N1,154727485,1
CC(=O)NC1=NC2=C(C=CC(=N2)C=O)C=C1,45118005,2
C1CC(N(C[C@H]1N)CC2=CC=C(C=C2)F)C=O,174601233,3
COC1=CC(=CC(=C1)OC2=CC=C(C=C2)C=O)OC,43589934,4
CC(=O)OC(C=O)C(CO)O,129652893,5
CN1C(=CC(=N1)CC=O)C(F)(F)F,165999670,6
C1CCN(C(C1)C=O)C2=C(C=CC=N2)F,62733262,7
C1=CC(=C(C=C1OCC(F)(F)F)C=O)OCC(F)(F)F,91443707,8
C1=C(C=C(C(=C1F)F)F)C(=O)CC=O,151193511,9
C1CC1C(CF)C=O,84762084,10
CC1=NN=C(C=C1)C=O,21698292,11
C1=CC(=C(C=C1C=O)F)OC2=CC(=CC(=C2)F)F,62783752,12
C1=C(N=CC(=N1)OC(F)(F)F)C=O,118798299,13
CN1CCN(C1=NC2=C(C=C(C=C2)C=O)N=C3N(CCN3C)C)C,24884624,14
C1=CC(=C(C=C1Br)OCF)C=O,87676781,15
C1=CC(=NC=C1F)C2=NNC(=C2)C=O,83125832,16
CC(=O)N[C@@H](CC1=CC=CC=C1)C=O,193217,17
C1=CC(=C(C=C1SC(F)(F)F)C=O)Cl,12815949,18
CC(C)CC(C=O)C1=CC=CC=C1F,83830760,19
C1=C(N=C(C(=C1I)C(F)F)CCl)C=O,130087505,20
C=C(COC1=CC=CC=C1C=O)CF,152544701,21
C1CC1(CF)C=O,53302262,22
CC1=C(C(=O)C2=C(O1)C=C(C=C2OC)O)C=O,17882355,23
C(C=O)C(=C(F)F)F,57085255,24
COCCOC1=C(C(=CC(=C1)C(=O)NC2=CC(=C(C=C2)C=O)F)Cl)OC,88538892,25
COC1=CC=CC(=C1F)COC2=C(C=C(C=C2)C=O)F,107689442,26
C1=CN2C(=NN=C2C(=C1)F)C=O,105432547,27
C1=CC2=NN=C(N2C=C1)SC3=C(C=C(C=C3)C=O)F,63802897,28
C=CCN(CC=C)C1=C(C=C(C=C1)C=O)C(F)(F)F,81827796,29
CC(C)(C)OC(=O)N1CC(C2=C(C1)C=CC(=C2)F)C=O,168967009,30
CC1=C(C=C(C=C1)F)C2=CC(=C(C=C2C)C=O)C,165456362,31
C1=CC(=C(C(=C1)F)C=O)OC2=CC(=C(C=C2Cl)Cl)Cl,108302470,32
C=CCN(CC=C)C1=CC(=CC(=C1)C=O)F,106529015,33
C/C=C/OCOC1=CC=C(C=C1)C=O,19787731,34
CC1[C@H](OC(=O)N1C2=CC(=C(C=C2)SCC=O)F)NC(=O)C,88118827,35
CCOC(=O)CN1C(=CC=C1C=O)C,12486473,36
C1=CC(=CC(=C1)C(F)(F)F)C2=CN=NC(=N2)C=O,105509886,37
