name,SMILES,molecular_formula,MW,InChIKey,PubChem_CID,cho_class,xtb_risk
4-[(E)-2-(2-chloro-3-phenylphenyl)ethenyl]-2-methoxy-5-(trifluoromethyl)benzaldehyde,COC1=C(C=C(C(=C1)/C=C/C2=C(C(=CC=C2)C3=CC=CC=C3)Cl)C(F)(F)F)C=O,C23H16ClF3O2,416.8,MKOLLVRPGGCOHD-ZHACJKMWSA-N,163776045,aromatic_carbo,
"3-[[(1S,4R,4aR,6R,8aS)-4-hydroxy-4,8a-dimethyl-6-prop-1-en-2-yl-1,2,3,4a,5,6,7,8-octahydronaphthalen-1-yl]methyl]-2,4,6-trihydroxy-5-(3-methylbutanoyl)benzaldehyde",CC(C)CC(=O)C1=C(C(=C(C(=C1O)C=O)O)C[C@@H]2CC[C@@]([C@H]3[C@]2(CC[C@H](C3)C(=C)C)C)(C)O)O,C28H40O6,472.6,PGXRXXYIIMTEJM-BWFVZYSOSA-N,172453541,aromatic_carbo,
"5-amino-N-[3-(difluoromethyl)-1-(4-formylphenyl)pyrazol-4-yl]pyrazolo[1,5-a]pyrimidine-3-carboxamide",C1=CC(=CC=C1C=O)N2C=C(C(=N2)C(F)F)NC(=O)C3=C4N=C(C=CN4N=C3)N,C18H13F2N7O2,397.3,KZYLOVDJHBCUGW-UHFFFAOYSA-N,162464948,aromatic_carbo,
"4-bromo-5,6-difluoro-2,1,3-benzothiadiazole-7-carbaldehyde",C(=O)C1=C(C(=C(C2=NSN=C12)Br)F)F,C7HBrF2N2OS,279.06,MIMRHLMJCOLMFC-UHFFFAOYSA-N,133083214,aromatic_carbo,
"8-methyl-2-[[(2S,5R)-5-(5-methyl-2,4-dioxopyrimidin-1-yl)-2,5-dihydrofuran-2-yl]methoxy]-2-oxo-4H-1,3,2lambda5-benzodioxaphosphinine-6-carbaldehyde",CC1=CC(=CC2=C1OP(=O)(OC2)OC[C@@H]3C=C[C@@H](O3)N4C=C(C(=O)NC4=O)C)C=O,C19H19N2O8P,434.3,XZCROKDHIICKSV-HZZXRAHOSA-N,15958714,aromatic_carbo,phosphorus
"4-chloro-N-(5-formyl-6-iodo-1,2,3,4-tetrahydronaphthalen-2-yl)benzenesulfonamide",C1CC2=C(CC1NS(=O)(=O)C3=CC=C(C=C3)Cl)C=CC(=C2C=O)I,C17H15ClINO3S,475.7,LSXDFTOYLNAUHW-UHFFFAOYSA-N,15384651,aromatic_carbo,
"9-[2-(diethylamino)ethyl-methylamino]-10-oxothiochromeno[3,2-c]pyridine-6-carbaldehyde",CCN(CC)CCN(C)C1=C2C(=C(C=C1)C=O)SC3=C(C2=O)C=NC=C3,C20H23N3O2S,369.5,NKDULILNYWUPTM-UHFFFAOYSA-N,11234027,aromatic_carbo,
2-[4-(morpholine-4-carbonyl)phenyl]sulfanyl-5-nitrobenzaldehyde,C1COCCN1C(=O)C2=CC=C(C=C2)SC3=C(C=C(C=C3)[N+](=O)[O-])C=O,C18H16N2O5S,372.4,XSRXMAXXBWNWLP-UHFFFAOYSA-N,18669029,aromatic_carbo,nitro
"3-[(2R,5R)-5-(4,6-difluoro-1,3-benzoxazol-2-yl)-2-methylpiperidin-1-yl]-5-methyl-2-(triazol-2-yl)benzaldehyde",C[C@@H]1CC[C@H](CN1C2=CC(=CC(=C2N3N=CC=N3)C=O)C)C4=NC5=C(O4)C=C(C=C5F)F,C23H21F2N5O2,437.4,BNQTXONPPBZDHR-HUUCEWRRSA-N,71502339,aromatic_carbo,
"N'-(3-fluoro-2-formylphenyl)-N-[(3E)-hexa-1,3,5-trien-3-yl]-N-methyl-2-(7H-purin-6-ylamino)butanimidamide",CCC(C(=NC1=C(C(=CC=C1)F)C=O)N(C)/C(=C/C=C)/C=C)NC2=NC=NC3=C2NC=N3,C23H24FN7O,433.5,XGEBYCMWEMDORN-PWBNUSKDSA-N,171107478,aromatic_carbo,
