ald_idx,name,smiles_raw,InChIKey,cho_class,xtb_risk,smiles_canonical,scaffold,scaffold_split_legacy,computable
0,furan-2-carbaldehyde,C1=COC(=C1)C=O,HYBBIBNJHNGZAN-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccco1,c1ccoc1,train,
1,4-hydroxy-3-methoxybenzaldehyde,COC1=C(C=CC(=C1)C=O)O,MWOOGOJBHIARFG-UHFFFAOYSA-N,aromatic_carbo,,COc1cc(C=O)ccc1O,c1ccccc1,train,
2,acetaldehyde,CC=O,IKHGUXGNUITLKF-UHFFFAOYSA-N,aliphatic,,CC=O,__no_ring__CC=O,train,
3,benzaldehyde,C1=CC=C(C=C1)C=O,HUMNYLRZRPPJDN-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccccc1,c1ccccc1,train,
4,butanal,CCCC=O,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,aliphatic,,CCCC=O,__no_ring__CCCC=O,train,
5,hexanal,CCCCCC=O,JARKCYVAAOWBJS-UHFFFAOYSA-N,aliphatic,,CCCCCC=O,__no_ring__CCCCCC=O,validation,
6,heptanal,CCCCCCC=O,FXHGMKSSBGDXIY-UHFFFAOYSA-N,aliphatic,,CCCCCCC=O,__no_ring__CCCCCCC=O,train,
7,3-methylbutanal,CC(C)CC=O,YGHRJJRRZDOVPD-UHFFFAOYSA-N,aliphatic,,CC(C)CC=O,__no_ring__CC(C)CC=O,test,
8,nonanal,CCCCCCCCC=O,GYHFUZHODSMOHU-UHFFFAOYSA-N,aliphatic,,CCCCCCCCC=O,__no_ring__CCCCCCCCC=O,test,
9,5-(hydroxymethyl)furan-2-carbaldehyde,C1=C(OC(=C1)C=O)CO,NOEGNKMFWQHSLB-UHFFFAOYSA-N,aromatic_hetero,,O=Cc1ccc(CO)o1,c1ccoc1,train,
10,4-hydroxybenzaldehyde,C1=CC(=CC=C1C=O)O,RGHHSNMVTDWUBI-UHFFFAOYSA-N,aromatic_carbo,,O=Cc1ccc(O)cc1,c1ccccc1,train,
