donor_id,acceptor_id,donor_smiles,acceptor_smiles
VLGMRHYUCPZBBQ-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N,O=Cc1ccc(C(F)C(F)(F)F)cc1,CC(=O)Oc1c(F)cc(Br)cc1C=O
BASNCCKFWWUDBG-UHFFFAOYSA-N,YJRYCFVLCSZEAG-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21,CCOC(=O)CCCOc1ccc(C=O)cc1OC
CSZZRYLWAXRTNQ-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br,CS(=O)c1cc(F)ccc1C=O
CGZGMXSLQDVXME-UHFFFAOYSA-N,STVKLDJOQMLOCU-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(OC)c1C=O,N#Cc1ccc(C(=O)CBr)c(F)c1C=O
LOXNXPSCZLFRJT-AATRIKPKSA-N,MGJJTEKBMONTCP-UHFFFAOYSA-N,O=Cc1ccc(/C=C/C(=O)F)cc1,Cc1cc(C=O)cc(C)c1B(O)O
FLJHXLIGMQTVSG-UHFFFAOYSA-N,OPRWBRQQXFSXDD-UHFFFAOYSA-N,O=Cc1c(OCC(=O)Nc2cc([N+](=O)[O-])ccc2F)ccc2ccccc12,COc1ccc(C=O)c(F)c1C(=O)Cl
UDYQQOWAOFCYIV-UHFFFAOYSA-N,QKDYGSVKNIPWRC-UHFFFAOYSA-N,O=Cc1ccc(C(=O)NCCc2ccccc2)cc1,COc1cc(C=O)c(Cc2ccccc2)c(OC)c1O
DOGSPNRZNVHECU-UHFFFAOYSA-N,VOVBJWTWXMYNQH-UHFFFAOYSA-N,O=Cc1cccc(OC(c2ccncc2)C(F)(F)F)c1,CC(=O)SCCC=Cc1ccc(F)cc1C=O
LHTCYULICDEHKE-UHFFFAOYSA-N,BRHOADVFPAGFCR-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(OCc3ccccc3)nc2)cc1OCC(F)(F)F,Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)Nc1ccc(C=O)cc1F
XAARDLQCFVXTPT-UHFFFAOYSA-N,LYOXJJQOHIJFPD-UHFFFAOYSA-N,O=Cc1cc(Br)ccc1Oc1ccc(F)c(Br)c1,COc1cc(OCCCCCCCCCCCCCBr)cc(O)c1C=O
PWDZOVSBTJAABH-UHFFFAOYSA-N,OADHTSJQNYUVHX-UHFFFAOYSA-N,O=Cc1c(OC(F)F)ccc(Cl)c1F,Cc1ccc2cc(-c3ccc(C=O)cc3)ccc2n1
KSXSHNNQXUOMEF-UHFFFAOYSA-N,CMTXZFKJIVFOSB-UHFFFAOYSA-N,CC(=O)c1cc(F)c(C=O)cc1[N+](=O)[O-],COc1ccc(NC(=O)COc2ccc(C=O)cc2Br)cc1
ZLAQYJKDQSZARB-OGCXVWDESA-N,CLXMAIZWSJGDCT-UHFFFAOYSA-N,CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O,O=Cc1cc(C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)ccc1F
QLFFHGGWPDZMBB-UHFFFAOYSA-N,INESYPZMVPGZSM-XYAITNJASA-N,COc1cc(C=O)ccc1OCC(=O)OCC(=O)Nc1ccc(F)c(F)c1F,C[C@]12C[C@H](c3ccc(C=O)cc3)C3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)C(F)(F)C(F)(F)F
HLPRBNCIKLVJKP-UHFFFAOYSA-N,RXBFOUDYFRKIGD-UHFFFAOYSA-N,O=Cc1ccc(OCC2(C(F)(F)F)CC2)cc1,CC1(C)CCN(Cc2cc3cc(C=O)ccc3nc2F)CC1
XRKKAVDATSQCAC-UHFFFAOYSA-N,KJQFJDVYEHDEQB-UHFFFAOYSA-N,Cc1ccc(OC(F)F)c(CNc2cc(C3=CCC(C(C)(C)O)OC3)c(F)cc2C=O)c1,CCOC(=O)c1c(Cl)ccc(C=O)c1F
DFJIAUFCXFHAKB-UHFFFAOYSA-N,PPXALYNGJPEUCP-UHFFFAOYSA-N,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1,NC(=O)C1CCCCN1c1cccc(F)c1C=O
APPXRZUFMHRGGW-UHFFFAOYSA-N,LBLUODAMHWQWCR-UHFFFAOYSA-N,COc1cc(I)c(C=O)cc1O,COC(OC)c1ccccc1C=O
YIZWPZKKYYJJMS-UHFFFAOYSA-N,JAXYYDMECWEUSX-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1,Cc1cc(C=O)cc(NC(=O)CC(F)(F)F)c1
VUHDYRBGSHBADR-UHFFFAOYSA-N,PVZPKYJUVFDRIB-UHFFFAOYSA-N,O=Cc1ccc(-c2noc(-c3cn4cc(C(F)(F)F)cc(Br)c4n3)n2)c(Cl)c1,COc1c(O)c(Cl)cc(C=O)c1Cl
WSRDWPPNYIOPMF-UHFFFAOYSA-N,RFROHJRARMZISW-ROUUACIJSA-N,CC1CN(C(=O)O)Cc2c(OCc3ccccc3)cc(C=O)c(F)c21,O=Cc1cc([C@@H]2C[C@H]2c2ccc(N3CCCC3)cc2)cc(F)c1O
BDCMTVHBCWUFLG-UHFFFAOYSA-N,PUXGVWIAVAQYSF-UHFFFAOYSA-N,COCCNC(=O)Cc1c(C)c2cc(OC)c(O)c(C=O)c2oc1=O,CCOC(=O)c1c(O)cccc1C=O
TYLUJZMTWWZRGT-UHFFFAOYSA-N,PEYGMVVDJGISOK-UHFFFAOYSA-N,COc1cc(F)c(C(=O)Nc2c(Cl)cc(C=O)cc2Cl)cc1OC1CCCC1,O=Cc1c(O)ccc2cc(-c3ccc(C(=O)NCC4CCCCN4)s3)ccc12
PVQFZQUGKIAVRT-UHFFFAOYSA-N,GEJALCWZQUNGCD-UHFFFAOYSA-N,NC(=O)C=Cc1ccc(C=O)c(F)c1,O=Cc1cc(F)c(OCC2Cc3ccccc3O2)c(F)c1
WVAQQBXSIIARHR-UHFFFAOYSA-N,QYGIKDWXTMCEEW-UHFFFAOYSA-N,O=Cc1ccc(Oc2ccc(F)c(Br)c2)c([N+](=O)[O-])c1,O=Cc1ccc(F)cc1-c1ccoc1
SRYURSBDJMYTOQ-UHFFFAOYSA-N,AYMIQJQHWDGLAS-APWZRJJASA-N,O=Cc1ccc(-c2ccc(CCC3CCCCC3)c(F)c2)c2cccnc12,Cc1cc(C)nc(N[C@H]2CCCN(c3ccc(-c4ncccn4)c(C=O)c3F)[C@@H]2C)n1
CKRYWJSYCUJWIE-SFHVURJKSA-N,XPGWSOLLMKZDON-UHFFFAOYSA-N,O=Cc1ccc2ccccc2c1N1CCCC[C@H]1CNc1cnc2cc(F)c(F)cc2n1,C=CC(F)(F)Oc1ccc(-c2cc(C=O)cc(OC(F)(F)F)c2)cc1F
HCOMZIZOKFSSEH-UHFFFAOYSA-N,YKZWLIFJZIJNKY-UHFFFAOYSA-N,O=Cc1cc(F)c(OCC(F)F)c(Br)c1,Cc1cc(C=O)c2nn(CC(C)(C#N)NC(=O)c3ccc(OC(F)(F)F)cc3)nc2c1
YLRSSTPFVKTTNC-UHFFFAOYSA-N,SKWADSBDJMOUSL-UHFFFAOYSA-N,COc1ccc(COc2ccc(F)c(OCc3ccccc3)c2C=O)cc1,Cc1nn(-c2ccc(C=O)c(O)c2)nc1-c1ccccc1
