ald_id,smiles,canon
VLGMRHYUCPZBBQ-UHFFFAOYSA-N,O=Cc1ccc(C(F)C(F)(F)F)cc1,O=Cc1ccc(C(F)C(F)(F)F)cc1
TVOLBKRLGJWPDK-UHFFFAOYSA-N,CC(=O)Oc1c(F)cc(Br)cc1C=O,CC(=O)Oc1c(F)cc(Br)cc1C=O
BASNCCKFWWUDBG-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21
YJRYCFVLCSZEAG-UHFFFAOYSA-N,CCOC(=O)CCCOc1ccc(C=O)cc1OC,CCOC(=O)CCCOc1ccc(C=O)cc1OC
CSZZRYLWAXRTNQ-UHFFFAOYSA-N,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br
KYGWVVRZYPBZGT-UHFFFAOYSA-N,CS(=O)c1cc(F)ccc1C=O,CS(=O)c1cc(F)ccc1C=O
CGZGMXSLQDVXME-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(OC)c1C=O,CCN(CC)C(=O)c1cccc(OC)c1C=O
STVKLDJOQMLOCU-UHFFFAOYSA-N,N#Cc1ccc(C(=O)CBr)c(F)c1C=O,N#Cc1ccc(C(=O)CBr)c(F)c1C=O
LOXNXPSCZLFRJT-AATRIKPKSA-N,O=Cc1ccc(/C=C/C(=O)F)cc1,O=Cc1ccc(/C=C/C(=O)F)cc1
MGJJTEKBMONTCP-UHFFFAOYSA-N,Cc1cc(C=O)cc(C)c1B(O)O,Cc1cc(C=O)cc(C)c1B(O)O
FLJHXLIGMQTVSG-UHFFFAOYSA-N,O=Cc1c(OCC(=O)Nc2cc([N+](=O)[O-])ccc2F)ccc2ccccc12,O=Cc1c(OCC(=O)Nc2cc([N+](=O)[O-])ccc2F)ccc2ccccc12
OPRWBRQQXFSXDD-UHFFFAOYSA-N,COc1ccc(C=O)c(F)c1C(=O)Cl,COc1ccc(C=O)c(F)c1C(=O)Cl
UDYQQOWAOFCYIV-UHFFFAOYSA-N,O=Cc1ccc(C(=O)NCCc2ccccc2)cc1,O=Cc1ccc(C(=O)NCCc2ccccc2)cc1
QKDYGSVKNIPWRC-UHFFFAOYSA-N,COc1cc(C=O)c(Cc2ccccc2)c(OC)c1O,COc1cc(C=O)c(Cc2ccccc2)c(OC)c1O
DOGSPNRZNVHECU-UHFFFAOYSA-N,O=Cc1cccc(OC(c2ccncc2)C(F)(F)F)c1,O=Cc1cccc(OC(c2ccncc2)C(F)(F)F)c1
VOVBJWTWXMYNQH-UHFFFAOYSA-N,CC(=O)SCCC=Cc1ccc(F)cc1C=O,CC(=O)SCCC=Cc1ccc(F)cc1C=O
LHTCYULICDEHKE-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(OCc3ccccc3)nc2)cc1OCC(F)(F)F,O=Cc1ccc(-c2ccc(OCc3ccccc3)nc2)cc1OCC(F)(F)F
BRHOADVFPAGFCR-UHFFFAOYSA-N,Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)Nc1ccc(C=O)cc1F,Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)Nc1ccc(C=O)cc1F
XAARDLQCFVXTPT-UHFFFAOYSA-N,O=Cc1cc(Br)ccc1Oc1ccc(F)c(Br)c1,O=Cc1cc(Br)ccc1Oc1ccc(F)c(Br)c1
LYOXJJQOHIJFPD-UHFFFAOYSA-N,COc1cc(OCCCCCCCCCCCCCBr)cc(O)c1C=O,COc1cc(OCCCCCCCCCCCCCBr)cc(O)c1C=O
PWDZOVSBTJAABH-UHFFFAOYSA-N,O=Cc1c(OC(F)F)ccc(Cl)c1F,O=Cc1c(OC(F)F)ccc(Cl)c1F
OADHTSJQNYUVHX-UHFFFAOYSA-N,Cc1ccc2cc(-c3ccc(C=O)cc3)ccc2n1,Cc1ccc2cc(-c3ccc(C=O)cc3)ccc2n1
KSXSHNNQXUOMEF-UHFFFAOYSA-N,CC(=O)c1cc(F)c(C=O)cc1[N+](=O)[O-],CC(=O)c1cc(F)c(C=O)cc1[N+](=O)[O-]
CMTXZFKJIVFOSB-UHFFFAOYSA-N,COc1ccc(NC(=O)COc2ccc(C=O)cc2Br)cc1,COc1ccc(NC(=O)COc2ccc(C=O)cc2Br)cc1
ZLAQYJKDQSZARB-OGCXVWDESA-N,CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O,CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O
CLXMAIZWSJGDCT-UHFFFAOYSA-N,O=Cc1cc(C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)ccc1F,O=Cc1cc(C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)ccc1F
QLFFHGGWPDZMBB-UHFFFAOYSA-N,COc1cc(C=O)ccc1OCC(=O)OCC(=O)Nc1ccc(F)c(F)c1F,COc1cc(C=O)ccc1OCC(=O)OCC(=O)Nc1ccc(F)c(F)c1F
INESYPZMVPGZSM-XYAITNJASA-N,C[C@]12C[C@H](c3ccc(C=O)cc3)C3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)C(F)(F)C(F)(F)F,C[C@]12C[C@H](c3ccc(C=O)cc3)C3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)C(F)(F)C(F)(F)F
HLPRBNCIKLVJKP-UHFFFAOYSA-N,O=Cc1ccc(OCC2(C(F)(F)F)CC2)cc1,O=Cc1ccc(OCC2(C(F)(F)F)CC2)cc1
RXBFOUDYFRKIGD-UHFFFAOYSA-N,CC1(C)CCN(Cc2cc3cc(C=O)ccc3nc2F)CC1,CC1(C)CCN(Cc2cc3cc(C=O)ccc3nc2F)CC1
XRKKAVDATSQCAC-UHFFFAOYSA-N,Cc1ccc(OC(F)F)c(CNc2cc(C3=CCC(C(C)(C)O)OC3)c(F)cc2C=O)c1,Cc1ccc(OC(F)F)c(CNc2cc(C3=CCC(C(C)(C)O)OC3)c(F)cc2C=O)c1
KJQFJDVYEHDEQB-UHFFFAOYSA-N,CCOC(=O)c1c(Cl)ccc(C=O)c1F,CCOC(=O)c1c(Cl)ccc(C=O)c1F
DFJIAUFCXFHAKB-UHFFFAOYSA-N,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1,Cc1cncc(-c2ccc(C(F)(F)F)cc2C=O)c1
PPXALYNGJPEUCP-UHFFFAOYSA-N,NC(=O)C1CCCCN1c1cccc(F)c1C=O,NC(=O)C1CCCCN1c1cccc(F)c1C=O
APPXRZUFMHRGGW-UHFFFAOYSA-N,COc1cc(I)c(C=O)cc1O,COc1cc(I)c(C=O)cc1O
LBLUODAMHWQWCR-UHFFFAOYSA-N,COC(OC)c1ccccc1C=O,COC(OC)c1ccccc1C=O
YIZWPZKKYYJJMS-UHFFFAOYSA-N,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1,CCOc1cc(C=O)ccc1OC(=O)c1ccc(Cl)cc1
