donor_id,acceptor_id,donor_smiles,acceptor_smiles,lib_id
HYBBIBNJHNGZAN-UHFFFAOYSA-N,HYBBIBNJHNGZAN-UHFFFAOYSA-N,C1=COC(=C1)C=O,C1=COC(=C1)C=O,0
MWOOGOJBHIARFG-UHFFFAOYSA-N,MWOOGOJBHIARFG-UHFFFAOYSA-N,COC1=C(C=CC(=C1)C=O)O,COC1=C(C=CC(=C1)C=O)O,1
IKHGUXGNUITLKF-UHFFFAOYSA-N,IKHGUXGNUITLKF-UHFFFAOYSA-N,CC=O,CC=O,2
HUMNYLRZRPPJDN-UHFFFAOYSA-N,HUMNYLRZRPPJDN-UHFFFAOYSA-N,C1=CC=C(C=C1)C=O,C1=CC=C(C=C1)C=O,3
ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,ZTQSAGDEMFDKMZ-UHFFFAOYSA-N,CCCC=O,CCCC=O,4
JARKCYVAAOWBJS-UHFFFAOYSA-N,JARKCYVAAOWBJS-UHFFFAOYSA-N,CCCCCC=O,CCCCCC=O,5
FXHGMKSSBGDXIY-UHFFFAOYSA-N,FXHGMKSSBGDXIY-UHFFFAOYSA-N,CCCCCCC=O,CCCCCCC=O,6
YGHRJJRRZDOVPD-UHFFFAOYSA-N,YGHRJJRRZDOVPD-UHFFFAOYSA-N,CC(C)CC=O,CC(C)CC=O,7
GYHFUZHODSMOHU-UHFFFAOYSA-N,GYHFUZHODSMOHU-UHFFFAOYSA-N,CCCCCCCCC=O,CCCCCCCCC=O,8
NOEGNKMFWQHSLB-UHFFFAOYSA-N,NOEGNKMFWQHSLB-UHFFFAOYSA-N,C1=C(OC(=C1)C=O)CO,C1=C(OC(=C1)C=O)CO,9
RGHHSNMVTDWUBI-UHFFFAOYSA-N,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C1=CC(=CC=C1C=O)O,C1=CC(=CC=C1C=O)O,10
RADKZDMFGJYCBB-UHFFFAOYSA-N,RADKZDMFGJYCBB-UHFFFAOYSA-N,CC1=NC=C(C(=C1O)C=O)CO,CC1=NC=C(C(=C1O)C=O)CO,11
WPFVBOQKRVRMJB-UHFFFAOYSA-N,WPFVBOQKRVRMJB-UHFFFAOYSA-N,CC(CCCC(C)(C)O)CC=O,CC(CCCC(C)(C)O)CC=O,12
IBGBGRVKPALMCQ-UHFFFAOYSA-N,IBGBGRVKPALMCQ-UHFFFAOYSA-N,C1=CC(=C(C=C1C=O)O)O,C1=CC(=C(C=C1C=O)O)O,13
NEHNMFOYXAPHSD-UHFFFAOYSA-N,NEHNMFOYXAPHSD-UHFFFAOYSA-N,CC(CCC=C(C)C)CC=O,CC(CCC=C(C)C)CC=O,14
