id,grp,dG_orca_kcal_stored,dG_gxtb_kcal_stored,error,dG_gxtb_kcal,dG_b973c_kcal,dG_r2scan_kcal,resid_gxtb,resid_b973c
HSJRAEQQVXRGGM-UHFFFAOYSA-N__YHQFISOOVYLPRR-HFIQGDHTSA-N,hetero_hardtail,-6.8757750882846524,-5.1591,,-31.085782322868084,-14.993174887969056,-21.639429380698385,9.4463529421697,-6.646254492729328
VBUQVCNUAFTHCE-RAZAXZTQSA-N__KHXWBRBPYHSXTH-CKIVDRAYSA-N,hetero_hardtail,-6.495132016913575,-10.0013,,-30.537367535803547,-11.455420499599418,-13.529561114055769,17.00780642174778,-2.074140614456349
GMUINPOVQMNENA-UHFFFAOYSA-N__ZRZVLMMRTDOQKG-UHFFFAOYSA-N,hetero_hardtail,-4.278403335952965,-1.4977,,-15.629800417984304,-13.21713178298276,-19.102612479334898,-3.4728120613505933,-5.885480696352136
QAIJMKLVIVRPAR-UHFFFAOYSA-N__ZQYULIXQISCKLV-UHFFFAOYSA-N,hetero_hardtail,-4.175265688078901,-5.1574,,-23.04354463718385,-15.00310738455401,-20.403581265025256,2.63996337215859,-5.400473880471246
WYPHOQDLVAXAIR-VCOUNFBDSA-N__NPABCQFFQVXDLG-UHFFFAOYSA-N,hetero_hardtail,-3.59595327793544,-0.1404,,-14.780833328171996,-6.636160850761771,-11.033575078247006,3.7472582499249896,-4.397414227485236
SGCLSPFAYOHOOF-RYUDHWBXSA-N__IMJXZJWZJYUUQK-UHFFFAOYSA-N,hetero_hardtail,-3.3992578965845355,-5.8277,,-25.001949098203177,-11.219673608294547,-19.09810464472984,5.9038444534733365,-7.878431036435293
BRNJAHPTWFIDAS-UHFFFAOYSA-N__MFMGRPSKVVJIDV-JOCHJYFZSA-N,hetero_hardtail,-3.0278769062130046,-1.6199,,-20.51872581433692,-9.988472097132007,-16.651283602801936,3.8674422115349856,-6.662811505669929
NPABCQFFQVXDLG-UHFFFAOYSA-N__WYPHOQDLVAXAIR-VCOUNFBDSA-N,hetero_hardtail,-2.861062608895652,0.8298,,-20.27337891777174,-9.673913977341712,-13.613947500654044,6.6594314171176965,-3.940033523312332
SAUXNXJPLASOMO-UHFFFAOYSA-N__KKZKJADYHRMRGQ-UHFFFAOYSA-N,hetero_hardtail,-0.4463186198685114,2.7438,,-16.317601820381782,-10.411827143352896,-15.339262898731263,0.9783389216505184,-4.927435755378369
QVRKJZUJNTYHPY-UHFFFAOYSA-N__WGHJLRMUHZIXGD-UHFFFAOYSA-N,hetero_hardtail,1.3352825113544702,4.3099,,-13.439771766225038,-6.628224749105127,-11.832257763904432,1.607514002320606,-5.204033014799305
YHQFISOOVYLPRR-HFIQGDHTSA-N__HSJRAEQQVXRGGM-UHFFFAOYSA-N,hetero_hardtail,1.5368401030105678,-1.1411,,-39.86133137608121,-24.65845964617745,-31.76697469865624,8.094356677424972,-7.108515052478786
