id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,dG_orca_kcal,dG_gxtb_kcal,grp,risk
HSJRAEQQVXRGGM-UHFFFAOYSA-N__YHQFISOOVYLPRR-HFIQGDHTSA-N,HSJRAEQQVXRGGM-UHFFFAOYSA-N,YHQFISOOVYLPRR-HFIQGDHTSA-N,C=C1C(C=O)C(=C)N(c2cc(CC)c(=NC)n(C(=C)C(F)F)c2)C1c1ccc(Cl)cc1,CC(C)OC(=O)OCOP1(=O)OC[C@@](CF)(O[C@H](CO)n2ccc(=O)[nH]c2=O)[C@H](C=O)O1,C=C1C(C(=O)C(O)C2OP(=O)(OCOC(=O)OC(C)C)OCC2(CF)OC(CO)n2ccc(=O)[nH]c2=O)C(=C)N(c2cc(CC)c(=NC)n(C(=C)C(F)F)c2)C1c1ccc(Cl)cc1,-6.8757750882846524,-5.1591,hetero_hardtail,hypervalent_P
VBUQVCNUAFTHCE-RAZAXZTQSA-N__KHXWBRBPYHSXTH-CKIVDRAYSA-N,VBUQVCNUAFTHCE-RAZAXZTQSA-N,KHXWBRBPYHSXTH-CKIVDRAYSA-N,Cn1ccc(NC(=O)[C@@H]2CCN2S(=O)(=O)C2CC(C=O)CC3C(F)NNC32)cc1=O,O=C[C@H]1NCC(=S)C1C(=O)[C@H]1NCC(=S)C1C(=O)CC1=Cc2ccccc2C1,Cn1ccc(NC(=O)C2CCN2S(=O)(=O)C2CC(C(=O)C(O)C3NCC(=S)C3C(=O)C3NCC(=S)C3C(=O)CC3=Cc4ccccc4C3)CC3C(F)NNC32)cc1=O,-6.495132016913575,-10.0013,hetero_hardtail,sulfonyl
GMUINPOVQMNENA-UHFFFAOYSA-N__ZRZVLMMRTDOQKG-UHFFFAOYSA-N,GMUINPOVQMNENA-UHFFFAOYSA-N,ZRZVLMMRTDOQKG-UHFFFAOYSA-N,CC1(CC1)NS(=O)(=O)C2=CC3=C(C=C2)N(C(=O)N3C4=CC=C(S4)C=O)C,C(C(C=O)O)[N+](=O)[O-],Cn1c(=O)n(-c2ccc(C(=O)C(O)C(O)C[N+](=O)[O-])s2)c2cc(S(=O)(=O)NC3(C)CC3)ccc21,-4.278403335952965,-1.4977,hetero_hardtail,"N_oxide,nitro,sulfonyl"
QAIJMKLVIVRPAR-UHFFFAOYSA-N__ZQYULIXQISCKLV-UHFFFAOYSA-N,QAIJMKLVIVRPAR-UHFFFAOYSA-N,ZQYULIXQISCKLV-UHFFFAOYSA-N,CC1(CC2=C(C(=O)C1)C(=NO2)CC(C=O)C3=CC(=CC=C3)[N+](=O)[O-])C,CC1=NOC(C1C=O)C2=CC=CC=C2,CC1=NOC(c2ccccc2)C1C(O)C(=O)C(Cc1noc2c1C(=O)CC(C)(C)C2)c1cccc([N+](=O)[O-])c1,-4.175265688078901,-5.1574,hetero_hardtail,"N_oxide,nitro"
WYPHOQDLVAXAIR-VCOUNFBDSA-N__NPABCQFFQVXDLG-UHFFFAOYSA-N,WYPHOQDLVAXAIR-VCOUNFBDSA-N,NPABCQFFQVXDLG-UHFFFAOYSA-N,C[C@H]1CN(CCN1CC[C@H]2CC3(CCN(CC3)C[C@@H](C=O)NC(=O)O)C(=O)O2)C4=CC=C(C=C4)F,C1=CN=C2C(=C1C=O)C(=O)C3=C(C2=O)C=C(S3)[N+](=O)[O-],CC1CN(c2ccc(F)cc2)CCN1CCC1CC2(CCN(CC(NC(=O)O)C(=O)C(O)c3ccnc4c3C(=O)c3sc([N+](=O)[O-])cc3C4=O)CC2)C(=O)O1,-3.59595327793544,-0.1404,hetero_hardtail,"N_oxide,nitro"
SGCLSPFAYOHOOF-RYUDHWBXSA-N__IMJXZJWZJYUUQK-UHFFFAOYSA-N,SGCLSPFAYOHOOF-RYUDHWBXSA-N,IMJXZJWZJYUUQK-UHFFFAOYSA-N,O=CC1(S(=O)(=O)c2nc3n(n2)[C@H](c2ccccc2)C[C@@H]3F)CC1,O=C=Nc1nc(C=O)nc(C(=O)c2cccc(F)c2NS(=O)(=O)C(F)F)n1,O=C=Nc1nc(C(=O)c2cccc(F)c2NS(=O)(=O)C(F)F)nc(C(O)C(=O)C2(S(=O)(=O)c3nc4n(n3)C(c3ccccc3)CC4F)CC2)n1,-3.3992578965845355,-5.8277,hetero_hardtail,sulfonyl
BRNJAHPTWFIDAS-UHFFFAOYSA-N__MFMGRPSKVVJIDV-JOCHJYFZSA-N,BRNJAHPTWFIDAS-UHFFFAOYSA-N,MFMGRPSKVVJIDV-JOCHJYFZSA-N,C1C(=O)NS(=O)(=O)N1C2=C(C=C3C=CC(=CC3=C2F)OCCCCC=O)OCC4=CC=CC=C4,CC(C)(C)C1=CC(=C(C=C1)OC[C@@H](CN2CCC3(CC2)CC4=C(O3)C=CC(=C4)Cl)O)C=O,CC(C)(C)c1ccc(OCC(O)CN2CCC3(CC2)Cc2cc(Cl)ccc2O3)c(C(O)C(=O)CCCCOc2ccc3cc(OCc4ccccc4)c(N4CC(=O)NS4(=O)=O)c(F)c3c2)c1,-3.0278769062130046,-1.6199,hetero_hardtail,sulfonyl
NPABCQFFQVXDLG-UHFFFAOYSA-N__WYPHOQDLVAXAIR-VCOUNFBDSA-N,NPABCQFFQVXDLG-UHFFFAOYSA-N,WYPHOQDLVAXAIR-VCOUNFBDSA-N,C1=CN=C2C(=C1C=O)C(=O)C3=C(C2=O)C=C(S3)[N+](=O)[O-],C[C@H]1CN(CCN1CC[C@H]2CC3(CCN(CC3)C[C@@H](C=O)NC(=O)O)C(=O)O2)C4=CC=C(C=C4)F,CC1CN(c2ccc(F)cc2)CCN1CCC1CC2(CCN(CC(NC(=O)O)C(O)C(=O)c3ccnc4c3C(=O)c3sc([N+](=O)[O-])cc3C4=O)CC2)C(=O)O1,-2.861062608895652,0.8298,hetero_hardtail,"N_oxide,nitro"
SAUXNXJPLASOMO-UHFFFAOYSA-N__KKZKJADYHRMRGQ-UHFFFAOYSA-N,SAUXNXJPLASOMO-UHFFFAOYSA-N,KKZKJADYHRMRGQ-UHFFFAOYSA-N,O=CCCCCS(=O)CCCC(F)(F)C(F)(F)F,O=CCNNc1ccc(-n2nc(C(F)(F)F)cc2C2=CC3Nc4ccccc4SC3C=C2)cc1,O=C(CCCCS(=O)CCCC(F)(F)C(F)(F)F)C(O)CNNc1ccc(-n2nc(C(F)(F)F)cc2C2=CC3Nc4ccccc4SC3C=C2)cc1,-0.4463186198685114,2.7438,hetero_hardtail,sulfoxide
QVRKJZUJNTYHPY-UHFFFAOYSA-N__WGHJLRMUHZIXGD-UHFFFAOYSA-N,QVRKJZUJNTYHPY-UHFFFAOYSA-N,WGHJLRMUHZIXGD-UHFFFAOYSA-N,C1CC(CCC1CC=O)C2CCC(=CC2)C3=C(C(=C(C=C3)C4CO4)F)F,C1=CC(=CC(=C1)OCC2=CC3=[N+](ON=C3C=C2)[O-])C=O,O=C(CC1CCC(C2CC=C(c3ccc(C4CO4)c(F)c3F)CC2)CC1)C(O)c1cccc(OCc2ccc3no[n+]([O-])c3c2)c1,1.3352825113544702,4.3099,hetero_hardtail,N_oxide
YHQFISOOVYLPRR-HFIQGDHTSA-N__HSJRAEQQVXRGGM-UHFFFAOYSA-N,YHQFISOOVYLPRR-HFIQGDHTSA-N,HSJRAEQQVXRGGM-UHFFFAOYSA-N,CC(C)OC(=O)OCOP1(=O)OC[C@@](CF)(O[C@H](CO)n2ccc(=O)[nH]c2=O)[C@H](C=O)O1,C=C1C(C=O)C(=C)N(c2cc(CC)c(=NC)n(C(=C)C(F)F)c2)C1c1ccc(Cl)cc1,C=C1C(C(O)C(=O)C2OP(=O)(OCOC(=O)OC(C)C)OCC2(CF)OC(CO)n2ccc(=O)[nH]c2=O)C(=C)N(c2cc(CC)c(=NC)n(C(=C)C(F)F)c2)C1c1ccc(Cl)cc1,1.5368401030105678,-1.1411,hetero_hardtail,hypervalent_P
