pid,donor_smiles,acceptor_smiles,prod_smiles,grp,new_scaffold_split,label,gxtb_stored,donor_idx,acceptor_idx,reaction_type
explore_187867_140678,Cc1cc(OC(F)(F)F)cc(-c2ccc(C=O)o2)c1,COc1cc(F)c(-c2ccc(C=O)cc2C)c(F)c1,COc1cc(F)c(-c2ccc(C(O)C(=O)c3ccc(-c4cc(C)cc(OC(F)(F)F)c4)o3)cc2C)c(F)c1,cross_explore_20260920,,,,187867,140678,carbo-hetero
explore_67986_59584,CC1(C(F)(F)F)OCc2cnc(C=O)nc21,COc1ccc(OCc2ccccc2)c(F)c1C=O,COc1ccc(OCc2ccccc2)c(F)c1C(O)C(=O)c1ncc2c(n1)C(C)(C(F)(F)F)OC2,cross_explore_20260920,,,,67986,59584,carbo-hetero
explore_3650_16617,O=Cc1c(C(=O)O)n(Cc2ccc(Cl)cc2)c2ccccc12,Cc1ccc(N(c2ccccc2)c2ccc(C=O)cc2)cc1,Cc1ccc(N(c2ccccc2)c2ccc(C(O)C(=O)c3c(C(=O)O)n(Cc4ccc(Cl)cc4)c4ccccc34)cc2)cc1,cross_explore_20260920,,,,3650,16617,carbo-hetero
explore_179617_143429,CCOC(=O)c1cc(F)cc(CCC=O)c1,O=Cc1cccc2cc(-c3ccccc3F)nn12,CCOC(=O)c1cc(F)cc(CCC(=O)C(O)c2cccc3cc(-c4ccccc4F)nn23)c1,cross_explore_20260920,,,,179617,143429,aliph-hetero
explore_111230_133980,COC(=O)C1(CCC=O)CCCC1=O,COc1ccc(-c2ccc(F)c(C=O)c2)cn1,COC(=O)C1(CCC(=O)C(O)c2cc(-c3ccc(OC)nc3)ccc2F)CCCC1=O,cross_explore_20260920,,,,111230,133980,aliph-carbo
explore_161115_139642,CC1(C)CCC(Oc2ccc(C=O)cc2F)CC1,O=Cc1cc(F)c(OC2CCCCC2O)c(F)c1,CC1(C)CCC(Oc2ccc(C(=O)C(O)c3cc(F)c(OC4CCCCC4O)c(F)c3)cc2F)CC1,cross_explore_20260920,,,,161115,139642,carbo-carbo
explore_206519_123662,Cc1cc(C=O)cc(C)c1OCc1ccccc1[N+](=O)[O-],CCOC(=O)Cc1nc(-c2ccc(C=O)s2)cs1,CCOC(=O)Cc1nc(-c2ccc(C(O)C(=O)c3cc(C)c(OCc4ccccc4[N+](=O)[O-])c(C)c3)s2)cs1,cross_explore_20260920,,,,206519,123662,carbo-hetero
explore_148169_180187,O=C[C@H]1C[C@@H]1c1ccccc1F,COc1nc(OC(F)(F)F)c(CF)cc1C=O,COc1nc(OC(F)(F)F)c(CF)cc1C(O)C(=O)C1CC1c1ccccc1F,cross_explore_20260920,,,,148169,180187,aliph-hetero
explore_87050_189365,O=CC(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3cc(F)ccc32)cc1,O=Cc1c(F)cccc1C#CCBr,O=C(C(O)c1c(F)cccc1C#CCBr)C(NO)c1ccc(Cn2c(=O)n(CCc3ccccc3)c(=O)c3cc(F)ccc32)cc1,cross_explore_20260920,,,,87050,189365,aliph-carbo
explore_7417_168932,COc1ccc(C=O)cc1OCc1cccc(F)c1,O=Cc1ncc(C(F)(F)F)c(C(F)F)c1O,COc1ccc(C(=O)C(O)c2ncc(C(F)(F)F)c(C(F)F)c2O)cc1OCc1cccc(F)c1,cross_explore_20260920,,,,7417,168932,carbo-hetero
explore_38795_186972,CCOC(COc1c(C)cc(F)cc1C=O)OCC,O=CC1CN(C(=O)C(F)(F)F)C1,CCOC(COc1c(C)cc(F)cc1C(=O)C(O)C1CN(C(=O)C(F)(F)F)C1)OCC,cross_explore_20260920,,,,38795,186972,aliph-carbo
explore_190639_4881,O=CCC=Cc1nccc(C(=O)O)c1F,CC1(C)CC(=O)c2cc(C=O)ccc2O1,CC1(C)CC(=O)c2cc(C(O)C(=O)CC=Cc3nccc(C(=O)O)c3F)ccc2O1,cross_explore_20260920,,,,190639,4881,aliph-carbo
explore_66194_17756,Cc1ncn(-c2ccc(C(=O)N[C@@H]3CCN(c4nc(C=O)cc(C(N)=O)c4F)C3)c(Cl)c2)n1,CCOc1cc(C=O)ccc1OCCOc1ccc(F)cc1,CCOc1cc(C(O)C(=O)c2cc(C(N)=O)c(F)c(N3CCC(NC(=O)c4ccc(-n5cnc(C)n5)cc4Cl)C3)n2)ccc1OCCOc1ccc(F)cc1,cross_explore_20260920,,,,66194,17756,carbo-hetero
explore_89058_93353,CC1CN(c2c(C#N)cnc3cc(C(F)(F)F)ccc23)CCC1C=O,COC(=O)c1c(Oc2ccc(OC(F)(F)F)c(F)c2OC)cc(Cl)c(C=O)c1OC,COC(=O)c1c(Oc2ccc(OC(F)(F)F)c(F)c2OC)cc(Cl)c(C(O)C(=O)C2CCN(c3c(C#N)cnc4cc(C(F)(F)F)ccc34)CC2C)c1OC,cross_explore_20260920,,,,89058,93353,aliph-carbo
explore_27449_1182,O=Cc1ccc(COC(=O)c2ccccc2)cc1,COc1ccc(C=O)c(F)c1,COc1ccc(C(O)C(=O)c2ccc(COC(=O)c3ccccc3)cc2)c(F)c1,cross_explore_20260920,,,,27449,1182,carbo-carbo
explore_148112_116087,O=Cc1nnn(Cc2cccc(F)c2)c1-c1ccccc1Cl,COCOC1=CCC[C@@]1(C)C=O,COCOC1=CCCC1(C)C(O)C(=O)c1nnn(Cc2cccc(F)c2)c1-c1ccccc1Cl,cross_explore_20260920,,,,148112,116087,aliph-hetero
explore_56826_135913,NC(CC=O)(C(=O)O)C1c2ccc(F)cc2N(C(=O)c2ccc(OC(F)(F)F)cc2)[C@@H]2CC[C@H]12,CN(C)CCCN(C)c1ccc(F)cc1C=O,CN(C)CCCN(C)c1ccc(F)cc1C(O)C(=O)CC(N)(C(=O)O)C1c2ccc(F)cc2N(C(=O)c2ccc(OC(F)(F)F)cc2)C2CCC21,cross_explore_20260920,,,,56826,135913,aliph-carbo
explore_84738_101798,COc1c(C=O)cc(Cl)c(C(=O)N2CCc3c(Br)cccc32)c1F,COc1ccc(C2CCN(C3CCN(Cc4ccc(C)cc4)C3C=O)CC2(F)F)cc1,COc1ccc(C2CCN(C3CCN(Cc4ccc(C)cc4)C3C(O)C(=O)c3cc(Cl)c(C(=O)N4CCc5c(Br)cccc54)c(F)c3OC)CC2(F)F)cc1,cross_explore_20260920,,,,84738,101798,aliph-carbo
explore_216626_177788,Cc1ccc(S(=O)(=O)N[C@@H](C)C=O)cc1,O=Cc1ccc(F)c(-c2ccc(OC(F)(F)F)cc2)n1,Cc1ccc(S(=O)(=O)NC(C)C(=O)C(O)c2ccc(F)c(-c3ccc(OC(F)(F)F)cc3)n2)cc1,cross_explore_20260920,,,,216626,177788,aliph-hetero
explore_151407_209838,CC(C)(C)N1CC(C(F)C=O)C1,Cc1cc(C=O)c(O)c(CN(C)C)c1,Cc1cc(CN(C)C)c(O)c(C(O)C(=O)C(F)C2CN(C(C)(C)C)C2)c1,cross_explore_20260920,,,,151407,209838,aliph-carbo
explore_185589_152049,O=CCc1cccc(C(F)(F)C(F)(F)F)c1,O=CC1(c2ccc3c(F)cccc3c2)CC1,O=C(Cc1cccc(C(F)(F)C(F)(F)F)c1)C(O)C1(c2ccc3c(F)cccc3c2)CC1,cross_explore_20260920,,,,185589,152049,aliph-aliph
explore_193286_85896,CC(=O)c1cc(F)cc(C=O)c1[N+](=O)[O-],CCOC(=O)C(CC(C=O)n1cc(C)cn1)c1ccc(F)cc1,CCOC(=O)C(CC(C(O)C(=O)c1cc(F)cc(C(C)=O)c1[N+](=O)[O-])n1cc(C)cn1)c1ccc(F)cc1,cross_explore_20260920,,,,193286,85896,aliph-carbo
explore_127855_159347,O=Cc1ccccc1OCC(=O)OCC(=O)Nc1cc(F)ccc1F,N#Cc1cc(COc2ccccc2C=O)ccc1F,N#Cc1cc(COc2ccccc2C(O)C(=O)c2ccccc2OCC(=O)OCC(=O)Nc2cc(F)ccc2F)ccc1F,cross_explore_20260920,,,,127855,159347,carbo-carbo
explore_82914_116028,O=C[C@@H](F)C(OC(=O)c1ccc(Cl)cc1)[C@@H](Br)COC(=O)c1ccc(Cl)cc1,O=Cc1sc2nccnc2c1N=P(c1ccccc1)(c1ccccc1)c1ccccc1,O=C(OCC(Br)C(OC(=O)c1ccc(Cl)cc1)C(F)C(=O)C(O)c1sc2nccnc2c1N=P(c1ccccc1)(c1ccccc1)c1ccccc1)c1ccc(Cl)cc1,cross_explore_20260920,,,,82914,116028,aliph-hetero
explore_93413_107301,CCN(C)c1cc(-c2ccc(OCCCN3CCOCC3)c(F)c2)cc(C=O)c1C,O=CCOCCN1CCC(S(=O)(=O)N2CCN(c3cc(C(F)(F)F)ccn3)CC2)C1,CCN(C)c1cc(-c2ccc(OCCCN3CCOCC3)c(F)c2)cc(C(=O)C(O)COCCN2CCC(S(=O)(=O)N3CCN(c4cc(C(F)(F)F)ccn4)CC3)C2)c1C,cross_explore_20260920,,,,93413,107301,aliph-carbo
