bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
46.486,-2012.6129488310978,-1057.880617716224,-954.658251186821,,RYSJAQSTIILRKM-UHFFFAOYSA-N__BPDFZGCHPUQPJZ-UHFFFAOYSA-N
56.358,-1256.091025027306,-656.763072933064,-599.238139502343,,GASAFKIJKKCDDQ-UHFFFAOYSA-N__HZNOPWKQZZXRIF-UHFFFAOYSA-N
56.356,-1256.0946178925738,-598.021459360878,-657.983349527442,,HZNOPWKQZZXRIF-UHFFFAOYSA-N__GASAFKIJKKCDDQ-UHFFFAOYSA-N
52.133,-2012.618484202891,-953.437374874301,-1059.098029754764,,BPDFZGCHPUQPJZ-UHFFFAOYSA-N__RYSJAQSTIILRKM-UHFFFAOYSA-N
52.653,-1662.171816614805,-868.128151300075,-793.95975669449,,MAAXWPXWTJJZDU-UHFFFAOYSA-N__RCOMZYINDQPMJG-UHFFFAOYSA-N
47.992,-1662.179382609608,-792.754856071057,-869.348045988238,,RCOMZYINDQPMJG-UHFFFAOYSA-N__MAAXWPXWTJJZDU-UHFFFAOYSA-N
43.032,-1951.821239847728,-924.007681880594,-1027.744981989265,,ZEMCJOVOQZLBBY-UHFFFAOYSA-N__OGUGOHRWQWHRDS-UHFFFAOYSA-N
47.825,-1951.8230333549789,-1026.52043517303,-925.226383461521,,OGUGOHRWQWHRDS-UHFFFAOYSA-N__ZEMCJOVOQZLBBY-UHFFFAOYSA-N
51.131,-1975.67687507712,-1397.453826490559,-578.141566397082,,SBZFOKVBEUWGFV-UHFFFAOYSA-N__YUQNLLQOFBHLEM-UHFFFAOYSA-N
46.229,-1911.404316306137,-904.542135582257,-1006.788509846437,,FGFAVRPKDPQNDQ-UHFFFAOYSA-N__DYKVVENJUKAVIP-UHFFFAOYSA-N
46.848,-1975.679043861855,-576.930741681026,-1398.673645737581,,YUQNLLQOFBHLEM-UHFFFAOYSA-N__SBZFOKVBEUWGFV-UHFFFAOYSA-N
