donor_id,acceptor_id,donor_smiles,acceptor_smiles
UDYQQOWAOFCYIV-UHFFFAOYSA-N,RRZCXAVADGOJCY-UHFFFAOYSA-N,O=Cc1ccc(C(=O)NCCc2ccccc2)cc1,Cc1cc(NC(=O)C2CCN(c3ccc(C=O)cc3)CC2)ncc1I
RRZCXAVADGOJCY-UHFFFAOYSA-N,UDYQQOWAOFCYIV-UHFFFAOYSA-N,Cc1cc(NC(=O)C2CCN(c3ccc(C=O)cc3)CC2)ncc1I,O=Cc1ccc(C(=O)NCCc2ccccc2)cc1
BASNCCKFWWUDBG-UHFFFAOYSA-N,VLGMRHYUCPZBBQ-UHFFFAOYSA-N,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21,O=Cc1ccc(C(F)C(F)(F)F)cc1
VLGMRHYUCPZBBQ-UHFFFAOYSA-N,BASNCCKFWWUDBG-UHFFFAOYSA-N,O=Cc1ccc(C(F)C(F)(F)F)cc1,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21
ZERWPBSFLUHNDA-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N,CC1CCCN1c1ccc(F)cc1C=O,CC(=O)Oc1c(F)cc(Br)cc1C=O
TVOLBKRLGJWPDK-UHFFFAOYSA-N,ZERWPBSFLUHNDA-UHFFFAOYSA-N,CC(=O)Oc1c(F)cc(Br)cc1C=O,CC1CCCN1c1ccc(F)cc1C=O
CSZZRYLWAXRTNQ-UHFFFAOYSA-N,CGZGMXSLQDVXME-UHFFFAOYSA-N,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br,CCN(CC)C(=O)c1cccc(OC)c1C=O
CGZGMXSLQDVXME-UHFFFAOYSA-N,CSZZRYLWAXRTNQ-UHFFFAOYSA-N,CCN(CC)C(=O)c1cccc(OC)c1C=O,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br
MGJJTEKBMONTCP-UHFFFAOYSA-N,NRTORAVBWLJRMX-UHFFFAOYSA-N,Cc1cc(C=O)cc(C)c1B(O)O,CCC(C)(Pc1ccc(F)cc1C=O)c1cc(OC)cc(OC)c1OC
NRTORAVBWLJRMX-UHFFFAOYSA-N,MGJJTEKBMONTCP-UHFFFAOYSA-N,CCC(C)(Pc1ccc(F)cc1C=O)c1cc(OC)cc(OC)c1OC,Cc1cc(C=O)cc(C)c1B(O)O
KYGWVVRZYPBZGT-UHFFFAOYSA-N,YJRYCFVLCSZEAG-UHFFFAOYSA-N,CS(=O)c1cc(F)ccc1C=O,CCOC(=O)CCCOc1ccc(C=O)cc1OC
YJRYCFVLCSZEAG-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N,CCOC(=O)CCCOc1ccc(C=O)cc1OC,CS(=O)c1cc(F)ccc1C=O
FLJHXLIGMQTVSG-UHFFFAOYSA-N,OPRWBRQQXFSXDD-UHFFFAOYSA-N,O=Cc1c(OCC(=O)Nc2cc([N+](=O)[O-])ccc2F)ccc2ccccc12,COc1ccc(C=O)c(F)c1C(=O)Cl
OPRWBRQQXFSXDD-UHFFFAOYSA-N,FLJHXLIGMQTVSG-UHFFFAOYSA-N,COc1ccc(C=O)c(F)c1C(=O)Cl,O=Cc1c(OCC(=O)Nc2cc([N+](=O)[O-])ccc2F)ccc2ccccc12
LHTCYULICDEHKE-UHFFFAOYSA-N,QKDYGSVKNIPWRC-UHFFFAOYSA-N,O=Cc1ccc(-c2ccc(OCc3ccccc3)nc2)cc1OCC(F)(F)F,COc1cc(C=O)c(Cc2ccccc2)c(OC)c1O
QKDYGSVKNIPWRC-UHFFFAOYSA-N,LHTCYULICDEHKE-UHFFFAOYSA-N,COc1cc(C=O)c(Cc2ccccc2)c(OC)c1O,O=Cc1ccc(-c2ccc(OCc3ccccc3)nc2)cc1OCC(F)(F)F
LYOXJJQOHIJFPD-UHFFFAOYSA-N,PWDZOVSBTJAABH-UHFFFAOYSA-N,COc1cc(OCCCCCCCCCCCCCBr)cc(O)c1C=O,O=Cc1c(OC(F)F)ccc(Cl)c1F
PWDZOVSBTJAABH-UHFFFAOYSA-N,LYOXJJQOHIJFPD-UHFFFAOYSA-N,O=Cc1c(OC(F)F)ccc(Cl)c1F,COc1cc(OCCCCCCCCCCCCCBr)cc(O)c1C=O
STVKLDJOQMLOCU-UHFFFAOYSA-N,LOXNXPSCZLFRJT-AATRIKPKSA-N,N#Cc1ccc(C(=O)CBr)c(F)c1C=O,O=Cc1ccc(/C=C/C(=O)F)cc1
LOXNXPSCZLFRJT-AATRIKPKSA-N,STVKLDJOQMLOCU-UHFFFAOYSA-N,O=Cc1ccc(/C=C/C(=O)F)cc1,N#Cc1ccc(C(=O)CBr)c(F)c1C=O
BRHOADVFPAGFCR-UHFFFAOYSA-N,XAARDLQCFVXTPT-UHFFFAOYSA-N,Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)Nc1ccc(C=O)cc1F,O=Cc1cc(Br)ccc1Oc1ccc(F)c(Br)c1
XAARDLQCFVXTPT-UHFFFAOYSA-N,BRHOADVFPAGFCR-UHFFFAOYSA-N,O=Cc1cc(Br)ccc1Oc1ccc(F)c(Br)c1,Cc1c(-c2ccccc2)nc2ccc(Br)cc2c1C(=O)Nc1ccc(C=O)cc1F
XRKKAVDATSQCAC-UHFFFAOYSA-N,ZLAQYJKDQSZARB-OGCXVWDESA-N,Cc1ccc(OC(F)F)c(CNc2cc(C3=CCC(C(C)(C)O)OC3)c(F)cc2C=O)c1,CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O
ZLAQYJKDQSZARB-OGCXVWDESA-N,XRKKAVDATSQCAC-UHFFFAOYSA-N,CC(/C=C/C1(C)C(C)C=CC(=O)C1C)=C\Cc1c(O)c(Cl)c(C)c(C=O)c1O,Cc1ccc(OC(F)F)c(CNc2cc(C3=CCC(C(C)(C)O)OC3)c(F)cc2C=O)c1
INESYPZMVPGZSM-XYAITNJASA-N,CLXMAIZWSJGDCT-UHFFFAOYSA-N,C[C@]12C[C@H](c3ccc(C=O)cc3)C3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)C(F)(F)C(F)(F)F,O=Cc1cc(C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)ccc1F
CLXMAIZWSJGDCT-UHFFFAOYSA-N,INESYPZMVPGZSM-XYAITNJASA-N,O=Cc1cc(C#CCNC(=O)OCC2c3ccccc3-c3ccccc32)ccc1F,C[C@]12C[C@H](c3ccc(C=O)cc3)C3=C4CCC(=O)C=C4CCC3C1CC[C@@]2(O)C(F)(F)C(F)(F)F
DOGSPNRZNVHECU-UHFFFAOYSA-N,VOVBJWTWXMYNQH-UHFFFAOYSA-N,O=Cc1cccc(OC(c2ccncc2)C(F)(F)F)c1,CC(=O)SCCC=Cc1ccc(F)cc1C=O
VOVBJWTWXMYNQH-UHFFFAOYSA-N,DOGSPNRZNVHECU-UHFFFAOYSA-N,CC(=O)SCCC=Cc1ccc(F)cc1C=O,O=Cc1cccc(OC(c2ccncc2)C(F)(F)F)c1
XEKJYCIJJSQHEK-UHFFFAOYSA-N,UBUUDUFZVMWAEF-RIEGTJTDSA-N,CCOc1cc(C=O)ccc1OCC(=O)NCc1ccccc1,C[C@H](c1ccc(C=O)cc1)[C@@]1(C)C(=O)NC[C@@H]1CF
UBUUDUFZVMWAEF-RIEGTJTDSA-N,XEKJYCIJJSQHEK-UHFFFAOYSA-N,C[C@H](c1ccc(C=O)cc1)[C@@]1(C)C(=O)NC[C@@H]1CF,CCOc1cc(C=O)ccc1OCC(=O)NCc1ccccc1
CMTXZFKJIVFOSB-UHFFFAOYSA-N,IOTKTVXMHHWRIF-UHFFFAOYSA-N,COc1ccc(NC(=O)COc2ccc(C=O)cc2Br)cc1,CCC(C)OCc1cc(F)ccc1C=O
IOTKTVXMHHWRIF-UHFFFAOYSA-N,CMTXZFKJIVFOSB-UHFFFAOYSA-N,CCC(C)OCc1cc(F)ccc1C=O,COc1ccc(NC(=O)COc2ccc(C=O)cc2Br)cc1
OADHTSJQNYUVHX-UHFFFAOYSA-N,KSXSHNNQXUOMEF-UHFFFAOYSA-N,Cc1ccc2cc(-c3ccc(C=O)cc3)ccc2n1,CC(=O)c1cc(F)c(C=O)cc1[N+](=O)[O-]
KSXSHNNQXUOMEF-UHFFFAOYSA-N,OADHTSJQNYUVHX-UHFFFAOYSA-N,CC(=O)c1cc(F)c(C=O)cc1[N+](=O)[O-],Cc1ccc2cc(-c3ccc(C=O)cc3)ccc2n1
QLFFHGGWPDZMBB-UHFFFAOYSA-N,KJQFJDVYEHDEQB-UHFFFAOYSA-N,COc1cc(C=O)ccc1OCC(=O)OCC(=O)Nc1ccc(F)c(F)c1F,CCOC(=O)c1c(Cl)ccc(C=O)c1F
KJQFJDVYEHDEQB-UHFFFAOYSA-N,QLFFHGGWPDZMBB-UHFFFAOYSA-N,CCOC(=O)c1c(Cl)ccc(C=O)c1F,COc1cc(C=O)ccc1OCC(=O)OCC(=O)Nc1ccc(F)c(F)c1F
