id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,reaction_type,is_homo,xtb_optimized,error,xyz_file,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,G_donor,G_acceptor,G_xtb,dG_xtb_kcal,G_donor_gxtb,G_acceptor_gxtb,G_gxtb,dG_gxtb_kcal
WTGSGKPCVNWYDH-UHFFFAOYSA-N__RIGFHJWYJLPNLV-UHFFFAOYSA-N,WTGSGKPCVNWYDH-UHFFFAOYSA-N,RIGFHJWYJLPNLV-UHFFFAOYSA-N,O=Cc1c(F)cc(I)cc1F,O=Cc1cc(Cl)cc(Cl)c1OCC#Cc1ccc(Br)cc1,O=C(c1c(F)cc(I)cc1F)C(O)c1cc(Cl)cc(Cl)c1OCC#Cc1ccc(Br)cc1,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_WTGSGKPCVNWYDH-UHFFFAOYSA-N__RIGFHJWYJLPNLV-UHFFFAOYSA-N.xyz,-93.956519172681,-10.7276,-8.7127,2.0149,7.7512,1.6659,-4.70855,3.04265,3.643279,4.044,0.241576,-0.346959,0.102573,-0.439995,0.324164,1.810847,0.955854,1.004848,0.038262,-0.001029,0.018616,0.039291,-0.003975,-0.005204,-0.004589,0.001229,48.6245,75.9819,75.1567,9.0374,1.8977,8.6075,690.9641,22.6236,1.9808,118.5424,7.6529,,,,,,,,,,,,,,,,,-33.800509840763,-59.964729177072,-93.78455363325,-12.1201,-841.163176664585,-4259.788295910946,-5100.93987688916,7.2764
BMKJDQYHSYUDNB-UHFFFAOYSA-N__JSHUVUBBZRKPCW-UHFFFAOYSA-N,BMKJDQYHSYUDNB-UHFFFAOYSA-N,JSHUVUBBZRKPCW-UHFFFAOYSA-N,O=Cc1cccc(-c2cncc(F)c2)c1F,NC(=O)c1cccc(-c2cc(F)c(O)c(C=O)c2)c1,NC(=O)c1cccc(-c2cc(F)c(O)c(C(O)C(=O)c3cccc(-c4cncc(F)c4)c3F)c2)c1,carbo-hetero,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_BMKJDQYHSYUDNB-UHFFFAOYSA-N__JSHUVUBBZRKPCW-UHFFFAOYSA-N.xyz,-100.647131701142,-10.3768,-8.2181,2.1587,7.6695,1.3253,-4.4974,3.1721,3.188204,8.026,0.232302,-0.330909,0.099359,-0.42987,0.317256,1.8668,0.944189,1.014173,0.028584,0.00486,0.016722,0.023724,-0.002296,5.3e-05,-0.001121,-0.002349,42.9407,69.934,69.3691,5.2769,2.0053,11.1589,626.2364,22.0814,2.0845,116.0983,5.6836,,,,,,,,,,,,,,,,,-45.588330337677,-54.792273122388,-100.392351169293,-7.3718,-791.0891821298741,-919.730218205588,-1710.811487599414,4.9653
RIGFHJWYJLPNLV-UHFFFAOYSA-N__WTGSGKPCVNWYDH-UHFFFAOYSA-N,RIGFHJWYJLPNLV-UHFFFAOYSA-N,WTGSGKPCVNWYDH-UHFFFAOYSA-N,O=Cc1cc(Cl)cc(Cl)c1OCC#Cc1ccc(Br)cc1,O=Cc1c(F)cc(I)cc1F,O=C(c1cc(Cl)cc(Cl)c1OCC#Cc1ccc(Br)cc1)C(O)c1c(F)cc(I)cc1F,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_RIGFHJWYJLPNLV-UHFFFAOYSA-N__WTGSGKPCVNWYDH-UHFFFAOYSA-N.xyz,-93.957582214373,-10.885,-8.7298,2.1552,7.8403,1.6959,-4.7681,3.0722,3.700081,4.348,0.22966,-0.350739,0.112923,-0.432203,0.322788,1.810846,0.95591,1.00801,0.041766,-0.000906,0.02043,0.042672,-0.003295,-0.001122,-0.002208,-0.002173,42.1518,80.5325,76.5637,6.4042,2.779,9.4124,693.5037,22.5859,2.0193,116.9329,-12.7494,,,,,,,,,,,,,,,,,-59.964729177072,-33.800509840763,-93.78908597583,-14.9642,-4259.788295910946,-841.163176664585,-5100.944498129014,4.3765
JSHUVUBBZRKPCW-UHFFFAOYSA-N__BMKJDQYHSYUDNB-UHFFFAOYSA-N,JSHUVUBBZRKPCW-UHFFFAOYSA-N,BMKJDQYHSYUDNB-UHFFFAOYSA-N,NC(=O)c1cccc(-c2cc(F)c(O)c(C=O)c2)c1,O=Cc1cccc(-c2cncc(F)c2)c1F,NC(=O)c1cccc(-c2cc(F)c(O)c(C(=O)C(O)c3cccc(-c4cncc(F)c4)c3F)c2)c1,carbo-hetero,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_JSHUVUBBZRKPCW-UHFFFAOYSA-N__BMKJDQYHSYUDNB-UHFFFAOYSA-N.xyz,-100.64869810565,-10.5124,-8.4466,2.0658,7.6383,1.4595,-4.5489,3.0894,3.34895,9.191,0.220107,-0.391866,0.106719,-0.437069,0.321222,1.725951,0.958514,1.010273,0.040444,0.000323,0.020383,0.040121,-0.003232,-0.00331,-0.003271,7.8e-05,53.8316,71.4446,68.3744,6.1057,1.8681,9.5995,657.2473,21.6464,1.9866,117.7864,1.9429,,,,,,,,,,,,,,,,,-54.792273122388,-45.588330337677,-100.39675135413,-10.133,-919.730218205588,-791.0891821298741,-1710.814105226713,3.3227
OTJAIKJQXRCVAK-UHFFFAOYSA-N__OYDMSRQKXDHJHM-UHFFFAOYSA-N,OTJAIKJQXRCVAK-UHFFFAOYSA-N,OYDMSRQKXDHJHM-UHFFFAOYSA-N,O=Cc1cc(-c2ccc(Cl)cc2F)ccc1OC(F)(F)F,CC(C)(C)C(=O)Cc1ccccc1C=O,CC(C)(C)C(=O)Cc1ccccc1C(O)C(=O)c1cc(-c2ccc(Cl)cc2F)ccc1OC(F)(F)F,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_OTJAIKJQXRCVAK-UHFFFAOYSA-N__OYDMSRQKXDHJHM-UHFFFAOYSA-N.xyz,-109.3152039398,-10.5234,-7.7993,2.7241,7.5071,1.0406,-4.27385,3.23325,2.82468,2.198,0.246139,-0.343728,0.100893,-0.436455,0.304936,1.852574,0.943918,0.999334,0.033798,0.006839,0.020318,0.026959,-0.00071,0.002518,0.000904,-0.003228,52.847,75.4688,77.6218,5.7902,4.3243,10.8649,703.068,20.8494,4.2389,32.2292,143.3745,,,,,,,,,,,,,,,,,-65.063937688015,-43.910027900466,-108.991105503473,-10.7555,-1547.729800101426,-655.2486639917449,-2202.9715779443713,4.3211
OYDMSRQKXDHJHM-UHFFFAOYSA-N__OTJAIKJQXRCVAK-UHFFFAOYSA-N,OYDMSRQKXDHJHM-UHFFFAOYSA-N,OTJAIKJQXRCVAK-UHFFFAOYSA-N,CC(C)(C)C(=O)Cc1ccccc1C=O,O=Cc1cc(-c2ccc(Cl)cc2F)ccc1OC(F)(F)F,CC(C)(C)C(=O)Cc1ccccc1C(=O)C(O)c1cc(-c2ccc(Cl)cc2F)ccc1OC(F)(F)F,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_OYDMSRQKXDHJHM-UHFFFAOYSA-N__OTJAIKJQXRCVAK-UHFFFAOYSA-N.xyz,-109.326247598545,-10.6886,-7.6889,2.9997,7.6569,1.0159,-4.3364,3.3205,2.831556,5.214,0.230811,-0.374187,0.100201,-0.437011,0.320823,1.832086,0.921127,1.017698,0.03057,0.011139,0.020854,0.019431,-0.003346,0.006173,0.001413,-0.009519,66.9426,82.4887,74.8404,7.1353,3.7066,10.2784,667.709,21.4283,3.5696,80.258,-154.037,,,,,,,,,,,,,,,,,-43.910027900466,-65.063937688015,-108.996656867702,-14.239,-655.2486639917449,-1547.729800101426,-2202.977103623016,0.8537
UZJWAVAYEJITTM-UHFFFAOYSA-N__WSFWZJGQECFJEA-LOACHALJSA-N,UZJWAVAYEJITTM-UHFFFAOYSA-N,WSFWZJGQECFJEA-LOACHALJSA-N,CC1CN(c2cc(F)cc(C=O)c2)CC(C)N1C,CC1(C)Oc2ccc(C=O)cc2C(N2CCCC2=O)[C@@H]1O,CC1CN(c2cc(F)cc(C(=O)C(O)c3ccc4c(c3)C(N3CCCC3=O)C(O)C(C)(C)O4)c2)CC(C)N1C,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_UZJWAVAYEJITTM-UHFFFAOYSA-N__WSFWZJGQECFJEA-LOACHALJSA-N.xyz,-117.545704652952,-9.6998,-7.9123,1.7875,6.6748,0.5589,-3.61685,3.05795,2.13895,5.672,0.215343,-0.375874,0.094333,-0.445799,0.314931,1.789449,0.958753,1.002275,0.063196,0.000625,0.031911,0.062571,-0.003258,-0.002332,-0.002795,-0.000926,55.6492,68.0814,67.375,9.8167,2.2073,8.8811,816.597,20.4068,1.9861,118.1664,-5.4548,,,,,,,,,,,,,,,,,-54.081281273375,-62.945644897473,-117.040677598486,-8.6292,-829.227925783034,-976.5812884031528,-1805.799943699817,5.8173
WSFWZJGQECFJEA-LOACHALJSA-N__UZJWAVAYEJITTM-UHFFFAOYSA-N,WSFWZJGQECFJEA-LOACHALJSA-N,UZJWAVAYEJITTM-UHFFFAOYSA-N,CC1(C)Oc2ccc(C=O)cc2C(N2CCCC2=O)[C@@H]1O,CC1CN(c2cc(F)cc(C=O)c2)CC(C)N1C,CC1CN(c2cc(F)cc(C(O)C(=O)c3ccc4c(c3)C(N3CCCC3=O)C(O)C(C)(C)O4)c2)CC(C)N1C,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_WSFWZJGQECFJEA-LOACHALJSA-N__UZJWAVAYEJITTM-UHFFFAOYSA-N.xyz,-117.546528671107,-9.5678,-7.8625,1.7053,6.6701,0.5433,-3.6067,3.0634,2.123178,7.509,0.213164,-0.379531,0.09384,-0.444095,0.316674,1.775549,0.954073,1.004065,0.064256,-0.001244,0.031506,0.0655,-0.003278,-0.00263,-0.002954,-0.000648,61.5584,68.2433,67.3034,10.6653,2.1403,8.1433,816.147,20.4083,1.9878,118.2064,8.5528,,,,,,,,,,,,,,,,,-62.945644897473,-54.081281273375,-117.042159701735,-9.5592,-976.5812884031528,-829.227925783034,-1805.802355019335,4.3042
YEDYDSOHGCFFFG-UHFFFAOYSA-N__AWCVXOYRIVTIBF-UHFFFAOYSA-N,YEDYDSOHGCFFFG-UHFFFAOYSA-N,AWCVXOYRIVTIBF-UHFFFAOYSA-N,Cc1ccc(C=O)cc1-c1cc(F)cc(Cl)c1,O=Cc1ccc([N+](=O)[O-])c(F)c1S(=O)(=O)Cl,Cc1ccc(C(=O)C(O)c2ccc([N+](=O)[O-])c(F)c2S(=O)(=O)Cl)cc1-c1cc(F)cc(Cl)c1,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_YEDYDSOHGCFFFG-UHFFFAOYSA-N__AWCVXOYRIVTIBF-UHFFFAOYSA-N.xyz,-100.629874904318,-11.5499,-9.5137,2.0362,8.4253,2.668,-5.54665,2.87865,5.343707,13.201,0.217895,-0.377703,0.087179,-0.42343,0.327626,1.715794,0.919263,1.006786,0.03735,0.00821,0.02278,0.02914,-0.004242,0.003831,-0.000205,-0.008073,45.455,73.6803,70.5862,5.8638,3.4587,7.9123,677.0348,21.252,3.1372,90.6976,109.3193,,,,,,,,,,,,,,,,,-48.282509454509,-52.128774235438,-100.44732988228,-22.6193,-1174.657632347801,-1657.563428488693,-2832.193180704082,17.495
AWCVXOYRIVTIBF-UHFFFAOYSA-N__YEDYDSOHGCFFFG-UHFFFAOYSA-N,AWCVXOYRIVTIBF-UHFFFAOYSA-N,YEDYDSOHGCFFFG-UHFFFAOYSA-N,O=Cc1ccc([N+](=O)[O-])c(F)c1S(=O)(=O)Cl,Cc1ccc(C=O)cc1-c1cc(F)cc(Cl)c1,Cc1ccc(C(O)C(=O)c2ccc([N+](=O)[O-])c(F)c2S(=O)(=O)Cl)cc1-c1cc(F)cc(Cl)c1,carbo-carbo,False,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_pilot_v2/chunk_0000/xyz_prod/prod_AWCVXOYRIVTIBF-UHFFFAOYSA-N__YEDYDSOHGCFFFG-UHFFFAOYSA-N.xyz,-100.621497397575,-11.1564,-9.7966,1.3598,8.1746,2.5814,-5.378,2.7966,5.17108,9.987,0.24104,-0.288287,0.098074,-0.450358,0.333102,1.90333,0.921242,0.976154,0.020446,0.009147,0.014797,0.011299,-0.001071,0.000891,-9e-05,-0.001962,51.271,71.8808,72.78,9.0744,2.7538,8.7958,658.7152,21.5221,4.2871,31.8608,-158.2459,,,,,,,,,,,,,,,,,-52.128774235438,-48.282509454509,-100.437915488609,-16.7117,-1657.563428488693,-1174.657632347801,-2832.196445138246,15.4466
