id,smiles,xtb_optimized,error,xyz_file,G_xtb,G_gxtb,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_lap_CO,qtaim_ell_CO,canon
SXIBNWVZJGZYLS-UHFFFAOYSA-N,CC1(OC(OO1)(C2=CC=CC=C2)C(F)(F)F)CCCCC=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0000/xyz_ald/ald_SXIBNWVZJGZYLS-UHFFFAOYSA-N.xyz,-70.971984736108,-1182.024313274094,-71.184952687237,-11.1744,-7.323,3.8514,8.4594,0.0451,-4.25225,4.20715,2.148917,2.648,0.213394,-0.320719,0.066623,0.008928,0.037776,0.057695,1.923935,8.543,41.403,10.5113,2.0011,10.6478,522.4972,17.9059,,,,,,,,CC1(CCCCC=O)OOC(c2ccccc2)(C(F)(F)F)O1
FGRJXJMLVYPUJZ-WPPOKXTJSA-N,C[C@H](CC(F)(F)F)[C@H](C(=O)N)NS(=O)C(C=O)C1=CC=C(C#C1)Cl,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0002/xyz_ald/ald_FGRJXJMLVYPUJZ-WPPOKXTJSA-N.xyz,-76.87024248875,-2034.804721770471,-77.035445277539,-10.8741,-8.2797,2.5944,7.9573,1.1228,-4.54005,3.41725,3.015883,4.446,0.212392,-0.362016,0.037141,-0.000806,0.018167,0.037947,1.815855,48.3303,58.0082,7.669,2.5308,9.0052,555.3864,19.412,,,,,,,,C[C@H](CC(F)(F)F)[C@@H](NS(=O)C(C=O)c1c#cc(Cl)cc1)C(N)=O
JAJRCMNKVCBMBT-TYOAQRMGSA-N,CCCC[C@](C)(CC=O)/C=C/[C@](C)(CCC)C1=CC(=CC=C1)OC,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0003/xyz_ald/ald_JAJRCMNKVCBMBT-TYOAQRMGSA-N.xyz,-72.142799892206,-1008.721473863649,-72.557307420036,-10.196,-7.0689,3.1271,7.3668,-0.6091,-3.37885,3.98795,1.43139,2.694,0.219147,-0.33148,0.068733,0.003515,0.036124,0.065218,1.917182,18.9863,52.6282,9.2327,1.9192,10.6145,638.0098,18.8459,,,,,,,,CCCC[C@@](C)(/C=C/[C@](C)(CCC)c1cccc(OC)c1)CC=O
NYKOYPGKMRBVMF-UHFFFAOYSA-N,CCCCC(CCCC=O)C1=CC=CC=C1,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0012/xyz_ald/ald_NYKOYPGKMRBVMF-UHFFFAOYSA-N.xyz,-47.127796800284,-659.738919512885,-47.389515517294,-10.7709,-7.1659,3.605,8.0123,-0.6484,-3.68195,4.33035,1.565319,3.078,0.216285,-0.328339,0.074203,0.003772,0.038988,0.070431,1.920966,37.9956,46.4726,5.796,1.9573,10.7026,480.5096,17.834,,,,,,,,CCCCC(CCCC=O)c1ccccc1
FLVLEEHUJJXLCL-UHFFFAOYSA-N,CC1CN(CCC1O)C2=CC(=C(C=C2)C=O)C(F)(F)F,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0043/xyz_ald/ald_FLVLEEHUJJXLCL-UHFFFAOYSA-N.xyz,-63.210906246767,-1047.704682713181,-63.410509641276,-10.3537,-7.8945,2.4592,7.8247,0.4008,-4.11275,3.71195,2.278413,9.712,0.200674,-0.352185,0.04913,0.00614,0.027635,0.04299,1.825817,60.4838,50.3477,10.9665,2.0871,5.0484,458.4568,18.3437,,,,,,,,CC1CN(c2ccc(C=O)c(C(F)(F)F)c2)CCC1O
UALUTXZCJJGPGG-QFIPXVFZSA-N,C1=CC=C(C=C1)[C@@H](C(=O)NC2=CC=C(C=C2)F)OC(=O)COC3=CC=CC=C3C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0050/xyz_ald/ald_UALUTXZCJJGPGG-QFIPXVFZSA-N.xyz,-86.152148003788,-1417.817177539872,-86.40733428509,-10.4823,-8.4127,2.0696,7.6225,1.0783,-4.3504,3.2721,2.892023,9.237,0.210917,-0.357203,0.038714,0.00226,0.020487,0.036454,1.818305,60.143,53.3288,6.813,2.6224,8.6488,631.2912,20.6973,,,,,,,,O=Cc1ccccc1OCC(=O)O[C@H](C(=O)Nc1ccc(F)cc1)c1ccccc1
WEYUZICFWNMQSR-GSEOLPGOSA-N,CC(=O)O[C@@H]1CO[C@H]([C@@H]([C@H]1OC(=O)C)OC(=O)C)N2C=C(C3=C2C=CC=C3F)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round8/chunk_0055/xyz_ald/ald_WEYUZICFWNMQSR-GSEOLPGOSA-N.xyz,-93.024817588198,-1530.427144223349,-93.289255979169,-10.5274,-7.6077,2.9197,7.9842,0.668,-4.3261,3.6581,2.558041,8.946,0.206468,-0.35476,0.02621,0.005668,0.015939,0.020542,1.828964,62.2855,46.1424,10.7426,2.05,8.9518,613.3964,19.7575,,,,,,,,CC(=O)O[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)CO[C@H]1n1cc(C=O)c2c(F)cccc21
QPFMUBBUQCSFDV-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0063/xyz_ald/ald_QPFMUBBUQCSFDV-UHFFFAOYSA-N.xyz,-70.794543641,-1432.241121775712,-71.070076860712,-10.3085,-7.6243,2.6842,7.5002,0.3061,-3.90315,3.59705,2.117649,2.609,0.219797,-0.318704,0.039814,-0.001015,0.0194,0.040829,1.913694,58.91,58.5772,6.8336,4.0809,8.7381,591.8101,19.3233,,,,,,,,COc1cc(OC)nc(SC(C=O)c2ccc(C(C)(C)C)cc2)n1
VCNFKEUUFPZRCZ-UHFFFAOYSA-N,CCCCCCCCCCC#CC1=CC=CC(=C1)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0159/xyz_ald/ald_VCNFKEUUFPZRCZ-UHFFFAOYSA-N.xyz,-57.632975297499,-814.449542932296,-57.945032444219,-10.6774,-7.9067,2.7707,7.658,0.2513,-3.95465,3.70335,2.111501,5.011,0.206406,-0.339043,0.05326,0.003755,0.028508,0.049505,1.86482,50.9509,43.5508,14.7522,1.8394,13.9505,620.771,17.405,,,,,,,,CCCCCCCCCCC#Cc1cccc(C=O)c1
UQCHETQJZPBTAV-YNZXEFLISA-N,CC(C)[C@@H](C(=O)N1[C@H]2CC[C@@H](C2)[C@H]1C(=O)NC(CC(=O)O)C=O)NC(=O)C3=C(C(=CC=C3)OC)F,False,ald_embed_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COc1cccc(C(=O)N[C@H](C(=O)N2[C@H]3CC[C@@H](C3)[C@H]2C(=O)NC(C=O)CC(=O)O)C(C)C)c1F
YTDMAWAMAUCBRP-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)O)O)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0301/xyz_ald/ald_YTDMAWAMAUCBRP-UHFFFAOYSA-N.xyz,-49.231131223774,-826.252429916821,-49.346171926137,-10.9514,-8.4027,2.5487,8.3354,1.0487,-4.69205,3.64335,3.021304,2.195,0.202752,-0.378687,0.04448,0.004617,0.024549,0.039863,1.773424,46.0797,45.6153,11.697,2.3193,3.9253,409.3276,18.7539,,,,,,,,O=Cc1ccc(-c2ccc(F)cc2O)cc1O
VDMOJABOVCJHCI-UHFFFAOYSA-N,COC(=O)C1=C2CCC3=C(C=C(CCC(=C1)C=C2)C=C3)C=O,False,ald_embed_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COC(=O)c1cc2ccc1CCc1ccc(cc1C=O)CC2
NVLXGRLOWNQSEH-UHFFFAOYSA-N,CCN(C1=C(C=C(C=C1)C=O)F)C(C)COC,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0372/xyz_ald/ald_NVLXGRLOWNQSEH-UHFFFAOYSA-N.xyz,-52.572917977014,-811.00436712853,-52.787092191387,-10.0207,-7.6286,2.3921,7.5471,0.0662,-3.80665,3.74045,1.937011,6.087,0.20196,-0.359481,0.053021,0.00503,0.029025,0.047991,1.820739,64.5063,43.5246,9.6377,3.1144,5.2914,442.1791,18.0831,,,,,,,,CCN(c1ccc(C=O)cc1F)C(C)COC
OJABVAZWEVUXLW-UHFFFAOYSA-N,C1=CC(=CC(=C1)Cl)SC2=CC=C(S2)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0406/xyz_ald/ald_OJABVAZWEVUXLW-UHFFFAOYSA-N.xyz,-42.110201075178,-1755.088102550729,-42.186343734551,-10.4882,-8.26,2.2282,7.889,1.0821,-4.48555,3.40345,2.955848,3.747,0.201498,-0.353768,0.029883,0.004281,0.017082,0.025602,1.802528,58.849,43.0686,7.5887,1.8803,7.9403,423.7303,20.0797,,,,,,,,O=Cc1ccc(Sc2cccc(Cl)c2)s1
