donor_id,acceptor_id,donor_smiles,acceptor_smiles
NWLJUUPQAIUDKB-UHFFFAOYSA-N,FRPJIFDWYVCVDZ-UHFFFAOYSA-N,CCCCSC1(C=O)CCC=CO1,O=CC12OC1(Cl)C(F)=CC=C2Cl
FRPJIFDWYVCVDZ-UHFFFAOYSA-N,NWLJUUPQAIUDKB-UHFFFAOYSA-N,O=CC12OC1(Cl)C(F)=CC=C2Cl,CCCCSC1(C=O)CCC=CO1
MFRJYRMZPFBRPI-ZETCQYMHSA-N,BPSFXGOPWGQITK-OQJHAAMPSA-N,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN
BPSFXGOPWGQITK-OQJHAAMPSA-N,MFRJYRMZPFBRPI-ZETCQYMHSA-N,NCC(=O)OC[C@@H]1SC(CC=O)S[C@@H]1COC(=O)CN,NC(N)=NCCC(=O)[C@@](N)(C=O)C(=O)O
QUKYEZIWIKJNFL-UHFFFAOYSA-N,SINZAPLRMZPKMO-UHFFFAOYSA-N,O=CC#P=O,C#CC(=O)NC(O)C=O
SINZAPLRMZPKMO-UHFFFAOYSA-N,QUKYEZIWIKJNFL-UHFFFAOYSA-N,C#CC(=O)NC(O)C=O,O=CC#P=O
ROQHKWRNTPSMHC-UHFFFAOYSA-N,HVLHVNIQXNNWNH-UHFFFAOYSA-N,O=CC1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O,O=CC(OP(=O)(O)O)C(O)(O)OP(=O)(O)O
HVLHVNIQXNNWNH-UHFFFAOYSA-N,ROQHKWRNTPSMHC-UHFFFAOYSA-N,O=CC(OP(=O)(O)O)C(O)(O)OP(=O)(O)O,O=CC1CCN(C2=CC(C(F)(F)F)C=CC=C2)S1=O
MMGCUBAUXNSZDW-UMOJZNBSSA-N,RYAMCTTZOYCZAF-XQRVVYSFSA-N,C=CCOC/C=C\[C@@H](OC(C)=O)[C@@H]1O[C@@H]1C=O,N#CC1OOC(/C=C\CCCCC=O)O1
RYAMCTTZOYCZAF-XQRVVYSFSA-N,MMGCUBAUXNSZDW-UMOJZNBSSA-N,N#CC1OOC(/C=C\CCCCC=O)O1,C=CCOC/C=C\[C@@H](OC(C)=O)[C@@H]1O[C@@H]1C=O
XFAVKRDNHKFRRI-UHFFFAOYSA-N,AZILMBHGTWLNPG-UHFFFAOYSA-N,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F
AZILMBHGTWLNPG-UHFFFAOYSA-N,XFAVKRDNHKFRRI-UHFFFAOYSA-N,O=CC(F)(F)S(=O)(=O)NS(=O)(=O)C(F)(F)F,CC(C)CNC(=O)CCN(C)C(=O)C(CC=O)SF
RIJFEOICYLBHNO-UHFFFAOYSA-N,NAXMMJARHAXCCD-BQBZGAKWSA-N,O=CC12CC3CC1CC(Br)(C2)C31OCCO1,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O
NAXMMJARHAXCCD-BQBZGAKWSA-N,RIJFEOICYLBHNO-UHFFFAOYSA-N,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O,O=CC12CC3CC1CC(Br)(C2)C31OCCO1
OXSJRTPNEMJVKX-UOODXVIRSA-N,RUUYSDTWYQEVBU-UHFFFAOYSA-N,NC(C=O)[C@H]1NC(=O)[C@@H](O)[C@H]1O,O=CC(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O
RUUYSDTWYQEVBU-UHFFFAOYSA-N,OXSJRTPNEMJVKX-UOODXVIRSA-N,O=CC(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,NC(C=O)[C@H]1NC(=O)[C@@H](O)[C@H]1O
JDJXXRJSUJZYDJ-OSMVPFSASA-N,FFXUFIFANUIOHE-UHFFFAOYSA-N,CC(=O)N[C@@H](C=O)[C@@H](O)[C@@H](OS(=O)(=O)O)[C@H](O)COS(=O)(=O)O,CCOC(=O)CC1(C=O)C=CN(C(=O)OC)C=C1
FFXUFIFANUIOHE-UHFFFAOYSA-N,JDJXXRJSUJZYDJ-OSMVPFSASA-N,CCOC(=O)CC1(C=O)C=CN(C(=O)OC)C=C1,CC(=O)N[C@@H](C=O)[C@@H](O)[C@@H](OS(=O)(=O)O)[C@H](O)COS(=O)(=O)O
CNVJNWJISNFVIK-UHFFFAOYSA-N,JFSLETMSTJWRJK-UHFFFAOYSA-N,O=CC(C=S)C=[Se],O=CCSC=CF
JFSLETMSTJWRJK-UHFFFAOYSA-N,CNVJNWJISNFVIK-UHFFFAOYSA-N,O=CCSC=CF,O=CC(C=S)C=[Se]
AKYQNKFCBYNIMA-UHFFFAOYSA-N,XJCGMVKVVSVDJW-WXLQGSQKSA-N,O=CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O,COCO[C@@H]1COC(=O)/C1=C/CC(C)(C)C=O
XJCGMVKVVSVDJW-WXLQGSQKSA-N,AKYQNKFCBYNIMA-UHFFFAOYSA-N,COCO[C@@H]1COC(=O)/C1=C/CC(C)(C)C=O,O=CC(C(=O)O)N(CCN(CC(=O)O)CC(=O)O)CC(=O)O
CUAKKSHUEAVIJK-UHFFFAOYSA-N,HCTWZIFNBBCVGM-UHFFFAOYSA-N,O=CC(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(CC(F)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-],O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl
HCTWZIFNBBCVGM-UHFFFAOYSA-N,CUAKKSHUEAVIJK-UHFFFAOYSA-N,O=CC1CC2C3C1C1(Cl)C(Cl)(Cl)C3(Cl)C3(Cl)C2C13Cl,O=CC(CC(F)([N+](=O)[O-])[N+](=O)[O-])CC(CC(F)([N+](=O)[O-])[N+](=O)[O-])([N+](=O)[O-])[N+](=O)[O-]
QMFNDFRYUCCXMB-UHFFFAOYSA-N,USVGOUQDZQSQTP-ISUQUUIWSA-N,CC(C=O)(C(=O)C1CC2CN=CCC2ONN1)C(F)F,C[C@@H](O)[C@@H](C=O)[C@H]1C[C@@H](SCCN=CN)[C@H](C(=O)O)N1
USVGOUQDZQSQTP-ISUQUUIWSA-N,QMFNDFRYUCCXMB-UHFFFAOYSA-N,C[C@@H](O)[C@@H](C=O)[C@H]1C[C@@H](SCCN=CN)[C@H](C(=O)O)N1,CC(C=O)(C(=O)C1CC2CN=CCC2ONN1)C(F)F
JPMCDMYCTIBYFQ-DNVGACMVSA-N,GEIHNNGRDSIJKQ-UHFFFAOYSA-N,CC1(C)O[C@H]2O[C@@H]3C(C=O)O[C@H]4CC(=O)O[C@]43[C@H]2O1,O=CC12C3CCC1C2C(=O)C3
GEIHNNGRDSIJKQ-UHFFFAOYSA-N,JPMCDMYCTIBYFQ-DNVGACMVSA-N,O=CC12C3CCC1C2C(=O)C3,CC1(C)O[C@H]2O[C@@H]3C(C=O)O[C@H]4CC(=O)O[C@]43[C@H]2O1
CFMRKWVNFKPRPO-UHFFFAOYSA-N,DTNGNMONWHWWTD-ABXWURQFSA-N,O=CC(F)(OC(F)(F)F)OC(F)(F)OCF,C=C(Cl)/C=C\C=C(/F)C(C=O)C[C@H](CO)NC
DTNGNMONWHWWTD-ABXWURQFSA-N,CFMRKWVNFKPRPO-UHFFFAOYSA-N,C=C(Cl)/C=C\C=C(/F)C(C=O)C[C@H](CO)NC,O=CC(F)(OC(F)(F)F)OC(F)(F)OCF
XUPREIIJAMIIKC-UHFFFAOYSA-N,ROGHARRIFGXRPQ-MSZQBOFLSA-N,N#CC1=C(NC(O)CC=O)CC(Br)C(F)=C1,O=CC1C(=O)N2C=CCS[C@@H]12
ROGHARRIFGXRPQ-MSZQBOFLSA-N,XUPREIIJAMIIKC-UHFFFAOYSA-N,O=CC1C(=O)N2C=CCS[C@@H]12,N#CC1=C(NC(O)CC=O)CC(Br)C(F)=C1
FYXDAYQQMWSHPJ-GUBZILKMSA-N,KASGQADLXHJOLZ-UHFFFAOYSA-N,CC(C)C[C@H](NC(=O)[C@@H](N)COP(=O)(O)O)C(=O)N[C@@H](C)C=O,N=C(CCC=O)OC=O
KASGQADLXHJOLZ-UHFFFAOYSA-N,FYXDAYQQMWSHPJ-GUBZILKMSA-N,N=C(CCC=O)OC=O,CC(C)C[C@H](NC(=O)[C@@H](N)COP(=O)(O)O)C(=O)N[C@@H](C)C=O
SDJYUKMBNLVGAO-UHFFFAOYSA-N,PZZSGEREBXTXKH-UHFFFAOYSA-N,CC(C)C(C=O)N1CCS(=O)(=O)CC1,CC(=O)C(C=O)CCCC(S)CCS
PZZSGEREBXTXKH-UHFFFAOYSA-N,SDJYUKMBNLVGAO-UHFFFAOYSA-N,CC(=O)C(C=O)CCCC(S)CCS,CC(C)C(C=O)N1CCS(=O)(=O)CC1
ZAZPZKHHSCGKHD-UHFFFAOYSA-N,UDJJUZXDYHEJOR-UHFFFAOYSA-N,O=CC1(F)C=CC=CC1B(O)O,NCC(=O)NCC(=O)N(CC=O)C(=O)CS
UDJJUZXDYHEJOR-UHFFFAOYSA-N,ZAZPZKHHSCGKHD-UHFFFAOYSA-N,NCC(=O)NCC(=O)N(CC=O)C(=O)CS,O=CC1(F)C=CC=CC1B(O)O
ZEUCXCWFMMQKDX-UHFFFAOYSA-N,IOKAKXLETSAHHF-UHFFFAOYSA-N,O=CC1SC(=O)N=C1I,O=CC1N=CNC1=S(=O)=O
IOKAKXLETSAHHF-UHFFFAOYSA-N,ZEUCXCWFMMQKDX-UHFFFAOYSA-N,O=CC1N=CNC1=S(=O)=O,O=CC1SC(=O)N=C1I
RETKJKRUPSHACY-UHFFFAOYSA-N,NUFZJYJSCCWJMI-UHFFFAOYSA-N,CCCOP1(F)=NP(F)(CCC=O)=NP(F)(OCCC)=NP(F)(OC)=N1,O=CCN1CN(P)CCC1=O
