id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,reaction_type,is_homo,xtb_optimized,error,xyz_file,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,G_donor,G_acceptor,G_xtb,dG_xtb_kcal,G_donor_gxtb,G_acceptor_gxtb,G_gxtb,dG_gxtb_kcal
QUKYEZIWIKJNFL-UHFFFAOYSA-N__SINZAPLRMZPKMO-UHFFFAOYSA-N,QUKYEZIWIKJNFL-UHFFFAOYSA-N,SINZAPLRMZPKMO-UHFFFAOYSA-N,O=CC#P=O,C#CC(=O)NC(O)C=O,C#CC(=O)NC(O)C(O)C(=O)C#P=O,aliph-aliph,False,True,core_not_found,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_QUKYEZIWIKJNFL-UHFFFAOYSA-N__SINZAPLRMZPKMO-UHFFFAOYSA-N.xyz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SINZAPLRMZPKMO-UHFFFAOYSA-N__QUKYEZIWIKJNFL-UHFFFAOYSA-N,SINZAPLRMZPKMO-UHFFFAOYSA-N,QUKYEZIWIKJNFL-UHFFFAOYSA-N,C#CC(=O)NC(O)C=O,O=CC#P=O,C#CC(=O)NC(O)C(=O)C(O)C#P=O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_SINZAPLRMZPKMO-UHFFFAOYSA-N__QUKYEZIWIKJNFL-UHFFFAOYSA-N.xyz,-43.650813270962,-10.7907,-8.5991,2.1916,8.5704,1.131,-4.8507,3.7197,3.162794,1.425,0.221358,-0.349504,0.160126,-0.369718,0.329725,1.830071,0.930754,0.956577,0.011073,0.005133,0.008103,0.00594,-0.011615,-0.006391,-0.009003,-0.005224,92.7427,68.4885,69.3667,5.1673,3.1154,6.7052,388.2259,17.8034,4.1946,27.1535,117.1179,,,,,,,,,,,,,,,,,-28.240940651251,-15.440511105337,-43.611590030549,43.8389,-473.887373155939,-568.632904428687,-1042.39204398834,80.4678
NWLJUUPQAIUDKB-UHFFFAOYSA-N__FRPJIFDWYVCVDZ-UHFFFAOYSA-N,NWLJUUPQAIUDKB-UHFFFAOYSA-N,FRPJIFDWYVCVDZ-UHFFFAOYSA-N,CCCCSC1(C=O)CCC=CO1,O=CC12OC1(Cl)C(F)=CC=C2Cl,CCCCSC1(C(=O)C(O)C23OC2(Cl)C(F)=CC=C3Cl)CCC=CO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_NWLJUUPQAIUDKB-UHFFFAOYSA-N__FRPJIFDWYVCVDZ-UHFFFAOYSA-N.xyz,-79.391297809947,-10.1276,-8.2028,1.9248,7.7281,1.0683,-4.3982,3.3299,2.904616,4.264,0.212493,-0.336359,0.097139,-0.435549,0.32878,1.845322,0.945441,1.021228,0.044049,0.001159,0.022604,0.04289,-0.008761,-0.005539,-0.00715,-0.003222,54.0865,84.6557,83.2027,6.3452,3.1221,6.8638,548.3988,20.436,2.1453,111.9677,-13.3505,,,,,,,,,,,,,,,,,-40.74504297885,-38.381411630308,-79.151969848875,-16.0111,-939.086532203396,-1439.172471440675,-2378.263003277942,-2.5098
FRPJIFDWYVCVDZ-UHFFFAOYSA-N__NWLJUUPQAIUDKB-UHFFFAOYSA-N,FRPJIFDWYVCVDZ-UHFFFAOYSA-N,NWLJUUPQAIUDKB-UHFFFAOYSA-N,O=CC12OC1(Cl)C(F)=CC=C2Cl,CCCCSC1(C=O)CCC=CO1,CCCCSC1(C(O)C(=O)C23OC2(Cl)C(F)=CC=C3Cl)CCC=CO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_FRPJIFDWYVCVDZ-UHFFFAOYSA-N__NWLJUUPQAIUDKB-UHFFFAOYSA-N.xyz,-79.383806235121,-10.217,-8.4158,1.8012,7.7737,1.1816,-4.47765,3.29605,3.041421,4.478,0.227896,-0.297958,0.103856,-0.415851,0.313801,1.883353,0.967096,1.018484,0.057195,0.004816,0.031006,0.052379,-0.009771,-0.004934,-0.007352,-0.004837,40.6674,80.0096,80.7433,8.9395,2.7664,6.8396,560.898,20.0932,3.6963,14.7551,33.5743,,,,,,,,,,,,,,,,,-38.381411630308,-40.74504297885,-79.146809727581,-12.773,-1439.172471440675,-939.086532203396,-2378.265216508626,-3.8986
RIJFEOICYLBHNO-UHFFFAOYSA-N__NAXMMJARHAXCCD-BQBZGAKWSA-N,RIJFEOICYLBHNO-UHFFFAOYSA-N,NAXMMJARHAXCCD-BQBZGAKWSA-N,O=CC12CC3CC1CC(Br)(C2)C31OCCO1,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O,NC(CC(=O)O)C(=O)N1CCCC1C(O)C(=O)C12CC3CC1CC(Br)(C2)C31OCCO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_RIJFEOICYLBHNO-UHFFFAOYSA-N__NAXMMJARHAXCCD-BQBZGAKWSA-N.xyz,-98.26760244385,-10.3769,-7.3179,3.059,7.4587,-0.1026,-3.67805,3.78065,1.789117,6.177,0.231107,-0.374991,0.088917,-0.434309,0.316001,1.823063,0.955212,1.010936,0.077918,0.002864,0.040391,0.075054,-0.004422,0.001405,-0.001508,-0.005827,74.9507,83.8771,77.4326,6.0067,2.6712,8.4866,615.717,20.1129,2.1534,110.8218,-34.4821,,,,,,,,,,,,,,,,,-49.484730550992,-48.386819747945,-97.890275790463,-11.7504,-3265.811571242808,-761.6712949786829,-4027.487063050374,-2.6335
OXSJRTPNEMJVKX-UOODXVIRSA-N__RUUYSDTWYQEVBU-UHFFFAOYSA-N,OXSJRTPNEMJVKX-UOODXVIRSA-N,RUUYSDTWYQEVBU-UHFFFAOYSA-N,NC(C=O)[C@H]1NC(=O)[C@@H](O)[C@H]1O,O=CC(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,NC(C(=O)C(O)C(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O)C1NC(=O)C(O)C1O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_OXSJRTPNEMJVKX-UOODXVIRSA-N__RUUYSDTWYQEVBU-UHFFFAOYSA-N.xyz,-88.57092171831,-10.7945,-10.5074,0.2871,8.1262,3.4366,-5.7814,2.3448,7.127385,5.295,0.214429,-0.362844,0.09536,-0.42287,0.324826,1.824577,0.953166,1.025235,0.008236,0.007123,0.00768,0.001113,-0.002976,-0.003402,-0.003189,0.000426,28.6405,77.195,74.6203,5.9348,2.4969,8.1585,553.6732,20.9068,4.2912,33.6362,-176.0081,,,,,,,,,,,,,,,,,-39.939160385107,-48.45704675272,-88.424724563464,-17.895,-644.9974741778519,-2372.490556484535,-3017.479970856751,5.0576
NAXMMJARHAXCCD-BQBZGAKWSA-N__RIJFEOICYLBHNO-UHFFFAOYSA-N,NAXMMJARHAXCCD-BQBZGAKWSA-N,RIJFEOICYLBHNO-UHFFFAOYSA-N,N[C@@H](CC(=O)O)C(=O)N1CCC[C@H]1C=O,O=CC12CC3CC1CC(Br)(C2)C31OCCO1,NC(CC(=O)O)C(=O)N1CCCC1C(=O)C(O)C12CC3CC1CC(Br)(C2)C31OCCO1,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_NAXMMJARHAXCCD-BQBZGAKWSA-N__RIJFEOICYLBHNO-UHFFFAOYSA-N.xyz,-98.269068943502,-10.4475,-7.4579,2.9896,7.3362,-0.1646,-3.5858,3.7504,1.714212,5.155,0.219684,-0.342073,0.09168,-0.455646,0.329376,1.877948,0.957735,1.010464,0.080799,0.00846,0.044629,0.072339,-0.005823,0.000526,-0.002648,-0.006349,81.9604,79.3299,76.1083,6.6366,2.9809,8.0921,625.2372,20.1687,3.4912,83.0969,148.7053,,,,,,,,,,,,,,,,,-48.386819747945,-49.484730550992,-97.891274429386,-12.3771,-761.6712949786829,-3265.811571242808,-4027.485032704109,-1.3595
RUUYSDTWYQEVBU-UHFFFAOYSA-N__OXSJRTPNEMJVKX-UOODXVIRSA-N,RUUYSDTWYQEVBU-UHFFFAOYSA-N,OXSJRTPNEMJVKX-UOODXVIRSA-N,O=CC(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O,NC(C=O)[C@H]1NC(=O)[C@@H](O)[C@H]1O,NC(C(O)C(=O)C(Cl)C1=C(Cl)C(=O)C(Cl)=C(Cl)C1=O)C1NC(=O)C(O)C1O,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_RUUYSDTWYQEVBU-UHFFFAOYSA-N__OXSJRTPNEMJVKX-UOODXVIRSA-N.xyz,-88.566081272485,-10.9945,-10.4876,0.5069,8.1332,3.2559,-5.69455,2.43865,6.64874,3.318,0.225322,-0.338504,0.081773,-0.43244,0.32516,1.843329,0.971715,1.015585,-0.000215,0.001364,0.000575,-0.001579,-0.000596,-0.004673,-0.002635,0.004077,62.6974,75.3512,72.8569,7.8096,2.8325,5.6951,587.6722,20.2541,2.0519,114.9041,-17.2205,,,,,,,,,,,,,,,,,-48.45704675272,-39.939160385107,-88.425825561628,-18.5858,-2372.490556484535,-644.9974741778519,-3017.473466602064,9.1391
CNVJNWJISNFVIK-UHFFFAOYSA-N__JFSLETMSTJWRJK-UHFFFAOYSA-N,CNVJNWJISNFVIK-UHFFFAOYSA-N,JFSLETMSTJWRJK-UHFFFAOYSA-N,O=CC(C=S)C=[Se],O=CCSC=CF,O=C(C(C=S)C=[Se])C(O)CSC=CF,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_CNVJNWJISNFVIK-UHFFFAOYSA-N__JFSLETMSTJWRJK-UHFFFAOYSA-N.xyz,-44.138786884134,-10.1297,-9.1387,0.991,7.4523,1.9058,-4.67905,2.77325,3.947266,3.237,0.228137,-0.301094,0.0978,-0.421402,0.316026,1.864148,0.959142,1.014649,0.02462,-0.001823,0.011398,0.026443,-0.005912,-0.00266,-0.004286,-0.003252,34.4893,75.3774,70.401,6.0348,2.5753,6.5636,420.8165,19.7914,2.3016,105.208,24.2494,,,,,,,,,,,,,,,,,-20.979236108581,-23.058863005925,-44.060657337827,-14.1555,-3029.577210366451,-728.628052298056,-3758.206153971064,-0.5593
JFSLETMSTJWRJK-UHFFFAOYSA-N__CNVJNWJISNFVIK-UHFFFAOYSA-N,JFSLETMSTJWRJK-UHFFFAOYSA-N,CNVJNWJISNFVIK-UHFFFAOYSA-N,O=CCSC=CF,O=CC(C=S)C=[Se],O=C(CSC=CF)C(O)C(C=S)C=[Se],aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round2/chunk_0000/xyz_prod/prod_JFSLETMSTJWRJK-UHFFFAOYSA-N__CNVJNWJISNFVIK-UHFFFAOYSA-N.xyz,-44.137572872351,-10.0942,-8.8591,1.2351,7.3874,1.8263,-4.60685,2.78055,3.816343,3.893,0.228521,-0.343272,0.112122,-0.392419,0.31827,1.832982,0.961059,1.034023,0.026304,-0.000695,0.012804,0.026999,-0.010508,-0.01178,-0.011144,0.001272,42.1317,75.4781,74.208,4.7526,2.1299,5.1913,398.1074,20.1105,4.283,31.6475,-160.7135,,,,,,,,,,,,,,,,,-23.058863005925,-20.979236108581,-44.059483154258,-13.4187,-728.628052298056,-3029.577210366451,-3758.198964475149,3.9522
