id,donor_id,acceptor_id,pair_key,reaction_type,round,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_orca_kcal,donor_G_xtb,donor_G_gxtb,donor_xtb_energy,donor_xtb_HOMO,donor_xtb_LUMO,donor_xtb_gap,donor_xtb_IP,donor_xtb_EA,donor_xtb_mu,donor_xtb_eta,donor_xtb_omega,donor_xtb_dipole,donor_mulliken_CHO_C,donor_mulliken_CHO_O,donor_fukui_plus_CHO_C,donor_fukui_minus_CHO_C,donor_fukui_0_CHO_C,donor_dual_descriptor_CHO_C,donor_wbo_CO,donor_pa_CHO_O,donor_vbur_CHO_C,donor_sterimol_L,donor_sterimol_B1,donor_sterimol_B5,donor_SASA_total,donor_P_int,donor_bde_gxtb_kcal,acceptor_G_xtb,acceptor_G_gxtb,acceptor_xtb_energy,acceptor_xtb_HOMO,acceptor_xtb_LUMO,acceptor_xtb_gap,acceptor_xtb_IP,acceptor_xtb_EA,acceptor_xtb_mu,acceptor_xtb_eta,acceptor_xtb_omega,acceptor_xtb_dipole,acceptor_mulliken_CHO_C,acceptor_mulliken_CHO_O,acceptor_fukui_plus_CHO_C,acceptor_fukui_minus_CHO_C,acceptor_fukui_0_CHO_C,acceptor_dual_descriptor_CHO_C,acceptor_wbo_CO,acceptor_pa_CHO_O,acceptor_vbur_CHO_C,acceptor_sterimol_L,acceptor_sterimol_B1,acceptor_sterimol_B5,acceptor_SASA_total,acceptor_P_int,acceptor_bde_gxtb_kcal,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,bde_gxtb_kcal,donor_MW,donor_LogP,donor_TPSA,donor_HBD,donor_HBA,donor_RotBonds,donor_ArRings,donor_ArHetRings,donor_AlRings,donor_Rings,donor_Heteroatoms,donor_FractionCSP3,donor_BertzCT,donor_Kappa2,donor_NumStereocenters,donor_n_CHO,acceptor_MW,acceptor_LogP,acceptor_TPSA,acceptor_HBD,acceptor_HBA,acceptor_RotBonds,acceptor_ArRings,acceptor_ArHetRings,acceptor_AlRings,acceptor_Rings,acceptor_Heteroatoms,acceptor_FractionCSP3,acceptor_BertzCT,acceptor_Kappa2,acceptor_NumStereocenters,acceptor_n_CHO,product_MW,product_LogP,product_TPSA,product_HBD,product_HBA,product_RotBonds,product_ArRings,product_ArHetRings,product_AlRings,product_Rings,product_Heteroatoms,product_FractionCSP3,product_BertzCT,product_Kappa2,product_NumStereocenters,product_n_CHO,interaction_gap_HOMOd_LUMOa,interaction_fukui_match,interaction_absdiff_xtb_gap,interaction_absdiff_xtb_dipole,interaction_absdiff_sterimol_L,interaction_absdiff_sterimol_B1,interaction_absdiff_sterimol_B5,interaction_absdiff_SASA_total,interaction_absdiff_MW,interaction_absdiff_TPSA
VLGMRHYUCPZBBQ-UHFFFAOYSA-N__BASNCCKFWWUDBG-UHFFFAOYSA-N,VLGMRHYUCPZBBQ-UHFFFAOYSA-N,BASNCCKFWWUDBG-UHFFFAOYSA-N,BASNCCKFWWUDBG-UHFFFAOYSA-N__VLGMRHYUCPZBBQ-UHFFFAOYSA-N,carbo-carbo,round1,O=Cc1ccc(C(F)C(F)(F)F)cc1,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21,CC(C)(C)OC(=O)N1CCc2c(C(O)C(=O)c3ccc(C(F)C(F)(F)F)cc3)cc(F)cc21,-9.9835,3.7956,2.6520758328640883,-45.228259254242,-821.1858506784549,-45.301338930924,-11.3684,-8.5804,2.788,9.5662,0.8444,-5.2053,4.3609,3.1066,1.71,0.207099,-0.31898,0.051194,0.015079,0.033136,0.036115,1.885171,35.6246,43.4699,9.475,1.8567,3.8627,353.997,16.8046,91.816,-57.848831390063,-923.2411592411112,-58.048986365898,-10.6118,-8.1873,2.4245,8.0767,0.589,-4.33285,3.74385,2.507257,3.971,0.207025,-0.336967,0.05294,0.001645,0.027293,0.051295,1.859691,43.8496,46.5209,10.0647,2.02,7.9903,466.9194,18.1759,85.718,-103.393424160277,-10.5042,-8.6324,1.8718,7.891,1.228,-4.5595,3.3315,3.120072,6.354,0.216196,-0.354851,0.093353,-0.437742,0.318389,1.813023,0.960245,1.005186,0.058309,0.003444,0.030877,0.054865,-0.003487,0.002456,-0.000516,-0.005943,41.7814,68.018,70.5868,11.4058,1.8679,8.4778,690.656,19.4942,2.0431,115.6313,7.5927,48.54,206.138,3.072,17.07,0,1,2,1,0,0,1,5,0.222222,314.578994,3.773725,1,1,265.284,2.9358,46.61,0,3,1,1,0,1,2,5,0.428571,534.227994,4.643346,0,1,471.422,5.6125,66.84,1,4,4,2,0,1,3,10,0.391304,1060.247039,8.735424,2,0,-3.181099999999999,0.00079828226,0.3634999999999997,2.261,0.5897000000000006,0.1633,4.127600000000001,112.92239999999998,59.14599999999999,29.54
TVOLBKRLGJWPDK-UHFFFAOYSA-N__ZERWPBSFLUHNDA-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N,ZERWPBSFLUHNDA-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N__ZERWPBSFLUHNDA-UHFFFAOYSA-N,carbo-carbo,round1,CC(=O)Oc1c(F)cc(Br)cc1C=O,CC1CCCN1c1ccc(F)cc1C=O,CC(=O)Oc1c(F)cc(Br)cc1C(=O)C(O)c1cc(F)ccc1N1CCCC1C,-5.9629,3.0688,8.675322799744132,-43.265993632338,-3246.086001324176,-43.326306244556,-11.6183,-8.947,2.6713,9.126,1.4013,-5.26365,3.86235,3.586678,4.205,0.214468,-0.304792,0.044781,0.005647,0.025214,0.039134,1.8953,33.1176,46.1377,6.8499,1.7373,6.5195,384.439,18.3467,85.99,-44.387291521451,-695.334210051809,-44.560422845969,-9.9296,-7.5718,2.3578,7.6241,-0.0118,-3.80615,3.81795,1.897193,4.711,0.197273,-0.382203,0.048742,0.002907,0.025825,0.045835,1.779035,56.0817,51.3272,6.6857,2.1092,6.7044,390.1695,18.1002,88.753,-87.928532209219,-9.8599,-8.7441,1.1158,7.4194,1.3883,-4.40385,3.01555,3.215648,3.849,0.226742,-0.346198,0.095188,-0.441101,0.316297,1.824542,0.958754,1.003119,0.061876,-0.001456,0.03021,0.063332,-0.003932,-0.004448,-0.00419,0.000516,47.4853,71.7713,74.5557,8.2961,2.3833,7.1887,598.7382,21.1985,2.0415,116.621,-5.9998,53.056,261.046,2.326,43.37,0,3,2,1,0,0,1,5,0.111111,389.888611,4.323476,0,1,207.248,2.6269,20.31,0,2,2,1,0,1,2,3,0.416667,377.884911,4.007692,1,1,468.294,4.5576,66.84,1,5,5,2,0,1,3,8,0.333333,965.937547,8.586902,2,0,-4.0465,0.000275246074,0.3134999999999999,0.5060000000000002,0.16420000000000012,0.3718999999999999,0.18489999999999984,5.730500000000006,53.798,23.06
ZERWPBSFLUHNDA-UHFFFAOYSA-N__TVOLBKRLGJWPDK-UHFFFAOYSA-N,ZERWPBSFLUHNDA-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N,TVOLBKRLGJWPDK-UHFFFAOYSA-N__ZERWPBSFLUHNDA-UHFFFAOYSA-N,carbo-carbo,round1,CC1CCCN1c1ccc(F)cc1C=O,CC(=O)Oc1c(F)cc(Br)cc1C=O,CC(=O)Oc1c(F)cc(Br)cc1C(O)C(=O)c1cc(F)ccc1N1CCCC1C,-11.3458,4.7333,4.985622800435736,-44.387291521451,-695.334210051809,-44.560422845969,-9.9296,-7.5718,2.3578,7.6241,-0.0118,-3.80615,3.81795,1.897193,4.711,0.197273,-0.382203,0.048742,0.002907,0.025825,0.045835,1.779035,56.0817,51.3272,6.6857,2.1092,6.7044,390.1695,18.1002,88.753,-43.265993632338,-3246.086001324176,-43.326306244556,-11.6183,-8.947,2.6713,9.126,1.4013,-5.26365,3.86235,3.586678,4.205,0.214468,-0.304792,0.044781,0.005647,0.025214,0.039134,1.8953,33.1176,46.1377,6.8499,1.7373,6.5195,384.439,18.3467,85.99,-87.937324135524,-10.2856,-7.9437,2.3419,7.6454,0.9872,-4.3163,3.3291,2.79812,7.331,0.206264,-0.391317,0.103733,-0.438363,0.321959,1.737038,0.917347,1.022355,0.042892,0.004155,0.023523,0.038737,-0.003725,-0.004147,-0.003936,0.000422,47.3966,75.3535,71.4638,6.4431,2.1467,7.0677,594.9985,21.0999,1.9297,119.7993,8.0834,47.944,207.248,2.6269,20.31,0,2,2,1,0,1,2,3,0.416667,377.884911,4.007692,1,1,261.046,2.326,43.37,0,3,2,1,0,0,1,5,0.111111,389.888611,4.323476,0,1,468.294,4.5576,66.84,1,5,5,2,0,1,3,8,0.333333,965.937547,8.586902,2,0,-0.9826000000000015,0.000130178367,0.3134999999999999,0.5060000000000002,0.16420000000000012,0.3718999999999999,0.18489999999999984,5.730500000000006,53.798,23.06
BASNCCKFWWUDBG-UHFFFAOYSA-N__VLGMRHYUCPZBBQ-UHFFFAOYSA-N,BASNCCKFWWUDBG-UHFFFAOYSA-N,VLGMRHYUCPZBBQ-UHFFFAOYSA-N,BASNCCKFWWUDBG-UHFFFAOYSA-N__VLGMRHYUCPZBBQ-UHFFFAOYSA-N,carbo-carbo,round1,CC(C)(C)OC(=O)N1CCc2c(C=O)cc(F)cc21,O=Cc1ccc(C(F)C(F)(F)F)cc1,CC(C)(C)OC(=O)N1CCc2c(C(=O)C(O)c3ccc(C(F)C(F)(F)F)cc3)cc(F)cc21,-11.0812,4.8487,3.3172918077650566,-57.848831390063,-923.2411592411112,-58.048986365898,-10.6118,-8.1873,2.4245,8.0767,0.589,-4.33285,3.74385,2.507257,3.971,0.207025,-0.336967,0.05294,0.001645,0.027293,0.051295,1.859691,43.8496,46.5209,10.0647,2.02,7.9903,466.9194,18.1759,85.718,-45.228259254242,-821.1858506784549,-45.301338930924,-11.3684,-8.5804,2.788,9.5662,0.8444,-5.2053,4.3609,3.1066,1.71,0.207099,-0.31898,0.051194,0.015079,0.033136,0.036115,1.885171,35.6246,43.4699,9.475,1.8567,3.8627,353.997,16.8046,91.816,-103.39634508076,-10.7796,-8.4081,2.3715,8.008,1.129,-4.5685,3.4395,3.034045,6.174,0.215584,-0.368953,0.092694,-0.437093,0.31794,1.789197,0.951043,1.009009,0.057564,0.003759,0.030661,0.053805,-0.003627,-0.001716,-0.002672,-0.001911,40.4893,71.0393,67.3197,7.4997,1.8579,8.4133,688.0861,19.4522,1.9886,117.9499,-3.7916,49.702,265.284,2.9358,46.61,0,3,1,1,0,1,2,5,0.428571,534.227994,4.643346,0,1,206.138,3.072,17.07,0,1,2,1,0,0,1,5,0.222222,314.578994,3.773725,1,1,471.422,5.6125,66.84,1,4,4,2,0,1,3,10,0.391304,1060.247039,8.735424,2,0,-2.0314000000000014,8.421413e-05,0.3634999999999997,2.261,0.5897000000000006,0.1633,4.127600000000001,112.92239999999998,59.14599999999999,29.54
YJRYCFVLCSZEAG-UHFFFAOYSA-N__KYGWVVRZYPBZGT-UHFFFAOYSA-N,YJRYCFVLCSZEAG-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N__YJRYCFVLCSZEAG-UHFFFAOYSA-N,carbo-carbo,round1,CCOC(=O)CCCOc1ccc(C=O)cc1OC,CS(=O)c1cc(F)ccc1C=O,CCOC(=O)CCCOc1ccc(C(=O)C(O)c2ccc(F)cc2S(C)=O)cc1OC,-11.219,1.6909,2.874138123161053,-59.270408346804,-920.228463442905,-59.484868412198,-10.1582,-7.4886,2.6696,7.6852,0.1697,-3.92745,3.75775,2.052407,6.966,0.204298,-0.357162,0.045605,0.003624,0.024615,0.041981,1.831608,62.3472,43.6038,9.8653,2.0132,9.2231,510.8286,17.624,86.367,-36.686798758117,-957.474154557705,-36.758316221349,-10.5406,-8.6799,1.8607,8.4686,1.0067,-4.73765,3.73095,3.007991,5.274,0.201239,-0.332327,0.054951,0.003002,0.028976,0.051949,1.838367,36.8649,49.7898,7.4308,1.7669,5.4432,335.0383,18.2689,87.713,-96.289833536394,-10.39,-7.8862,2.5038,7.3669,0.7762,-4.07155,3.29535,2.51529,5.928,0.211233,-0.386511,0.088307,-0.449044,0.320394,1.759505,0.94704,1.001952,0.049191,0.003621,0.026406,0.04557,-0.004175,-0.003175,-0.003675,-0.001,55.9281,68.1408,74.0548,7.1167,2.1693,12.4009,718.1165,19.7574,1.9605,119.0202,5.939,50.163,266.293,2.2298,61.83,0,5,8,1,0,0,1,5,0.428571,427.844542,8.13043,0,1,186.207,1.3756,34.14,0,2,2,1,0,0,1,4,0.125,335.829787,3.579616,1,1,452.5,3.2101,99.13,1,7,11,2,0,0,2,9,0.363636,960.870757,11.568295,2,0,-1.4783000000000008,0.000199142424,0.8089,1.6920000000000002,2.4345,0.24629999999999996,3.7799000000000005,175.7903,80.08600000000001,27.689999999999998
CSZZRYLWAXRTNQ-UHFFFAOYSA-N__CGZGMXSLQDVXME-UHFFFAOYSA-N,CSZZRYLWAXRTNQ-UHFFFAOYSA-N,CGZGMXSLQDVXME-UHFFFAOYSA-N,CGZGMXSLQDVXME-UHFFFAOYSA-N__CSZZRYLWAXRTNQ-UHFFFAOYSA-N,carbo-carbo,round1,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br,CCN(CC)C(=O)c1cccc(OC)c1C=O,CCN(CC)C(=O)c1cccc(OC)c1C(O)C(=O)c1cccc(Cl)c1OCc1cccc(F)c1Br,-10.796,6.9352,10.276142667208417,-55.917965193787,-3823.300523761346,-56.034087538504,-11.087,-8.3456,2.7414,8.3577,1.1163,-4.737,3.6207,3.098734,4.6,0.211591,-0.324335,0.035393,0.003613,0.019503,0.03178,1.875493,46.5101,51.2754,6.8241,1.8404,7.8702,439.0599,20.7837,85.39,-51.426237781576,-785.823790222311,-51.626165900663,-10.2357,-7.8333,2.4024,7.8235,0.2157,-4.0196,3.8039,2.123766,6.717,0.210061,-0.344963,0.054595,0.00398,0.029287,0.050615,1.843311,67.7485,53.7674,6.8139,2.4585,6.5185,436.9797,18.253,61.62,-107.712862702236,-10.6789,-7.3597,3.3192,7.4287,0.5153,-3.972,3.4567,2.282059,9.776,0.240333,-0.337114,0.100979,-0.440937,0.319752,1.862105,0.949964,1.004024,0.039539,1.5e-05,0.019777,0.039524,-0.000941,0.000914,-1.4e-05,-0.001855,54.6413,74.8131,79.914,8.2446,2.7612,10.2133,702.3513,22.251,2.0759,115.7493,-1.1264,48.335,343.579,4.6331,26.3,0,2,4,2,0,0,2,5,0.071429,616.390114,6.17101,0,1,235.283,1.9897,46.61,0,3,5,1,0,0,1,4,0.384615,411.125644,6.033843,0,1,578.862,6.2275,76.07,1,5,10,3,0,0,3,9,0.259259,1264.906574,12.341977,1,0,-3.2536999999999994,0.00019725173499999998,0.33899999999999997,2.117,0.01019999999999932,0.6180999999999999,1.3516999999999992,2.0802000000000476,108.29600000000002,20.31
KYGWVVRZYPBZGT-UHFFFAOYSA-N__YJRYCFVLCSZEAG-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N,YJRYCFVLCSZEAG-UHFFFAOYSA-N,KYGWVVRZYPBZGT-UHFFFAOYSA-N__YJRYCFVLCSZEAG-UHFFFAOYSA-N,carbo-carbo,round1,CS(=O)c1cc(F)ccc1C=O,CCOC(=O)CCCOc1ccc(C=O)cc1OC,CCOC(=O)CCCOc1ccc(C(O)C(=O)c2ccc(F)cc2S(C)=O)cc1OC,-9.2562,4.8151,5.709365389103213,-36.686798758117,-957.474154557705,-36.758316221349,-10.5406,-8.6799,1.8607,8.4686,1.0067,-4.73765,3.73095,3.007991,5.274,0.201239,-0.332327,0.054951,0.003002,0.028976,0.051949,1.838367,36.8649,49.7898,7.4308,1.7669,5.4432,335.0383,18.2689,87.713,-59.270408346804,-920.228463442905,-59.484868412198,-10.1582,-7.4886,2.6696,7.6852,0.1697,-3.92745,3.75775,2.052407,6.966,0.204298,-0.357162,0.045605,0.003624,0.024615,0.041981,1.831608,62.3472,43.6038,9.8653,2.0132,9.2231,510.8286,17.624,86.367,-96.284573726677,-10.1901,-8.4877,1.7024,7.2617,1.1986,-4.23015,3.03155,2.951323,6.418,0.210694,-0.37299,0.096833,-0.43565,0.314806,1.753355,0.965774,1.005697,0.060413,0.00145,0.030932,0.058963,-0.003694,-0.001856,-0.002775,-0.001838,54.7986,74.6646,67.4571,9.9602,2.467,11.1074,723.4567,19.6599,2.0807,114.2324,-8.9039,43.301,186.207,1.3756,34.14,0,2,2,1,0,0,1,4,0.125,335.829787,3.579616,1,1,266.293,2.2298,61.83,0,5,8,1,0,0,1,5,0.428571,427.844542,8.13043,0,1,452.5,3.2101,99.13,1,7,11,2,0,0,2,9,0.363636,960.870757,11.568295,2,0,-3.0519999999999996,0.00013690620999999998,0.8089,1.6920000000000002,2.4345,0.24629999999999996,3.7799000000000005,175.7903,80.08600000000001,27.689999999999998
CGZGMXSLQDVXME-UHFFFAOYSA-N__CSZZRYLWAXRTNQ-UHFFFAOYSA-N,CGZGMXSLQDVXME-UHFFFAOYSA-N,CSZZRYLWAXRTNQ-UHFFFAOYSA-N,CGZGMXSLQDVXME-UHFFFAOYSA-N__CSZZRYLWAXRTNQ-UHFFFAOYSA-N,carbo-carbo,round1,CCN(CC)C(=O)c1cccc(OC)c1C=O,O=Cc1cccc(Cl)c1OCc1cccc(F)c1Br,CCN(CC)C(=O)c1cccc(OC)c1C(=O)C(O)c1cccc(Cl)c1OCc1cccc(F)c1Br,-12.9892,2.8983,5.159264277122261,-51.426237781576,-785.823790222311,-51.626165900663,-10.2357,-7.8333,2.4024,7.8235,0.2157,-4.0196,3.8039,2.123766,6.717,0.210061,-0.344963,0.054595,0.00398,0.029287,0.050615,1.843311,67.7485,53.7674,6.8139,2.4585,6.5185,436.9797,18.253,61.62,-55.917965193787,-3823.300523761346,-56.034087538504,-11.087,-8.3456,2.7414,8.3577,1.1163,-4.737,3.6207,3.098734,4.6,0.211591,-0.324335,0.035393,0.003613,0.019503,0.03178,1.875493,46.5101,51.2754,6.8241,1.8404,7.8702,439.0599,20.7837,85.39,-107.715818686715,-10.6132,-7.95,2.6632,7.4343,0.9902,-4.21225,3.22205,2.753379,7.53,0.225787,-0.374849,0.100315,-0.451063,0.318611,1.78236,0.959642,0.997194,0.045767,0.000256,0.023012,0.045511,-0.00376,-0.00232,-0.00304,-0.00144,69.3425,77.0534,76.1578,11.1553,3.4374,6.1118,713.0614,21.9619,1.9836,118.2944,-8.7971,26.006,235.283,1.9897,46.61,0,3,5,1,0,0,1,4,0.384615,411.125644,6.033843,0,1,343.579,4.6331,26.3,0,2,4,2,0,0,2,5,0.071429,616.390114,6.17101,0,1,578.862,6.2275,76.07,1,5,10,3,0,0,3,9,0.259259,1264.906574,12.341977,1,0,-1.8901000000000003,0.00014086414,0.33899999999999997,2.117,0.01019999999999932,0.6180999999999999,1.3516999999999992,2.0802000000000476,108.29600000000002,20.31
STVKLDJOQMLOCU-UHFFFAOYSA-N__LOXNXPSCZLFRJT-AATRIKPKSA-N,STVKLDJOQMLOCU-UHFFFAOYSA-N,LOXNXPSCZLFRJT-AATRIKPKSA-N,LOXNXPSCZLFRJT-AATRIKPKSA-N__STVKLDJOQMLOCU-UHFFFAOYSA-N,carbo-carbo,round1,N#Cc1ccc(C(=O)CBr)c(F)c1C=O,O=Cc1ccc(/C=C/C(=O)F)cc1,N#Cc1ccc(C(=O)CBr)c(F)c1C(=O)C(O)c1ccc(C=CC(=O)F)cc1,-11.897,4.6388,4.070272027099592,-43.688820599892,-3263.0969906230243,-43.742704337114,-11.7409,-9.4345,2.3064,9.1427,2.1695,-5.6561,3.4866,4.587774,4.906,0.214695,-0.297646,0.022282,0.008647,0.015464,0.013635,1.897525,31.7802,47.6542,7.3197,1.918,5.8762,385.889,19.0705,79.571,-37.714777846768,-635.5145042264,-37.792698975262,-11.373,-9.2192,2.1538,9.1993,1.9918,-5.59555,3.60375,4.344111,2.966,0.20623,-0.322218,0.025569,0.011291,0.01843,0.014278,1.878328,39.8232,43.4949,10.5468,1.7016,3.4465,363.8182,17.3931,81.764,-81.578351114147,-11.3315,-9.3612,1.9703,8.3718,2.6339,-5.50285,2.86895,5.277429,6.945,0.248655,-0.313006,0.100586,-0.440269,0.304979,1.899682,0.934613,0.998868,0.000874,0.01049,0.005682,-0.009616,-0.003203,0.004194,0.000495,-0.007397,30.8978,73.0496,72.1883,6.0227,3.1808,10.0364,626.4881,20.2316,4.305,31.5945,170.8895,30.945,270.057,2.08748,57.93,0,3,3,1,0,0,1,5,0.1,465.225572,4.802019,0,1,178.162,2.0084,34.14,0,2,3,1,0,0,1,3,0.0,338.447308,4.30397,0,1,448.219,3.70058,95.23,1,5,7,2,0,0,2,8,0.1,1010.101135,9.260094,1,0,-2.521699999999999,0.000221095143,0.15260000000000007,1.9399999999999995,3.227099999999999,0.21639999999999993,2.4297,22.07080000000002,91.89500000000001,23.79
LOXNXPSCZLFRJT-AATRIKPKSA-N__STVKLDJOQMLOCU-UHFFFAOYSA-N,LOXNXPSCZLFRJT-AATRIKPKSA-N,STVKLDJOQMLOCU-UHFFFAOYSA-N,LOXNXPSCZLFRJT-AATRIKPKSA-N__STVKLDJOQMLOCU-UHFFFAOYSA-N,carbo-carbo,round1,O=Cc1ccc(/C=C/C(=O)F)cc1,N#Cc1ccc(C(=O)CBr)c(F)c1C=O,N#Cc1ccc(C(=O)CBr)c(F)c1C(O)C(=O)c1ccc(C=CC(=O)F)cc1,-13.9543,-1.2924,0.346464381770857,-37.714777846768,-635.5145042264,-37.792698975262,-11.373,-9.2192,2.1538,9.1993,1.9918,-5.59555,3.60375,4.344111,2.966,0.20623,-0.322218,0.025569,0.011291,0.01843,0.014278,1.878328,39.8232,43.4949,10.5468,1.7016,3.4465,363.8182,17.3931,81.764,-43.688820599892,-3263.0969906230243,-43.742704337114,-11.7409,-9.4345,2.3064,9.1427,2.1695,-5.6561,3.4866,4.587774,4.906,0.214695,-0.297646,0.022282,0.008647,0.015464,0.013635,1.897525,31.7802,47.6542,7.3197,1.918,5.8762,385.889,19.0705,79.571,-81.58955726161,-11.7154,-9.2653,2.4501,8.7137,2.6563,-5.685,3.0287,5.335495,3.205,0.218818,-0.346549,0.108084,-0.434531,0.326669,1.815869,0.940383,1.011174,0.015,0.007834,0.011417,0.007166,-0.003568,0.003801,0.000117,-0.007369,38.1394,70.6415,71.6217,6.2199,2.0113,9.9021,579.986,21.4829,1.9905,117.8052,-7.5366,41.118,178.162,2.0084,34.14,0,2,3,1,0,0,1,3,0.0,338.447308,4.30397,0,1,270.057,2.08748,57.93,0,3,3,1,0,0,1,5,0.1,465.225572,4.802019,0,1,448.219,3.70058,95.23,1,5,7,2,0,0,2,8,0.1,1010.101135,9.260094,1,0,-1.9384999999999994,0.000251586062,0.15260000000000007,1.9399999999999995,3.227099999999999,0.21639999999999993,2.4297,22.07080000000002,91.89500000000001,23.79
