id,donor_id,acceptor_id,donor_smiles,acceptor_smiles,smiles,reaction_type,is_homo,xtb_optimized,error,xyz_file,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_ketC,mulliken_ketO,mulliken_carbC,mulliken_hydO,mulliken_hydH,wbo_CO_ket,wbo_CC_new,wbo_CO_carb,fukui_plus_ketC,fukui_minus_ketC,fukui_0_ketC,dual_ketC,fukui_plus_carbC,fukui_minus_carbC,fukui_0_carbC,dual_carbC,pa_ketO,vbur_ketC,vbur_carbC,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,hb_dist,hb_angle,dih_core,adch_ketC,adch_ketO,adch_carbC,adch_hydO,adch_hydH,adch_fukui_plus_ketC,adch_fukui_minus_ketC,adch_fukui_plus_carbC,adch_fukui_minus_carbC,qtaim_rho_CO_ket,qtaim_lap_CO_ket,qtaim_ell_CO_ket,qtaim_rho_CC_new,qtaim_lap_CC_new,qtaim_ell_CC_new,qtaim_rho_HB,G_donor,G_acceptor,G_xtb,dG_xtb_kcal,G_donor_gxtb,G_acceptor_gxtb,G_gxtb,dG_gxtb_kcal
PDSNPQYPZZVXBJ-OQRDJCCKSA-N__RLTNSYDXJNKKKX-ONEXVHNNSA-N,PDSNPQYPZZVXBJ-OQRDJCCKSA-N,RLTNSYDXJNKKKX-ONEXVHNNSA-N,C1CN(CC2=C1SC=N2)C(C=O)[C@](CC3CC(=O)NCC3(F)F)(C4=CC=C(C=C4)F)N,COC1=CC2=C(C=CN=C2C=C1)C(CC=O)[C@H]3CCN(C[C@@H]3C(=O)O)CC#CC4=CC(=CC=C4)F,COc1ccc2nccc(C(CC(O)C(=O)C(N3CCc4scnc4C3)C(N)(CC3CC(=O)NCC3(F)F)c3ccc(F)cc3)C3CCN(CC#Cc4cccc(F)c4)CC3C(=O)O)c2c1,hetero-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_PDSNPQYPZZVXBJ-OQRDJCCKSA-N__RLTNSYDXJNKKKX-ONEXVHNNSA-N.xyz,-194.568272562016,-9.7682,-7.8336,1.9346,6.5633,1.3645,-3.9639,2.5994,3.022333,7.123,0.216007,-0.375386,0.094525,-0.448247,0.302833,1.815286,0.959337,0.996476,0.031213,0.005501,0.018357,0.025712,-0.001681,0.000558,-0.000561,-0.002239,52.8346,87.5658,80.3671,9.7936,5.6138,14.3959,1204.7168,22.3332,4.2689,34.6532,-161.8344,,,,,,,,,,,,,,,,,-93.676466723428,-100.163205723455,-193.846404193364,-4.2242,-1881.009456656047,-1593.076296462429,-3474.069923133381,9.9335
RLTNSYDXJNKKKX-ONEXVHNNSA-N__PDSNPQYPZZVXBJ-OQRDJCCKSA-N,RLTNSYDXJNKKKX-ONEXVHNNSA-N,PDSNPQYPZZVXBJ-OQRDJCCKSA-N,COC1=CC2=C(C=CN=C2C=C1)C(CC=O)[C@H]3CCN(C[C@@H]3C(=O)O)CC#CC4=CC(=CC=C4)F,C1CN(CC2=C1SC=N2)C(C=O)[C@](CC3CC(=O)NCC3(F)F)(C4=CC=C(C=C4)F)N,COc1ccc2nccc(C(CC(=O)C(O)C(N3CCc4scnc4C3)C(N)(CC3CC(=O)NCC3(F)F)c3ccc(F)cc3)C3CCN(CC#Cc4cccc(F)c4)CC3C(=O)O)c2c1,hetero-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_RLTNSYDXJNKKKX-ONEXVHNNSA-N__PDSNPQYPZZVXBJ-OQRDJCCKSA-N.xyz,-194.577639609326,-9.7656,-7.5852,2.1804,6.538,1.1454,-3.8417,2.6963,2.736835,4.072,0.216589,-0.36877,0.082317,-0.453984,0.315578,1.844741,0.950579,1.010043,0.016863,0.002145,0.009504,0.014718,6.5e-05,0.00278,0.001422,-0.002715,91.2905,77.9433,89.6507,9.5836,4.9485,8.9431,1120.0058,22.9061,3.5991,76.8734,-146.4941,,,,,,,,,,,,,,,,,-100.163205723455,-93.676466723428,-193.853056825915,-8.3988,-1593.076296462429,-1881.009456656047,-3474.084337416404,0.8884
WDFPNKKEOXMBHU-ISKFKSNPSA-N__YMGAAERJVJBNLM-UHFFFAOYSA-N,WDFPNKKEOXMBHU-ISKFKSNPSA-N,YMGAAERJVJBNLM-UHFFFAOYSA-N,CC1=C(C=C(C=C1)F)[C@@H](C2=CC3=C(C=C2)N(N=C3)C4=CC=C(C=C4)F)[C@@H](C=O)NC(=O)C(C)(F)F,CCOC(=O)C(C=O)C(=O)C1=CC=CC=C1,CCOC(=O)C(C(=O)c1ccccc1)C(O)C(=O)C(NC(=O)C(C)(F)F)C(c1ccc2c(cnn2-c2ccc(F)cc2)c1)c1cc(F)ccc1C,carbo-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_WDFPNKKEOXMBHU-ISKFKSNPSA-N__YMGAAERJVJBNLM-UHFFFAOYSA-N.xyz,-150.340218672625,-10.4918,-8.4301,2.0617,7.378,1.4758,-4.4269,2.9511,3.320363,4.985,0.225909,-0.365322,0.110404,-0.439109,0.326639,1.810525,0.950172,1.023687,-0.00485,-0.000182,-0.002516,-0.004668,-0.004424,0.002769,-0.000827,-0.007193,73.8292,82.2849,78.4412,8.2078,3.2837,10.7393,911.7079,22.105,2.0286,117.1337,-8.3224,,,,,,,,,,,,,,,,,-101.929013912495,-47.904395382717,-149.856452465242,-14.4598,-1717.2824520028262,-765.2766400449369,-2482.5616750355566,-1.6208
YMGAAERJVJBNLM-UHFFFAOYSA-N__WDFPNKKEOXMBHU-ISKFKSNPSA-N,YMGAAERJVJBNLM-UHFFFAOYSA-N,WDFPNKKEOXMBHU-ISKFKSNPSA-N,CCOC(=O)C(C=O)C(=O)C1=CC=CC=C1,CC1=C(C=C(C=C1)F)[C@@H](C2=CC3=C(C=C2)N(N=C3)C4=CC=C(C=C4)F)[C@@H](C=O)NC(=O)C(C)(F)F,CCOC(=O)C(C(=O)c1ccccc1)C(=O)C(O)C(NC(=O)C(C)(F)F)C(c1ccc2c(cnn2-c2ccc(F)cc2)c1)c1cc(F)ccc1C,carbo-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_YMGAAERJVJBNLM-UHFFFAOYSA-N__WDFPNKKEOXMBHU-ISKFKSNPSA-N.xyz,-150.342378597086,-10.4065,-8.2923,2.1142,7.3734,1.3265,-4.34995,3.02345,3.129217,3.212,0.229589,-0.351465,0.083281,-0.440529,0.320845,1.841613,0.971671,1.013481,0.018497,-0.000289,0.009104,0.018786,-0.002842,0.001265,-0.000788,-0.004107,55.6237,74.445,79.447,9.0605,2.8219,11.4214,901.658,22.4089,2.0648,115.3802,-6.1971,,,,,,,,,,,,,,,,,-47.904395382717,-101.929013912495,-149.859893845899,-16.6193,-765.2766400449369,-1717.2824520028262,-2482.565542741795,-4.0479
CCUDDGILZHGIKO-UHFFFAOYSA-N__AMBXEXQOFSWBOL-WDEREUQCSA-N,CCUDDGILZHGIKO-UHFFFAOYSA-N,AMBXEXQOFSWBOL-WDEREUQCSA-N,CC1=CC2=C(C=C1)C(=CN2CC(=O)N(CC(=O)NCC3=C(C(=CC=C3)Cl)F)C4CC4)CC=O,CS(=O)(=O)C1=CC=CC(=C1)C(=O)N2C[C@H](C[C@@H]2C=O)F,Cc1ccc2c(CC(=O)C(O)C3CC(F)CN3C(=O)c3cccc(S(C)(=O)=O)c3)cn(CC(=O)N(CC(=O)NCc3cccc(Cl)c3F)C3CC3)c2c1,carbo-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_CCUDDGILZHGIKO-UHFFFAOYSA-N__AMBXEXQOFSWBOL-WDEREUQCSA-N.xyz,-158.764226188895,-9.9307,-7.5768,2.3539,6.9643,0.9204,-3.94235,3.02195,2.571539,5.973,0.220995,-0.362438,0.083129,-0.435603,0.313159,1.839603,0.958812,1.010037,0.048066,0.003014,0.02554,0.045052,-0.001294,0.001268,-1.3e-05,-0.002562,58.2234,69.1384,77.4617,7.5299,2.2075,14.3282,838.5371,24.1999,2.1329,113.1526,33.0768,,,,,,,,,,,,,,,,,-96.222389696405,-61.955890460527,-158.207940907997,-18.6124,-1917.358597605982,-1357.364105076228,-3274.730432255729,-4.8504
AMBXEXQOFSWBOL-WDEREUQCSA-N__CCUDDGILZHGIKO-UHFFFAOYSA-N,AMBXEXQOFSWBOL-WDEREUQCSA-N,CCUDDGILZHGIKO-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=CC(=C1)C(=O)N2C[C@H](C[C@@H]2C=O)F,CC1=CC2=C(C=C1)C(=CN2CC(=O)N(CC(=O)NCC3=C(C(=CC=C3)Cl)F)C4CC4)CC=O,Cc1ccc2c(CC(O)C(=O)C3CC(F)CN3C(=O)c3cccc(S(C)(=O)=O)c3)cn(CC(=O)N(CC(=O)NCc3cccc(Cl)c3F)C3CC3)c2c1,carbo-hetero,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_AMBXEXQOFSWBOL-WDEREUQCSA-N__CCUDDGILZHGIKO-UHFFFAOYSA-N.xyz,-158.753583894492,-10.0323,-7.5012,2.5311,7.1012,0.9686,-4.0349,3.0663,2.654733,4.116,0.218824,-0.345162,0.09089,-0.434804,0.3114,1.855856,0.97387,1.01132,0.035674,0.001407,0.01854,0.034267,-0.001641,0.003881,0.00112,-0.005522,68.0076,75.8299,70.7999,7.1044,2.595,12.4521,852.277,24.6302,2.2059,109.2481,20.8067,,,,,,,,,,,,,,,,,-61.955890460527,-96.222389696405,-158.196912825156,-11.6922,-1357.364105076228,-1917.358597605982,-3274.7247065056304,-1.2574
XROVQIBADZWZNW-DBVGBIOKSA-N__RCHOPSHIJGFBNF-UHFFFAOYSA-N,XROVQIBADZWZNW-DBVGBIOKSA-N,RCHOPSHIJGFBNF-UHFFFAOYSA-N,C([C@H]([C@H]([C@@H](C(=O)C(=O)O[C@H](C=O)[C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O)O)O,C1CCC(CC1)C(C=O)(F)F,O=C(OC(C(=O)C(O)C(F)(F)C1CCCCC1)C(O)C(O)C(O)C(=O)O)C(=O)C(O)C(O)C(O)CO,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_XROVQIBADZWZNW-DBVGBIOKSA-N__RCHOPSHIJGFBNF-UHFFFAOYSA-N.xyz,-124.541132583614,-10.9256,-8.598,2.3276,7.8906,1.245,-4.5678,3.3228,3.139641,4.334,0.231143,-0.322673,0.07942,-0.436825,0.328063,1.871741,0.949569,1.018803,0.026212,0.003698,0.014955,0.022514,-0.004943,0.001434,-0.001755,-0.006377,52.6384,86.4075,81.0765,8.8676,3.9039,7.7226,697.5595,19.2452,3.5352,80.7383,146.4678,,,,,,,,,,,,,,,,,-87.506368804929,-36.643791583374,-124.179720360603,-18.5492,-1445.919706213221,-586.867351426938,-2032.7868879651207,0.1065
RCHOPSHIJGFBNF-UHFFFAOYSA-N__XROVQIBADZWZNW-DBVGBIOKSA-N,RCHOPSHIJGFBNF-UHFFFAOYSA-N,XROVQIBADZWZNW-DBVGBIOKSA-N,C1CCC(CC1)C(C=O)(F)F,C([C@H]([C@H]([C@@H](C(=O)C(=O)O[C@H](C=O)[C@H]([C@@H]([C@@H](C(=O)O)O)O)O)O)O)O)O,O=C(OC(C(O)C(=O)C(F)(F)C1CCCCC1)C(O)C(O)C(O)C(=O)O)C(=O)C(O)C(O)C(O)CO,aliph-aliph,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_RCHOPSHIJGFBNF-UHFFFAOYSA-N__XROVQIBADZWZNW-DBVGBIOKSA-N.xyz,-124.536223384205,-10.9787,-8.5249,2.4538,7.8647,1.4322,-4.64845,3.21625,3.359205,6.036,0.198621,-0.291684,0.099537,-0.423402,0.340743,1.899675,0.955105,1.034934,0.044352,0.008076,0.026214,0.036276,-0.001399,0.002942,0.000772,-0.004341,43.03,79.8529,78.1011,9.8136,2.7943,6.9843,718.3784,19.0676,2.6168,86.6775,20.7026,,,,,,,,,,,,,,,,,-36.643791583374,-87.506368804929,-124.17268672548,-14.1355,-586.867351426938,-1445.919706213221,-2032.785787851569,0.7968
YMLIMMRAIOJFDV-UHFFFAOYSA-N__INCHBXPFPMUWBW-YMNIQAILSA-N,YMLIMMRAIOJFDV-UHFFFAOYSA-N,INCHBXPFPMUWBW-YMNIQAILSA-N,CC(CC1=C(C=C(C=C1)CC(=O)O)C(F)(F)F)C=O,C1[C@@H](OC(N1C2=CC(=C(C=C2)Br)F)C=O)CN,CC(Cc1ccc(CC(=O)O)cc1C(F)(F)F)C(=O)C(O)C1OC(CN)CN1c1ccc(Br)c(F)c1,carbo-carbo,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_YMLIMMRAIOJFDV-UHFFFAOYSA-N__INCHBXPFPMUWBW-YMNIQAILSA-N.xyz,-113.36851249826,-10.241,-7.5393,2.7017,7.275,0.6877,-3.98135,3.29365,2.406319,14.298,0.214627,-0.351236,0.076109,-0.4381,0.312912,1.859876,0.948314,1.017496,0.044765,0.005952,0.025358,0.038813,-0.003342,0.003933,0.000295,-0.007275,49.4364,72.6327,74.6797,7.4466,5.0708,11.5776,767.8762,20.0579,3.924,61.4789,-171.8528,,,,,,,,,,,,,,,,,-60.72140690301,-52.301319214333,-113.046517623806,-14.9294,-1028.357268221899,-3360.051262378731,-4388.406115090925,1.5158
INCHBXPFPMUWBW-YMNIQAILSA-N__YMLIMMRAIOJFDV-UHFFFAOYSA-N,INCHBXPFPMUWBW-YMNIQAILSA-N,YMLIMMRAIOJFDV-UHFFFAOYSA-N,C1[C@@H](OC(N1C2=CC(=C(C=C2)Br)F)C=O)CN,CC(CC1=C(C=C(C=C1)CC(=O)O)C(F)(F)F)C=O,CC(Cc1ccc(CC(=O)O)cc1C(F)(F)F)C(O)C(=O)C1OC(CN)CN1c1ccc(Br)c(F)c1,carbo-carbo,False,True,,/gpfs/scratch1/shared/schen3/benzoin-dg/data/cross_benzoin/cross_round3/chunk_0000/xyz_prod/prod_INCHBXPFPMUWBW-YMNIQAILSA-N__YMLIMMRAIOJFDV-UHFFFAOYSA-N.xyz,-113.374372854682,-10.2444,-8.0393,2.2051,7.3469,0.9265,-4.1367,3.2102,2.665299,7.568,0.208098,-0.335509,0.094725,-0.430808,0.312368,1.868068,0.979307,1.010215,0.056714,0.006532,0.031623,0.050182,-0.001691,0.002404,0.000356,-0.004095,51.8304,75.4135,80.741,6.6736,2.9999,9.7328,688.527,21.4536,2.3258,106.4706,-30.1689,,,,,,,,,,,,,,,,,-52.301319214333,-60.72140690301,-113.041720885418,-11.9194,-3360.051262378731,-1028.357268221899,-4388.40460028109,2.4663
