donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_reaction_id,source_pair_id,split,orientation,class_pair
BWJSMKGMDWWJQW-UHFFFAOYSA-N,UMVGOWJRELGYOW-HNNXBMFYSA-N,C1=CC(=C(C=C1C(CC=O)O)F)F,C1=CC=C(C=C1)[C@H](CC=O)C(=O)C2=CC=CC=C2,CBZ3-R-77F2D9E07714CCCE-AB,CBZ3-P-77F2D9E07714CCCE,train,A_donor_B_acceptor,aliphatic__aliphatic
UMVGOWJRELGYOW-HNNXBMFYSA-N,BWJSMKGMDWWJQW-UHFFFAOYSA-N,C1=CC=C(C=C1)[C@H](CC=O)C(=O)C2=CC=CC=C2,C1=CC(=C(C=C1C(CC=O)O)F)F,CBZ3-R-77F2D9E07714CCCE-BA,CBZ3-P-77F2D9E07714CCCE,train,B_donor_A_acceptor,aliphatic__aliphatic
BLJULVUCHHIEPE-UHFFFAOYSA-N,UASSRPRGZFOECO-UHFFFAOYSA-N,CCCCC(=O)C(C)(C=O)C1=CN(N=C1C(F)F)C,CS(=NC#N)C(C=O)C1=CN=C(S1)C(F)(F)F,CBZ3-R-99E9F5F8EC6633F4-AB,CBZ3-P-99E9F5F8EC6633F4,train,A_donor_B_acceptor,aliphatic__aliphatic
UASSRPRGZFOECO-UHFFFAOYSA-N,BLJULVUCHHIEPE-UHFFFAOYSA-N,CS(=NC#N)C(C=O)C1=CN=C(S1)C(F)(F)F,CCCCC(=O)C(C)(C=O)C1=CN(N=C1C(F)F)C,CBZ3-R-99E9F5F8EC6633F4-BA,CBZ3-P-99E9F5F8EC6633F4,train,B_donor_A_acceptor,aliphatic__aliphatic
QCWAWDWIVITXQT-BKUYFWCQSA-N,SDHYCPHVJTZWAR-UHFFFAOYSA-N,CC\1=C(C2=C(/C1=C\C3=CC=C(CC=C3)SC)C=CC(=C2)F)CCC=O,C1C(C(C2=C(O1)C=C(C=C2)C(F)(F)F)C=O)(F)F,CBZ3-R-09219EF5F0FE5867-AB,CBZ3-P-09219EF5F0FE5867,train,A_donor_B_acceptor,aliphatic__aliphatic
SDHYCPHVJTZWAR-UHFFFAOYSA-N,QCWAWDWIVITXQT-BKUYFWCQSA-N,C1C(C(C2=C(O1)C=C(C=C2)C(F)(F)F)C=O)(F)F,CC\1=C(C2=C(/C1=C\C3=CC=C(CC=C3)SC)C=CC(=C2)F)CCC=O,CBZ3-R-09219EF5F0FE5867-BA,CBZ3-P-09219EF5F0FE5867,train,B_donor_A_acceptor,aliphatic__aliphatic
LKNWBEJTASVZQD-UHFFFAOYSA-N,SFOYFBWVCVYGDC-UHFFFAOYSA-N,CC(C)OC1=CC(=C(C=C1)S(=O)(=O)N2CCC(C2)C3=CN(C4=C3C=CC=N4)CC=O)F,CC1=C(C=CC(=C1)F)N(CC=O)C(=O)CCl,CBZ3-R-4E8001E7881DE60D-AB,CBZ3-P-4E8001E7881DE60D,train,A_donor_B_acceptor,aliphatic__aliphatic
SFOYFBWVCVYGDC-UHFFFAOYSA-N,LKNWBEJTASVZQD-UHFFFAOYSA-N,CC1=C(C=CC(=C1)F)N(CC=O)C(=O)CCl,CC(C)OC1=CC(=C(C=C1)S(=O)(=O)N2CCC(C2)C3=CN(C4=C3C=CC=N4)CC=O)F,CBZ3-R-4E8001E7881DE60D-BA,CBZ3-P-4E8001E7881DE60D,train,B_donor_A_acceptor,aliphatic__aliphatic
CILFLPRXWLJKOY-UHFFFAOYSA-N,JFKMZMDJBGRFFI-UHFFFAOYSA-N,CNC(=O)C(CC=O)C1=CN=CC=C1,CCOC1=C(C=CC(=C1)C(C)C=O)F,CBZ3-R-01BDCEE2120D2953-AB,CBZ3-P-01BDCEE2120D2953,train,A_donor_B_acceptor,aliphatic__aliphatic
JFKMZMDJBGRFFI-UHFFFAOYSA-N,CILFLPRXWLJKOY-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)C(C)C=O)F,CNC(=O)C(CC=O)C1=CN=CC=C1,CBZ3-R-01BDCEE2120D2953-BA,CBZ3-P-01BDCEE2120D2953,train,B_donor_A_acceptor,aliphatic__aliphatic
