donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_reaction_id,source_pair_id,split,orientation,class_pair
CILFLPRXWLJKOY-UHFFFAOYSA-N,JFKMZMDJBGRFFI-UHFFFAOYSA-N,CNC(=O)C(CC=O)C1=CN=CC=C1,CCOC1=C(C=CC(=C1)C(C)C=O)F,CBZ3-R-01BDCEE2120D2953-AB,CBZ3-P-01BDCEE2120D2953,train,A_donor_B_acceptor,aliphatic__aliphatic
XZEQIAGJOCYCRH-UHFFFAOYSA-N,IOSCKLADEVIAGB-LURJTMIESA-N,C1C(NC(CO1)(CO)C2=C(C=CC(=C2)Br)F)C=O,CCC1([C@@H](O1)C=O)CC,CBZ3-R-56A163D614FF010D-BA,CBZ3-P-56A163D614FF010D,train,B_donor_A_acceptor,aliphatic__aliphatic
JFKMZMDJBGRFFI-UHFFFAOYSA-N,CILFLPRXWLJKOY-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)C(C)C=O)F,CNC(=O)C(CC=O)C1=CN=CC=C1,CBZ3-R-01BDCEE2120D2953-BA,CBZ3-P-01BDCEE2120D2953,train,B_donor_A_acceptor,aliphatic__aliphatic
UMVGOWJRELGYOW-HNNXBMFYSA-N,BWJSMKGMDWWJQW-UHFFFAOYSA-N,C1=CC=C(C=C1)[C@H](CC=O)C(=O)C2=CC=CC=C2,C1=CC(=C(C=C1C(CC=O)O)F)F,CBZ3-R-77F2D9E07714CCCE-BA,CBZ3-P-77F2D9E07714CCCE,train,B_donor_A_acceptor,aliphatic__aliphatic
PJLHJJUAXDVLIR-UHFFFAOYSA-N,FFHBWVPKYIFMPF-UHFFFAOYSA-N,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCC(C4)(C=O)F,CC(C)(C1=CC=CC=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,CBZ3-R-9C661F0ECB09A4FD-BA,CBZ3-P-9C661F0ECB09A4FD,train,B_donor_A_acceptor,aliphatic__aliphatic
FGRHCESPPFHLRD-UHFFFAOYSA-N,FBOIDIMQSHFJTK-OSEPDQNXSA-N,COC(=O)C1=CC2=C(C=C1)C(=C3N2CC4(CC4C5=C3C=CC=C5OC(F)(F)F)C=O)C6CCCCC6,CC/C=C(\C)/[C@@H](C1=CC=CC=C1)[C@H](C)C=O,CBZ3-R-54E75020D0080B96-BA,CBZ3-P-54E75020D0080B96,train,B_donor_A_acceptor,aliphatic__aliphatic
LKORGLSTORYQOS-UHFFFAOYSA-N,AKOYQDVXNDGWAA-UHFFFAOYSA-N,CSCCC(C(=O)NC(CCCCN)C=O)N,CC1=C(C(C2=CC=CC=C2O1)C=O)C3=CC=CC=C3F,CBZ3-R-B85624F57F31C28F-BA,CBZ3-P-B85624F57F31C28F,train,B_donor_A_acceptor,aliphatic__aliphatic
UMRGHUPFDDVAOR-UHFFFAOYSA-N,LAZPKLPNDXOXOI-UHFFFAOYSA-N,CC(=O)NC(C=O)(C1=CC=C(C=C1)F)C2=CC=NC=C2,C=CC1=CC2=C(C=C1)C(C(CC2)C(=O)C3=NOC(=C3C(F)(F)F)C4=CC=CC=C4)C=O,CBZ3-R-E6719A1CE9ADE3CE-BA,CBZ3-P-E6719A1CE9ADE3CE,train,B_donor_A_acceptor,aliphatic__aliphatic
FFHBWVPKYIFMPF-UHFFFAOYSA-N,PJLHJJUAXDVLIR-UHFFFAOYSA-N,CC(C)(C1=CC=CC=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCC(C4)(C=O)F,CBZ3-R-9C661F0ECB09A4FD-AB,CBZ3-P-9C661F0ECB09A4FD,train,A_donor_B_acceptor,aliphatic__aliphatic
BRTJCYWEXYUOMZ-UHFFFAOYSA-N,PKKTZGQLIKURQK-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1)OC(F)F)Cl,C(CC=O)CN=C(N)NC#N,CBZ3-R-0CC6F2D43CD65C3A-AB,CBZ3-P-0CC6F2D43CD65C3A,train,A_donor_B_acceptor,aliphatic__aliphatic
