donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_reaction_id,source_pair_id,split,orientation,class_pair
ZHBLNABXYOXOFQ-UHFFFAOYSA-N,MFPCMYNTZFPUAL-UHFFFAOYSA-N,C1=CC(=CC=C1CCC=O)C2=C(C=C(C=C2)F)F,C1=CC(=C(C=C1C(C=O)Cl)F)Cl,CBZ3-R-9EDD6B30614FE182-BA,CBZ3-P-9EDD6B30614FE182,train,B_donor_A_acceptor,aliphatic__aliphatic
MFPCMYNTZFPUAL-UHFFFAOYSA-N,ZHBLNABXYOXOFQ-UHFFFAOYSA-N,C1=CC(=C(C=C1C(C=O)Cl)F)Cl,C1=CC(=CC=C1CCC=O)C2=C(C=C(C=C2)F)F,CBZ3-R-9EDD6B30614FE182-AB,CBZ3-P-9EDD6B30614FE182,train,A_donor_B_acceptor,aliphatic__aliphatic
SLAJUKRCOBUBKE-VKHMYHEASA-N,AOINKEIIXIOFSA-UHFFFAOYSA-N,C[C@](C=O)(C(F)(F)F)N,CC(C)(C=O)OCC#C[Si](C)(C)C,CBZ3-R-172F24270D89D2CE-BA,CBZ3-P-172F24270D89D2CE,train,B_donor_A_acceptor,aliphatic__aliphatic
AOINKEIIXIOFSA-UHFFFAOYSA-N,SLAJUKRCOBUBKE-VKHMYHEASA-N,CC(C)(C=O)OCC#C[Si](C)(C)C,C[C@](C=O)(C(F)(F)F)N,CBZ3-R-172F24270D89D2CE-AB,CBZ3-P-172F24270D89D2CE,train,A_donor_B_acceptor,aliphatic__aliphatic
UASSRPRGZFOECO-UHFFFAOYSA-N,BLJULVUCHHIEPE-UHFFFAOYSA-N,CS(=NC#N)C(C=O)C1=CN=C(S1)C(F)(F)F,CCCCC(=O)C(C)(C=O)C1=CN(N=C1C(F)F)C,CBZ3-R-99E9F5F8EC6633F4-BA,CBZ3-P-99E9F5F8EC6633F4,train,B_donor_A_acceptor,aliphatic__aliphatic
BLJULVUCHHIEPE-UHFFFAOYSA-N,UASSRPRGZFOECO-UHFFFAOYSA-N,CCCCC(=O)C(C)(C=O)C1=CN(N=C1C(F)F)C,CS(=NC#N)C(C=O)C1=CN=C(S1)C(F)(F)F,CBZ3-R-99E9F5F8EC6633F4-AB,CBZ3-P-99E9F5F8EC6633F4,train,A_donor_B_acceptor,aliphatic__aliphatic
JFKMZMDJBGRFFI-UHFFFAOYSA-N,CILFLPRXWLJKOY-UHFFFAOYSA-N,CCOC1=C(C=CC(=C1)C(C)C=O)F,CNC(=O)C(CC=O)C1=CN=CC=C1,CBZ3-R-01BDCEE2120D2953-BA,CBZ3-P-01BDCEE2120D2953,train,B_donor_A_acceptor,aliphatic__aliphatic
UMVGOWJRELGYOW-HNNXBMFYSA-N,BWJSMKGMDWWJQW-UHFFFAOYSA-N,C1=CC=C(C=C1)[C@H](CC=O)C(=O)C2=CC=CC=C2,C1=CC(=C(C=C1C(CC=O)O)F)F,CBZ3-R-77F2D9E07714CCCE-BA,CBZ3-P-77F2D9E07714CCCE,train,B_donor_A_acceptor,aliphatic__aliphatic
CILFLPRXWLJKOY-UHFFFAOYSA-N,JFKMZMDJBGRFFI-UHFFFAOYSA-N,CNC(=O)C(CC=O)C1=CN=CC=C1,CCOC1=C(C=CC(=C1)C(C)C=O)F,CBZ3-R-01BDCEE2120D2953-AB,CBZ3-P-01BDCEE2120D2953,train,A_donor_B_acceptor,aliphatic__aliphatic
XZEQIAGJOCYCRH-UHFFFAOYSA-N,IOSCKLADEVIAGB-LURJTMIESA-N,C1C(NC(CO1)(CO)C2=C(C=CC(=C2)Br)F)C=O,CCC1([C@@H](O1)C=O)CC,CBZ3-R-56A163D614FF010D-BA,CBZ3-P-56A163D614FF010D,train,B_donor_A_acceptor,aliphatic__aliphatic
PPIIZRKFFMYCNY-UHFFFAOYSA-N,GKPIHXHNFKRSOF-UHFFFAOYSA-N,C1=CC=[N+](C(=C1)CN2C=CC(=O)N(C2=O)CC=O)[O-],CN(C(=O)C(CC=O)C1=CC(=C(C=C1)Cl)Cl)OC,CBZ3-R-C2FBF8C02D892831-BA,CBZ3-P-C2FBF8C02D892831,train,B_donor_A_acceptor,aliphatic__aliphatic
BWJSMKGMDWWJQW-UHFFFAOYSA-N,UMVGOWJRELGYOW-HNNXBMFYSA-N,C1=CC(=C(C=C1C(CC=O)O)F)F,C1=CC=C(C=C1)[C@H](CC=O)C(=O)C2=CC=CC=C2,CBZ3-R-77F2D9E07714CCCE-AB,CBZ3-P-77F2D9E07714CCCE,train,A_donor_B_acceptor,aliphatic__aliphatic
SFOYFBWVCVYGDC-UHFFFAOYSA-N,LKNWBEJTASVZQD-UHFFFAOYSA-N,CC1=C(C=CC(=C1)F)N(CC=O)C(=O)CCl,CC(C)OC1=CC(=C(C=C1)S(=O)(=O)N2CCC(C2)C3=CN(C4=C3C=CC=N4)CC=O)F,CBZ3-R-4E8001E7881DE60D-BA,CBZ3-P-4E8001E7881DE60D,train,B_donor_A_acceptor,aliphatic__aliphatic
UMRGHUPFDDVAOR-UHFFFAOYSA-N,LAZPKLPNDXOXOI-UHFFFAOYSA-N,CC(=O)NC(C=O)(C1=CC=C(C=C1)F)C2=CC=NC=C2,C=CC1=CC2=C(C=C1)C(C(CC2)C(=O)C3=NOC(=C3C(F)(F)F)C4=CC=CC=C4)C=O,CBZ3-R-E6719A1CE9ADE3CE-BA,CBZ3-P-E6719A1CE9ADE3CE,train,B_donor_A_acceptor,aliphatic__aliphatic
LKORGLSTORYQOS-UHFFFAOYSA-N,AKOYQDVXNDGWAA-UHFFFAOYSA-N,CSCCC(C(=O)NC(CCCCN)C=O)N,CC1=C(C(C2=CC=CC=C2O1)C=O)C3=CC=CC=C3F,CBZ3-R-B85624F57F31C28F-BA,CBZ3-P-B85624F57F31C28F,train,B_donor_A_acceptor,aliphatic__aliphatic
FFHBWVPKYIFMPF-UHFFFAOYSA-N,PJLHJJUAXDVLIR-UHFFFAOYSA-N,CC(C)(C1=CC=CC=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCC(C4)(C=O)F,CBZ3-R-9C661F0ECB09A4FD-AB,CBZ3-P-9C661F0ECB09A4FD,train,A_donor_B_acceptor,aliphatic__aliphatic
AKOYQDVXNDGWAA-UHFFFAOYSA-N,LKORGLSTORYQOS-UHFFFAOYSA-N,CC1=C(C(C2=CC=CC=C2O1)C=O)C3=CC=CC=C3F,CSCCC(C(=O)NC(CCCCN)C=O)N,CBZ3-R-B85624F57F31C28F-AB,CBZ3-P-B85624F57F31C28F,train,A_donor_B_acceptor,aliphatic__aliphatic
FGRHCESPPFHLRD-UHFFFAOYSA-N,FBOIDIMQSHFJTK-OSEPDQNXSA-N,COC(=O)C1=CC2=C(C=C1)C(=C3N2CC4(CC4C5=C3C=CC=C5OC(F)(F)F)C=O)C6CCCCC6,CC/C=C(\C)/[C@@H](C1=CC=CC=C1)[C@H](C)C=O,CBZ3-R-54E75020D0080B96-BA,CBZ3-P-54E75020D0080B96,train,B_donor_A_acceptor,aliphatic__aliphatic
PJLHJJUAXDVLIR-UHFFFAOYSA-N,FFHBWVPKYIFMPF-UHFFFAOYSA-N,C1CC(=O)NC(=O)C1N2C(=O)C3=C(C2=O)C=C(C=C3)N4CCC(C4)(C=O)F,CC(C)(C1=CC=CC=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,CBZ3-R-9C661F0ECB09A4FD-BA,CBZ3-P-9C661F0ECB09A4FD,train,B_donor_A_acceptor,aliphatic__aliphatic
LKNWBEJTASVZQD-UHFFFAOYSA-N,SFOYFBWVCVYGDC-UHFFFAOYSA-N,CC(C)OC1=CC(=C(C=C1)S(=O)(=O)N2CCC(C2)C3=CN(C4=C3C=CC=N4)CC=O)F,CC1=C(C=CC(=C1)F)N(CC=O)C(=O)CCl,CBZ3-R-4E8001E7881DE60D-AB,CBZ3-P-4E8001E7881DE60D,train,A_donor_B_acceptor,aliphatic__aliphatic
BRTJCYWEXYUOMZ-UHFFFAOYSA-N,PKKTZGQLIKURQK-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1)OC(F)F)Cl,C(CC=O)CN=C(N)NC#N,CBZ3-R-0CC6F2D43CD65C3A-AB,CBZ3-P-0CC6F2D43CD65C3A,train,A_donor_B_acceptor,aliphatic__aliphatic
NSBBIRUCLLBOMJ-UTWGAPDISA-N,OHWRFXMAKSGOGG-KDXUFGMBSA-N,C[C@@]/1(C/C(=C/2\[C@]3(CCN(C3=O)C/C=C1)C4=CC=CC=C4N2)/C(=O)OC)C=O,COC[C@H]([C@@H]([C@@H]([C@H](C=O)O)OC)OC)O,CBZ3-R-75A59C9B7C0F1ED5-AB,CBZ3-P-75A59C9B7C0F1ED5,train,A_donor_B_acceptor,aliphatic__aliphatic
KXZXMKJBJWVFRS-UHFFFAOYSA-N,JNILGZPEKBPEMU-UHFFFAOYSA-N,CN(CC=O)C(=O)CN(C(=O)OCC1=CC=CC=C1)C2(CC2)C(F)(F)F,CC(C)(C)OC(=O)C(CCCC=O)N1C(=O)C2=CC=CC=C2C1=O,CBZ3-R-7665B9B276407892-BA,CBZ3-P-7665B9B276407892,train,B_donor_A_acceptor,aliphatic__aliphatic
LAZPKLPNDXOXOI-UHFFFAOYSA-N,UMRGHUPFDDVAOR-UHFFFAOYSA-N,C=CC1=CC2=C(C=C1)C(C(CC2)C(=O)C3=NOC(=C3C(F)(F)F)C4=CC=CC=C4)C=O,CC(=O)NC(C=O)(C1=CC=C(C=C1)F)C2=CC=NC=C2,CBZ3-R-E6719A1CE9ADE3CE-AB,CBZ3-P-E6719A1CE9ADE3CE,train,A_donor_B_acceptor,aliphatic__aliphatic
WXLOAFJTTRNQCD-SKNVOMKLSA-N,HQMCTLZEQZYKNK-UHFFFAOYSA-N,C(=O)[C@@H]([C@H]([C@@H]([C@H](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)O)O)O,C1=CC=C(C=C1)P(CCC=O)(C2=CC=CC=C2)(C3=CC=CC=C3)I,CBZ3-R-7F42DA787C0E782D-BA,CBZ3-P-7F42DA787C0E782D,train,B_donor_A_acceptor,aliphatic__aliphatic
PKKTZGQLIKURQK-UHFFFAOYSA-N,BRTJCYWEXYUOMZ-UHFFFAOYSA-N,C(CC=O)CN=C(N)NC#N,CC(C)(C)OC(=O)NC(C=O)C1=CC(=C(C=C1)OC(F)F)Cl,CBZ3-R-0CC6F2D43CD65C3A-BA,CBZ3-P-0CC6F2D43CD65C3A,train,B_donor_A_acceptor,aliphatic__aliphatic
WQINRWFZTDXXQN-UHFFFAOYSA-N,GXEDVEVVJWTBKW-UHFFFAOYSA-N,CN1C2=C(N=C1[N+](=O)[O-])N(C(=O)N(C2=O)C)CCC=O,C1C(C=CC=C1OC(F)(F)F)C=O,CBZ3-R-8D4AE99474B18B84-BA,CBZ3-P-8D4AE99474B18B84,train,B_donor_A_acceptor,aliphatic__aliphatic
HQMCTLZEQZYKNK-UHFFFAOYSA-N,WXLOAFJTTRNQCD-SKNVOMKLSA-N,C1=CC=C(C=C1)P(CCC=O)(C2=CC=CC=C2)(C3=CC=CC=C3)I,C(=O)[C@@H]([C@H]([C@@H]([C@H](C(C(C(C(C(C(F)(F)F)(F)F)(F)F)(F)F)(F)F)(F)F)O)O)O)O,CBZ3-R-7F42DA787C0E782D-AB,CBZ3-P-7F42DA787C0E782D,train,A_donor_B_acceptor,aliphatic__aliphatic
YGVQWHLDCDFGRO-XOKHGSTOSA-N,FYEUNHYDTXLVGK-UHFFFAOYSA-N,C[C@H]([C@H]1C[C@@H](OC(O1)(C)C)CC=O)OCC2=CC=C(C=C2)OC,C1CN(C(=O)C2=C1C=C(C=C2)OCCC=O)CCCC3=CC=CC=C3,CBZ3-R-4CAD5D05770C2455-BA,CBZ3-P-4CAD5D05770C2455,train,B_donor_A_acceptor,aliphatic__aliphatic
FBOIDIMQSHFJTK-OSEPDQNXSA-N,FGRHCESPPFHLRD-UHFFFAOYSA-N,CC/C=C(\C)/[C@@H](C1=CC=CC=C1)[C@H](C)C=O,COC(=O)C1=CC2=C(C=C1)C(=C3N2CC4(CC4C5=C3C=CC=C5OC(F)(F)F)C=O)C6CCCCC6,CBZ3-R-54E75020D0080B96-AB,CBZ3-P-54E75020D0080B96,train,A_donor_B_acceptor,aliphatic__aliphatic
