,mean_abs_shap
P_int,1.9264673894599216
acceptor_wbo_CO,0.7335568134230188
xtb_dipole,0.37527064148339295
acceptor_xtb_dipole,0.3657602174242634
donor_P_int,0.35120568220674975
donor_xtb_dipole,0.30935781423164593
acceptor_P_int,0.3050412906230098
acceptor_ald_mordred_Mor02se,0.2857340286477754
donor_ald_mordred_Mor02se,0.2772987862934385
acceptor_pa_CHO_O,0.2747922253582304
donor_wbo_CO,0.27190743728943256
product_mordred_Mor02m,0.2687097045971171
donor_bde_gxtb_kcal,0.21478844012621592
acceptor_mulliken_CHO_C,0.19315123401086742
wbo_CO_ket,0.19180241652439625
product_mordred_PNSA1,0.1742380140460142
vbur_ketC,0.15729548192318318
product_mordred_Mor03v,0.13169871074331368
acceptor_mulliken_CHO_O,0.12650869410544047
product_mordred_TopoPSA(NO),0.12479405103514424
product_mordred_Mor02v,0.10592687217834491
mulliken_carbC,0.10403764713837461
product_mordred_GeomRadius,0.10215754265865776
bde_gxtb_kcal,0.0996016426699102
product_mordred_Mor03m,0.09633187878840768
product_mordred_PPSA3,0.09248213160381258
product_mordred_Mor04m,0.09010583532824322
product_BertzCT,0.08900518622878242
acceptor_bde_gxtb_kcal,0.0885017308802819
fukui_plus_ketC,0.08347505714767361
acceptor_vbur_CHO_C,0.08040787441793386
product_mordred_Mor03p,0.07265953135066852
donor_ald_mordred_Mor04se,0.07077028131926345
donor_pa_CHO_O,0.06895181597951029
wbo_CO_carb,0.0687657420032285
hb_dist,0.06614666123927505
donor_ald_mordred_Mor10,0.06552089248588244
product_TPSA,0.06448228184174344
fukui_0_ketC,0.0639823244463843
pa_ketO,0.06159193185999225
product_mordred_RPCS,0.06144134348364946
mulliken_hydH,0.06101422586318741
donor_fukui_0_CHO_C,0.05699162601928116
donor_ald_mordred_Mor03v,0.056830358706838946
product_mordred_PBF,0.05378412248346034
hb_angle,0.053764847518871846
acceptor_ald_mordred_Mor04se,0.053040042151895075
acceptor_sterimol_B1,0.051161606920391
wbo_CC_new,0.05085056478983308
sterimol_L,0.050056820159274644
donor_ald_mordred_GeomDiameter,0.04722136465762544
donor_ald_mordred_Mor19m,0.046932903570924764
donor_G_gxtb,0.04541592358666829
donor_ald_mordred_Mor02m,0.04335076992777317
product_mordred_Mor04v,0.04221096497428532
acceptor_ald_mordred_Mor03v,0.04162093995183564
donor_fukui_plus_CHO_C,0.040075560508877554
product_mordred_TopoPSA,0.03684553533147273
product_mordred_GeomDiameter,0.034628569934923935
donor_mulliken_CHO_O,0.03277997886776043
donor_ald_mordred_WNSA3,0.03122723789672999
product_mordred_WPSA3,0.03017736608859992
acceptor_xtb_LUMO,0.02946344989547468
donor_mulliken_CHO_C,0.028924959333699124
acceptor_ald_mordred_Mor02m,0.02891955000045021
acceptor_fukui_minus_CHO_C,0.027398561119369867
acceptor_fukui_plus_CHO_C,0.026598617250147297
dual_ketC,0.026419260134396296
acceptor_ald_mordred_WPSA3,0.02329989697520892
acceptor_ald_mordred_PPSA5,0.022339257156875104
product_MW,0.02176498696594281
product_mordred_FPSA2,0.020878114114537313
acceptor_SASA_total,0.01852933372939976
donor_dual_descriptor_CHO_C,0.018373057861792143
mulliken_ketO,0.018252478813118006
product_mordred_VMcGowan,0.01823678448367785
product_mordred_Mor19v,0.01786584998054841
product_mordred_bpol,0.017336915945401047
product_RotBonds,0.017034160213818587
product_mordred_WNSA5,0.017032647113836785
product_mordred_Mor09,0.01691154082083141
donor_ald_mordred_Mor03se,0.016763430053924583
mulliken_ketC,0.01592200854589647
acceptor_dual_descriptor_CHO_C,0.01452445405229296
product_mordred_Mor31p,0.014219742444335109
acceptor_xtb_eta,0.013128163263981573
acceptor_ald_mordred_WNSA1,0.012980243266404257
xtb_EA,0.01256152344307154
acceptor_xtb_omega,0.012466396513463105
acceptor_TPSA,0.012428963940487654
SASA_total,0.01046495881130867
product_mordred_FPSA5,0.010263081917337064
donor_ald_mordred_Mor03m,0.009986680641644716
acceptor_ald_mordred_Mor08,0.00997254104548143
product_NumStereocenters,0.009933005939304693
donor_xtb_LUMO,0.009766061519169837
acceptor_ald_mordred_Mor06se,0.009553753727913226
product_mordred_FNSA1,0.009495346686118013
product_mordred_Mor01p,0.009105606107822226
acceptor_ald_mordred_TASA,0.008926409071669585
product_mordred_DPSA3,0.00890548503794635
donor_ald_mordred_MOMI-Z,0.008788576398385452
product_mordred_Mor30se,0.008388892381593956
donor_vbur_CHO_C,0.008355841538262325
product_mordred_Mor09p,0.007814792216035163
product_mordred_FPSA4,0.007795782395785069
sterimol_B1,0.007286255352414429
donor_TPSA,0.007284553646731852
acceptor_sterimol_B5,0.007280435720202334
product_Rings,0.006886297689478955
fukui_plus_carbC,0.0068214237578636695
acceptor_ald_mordred_WPSA1,0.0067386701137295895
product_Heteroatoms,0.006731911588248334
product_mordred_TPSA,0.006500964116491849
product_mordred_Mor19m,0.006405565568100419
acceptor_ald_mordred_Mor04m,0.006314287333602815
product_mordred_Mor06se,0.0058723387561949005
