w_gnn,mae,config
0.0,2.7765362737593886,ensemble_only
0.05,2.7408230875051958,blend
0.1,2.7051099012510034,blend
0.15,2.669396714996811,blend
0.2,2.633683528742618,blend
0.25,2.5979703424884253,blend
0.3,2.5622571562342333,blend
0.35,2.5351136726136807,blend
0.4,2.5249631635194207,blend
0.45,2.5204928538048637,blend
0.5,2.5190812943637155,blend
0.55,2.5219633412098075,blend
0.6,2.5266790588554313,blend
0.65,2.534916314443975,blend
0.7,2.5433925958651584,blend
0.75,2.551868877286342,blend
0.8,2.5603451587075248,blend
0.85,2.5707921444754187,blend
0.9,2.5880773668591344,blend
0.95,2.605362589242851,blend
1.0,2.622648000717163,gnn_only
