w_gnn,mae,config
0.0,2.776536479292646,ensemble_only
0.05,2.778626007353408,blend
0.1,2.780715535414169,blend
0.15,2.782805063474931,blend
0.2,2.784894591535693,blend
0.25,2.786984119596454,blend
0.3,2.7993542518323222,blend
0.35,2.817649854477843,blend
0.4,2.836499258663479,blend
0.45,2.8661170571209067,blend
0.5,2.9061764059505375,blend
0.55,2.954262715875703,blend
0.6,3.0023490258008687,blend
0.65,3.050464291339477,blend
0.7,3.1004509805457174,blend
0.75,3.1504376697519594,blend
0.8,3.200424358958199,blend
0.85,3.250411048164442,blend
0.9,3.3003977373706825,blend
0.95,3.350384426576924,blend
1.0,3.400674819946289,gnn_only
