id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
DSBHGIRVYCJWEN-UHFFFAOYSA-N__WRLZSYDDLMBHHW-UHFFFAOYSA-N,DSBHGIRVYCJWEN-UHFFFAOYSA-N,WRLZSYDDLMBHHW-UHFFFAOYSA-N,DSBHGIRVYCJWEN-UHFFFAOYSA-N__WRLZSYDDLMBHHW-UHFFFAOYSA-N,carbo-hetero,CC(C)(C)OC(=O)N1CCC(CC1)(CC2=C(C=CC(=C2)Br)F)C=O,C1=CC(=NC=C1Cl)SC2=C(C=C(C=C2F)C=O)F,CC(C)(C)OC(=O)N1CCC(Cc2cc(Br)ccc2F)(C(=O)C(O)c2cc(F)c(Sc3ccc(Cl)cn3)c(F)c2)CC1,-8.1495,5.7848,20.70700806295499,27.971617751435417,26.49180806295499
MTVDAUAGGRHQGD-UHFFFAOYSA-N__DRIIPDCNYVNURF-UHFFFAOYSA-N,MTVDAUAGGRHQGD-UHFFFAOYSA-N,DRIIPDCNYVNURF-UHFFFAOYSA-N,DRIIPDCNYVNURF-UHFFFAOYSA-N__MTVDAUAGGRHQGD-UHFFFAOYSA-N,carbo-hetero,C1=CC(=C(C=C1C=O)F)OC2=C(C=C(C=C2Br)[N+](=O)[O-])Br,CC1=NC2=C(C=C(C(=C2NC1=O)F)C=O)F,Cc1nc2c(F)cc(C(O)C(=O)c3ccc(Oc4c(Br)cc([N+](=O)[O-])cc4Br)c(F)c3)c(F)c2[nH]c1=O,-10.3063,3.8376,12.669382747169584,25.604406368279186,16.506982747169584
OPDQOKREXYCJHD-JGVPYUGNSA-N__MIZDCJVWRWQQIU-UHFFFAOYSA-N,OPDQOKREXYCJHD-JGVPYUGNSA-N,MIZDCJVWRWQQIU-UHFFFAOYSA-N,MIZDCJVWRWQQIU-UHFFFAOYSA-N__OPDQOKREXYCJHD-JGVPYUGNSA-N,carbo-hetero,CC(=O)OC[C@@]1(CCC[C@@]2(C1CCC(=C)[C@H]2CCC3=COC=C3)C=O)C,C1=CC(=C(C=C1C2=CC(=CC(=C2)Cl)Cl)F)C=O,C=C1CCC2C(C)(COC(C)=O)CCCC2(C(=O)C(O)c2ccc(-c3cc(Cl)cc(Cl)c3)cc2F)C1CCc1ccoc1,-6.3691,5.9488,15.730227398872376,19.46040539862724,21.67902739887238
DMZDZEMMXIPVOS-UHFFFAOYSA-N__XTCDTRPUKAPOPL-UHFFFAOYSA-N,DMZDZEMMXIPVOS-UHFFFAOYSA-N,XTCDTRPUKAPOPL-UHFFFAOYSA-N,DMZDZEMMXIPVOS-UHFFFAOYSA-N__XTCDTRPUKAPOPL-UHFFFAOYSA-N,carbo-hetero,CCOC(=O)C1=CN(CCC2=C1NC3=C2C=CC(=C3)Br)CC4(CCC(CC4)F)C=O,C1CSCC1C(C2=CC=CC=C2C=O)F,CCOC(=O)C1=CN(CC2(C(=O)C(O)c3ccccc3C(F)C3CCSC3)CCC(F)CC2)CCc2c1[nH]c1cc(Br)ccc21,-6.9879,6.0648,13.330327063798904,19.315183416029747,19.395127063798903
DSJLVHWLNGTWNZ-UHFFFAOYSA-N__QOCUSJPHQSKJJR-UHFFFAOYSA-N,DSJLVHWLNGTWNZ-UHFFFAOYSA-N,QOCUSJPHQSKJJR-UHFFFAOYSA-N,DSJLVHWLNGTWNZ-UHFFFAOYSA-N__QOCUSJPHQSKJJR-UHFFFAOYSA-N,carbo-carbo,C1=C(C(=C(C(=C1F)Br)Br)C=O)F,C1=CC(=CC(=C1)C2=CC(=CC=C2)C(=O)O)C=O,O=C(O)c1cccc(-c2cccc(C(O)C(=O)c3c(F)cc(F)c(Br)c3Br)c2)c1,-11.8693,1.8505,7.107334685325623,11.598930885902183,8.957834685325622
CZPOZYJMEAQKRK-UHFFFAOYSA-N__GMROAXLUUTZXAU-UHFFFAOYSA-N,CZPOZYJMEAQKRK-UHFFFAOYSA-N,GMROAXLUUTZXAU-UHFFFAOYSA-N,CZPOZYJMEAQKRK-UHFFFAOYSA-N__GMROAXLUUTZXAU-UHFFFAOYSA-N,hetero-hetero,CCCC1=C(C=CC(=C1F)CC)C2CCC3=C(N=C(C=C3)C=O)N(C2)CCC(CC)C(C)CC,C1=C(C=NN1CCC(=O)O)C=O,CCCc1c(C2CCc3ccc(C(=O)C(O)c4cnn(CCC(=O)O)c4)nc3N(CCC(CC)C(C)CC)C2)ccc(CC)c1F,-6.8371,4.9567,9.534725439548492,8.534795084803934,14.491425439548491
IYARHQYRBZNXRC-UHFFFAOYSA-N__CUTWIGCRGUOVDE-UHFFFAOYSA-N,IYARHQYRBZNXRC-UHFFFAOYSA-N,CUTWIGCRGUOVDE-UHFFFAOYSA-N,CUTWIGCRGUOVDE-UHFFFAOYSA-N__IYARHQYRBZNXRC-UHFFFAOYSA-N,carbo-carbo,CC1=CC=CC=C1C(C)(CC(C=O)(C(F)(F)F)O)C2=CC(=C(C=C2)F)OC,COC(=O)C1=CC(=CC(=C1OC(F)(F)F)C=O)C#N,COC(=O)c1cc(C#N)cc(C(O)C(=O)C(O)(CC(C)(c2ccc(F)c(OC)c2)c2ccccc2C)C(F)(F)F)c1OC(F)(F)F,-10.86,5.7326,7.868050879240036,8.496274285270074,13.600650879240035
ONYZNOAMLXOWBE-UHFFFAOYSA-N__CWULVKODASMJBY-UHFFFAOYSA-N,ONYZNOAMLXOWBE-UHFFFAOYSA-N,CWULVKODASMJBY-UHFFFAOYSA-N,CWULVKODASMJBY-UHFFFAOYSA-N__ONYZNOAMLXOWBE-UHFFFAOYSA-N,carbo-carbo,C1CCC(CC1)(CNC(=O)C(C2CCC(CC2)C=O)N)C3=CC=C(C=C3)F,COC(C=O)C1=C(C(=CC=C1)F)F,COC(c1cccc(F)c1F)C(O)C(=O)C1CCC(C(N)C(=O)NCC2(c3ccc(F)cc3)CCCCC2)CC1,-13.7368,6.0595,3.114190999045968,8.218561854534084,9.173690999045968
BTINJENXWFNRDF-DXIQSLLYSA-N__CDUFEFITBFFTLR-UHFFFAOYSA-N,BTINJENXWFNRDF-DXIQSLLYSA-N,CDUFEFITBFFTLR-UHFFFAOYSA-N,BTINJENXWFNRDF-DXIQSLLYSA-N__CDUFEFITBFFTLR-UHFFFAOYSA-N,carbo-hetero,C[C@H](CCC(=O)CCC1=CC=CC=C1)[C@@H]([C@@H](C)C=O)O[Si](C)(C)C(C)(C)C,COC1=CN=C(C(=C1C(F)F)C=O)C(F)(F)F,COc1cnc(C(F)(F)F)c(C(O)C(=O)C(C)C(O[Si](C)(C)C(C)(C)C)C(C)CCC(=O)CCc2ccccc2)c1C(F)F,-12.4473,3.5425,7.293001523613929,7.944783151678376,10.83550152361393
RQBIHRVRBVFENU-UHFFFAOYSA-N__DUUZFSHSDUBHIK-UHFFFAOYSA-N,RQBIHRVRBVFENU-UHFFFAOYSA-N,DUUZFSHSDUBHIK-UHFFFAOYSA-N,DUUZFSHSDUBHIK-UHFFFAOYSA-N__RQBIHRVRBVFENU-UHFFFAOYSA-N,carbo-carbo,CC(C)(C)OC(=O)N1CCC(CC1)(CC2=CC(=C(C=C2F)C(=O)OC)C(=O)OC)C=O,CC1=C(C=C(C=C1)C#CCC=O)C(F)(F)F,COC(=O)c1cc(F)c(CC2(C(=O)C(O)CC#Cc3ccc(C)c(C(F)(F)F)c3)CCN(C(=O)OC(C)(C)C)CC2)cc1C(=O)OC,-7.3493,10.478,3.2644176350906493,7.875681360343064,13.74241763509065
