w_gnn,mae,config
0.0,2.5474498889235275,ensemble_only
0.05,2.543345946550468,blend
0.1,2.5392420041774093,blend
0.15,2.535138061804349,blend
0.2,2.5310341194312906,blend
0.25,2.53080457826013,blend
0.3,2.533529927221275,blend
0.35,2.5362552761824215,blend
0.4,2.5389806251435667,blend
0.45,2.545808985732018,blend
0.5,2.562441348528515,blend
0.55,2.582223178971653,blend
0.6,2.6040325416454695,blend
0.65,2.6277174625185165,blend
0.7,2.651402383391564,blend
0.75,2.6750873042646104,blend
0.8,2.6987722251376565,blend
0.85,2.722457146010703,blend
0.9,2.746142066883751,blend
0.95,2.769826987756798,blend
1.0,2.7935121059417725,gnn_only
