w_gnn,mae,config
0.0,2.547449930030179,ensemble_only
0.05,2.533325495045859,blend
0.1,2.5192010600615395,blend
0.15,2.50507662507722,blend
0.2,2.4909521900929006,blend
0.25,2.476827755108581,blend
0.3,2.4627033201242607,blend
0.35,2.453986548762597,blend
0.4,2.448020738001251,blend
0.45,2.4420549272399037,blend
0.5,2.4360891164785587,blend
0.55,2.430123305717212,blend
0.6,2.4241574949558653,blend
0.65,2.4181916841945186,blend
0.7,2.412225873433172,blend
0.75,2.4062600626718256,blend
0.8,2.40029425191048,blend
0.85,2.394328441149133,blend
0.9,2.388362630387786,blend
0.95,2.3825424984007895,blend
1.0,2.390188694000244,gnn_only
