w_gnn,mae,config
0.0,2.5474499135875184,ensemble_only
0.05,2.5420993715155698,blend
0.1,2.5367488294436216,blend
0.15,2.5313982873716743,blend
0.2,2.5322926166251345,blend
0.25,2.5347250756828985,blend
0.3,2.537203253920246,blend
0.35,2.539681432157593,blend
0.4,2.5421596103949406,blend
0.45,2.551320311666422,blend
0.5,2.563626658704272,blend
0.55,2.585189003928799,blend
0.6,2.611237692234454,blend
0.65,2.6372863805401088,blend
0.7,2.663335068845764,blend
0.75,2.689383757151419,blend
0.8,2.7154324454570737,blend
0.85,2.741481133762729,blend
0.9,2.7675298220683833,blend
0.95,2.793578510374039,blend
1.0,2.819627285003662,gnn_only
