feature,mean_abs_shap,block
P_int,1.9231144,product-related
acceptor_wbo_CO,0.65010667,acceptor
xtb_dipole,0.32267866,product-related
donor_P_int,0.32038608,donor
acceptor_xtb_dipole,0.3117185,acceptor
acceptor_P_int,0.29927862,acceptor
acceptor_pa_CHO_O,0.2766595,acceptor
donor_xtb_dipole,0.23056772,donor
vbur_ketC,0.22425576,product-related
acceptor_mulliken_CHO_C,0.21853772,acceptor
donor_ald_mordred_Mor02se,0.16440393,donor
acceptor_mulliken_CHO_O,0.1498888,acceptor
donor_bde_gxtb_kcal,0.14731786,donor
donor_wbo_CO,0.14264694,donor
acceptor_ald_mordred_Mor02se,0.13841908,acceptor
SASA_total,0.13740678,product-related
product_TPSA,0.13157488,product-related
wbo_CO_carb,0.13028018,product-related
bde_gxtb_kcal,0.1281626,product-related
wbo_CO_ket,0.10886888,product-related
xtb_EA,0.102128275,product-related
sterimol_L,0.090322554,global
fukui_0_ketC,0.08345366,product-related
acceptor_vbur_CHO_C,0.07639106,acceptor
hb_dist,0.07634609,product-related
mulliken_carbC,0.072299436,product-related
sterimol_B1,0.06729917,global
fukui_plus_ketC,0.06294614,product-related
wbo_CC_new,0.06038581,product-related
product_FractionCSP3,0.055051237,product-related
acceptor_ald_mordred_Mor08,0.051828858,acceptor
donor_pa_CHO_O,0.050133362,donor
mulliken_hydH,0.04911633,product-related
acceptor_bde_gxtb_kcal,0.04710498,acceptor
product_NumStereocenters,0.040682547,product-related
donor_ald_mordred_Mor19m,0.03693602,donor
donor_fukui_0_CHO_C,0.032356422,donor
hb_angle,0.030527301,product-related
donor_mulliken_CHO_O,0.029302066,donor
pa_ketO,0.029098218,product-related
fukui_plus_carbC,0.026200525,product-related
acceptor_ald_mordred_AMW,0.025494436,acceptor
donor_mulliken_CHO_C,0.024767648,donor
acceptor_TPSA,0.023862299,acceptor
xtb_eta,0.023816552,product-related
product_Rings,0.02240644,product-related
product_Kappa2,0.02188009,product-related
donor_vbur_CHO_C,0.021808691,donor
product_RotBonds,0.021027436,product-related
donor_ald_mordred_Mor10,0.019299544,donor
acceptor_sterimol_B1,0.018801207,acceptor
product_AlRings,0.018633889,product-related
dual_ketC,0.017984666,product-related
donor_fukui_plus_CHO_C,0.016132578,donor
acceptor_ald_mordred_Mor04se,0.014281627,acceptor
acceptor_ald_mordred_WPSA1,0.01278831,acceptor
donor_sterimol_B5,0.012779854,donor
product_BertzCT,0.012688314,product-related
donor_ald_mordred_GeomDiameter,0.0121792555,donor
acceptor_G_gxtb,0.011967855,acceptor
acceptor_fukui_minus_CHO_C,0.011480886,acceptor
acceptor_ald_mordred_PPSA5,0.01126032,acceptor
donor_dual_descriptor_CHO_C,0.009718441,donor
acceptor_xtb_EA,0.009238708,acceptor
mulliken_ketC,0.009221948,product-related
product_mordred_Mor03m,0.008699189,product-related
donor_G_gxtb,0.008559449,donor
donor_xtb_LUMO,0.008343014,donor
acceptor_xtb_LUMO,0.0072137467,acceptor
acceptor_sterimol_B5,0.0068059494,acceptor
acceptor_ald_mordred_Mor16,0.0062068026,acceptor
xtb_energy,0.0054298397,product-related
mulliken_ketO,0.0054071317,product-related
acceptor_ald_mordred_GeomDiameter,0.004905651,acceptor
acceptor_xtb_HOMO,0.0048902705,acceptor
acceptor_sterimol_L,0.0048431805,acceptor
donor_ald_mordred_Mor02m,0.0048161387,donor
acceptor_LogP,0.0044479365,acceptor
donor_Rings,0.0042385315,donor
vbur_carbC,0.0038612247,product-related
donor_ald_mordred_WPSA1,0.0038535644,donor
acceptor_xtb_gap,0.003739468,acceptor
donor_TPSA,0.0035148186,donor
acceptor_SASA_total,0.003321944,acceptor
acceptor_Rings,0.0032205777,acceptor
donor_ald_mordred_Mor04v,0.0031329542,donor
acceptor_dual_descriptor_CHO_C,0.003097923,acceptor
acceptor_xtb_eta,0.0030666685,acceptor
acceptor_ald_mordred_Mor27se,0.0029264519,acceptor
acceptor_ald_mordred_Mor03se,0.0028316958,acceptor
donor_xtb_HOMO,0.0027244138,donor
acceptor_ArHetRings,0.0027091347,acceptor
donor_xtb_IP,0.002703532,donor
donor_ald_mordred_Mor04se,0.0026389873,donor
product_HBA,0.002258738,product-related
acceptor_ald_mordred_Mor06se,0.0022523594,acceptor
donor_sterimol_B1,0.0021696314,donor
donor_ald_mordred_Mor03m,0.0018403628,donor
acceptor_fukui_plus_CHO_C,0.0018331162,acceptor
product_mordred_Mor02v,0.0017874083,product-related
donor_ald_mordred_WNSA1,0.0017537557,donor
acceptor_ald_mordred_RNCG,0.0017405403,acceptor
donor_NumStereocenters,0.0017374931,donor
acceptor_Kappa2,0.0016337523,acceptor
donor_sterimol_L,0.0015062281,donor
acceptor_G_xtb,0.0014611556,acceptor
