w_gnn,mae,config
0.0,2.602116555611267,ensemble_only
0.05,2.5713471006090374,blend
0.1,2.5405776456068065,blend
0.15,2.5098081906045766,blend
0.2,2.4790387356023476,blend
0.25,2.4506088159470885,blend
0.3,2.427644463966538,blend
0.35,2.4046801119859884,blend
0.4,2.39033442956661,blend
0.45,2.377656124930817,blend
0.5,2.3649778202950245,blend
0.55,2.352299515659231,blend
0.6,2.3396212110234376,blend
0.65,2.326942906387645,blend
0.7,2.314264601751852,blend
0.75,2.304647751070803,blend
0.8,2.303591164208516,blend
0.85,2.3051328773460984,blend
0.9,2.3125187894933346,blend
0.95,2.322197137029272,blend
1.0,2.3318753242492676,gnn_only
