w_gnn,mae,config
0.0,2.6632555989459696,ensemble_only
0.05,2.647373816460792,blend
0.1,2.6364655510709336,blend
0.15,2.627655407983183,blend
0.2,2.620779036949681,blend
0.25,2.615933126346012,blend
0.3,2.6141536438574047,blend
0.35,2.6144911353979587,blend
0.4,2.615664793573498,blend
0.45,2.621285828581003,blend
0.5,2.632396063359922,blend
0.55,2.646337656643706,blend
0.6,2.661307198237406,blend
0.65,2.677723643890512,blend
0.7,2.69564564993681,blend
0.75,2.716977468928356,blend
0.8,2.7418302690229748,blend
0.85,2.7697126796714935,blend
0.9,2.799707278783837,blend
0.95,2.8321653612603748,blend
1.0,2.8663580417633057,gnn_only
