w_gnn,mae,config
0.0,2.2564226527604547,ensemble_only
0.05,2.2384145261833877,blend
0.1,2.225216769308306,blend
0.15,2.219380547554935,blend
0.2,2.216056166968183,blend
0.25,2.2150666756991284,blend
0.3,2.2160980330939832,blend
0.35,2.220329251734116,blend
0.4,2.230100790950827,blend
0.45,2.2448642335739297,blend
0.5,2.2609286748745907,blend
0.55,2.27908833635436,blend
0.6,2.2997042726871233,blend
0.65,2.321479819219066,blend
0.7,2.344965670031939,blend
0.75,2.3690669068675176,blend
0.8,2.395310375543234,blend
0.85,2.424069393156563,blend
0.9,2.4556104143806574,blend
0.95,2.488523349480354,blend
1.0,2.5232036113739014,gnn_only
