id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
MCSIZXPKXOHSRR-UHFFFAOYSA-N__VTRCEDWGHVCAMF-UHFFFAOYSA-N,MCSIZXPKXOHSRR-UHFFFAOYSA-N,VTRCEDWGHVCAMF-UHFFFAOYSA-N,MCSIZXPKXOHSRR-UHFFFAOYSA-N__VTRCEDWGHVCAMF-UHFFFAOYSA-N,carbo-hetero,C1CC(CCC1C=O)C2=C(N(C3=C2C=C4C(=C3)C=NN4)C5=CC=C(C=C5)F)C6CCOCC6,COC1=C(C=C(C(=C1)C=O)S(=O)(=O)N)F,COc1cc(C(O)C(=O)C2CCC(c3c(C4CCOCC4)n(-c4ccc(F)cc4)c4cc5cn[nH]c5cc34)CC2)c(S(N)(=O)=O)cc1F,-16.8856,4.2728,5.854587107806898,8.02735037420951,10.127387107806898
VGNSDSLQDAGXHT-UHFFFAOYSA-N__PFBXOZLEYURZOG-UHFFFAOYSA-N,VGNSDSLQDAGXHT-UHFFFAOYSA-N,PFBXOZLEYURZOG-UHFFFAOYSA-N,PFBXOZLEYURZOG-UHFFFAOYSA-N__VGNSDSLQDAGXHT-UHFFFAOYSA-N,carbo-carbo,C1CNCCC1C(=O)N(CC=O)C2=CC(=C(C=C2)F)F,COC(=O)C1=C(C=C(C=C1F)NS(=O)(=O)C2=CC=C(C=C2)C3(CC3)C=O)F,COC(=O)c1c(F)cc(NS(=O)(=O)c2ccc(C3(C(O)C(=O)CN(C(=O)C4CCNCC4)c4ccc(F)c(F)c4)CC3)cc2)cc1F,-11.7328,5.4704,4.094296785394955,5.737542281220958,9.564696785394954
LYMJJALNEBRXKX-UHFFFAOYSA-N__UXZWXBQITWQCPZ-LBPRGKRZSA-N,LYMJJALNEBRXKX-UHFFFAOYSA-N,UXZWXBQITWQCPZ-LBPRGKRZSA-N,LYMJJALNEBRXKX-UHFFFAOYSA-N__UXZWXBQITWQCPZ-LBPRGKRZSA-N,aliph-carbo,C1CN(CCC1(CO)F)CC=O,CC(C)[C@@H](C(=O)NCC=O)NS(=O)(=O)C1=CC=C(C=C1)F,CC(C)C(NS(=O)(=O)c1ccc(F)cc1)C(=O)NCC(O)C(=O)CN1CCC(F)(CO)CC1,-14.9442,4.1303,4.474135233241027,2.1347892369148904,8.604435233241027
PYMYPHUHKUWMLA-DEOSMSJNSA-N__LZQDXSOKOWUGES-UHFFFAOYSA-N,PYMYPHUHKUWMLA-DEOSMSJNSA-N,LZQDXSOKOWUGES-UHFFFAOYSA-N,LZQDXSOKOWUGES-UHFFFAOYSA-N__PYMYPHUHKUWMLA-DEOSMSJNSA-N,aliph-carbo,C(C([C@H]([C@@H](C=O)O)O)O)O,CCCCCCC1=CC=C(C=C1)C2=C(C(=C(C=C2C3=CC(=C(C(=C3)F)F)F)F)C=O)F,CCCCCCc1ccc(-c2c(-c3cc(F)c(F)c(F)c3)cc(F)c(C(O)C(=O)C(O)C(O)C(O)CO)c2F)cc1,-13.7928,10.5626,-4.554951394728197,2.0031797626857517,6.007648605271803
DRJIPOCGZIKIMH-UHFFFAOYSA-N__WXRVWRCRHXRLDU-UHFFFAOYSA-N,DRJIPOCGZIKIMH-UHFFFAOYSA-N,WXRVWRCRHXRLDU-UHFFFAOYSA-N,DRJIPOCGZIKIMH-UHFFFAOYSA-N__WXRVWRCRHXRLDU-UHFFFAOYSA-N,aliph-hetero,C1CC(CC(C1O)C=O)(C(F)(F)F)[N+](=O)[O-],CC1=CC(=C(C=C1)OC)N2C(=C(N=N2)C=O)C3=CC(=CC=C3)F,COc1ccc(C)cc1-n1nnc(C(O)C(=O)C2CC([N+](=O)[O-])(C(F)(F)F)CCC2O)c1-c1cccc(F)c1,-11.0646,-2.2591,2.108836180165979,1.9871208700795506,-0.15026381983402093
GXDXLASTKZHURP-UHFFFAOYSA-N__QEXGJYSARLZCDS-UHFFFAOYSA-N,GXDXLASTKZHURP-UHFFFAOYSA-N,QEXGJYSARLZCDS-UHFFFAOYSA-N,GXDXLASTKZHURP-UHFFFAOYSA-N__QEXGJYSARLZCDS-UHFFFAOYSA-N,carbo-carbo,C1=CC(=CC=C1C#CC2=CC(=C(C=C2)C=O)F)C#N,COC1=C(C=C2C(=C1CCC=O)OCO2)F,COc1c(F)cc2c(c1CCC(O)C(=O)c1ccc(C#Cc3ccc(C#N)cc3)cc1F)OCO2,-10.229,3.822,-1.5224372065060796,1.941411796793535,2.2995627934939202
YKGKSQIRQBMGQW-UHFFFAOYSA-N__XTFOGRLQTPJTST-UHFFFAOYSA-N,YKGKSQIRQBMGQW-UHFFFAOYSA-N,XTFOGRLQTPJTST-UHFFFAOYSA-N,XTFOGRLQTPJTST-UHFFFAOYSA-N__YKGKSQIRQBMGQW-UHFFFAOYSA-N,hetero-hetero,CCCC1=NC(=C(N1CC2=C(C=C(C=C2)Br)F)C=O)CC,COC1=CC=C(C=C1)NC2=NC=C(C=N2)C=O,CCCc1nc(CC)c(C(=O)C(O)c2cnc(Nc3ccc(OC)cc3)nc2)n1Cc1ccc(Br)cc1F,-4.089,9.5646,3.005318202318759,1.8898166783453068,12.56991820231876
CKBUVYCHHBMZSF-UHFFFAOYSA-N__XMNOCNRFTZRTDW-SCNOPHJPSA-N,CKBUVYCHHBMZSF-UHFFFAOYSA-N,XMNOCNRFTZRTDW-SCNOPHJPSA-N,CKBUVYCHHBMZSF-UHFFFAOYSA-N__XMNOCNRFTZRTDW-SCNOPHJPSA-N,carbo-carbo,B(C1=CC(=CC(=C1)NC(=O)C2=CC=CC=C2F)C=O)(O)O,CC1=CC=C(C=C1)[C@@H]2[C@H]([C@H](C[C@@]2(C#N)C(=O)OC)C=C)C=O,C=CC1CC(C#N)(C(=O)OC)C(c2ccc(C)cc2)C1C(O)C(=O)c1cc(NC(=O)c2ccccc2F)cc(B(O)O)c1,-12.3076,2.4148,1.9506720726662448,1.8694770084672716,4.365472072666245
BPOVZYOIMMVYPR-UHFFFAOYSA-N__SMGWBKIRLMNBMH-UHFFFAOYSA-N,BPOVZYOIMMVYPR-UHFFFAOYSA-N,SMGWBKIRLMNBMH-UHFFFAOYSA-N,BPOVZYOIMMVYPR-UHFFFAOYSA-N__SMGWBKIRLMNBMH-UHFFFAOYSA-N,carbo-carbo,CC1=C(C(=CC=C1)Cl)CC(=O)OC2(CCC(CC2)C(F)(F)F)C=O,C1=CC=C(C=C1)COC2=C(C=C(C=C2F)F)CCC=O,Cc1cccc(Cl)c1CC(=O)OC1(C(=O)C(O)CCc2cc(F)cc(F)c2OCc2ccccc2)CCC(C(F)(F)F)CC1,-9.8962,2.5148,1.6238950855965086,1.755940436744502,4.138695085596509
UYTFEWNJQIOIAR-UHFFFAOYSA-N__ASXBVBZOJXHTOE-UHFFFAOYSA-N,UYTFEWNJQIOIAR-UHFFFAOYSA-N,ASXBVBZOJXHTOE-UHFFFAOYSA-N,ASXBVBZOJXHTOE-UHFFFAOYSA-N__UYTFEWNJQIOIAR-UHFFFAOYSA-N,carbo-carbo,CC(=O)C1=C(C=CC(=C1C(F)(F)F)[N+](=O)[O-])C=O,CN(C)C1CCN(C1)C2=C(C=C(C=C2)C=O)F,CC(=O)c1c(C(=O)C(O)c2ccc(N3CCC(N(C)C)C3)c(F)c2)ccc([N+](=O)[O-])c1C(F)(F)F,-9.2691,6.2004,6.049239014300875,1.750200002713527,12.249639014300875
