donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair
JJDSDCIAHJTDJL-UHFFFAOYSA-N,OCCCUVXJTJRHQQ-MUWHJKNJSA-N,CNC1=C(C=CC(=C1)F)C(CS(=O)(=O)NC)C=O,CC(C)(C)OC(=O)[C@H]1C[C@@]1(C=O)Br,CBZ3-P-BD7CBAFFEF98E640,train,A_donor_B_acceptor,aliphatic__aliphatic
OCCCUVXJTJRHQQ-MUWHJKNJSA-N,JJDSDCIAHJTDJL-UHFFFAOYSA-N,CC(C)(C)OC(=O)[C@H]1C[C@@]1(C=O)Br,CNC1=C(C=CC(=C1)F)C(CS(=O)(=O)NC)C=O,CBZ3-P-BD7CBAFFEF98E640,train,B_donor_A_acceptor,aliphatic__aliphatic
PHFJGSGGOKQRRS-SDXDJHTJSA-N,UHDBUZWXGZAAAW-UHFFFAOYSA-N,CCCC/C(=C/C(C)CC=O)/C#CC1=CC=CC=C1,CC(CCN1CCC(CC1)C2=NOC3=C2C=CC(=C3)F)OC4=C(C=C(C=C4)C(C)C=O)OC,CBZ3-P-167CD036BB6CE72D,train,A_donor_B_acceptor,aliphatic__aliphatic
UHDBUZWXGZAAAW-UHFFFAOYSA-N,PHFJGSGGOKQRRS-SDXDJHTJSA-N,CC(CCN1CCC(CC1)C2=NOC3=C2C=CC(=C3)F)OC4=C(C=C(C=C4)C(C)C=O)OC,CCCC/C(=C/C(C)CC=O)/C#CC1=CC=CC=C1,CBZ3-P-167CD036BB6CE72D,train,B_donor_A_acceptor,aliphatic__aliphatic
BKSIMBNMLARBDI-UHFFFAOYSA-N,WREAZGRFJKHLLG-UHFFFAOYSA-N,CC(C)(C)NC(=O)N1CCN(CC1CCCC=O)C2=CC=C(C=C2)F,CC(CC1=CC(=CC=C1)OC)(C=O)C2=CC=CC=C2F,CBZ3-P-586D64B92BF43019,train,A_donor_B_acceptor,aliphatic__aliphatic
WREAZGRFJKHLLG-UHFFFAOYSA-N,BKSIMBNMLARBDI-UHFFFAOYSA-N,CC(CC1=CC(=CC=C1)OC)(C=O)C2=CC=CC=C2F,CC(C)(C)NC(=O)N1CCN(CC1CCCC=O)C2=CC=C(C=C2)F,CBZ3-P-586D64B92BF43019,train,B_donor_A_acceptor,aliphatic__aliphatic
GVPGAYUIWZZDKF-UHFFFAOYSA-N,SNELJJQIKLRGST-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C=C1)C(C=O)C(C2=CC=C(C=C2)F)Br,C1=CC(=C(C=C1CCC=O)CC(=O)O)C(F)F,CBZ3-P-F5C091E4292EF40E,train,A_donor_B_acceptor,aliphatic__aliphatic
SNELJJQIKLRGST-UHFFFAOYSA-N,GVPGAYUIWZZDKF-UHFFFAOYSA-N,C1=CC(=C(C=C1CCC=O)CC(=O)O)C(F)F,CS(=O)(=O)C1=CC=C(C=C1)C(C=O)C(C2=CC=C(C=C2)F)Br,CBZ3-P-F5C091E4292EF40E,train,B_donor_A_acceptor,aliphatic__aliphatic
FWVYCWWKZQKQOX-UHFFFAOYSA-N,NAVBVBCHLOTSES-UHFFFAOYSA-N,CCOC(=O)C1=C(N=C(C=C1OC(C=O)OC)C(F)(F)Cl)C(F)(F)F,CCC(C=O)C1=CC=CC2=CC=CC=C21,CBZ3-P-D586EC473B2324CB,train,A_donor_B_acceptor,aliphatic__aliphatic
NAVBVBCHLOTSES-UHFFFAOYSA-N,FWVYCWWKZQKQOX-UHFFFAOYSA-N,CCC(C=O)C1=CC=CC2=CC=CC=C21,CCOC(=O)C1=C(N=C(C=C1OC(C=O)OC)C(F)(F)Cl)C(F)(F)F,CBZ3-P-D586EC473B2324CB,train,B_donor_A_acceptor,aliphatic__aliphatic
CKEGBCXWYHPILX-HNNXBMFYSA-N,MZJVUUVZTMQLHW-UHFFFAOYSA-N,C1[C@@](C2(CN1C(=O)OCC3=CC=CC=C3)COC2)(C=O)F,CC(C)(C)C1=CC=C(C=C1)SCC=O,CBZ3-P-4857C2B6610D551C,train,A_donor_B_acceptor,aliphatic__aliphatic
MZJVUUVZTMQLHW-UHFFFAOYSA-N,CKEGBCXWYHPILX-HNNXBMFYSA-N,CC(C)(C)C1=CC=C(C=C1)SCC=O,C1[C@@](C2(CN1C(=O)OCC3=CC=CC=C3)COC2)(C=O)F,CBZ3-P-4857C2B6610D551C,train,B_donor_A_acceptor,aliphatic__aliphatic
DEGPNPNYHFVYEQ-MRVPVSSYSA-N,MNELUXCWSJSFML-UHFFFAOYSA-N,C=CC[C@@]1(CCOC1=O)C=O,B1(OC(C(O1)(C)C)(C)C)C(=C)C(C)(CCOC2=CC=C(C=C2)I)C=O,CBZ3-P-BDDACFC29CD55D6E,train,A_donor_B_acceptor,aliphatic__aliphatic
MNELUXCWSJSFML-UHFFFAOYSA-N,DEGPNPNYHFVYEQ-MRVPVSSYSA-N,B1(OC(C(O1)(C)C)(C)C)C(=C)C(C)(CCOC2=CC=C(C=C2)I)C=O,C=CC[C@@]1(CCOC1=O)C=O,CBZ3-P-BDDACFC29CD55D6E,train,B_donor_A_acceptor,aliphatic__aliphatic
RMFRJTNXBFQXQO-UHFFFAOYSA-N,XFEXBAHWZHVIGE-UHFFFAOYSA-N,CC(C)[Si](C(C)C)(C(C)C)OCC1=CC=CC=C1CCC=O,COC1=CC(=C(C(=C1OC)CCC=O)F)Cl,CBZ3-P-0F33FB4C3074305E,train,A_donor_B_acceptor,aliphatic__aliphatic
XFEXBAHWZHVIGE-UHFFFAOYSA-N,RMFRJTNXBFQXQO-UHFFFAOYSA-N,COC1=CC(=C(C(=C1OC)CCC=O)F)Cl,CC(C)[Si](C(C)C)(C(C)C)OCC1=CC=CC=C1CCC=O,CBZ3-P-0F33FB4C3074305E,train,B_donor_A_acceptor,aliphatic__aliphatic
JRAXVQOVDTXCDU-LLVKDONJSA-N,XOGIFCAGQBTOQE-UEWDXFNNSA-N,CC(C)(C)OC(=O)N[C@@H](COC1=C(C=C(C=C1)F)NC)C=O,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])C1=CC=CC=C1,CBZ3-P-24D9814828F0605A,train,A_donor_B_acceptor,aliphatic__aliphatic
XOGIFCAGQBTOQE-UEWDXFNNSA-N,JRAXVQOVDTXCDU-LLVKDONJSA-N,CC(C)C(C=O)[C@@H](C[N+](=O)[O-])C1=CC=CC=C1,CC(C)(C)OC(=O)N[C@@H](COC1=C(C=C(C=C1)F)NC)C=O,CBZ3-P-24D9814828F0605A,train,B_donor_A_acceptor,aliphatic__aliphatic
KTMQFFMAXYYTDS-UHFFFAOYSA-N,UDVWLVFNKCQMNL-UHFFFAOYSA-N,CC(C=O)C1=C(C(=CC=C1)Cl)F,COC1=C(C=C(C=C1)C2(CC3(C2)OCCO3)C=O)OC4CCCC4,CBZ3-P-A6FA8C3905895B95,train,A_donor_B_acceptor,aliphatic__aliphatic
UDVWLVFNKCQMNL-UHFFFAOYSA-N,KTMQFFMAXYYTDS-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C2(CC3(C2)OCCO3)C=O)OC4CCCC4,CC(C=O)C1=C(C(=CC=C1)Cl)F,CBZ3-P-A6FA8C3905895B95,train,B_donor_A_acceptor,aliphatic__aliphatic
RQHDTKDDPYVTJD-UHFFFAOYSA-N,YNHHWMKLVXICCO-UHFFFAOYSA-N,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OC(CF)(C=O)F,C1CCOC(C1)OCC(CC=O)C(F)(F)F,CBZ3-P-21C44DDAAD95A66D,train,A_donor_B_acceptor,aliphatic__aliphatic
YNHHWMKLVXICCO-UHFFFAOYSA-N,RQHDTKDDPYVTJD-UHFFFAOYSA-N,C1CCOC(C1)OCC(CC=O)C(F)(F)F,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])OC(CF)(C=O)F,CBZ3-P-21C44DDAAD95A66D,train,B_donor_A_acceptor,aliphatic__aliphatic
BSUSHTPSMGKZKK-UHFFFAOYSA-N,KTBGQPYIHSZPIM-UHFFFAOYSA-N,CC(C)(C)OC(=O)NC1(CC(C1)(F)F)C=O,C=CC1CCCC1C=O,CBZ3-P-77A33D03122F5FE8,train,A_donor_B_acceptor,aliphatic__aliphatic
KTBGQPYIHSZPIM-UHFFFAOYSA-N,BSUSHTPSMGKZKK-UHFFFAOYSA-N,C=CC1CCCC1C=O,CC(C)(C)OC(=O)NC1(CC(C1)(F)F)C=O,CBZ3-P-77A33D03122F5FE8,train,B_donor_A_acceptor,aliphatic__aliphatic
MXQOBFWZBIXBHB-RXABAKJHSA-N,VNEBKCDPIYCYLU-UHFFFAOYSA-N,C[C@@H]1[C@H](O[C@H]2[C@@H]([C@H]1OCC3=CC=CC=C3)N=C(S2)N(CCF)C(=O)OC(C)(C)C)C=O,C1CC(CCC1F)(C=O)O,CBZ3-P-BF68BF99EC42096D,train,A_donor_B_acceptor,aliphatic__aliphatic
VNEBKCDPIYCYLU-UHFFFAOYSA-N,MXQOBFWZBIXBHB-RXABAKJHSA-N,C1CC(CCC1F)(C=O)O,C[C@@H]1[C@H](O[C@H]2[C@@H]([C@H]1OCC3=CC=CC=C3)N=C(S2)N(CCF)C(=O)OC(C)(C)C)C=O,CBZ3-P-BF68BF99EC42096D,train,B_donor_A_acceptor,aliphatic__aliphatic
FALODJPKPCMAQC-UHFFFAOYSA-N,QVHLXIBNXIMQJA-UHFFFAOYSA-N,CN(C)C(CC1=CNC2=C1C(=CC=C2)[N+](=O)[O-])C(=O)N(C)C(CC3=C(C(=CC=C3)O)F)C=O,C1=C(C(=NC(=N1)N)C(CBr)C=O)F,CBZ3-P-C69A1C271932D265,train,A_donor_B_acceptor,aliphatic__aliphatic
QVHLXIBNXIMQJA-UHFFFAOYSA-N,FALODJPKPCMAQC-UHFFFAOYSA-N,C1=C(C(=NC(=N1)N)C(CBr)C=O)F,CN(C)C(CC1=CNC2=C1C(=CC=C2)[N+](=O)[O-])C(=O)N(C)C(CC3=C(C(=CC=C3)O)F)C=O,CBZ3-P-C69A1C271932D265,train,B_donor_A_acceptor,aliphatic__aliphatic
SVUFKEBDWUZPPG-UHFFFAOYSA-N,YOJNEVMYFGUBLO-UHFFFAOYSA-N,CC1=C(C(=C(C=C1)F)CCC=O)Cl,CCC1CC(N(N=C1C2=CC(=C(C=C2)OC)OC(F)F)CC3=CC=C(C=C3)NC(=O)CC)C=O,CBZ3-P-C81B775D0ED8DBB7,train,A_donor_B_acceptor,aliphatic__aliphatic
