donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,donor_canon,acceptor_canon,new_scaffold_split_721
JJDSDCIAHJTDJL-UHFFFAOYSA-N,OCCCUVXJTJRHQQ-MUWHJKNJSA-N,CNC1=C(C=CC(=C1)F)C(CS(=O)(=O)NC)C=O,CC(C)(C)OC(=O)[C@H]1C[C@@]1(C=O)Br,CBZ3-P-BD7CBAFFEF98E640,train,A_donor_B_acceptor,aliphatic__aliphatic,CNc1cc(F)ccc1C(C=O)CS(=O)(=O)NC,CC(C)(C)OC(=O)[C@H]1C[C@]1(Br)C=O,train
OCCCUVXJTJRHQQ-MUWHJKNJSA-N,JJDSDCIAHJTDJL-UHFFFAOYSA-N,CC(C)(C)OC(=O)[C@H]1C[C@@]1(C=O)Br,CNC1=C(C=CC(=C1)F)C(CS(=O)(=O)NC)C=O,CBZ3-P-BD7CBAFFEF98E640,train,B_donor_A_acceptor,aliphatic__aliphatic,CC(C)(C)OC(=O)[C@H]1C[C@]1(Br)C=O,CNc1cc(F)ccc1C(C=O)CS(=O)(=O)NC,train
PHFJGSGGOKQRRS-SDXDJHTJSA-N,UHDBUZWXGZAAAW-UHFFFAOYSA-N,CCCC/C(=C/C(C)CC=O)/C#CC1=CC=CC=C1,CC(CCN1CCC(CC1)C2=NOC3=C2C=CC(=C3)F)OC4=C(C=C(C=C4)C(C)C=O)OC,CBZ3-P-167CD036BB6CE72D,train,A_donor_B_acceptor,aliphatic__aliphatic,CCCC/C(C#Cc1ccccc1)=C/C(C)CC=O,COc1cc(C(C)C=O)ccc1OC(C)CCN1CCC(c2noc3cc(F)ccc23)CC1,train
UHDBUZWXGZAAAW-UHFFFAOYSA-N,PHFJGSGGOKQRRS-SDXDJHTJSA-N,CC(CCN1CCC(CC1)C2=NOC3=C2C=CC(=C3)F)OC4=C(C=C(C=C4)C(C)C=O)OC,CCCC/C(=C/C(C)CC=O)/C#CC1=CC=CC=C1,CBZ3-P-167CD036BB6CE72D,train,B_donor_A_acceptor,aliphatic__aliphatic,COc1cc(C(C)C=O)ccc1OC(C)CCN1CCC(c2noc3cc(F)ccc23)CC1,CCCC/C(C#Cc1ccccc1)=C/C(C)CC=O,train
BKSIMBNMLARBDI-UHFFFAOYSA-N,WREAZGRFJKHLLG-UHFFFAOYSA-N,CC(C)(C)NC(=O)N1CCN(CC1CCCC=O)C2=CC=C(C=C2)F,CC(CC1=CC(=CC=C1)OC)(C=O)C2=CC=CC=C2F,CBZ3-P-586D64B92BF43019,train,A_donor_B_acceptor,aliphatic__aliphatic,CC(C)(C)NC(=O)N1CCN(c2ccc(F)cc2)CC1CCCC=O,COc1cccc(CC(C)(C=O)c2ccccc2F)c1,train
WREAZGRFJKHLLG-UHFFFAOYSA-N,BKSIMBNMLARBDI-UHFFFAOYSA-N,CC(CC1=CC(=CC=C1)OC)(C=O)C2=CC=CC=C2F,CC(C)(C)NC(=O)N1CCN(CC1CCCC=O)C2=CC=C(C=C2)F,CBZ3-P-586D64B92BF43019,train,B_donor_A_acceptor,aliphatic__aliphatic,COc1cccc(CC(C)(C=O)c2ccccc2F)c1,CC(C)(C)NC(=O)N1CCN(c2ccc(F)cc2)CC1CCCC=O,train
GVPGAYUIWZZDKF-UHFFFAOYSA-N,SNELJJQIKLRGST-UHFFFAOYSA-N,CS(=O)(=O)C1=CC=C(C=C1)C(C=O)C(C2=CC=C(C=C2)F)Br,C1=CC(=C(C=C1CCC=O)CC(=O)O)C(F)F,CBZ3-P-F5C091E4292EF40E,train,A_donor_B_acceptor,aliphatic__aliphatic,CS(=O)(=O)c1ccc(C(C=O)C(Br)c2ccc(F)cc2)cc1,O=CCCc1ccc(C(F)F)c(CC(=O)O)c1,train
SNELJJQIKLRGST-UHFFFAOYSA-N,GVPGAYUIWZZDKF-UHFFFAOYSA-N,C1=CC(=C(C=C1CCC=O)CC(=O)O)C(F)F,CS(=O)(=O)C1=CC=C(C=C1)C(C=O)C(C2=CC=C(C=C2)F)Br,CBZ3-P-F5C091E4292EF40E,train,B_donor_A_acceptor,aliphatic__aliphatic,O=CCCc1ccc(C(F)F)c(CC(=O)O)c1,CS(=O)(=O)c1ccc(C(C=O)C(Br)c2ccc(F)cc2)cc1,train
FWVYCWWKZQKQOX-UHFFFAOYSA-N,NAVBVBCHLOTSES-UHFFFAOYSA-N,CCOC(=O)C1=C(N=C(C=C1OC(C=O)OC)C(F)(F)Cl)C(F)(F)F,CCC(C=O)C1=CC=CC2=CC=CC=C21,CBZ3-P-D586EC473B2324CB,train,A_donor_B_acceptor,aliphatic__aliphatic,CCOC(=O)c1c(OC(C=O)OC)cc(C(F)(F)Cl)nc1C(F)(F)F,CCC(C=O)c1cccc2ccccc12,train
NAVBVBCHLOTSES-UHFFFAOYSA-N,FWVYCWWKZQKQOX-UHFFFAOYSA-N,CCC(C=O)C1=CC=CC2=CC=CC=C21,CCOC(=O)C1=C(N=C(C=C1OC(C=O)OC)C(F)(F)Cl)C(F)(F)F,CBZ3-P-D586EC473B2324CB,train,B_donor_A_acceptor,aliphatic__aliphatic,CCC(C=O)c1cccc2ccccc12,CCOC(=O)c1c(OC(C=O)OC)cc(C(F)(F)Cl)nc1C(F)(F)F,train
