bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
43.682,-1977.916292988888,-929.366861720432,-1048.479819173933,,FOFOFLWSOQEPHB-MRVPVSSYSA-N__JUBOXWNQFASCKI-UHFFFAOYSA-N
50.716,-4126.379134203291,-540.478052418598,-3585.820261136672,,CEPQSJSRIGCOQG-UHFFFAOYSA-N__SVEGHZPNTKXIPP-UHFFFAOYSA-N
59.36,-2021.5693853923162,-754.055365717114,-1267.419424102349,,MRYNMPBDUNKDGX-UHFFFAOYSA-N__FKGWZZOMWGPGRS-UHFFFAOYSA-N
63.802,-2021.5625805652323,-1266.208119929642,-755.252785057452,,FKGWZZOMWGPGRS-UHFFFAOYSA-N__MRYNMPBDUNKDGX-UHFFFAOYSA-N
52.352,-1822.205816407872,-607.075634209125,-1215.046753480265,,RVPOCGAUEMTWBQ-RRFJBIMHSA-N__UVBBWWQDPAIZRG-UHFFFAOYSA-N
64.774,-4126.375480722671,-3584.593135394501,-541.679121676528,,SVEGHZPNTKXIPP-UHFFFAOYSA-N__CEPQSJSRIGCOQG-UHFFFAOYSA-N
51.893,-1973.8607311745359,-1026.183740069228,-947.594294423841,,OLSUJJKOIOAEHX-UHFFFAOYSA-N__PGKSYFBXEYAUQU-UHFFFAOYSA-N
66.036,-1973.854205990103,-946.368676417773,-1027.380294858232,,PGKSYFBXEYAUQU-UHFFFAOYSA-N__OLSUJJKOIOAEHX-UHFFFAOYSA-N
42.251,-4610.465038249704,-3188.930929228454,-1421.466778049112,,ICAXOVQPPNJWDL-UHFFFAOYSA-N__KRZLQRGQXLIIKZ-UHFFFAOYSA-N
58.172,-1983.654362829093,-943.077494699834,-1040.484165049799,,JZNCCHGLSKDBKI-UHFFFAOYSA-N__NUXFYSDDAKBZOC-UHFFFAOYSA-N
51.856,-2078.4424655498897,-1306.245626114495,-772.114202066394,,XFXQRCCJFPFDOU-LFYBBSHMSA-N__SDCPOMWZGWCAPL-UHFFFAOYSA-N
46.691,-5402.538627563534,-1262.221584257559,-4140.242636133611,,ZCFRROINXBBKHI-UHFFFAOYSA-N__NDDZKDJXMNVIQK-UHFFFAOYSA-N
74.592,-1475.788685481414,-689.523162685658,-786.146653171321,,VEKIOPHUAMCOKV-UHFFFAOYSA-N__WLCAELPQNVYTOD-UHFFFAOYSA-N
56.413,-2426.797732791957,-1274.396468927812,-1152.311363918833,,WGJZFCLKCJIDDZ-UHFFFAOYSA-N__FIYZRUSLVCHETG-UHFFFAOYSA-N
34.735,-2426.7877952692893,-1151.124903335383,-1275.607537833923,,FIYZRUSLVCHETG-UHFFFAOYSA-N__WGJZFCLKCJIDDZ-UHFFFAOYSA-N
59.038,-1475.7886647126202,-784.947772192055,-690.746808832824,,WLCAELPQNVYTOD-UHFFFAOYSA-N__VEKIOPHUAMCOKV-UHFFFAOYSA-N
70.775,-1503.20833909065,-653.187158529898,-849.908394168115,,UMQANUADZBXGDC-UHFFFAOYSA-N__UHPBTYVDEVVQAE-UHFFFAOYSA-N
49.762,-1503.212649006023,-848.716747630735,-654.416601117013,,UHPBTYVDEVVQAE-UHFFFAOYSA-N__UMQANUADZBXGDC-UHFFFAOYSA-N
70.182,-1621.6321310396681,-976.693813379132,-644.826475367169,,DNCKLLKJICUOHK-UHFFFAOYSA-N__QQVNJGSZBSTGBJ-UHFFFAOYSA-N
57.72,-1621.6332944038293,-643.625120073687,-977.916191377597,,QQVNJGSZBSTGBJ-UHFFFAOYSA-N__DNCKLLKJICUOHK-UHFFFAOYSA-N
74.111,-4680.164071166524,-3771.458624371163,-908.587343796677,,KRXXLXVPJVKASO-UHFFFAOYSA-N__ZUDZRDPPOJPYTR-UHFFFAOYSA-N
55.896,-4680.160153106468,-907.387277276579,-3772.683799856474,,ZUDZRDPPOJPYTR-UHFFFAOYSA-N__KRXXLXVPJVKASO-UHFFFAOYSA-N
71.216,-1951.828386593381,-591.817106445378,-1359.897789907918,,RPBDGPLCGCJDOM-UHFFFAOYSA-N__CGCJORYWJWGOSE-UHFFFAOYSA-N
67.285,-1951.820641568179,-1358.672359804179,-593.041055747703,,CGCJORYWJWGOSE-UHFFFAOYSA-N__RPBDGPLCGCJDOM-UHFFFAOYSA-N
56.054,-2482.2408818466984,-1352.118402991209,-1130.033151726497,,RTSPCRQPYVTRNU-UHFFFAOYSA-N__VXHIQXUQANJDFT-UHFFFAOYSA-N
75.408,-2482.240949468487,-1128.805509832684,-1353.315269415712,,VXHIQXUQANJDFT-UHFFFAOYSA-N__RTSPCRQPYVTRNU-UHFFFAOYSA-N
37.546,-2030.74677952334,-1589.908724148877,-440.778221455966,,BPJLULMXDAFEEV-GXTWGEPZSA-N__ATFCGKNSKZRWPQ-NSCUHMNNSA-N
53.481,-2732.395100946504,-1355.512559166717,-1376.797314045201,,SCPFTOUMHROXEB-UHFFFAOYSA-N__ZCLWUZXDWPSGLS-UHFFFAOYSA-N
43.337,-2732.395054781781,-1375.601624696748,-1356.724367918591,,ZCLWUZXDWPSGLS-UHFFFAOYSA-N__SCPFTOUMHROXEB-UHFFFAOYSA-N
54.198,-2677.613855075194,-961.45729626933,-1716.070188092863,,MNUCRXMVLDLHBT-UHFFFAOYSA-N__BWPCYJTYPRWAHY-UHFFFAOYSA-N
50.817,-2677.6284741329564,-1714.874068852361,-962.673423906446,,BWPCYJTYPRWAHY-UHFFFAOYSA-N__MNUCRXMVLDLHBT-UHFFFAOYSA-N
33.291,-2441.311988060056,-1193.219693989859,-1248.039241533784,,ZDSNJXQGXIBXHN-UHFFFAOYSA-N__XWQXETBTXZKVQL-UHFFFAOYSA-N
74.927,-2560.521117349646,-1320.284863662402,-1240.116850566664,,HLMVDDICKYMIFS-UHFFFAOYSA-N__IPCMTSDTWGGRLY-UHFFFAOYSA-N
62.036,-2560.520664214509,-1238.914185363155,-1321.507617600757,,IPCMTSDTWGGRLY-UHFFFAOYSA-N__HLMVDDICKYMIFS-UHFFFAOYSA-N
74.849,-2441.334485944355,-1246.803723133419,-1194.411483590585,,XWQXETBTXZKVQL-UHFFFAOYSA-N__ZDSNJXQGXIBXHN-UHFFFAOYSA-N
