id,smiles,xtb_optimized,error,xyz_file,G_xtb,G_gxtb,xtb_energy,xtb_HOMO,xtb_LUMO,xtb_gap,xtb_IP,xtb_EA,xtb_mu,xtb_eta,xtb_omega,xtb_dipole,mulliken_CHO_C,mulliken_CHO_O,fukui_plus_CHO_C,fukui_minus_CHO_C,fukui_0_CHO_C,dual_descriptor_CHO_C,wbo_CO,pa_CHO_O,vbur_CHO_C,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,adch_CHO_C,adch_CHO_O,adch_fukui_plus_CHO_C,adch_fukui_minus_CHO_C,adch_fukui_minus_CHO_O,qtaim_lap_CO,qtaim_ell_CO
NVLXGRLOWNQSEH-UHFFFAOYSA-N,CCN(C1=C(C=C(C=C1)C=O)F)C(C)COC,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0372/xyz_ald/ald_NVLXGRLOWNQSEH-UHFFFAOYSA-N.xyz,-52.572917977014,-811.00436712853,-52.787092191387,-10.0207,-7.6286,2.3921,7.5471,0.0662,-3.80665,3.74045,1.937011,6.087,0.20196,-0.359481,0.053021,0.00503,0.029025,0.047991,1.820739,64.5063,43.5246,9.6377,3.1144,5.2914,442.1791,18.0831,,,,,,,
OJABVAZWEVUXLW-UHFFFAOYSA-N,C1=CC(=CC(=C1)Cl)SC2=CC=C(S2)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0406/xyz_ald/ald_OJABVAZWEVUXLW-UHFFFAOYSA-N.xyz,-42.110201075178,-1755.088102550729,-42.186343734551,-10.4882,-8.26,2.2282,7.889,1.0821,-4.48555,3.40345,2.955848,3.747,0.201498,-0.353768,0.029883,0.004281,0.017082,0.025602,1.802528,58.849,43.0686,7.5887,1.8803,7.9403,423.7303,20.0797,,,,,,,
KACGDEXHDYYYND-UHFFFAOYSA-N,COC1=CC=C(C=C1)C2=CC=C(C=C2)OCC3=C(OC(=C3)C=O)C(=O)N,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0469/xyz_ald/ald_KACGDEXHDYYYND-UHFFFAOYSA-N.xyz,-74.502207991064,-1203.021561677969,-74.72760939203,-9.8825,-8.6473,1.2352,7.0958,1.2101,-4.15295,2.94285,2.930322,3.209,0.197874,-0.320756,0.040595,0.001176,0.020886,0.039419,1.846158,55.0168,40.6792,7.519,1.9451,13.8532,604.1788,19.4098,,,,,,,
COOJCEBTDFQTOP-UHFFFAOYSA-N,CCC1=CC=C(C=C1)COC2CCC(CC2)CCC=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0501/xyz_ald/ald_COOJCEBTDFQTOP-UHFFFAOYSA-N.xyz,-59.618605823596,-851.63355563194,-59.939933805548,-10.5426,-7.1278,3.4148,7.6331,-0.4308,-3.60115,4.03195,1.60819,4.174,0.215375,-0.335608,0.075035,0.002299,0.038667,0.072736,1.906117,46.4515,49.2505,5.4439,1.9853,12.8047,545.7494,18.2417,,,,,,,
XSMSJUPFVRBUNU-SXDGJLEOSA-N,C[C@@H](CC=O)[C@@H](C)[C@@H](C(C)C)OC(=O)C1=CC=CC=C1P(C2=CC=CC=C2)C3=CC=CC=C3,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/chunk_0529/xyz_ald/ald_XSMSJUPFVRBUNU-SXDGJLEOSA-N.xyz,-93.197681207662,-1691.5137336184969,-93.637807734119,-9.9441,-7.4369,2.5072,7.0946,0.6499,-3.87225,3.22235,2.326613,0.929,0.217449,-0.327777,0.036926,0.00024,0.018583,0.036686,1.918303,45.9289,58.3861,5.7258,1.9632,11.3743,654.7117,22.1546,,,,,,,
QPFMUBBUQCSFDV-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)C(C=O)SC2=NC(=CC(=N2)OC)OC,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/retry2/chunk_0028/xyz_ald/ald_QPFMUBBUQCSFDV-UHFFFAOYSA-N.xyz,-70.794543673994,-1432.2411218205848,-71.070076857903,-10.3085,-7.6243,2.6842,7.5002,0.3061,-3.90315,3.59705,2.117649,2.609,0.219797,-0.318704,0.039814,-0.001015,0.0194,0.040829,1.913694,58.9081,58.5772,6.8336,4.0809,8.7381,591.8101,19.3233,,,,,,,
VCNFKEUUFPZRCZ-UHFFFAOYSA-N,CCCCCCCCCCC#CC1=CC=CC(=C1)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/retry2/chunk_0064/xyz_ald/ald_VCNFKEUUFPZRCZ-UHFFFAOYSA-N.xyz,-57.632975297499,-814.449542932296,-57.945032444219,-10.6774,-7.9067,2.7707,7.658,0.2513,-3.95465,3.70335,2.111501,5.011,0.206406,-0.339043,0.05326,0.003755,0.028508,0.049505,1.86482,50.9509,43.5508,14.7522,1.8394,13.9505,620.771,17.405,,,,,,,
UQCHETQJZPBTAV-YNZXEFLISA-N,CC(C)[C@@H](C(=O)N1[C@H]2CC[C@@H](C2)[C@H]1C(=O)NC(CC(=O)O)C=O)NC(=O)C3=C(C(=CC=C3)OC)F,False,ald_embed_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
YTDMAWAMAUCBRP-UHFFFAOYSA-N,C1=CC(=C(C=C1C2=C(C=C(C=C2)F)O)O)C=O,True,,/scratch-shared/schen3/benzoin-dg/data/cross_benzoin/cross_round9/retry2/chunk_0092/xyz_ald/ald_YTDMAWAMAUCBRP-UHFFFAOYSA-N.xyz,-49.231131223774,-826.252429916821,-49.346171926137,-10.9514,-8.4027,2.5487,8.3354,1.0487,-4.69205,3.64335,3.021304,2.195,0.202752,-0.378687,0.04448,0.004617,0.024549,0.039863,1.773424,46.0797,45.6153,11.697,2.3193,3.9253,409.3276,18.7539,,,,,,,
VDMOJABOVCJHCI-UHFFFAOYSA-N,COC(=O)C1=C2CCC3=C(C=C(CCC(=C1)C=C2)C=C3)C=O,False,ald_embed_failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
