donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,stratum
PHQFWEBQUNTCTR-UHFFFAOYSA-N,WUTFYJZAGOCMPF-UHFFFAOYSA-N,C(C(C=O)C(F)(F)F)N,CCCNC1=CC2=C(C=C1C(F)(F)F)NC(=O)CN2C(C=O)P(=O)(O)O,CBZ3-P-1DF8DF7E334BB6E7,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WUTFYJZAGOCMPF-UHFFFAOYSA-N,PHQFWEBQUNTCTR-UHFFFAOYSA-N,CCCNC1=CC2=C(C=C1C(F)(F)F)NC(=O)CN2C(C=O)P(=O)(O)O,C(C(C=O)C(F)(F)F)N,CBZ3-P-1DF8DF7E334BB6E7,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
MZKAVJUFPSASHI-UHFFFAOYSA-N,NGTRHKQXNIIWBJ-NRFANRHFSA-N,CC1=CC(=C(C=C1)C(C)C=O)CC(C)C,CC(C)[Si](C#C[C@H](CC=O)CC1=CC=CC=C1)(C(C)C)C(C)C,CBZ3-P-C170DE875BAAF680,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
NGTRHKQXNIIWBJ-NRFANRHFSA-N,MZKAVJUFPSASHI-UHFFFAOYSA-N,CC(C)[Si](C#C[C@H](CC=O)CC1=CC=CC=C1)(C(C)C)C(C)C,CC1=CC(=C(C=C1)C(C)C=O)CC(C)C,CBZ3-P-C170DE875BAAF680,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
WPUQGSJCMKVWSW-UHFFFAOYSA-N,XPOTYCKYRLKWGZ-UHFFFAOYSA-N,CC(CC=O)C1=C(C=CC=C1OC)CF,CCC(C)N1CCN(CC1)C2=NC(C3=C(S2)C(=CC(=C3)C(F)(F)F)[N+](=O)[O-])C=O,CBZ3-P-82370D27323B4127,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XPOTYCKYRLKWGZ-UHFFFAOYSA-N,WPUQGSJCMKVWSW-UHFFFAOYSA-N,CCC(C)N1CCN(CC1)C2=NC(C3=C(S2)C(=CC(=C3)C(F)(F)F)[N+](=O)[O-])C=O,CC(CC=O)C1=C(C=CC=C1OC)CF,CBZ3-P-82370D27323B4127,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CDSUIJCAVBKROE-HNNXBMFYSA-N,WHQWXIAAAOMVBE-UHFFFAOYSA-N,C[C@](CCC(=O)NC)(C=O)N1CC2=C(C1=O)C=C(C=C2N)F,CCOC(=O)C(C=O)C1=CC=C(C=C1)C(=O)OC,CBZ3-P-A2F34535CD83165F,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WHQWXIAAAOMVBE-UHFFFAOYSA-N,CDSUIJCAVBKROE-HNNXBMFYSA-N,CCOC(=O)C(C=O)C1=CC=C(C=C1)C(=O)OC,C[C@](CCC(=O)NC)(C=O)N1CC2=C(C1=O)C=C(C=C2N)F,CBZ3-P-A2F34535CD83165F,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
QSSXSIHCSRHAAQ-UHFFFAOYSA-N,UJQQYHYUZDNOAJ-VAWYXSNFSA-N,C1=CC(=C(C(=C1)F)Cl)CCC=O,C/C(=C\C(=O)C1=CC=CC=C1)/CCCC=O,CBZ3-P-A11B1AD3F998BA11,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
UJQQYHYUZDNOAJ-VAWYXSNFSA-N,QSSXSIHCSRHAAQ-UHFFFAOYSA-N,C/C(=C\C(=O)C1=CC=CC=C1)/CCCC=O,C1=CC(=C(C(=C1)F)Cl)CCC=O,CBZ3-P-A11B1AD3F998BA11,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CXHNPSUBPIFFSP-UHFFFAOYSA-N,QTSPKVQNCIOVAH-UHFFFAOYSA-N,C1=C(C=C(C=C1F)F)C(C=O)Cl,COCC12CN(CC(C1C=O)(C(CC2OCC3=CC=CC=C3)OC)O)CC4=CC=C(C=C4)OC,CBZ3-P-920346538E983AFA,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
QTSPKVQNCIOVAH-UHFFFAOYSA-N,CXHNPSUBPIFFSP-UHFFFAOYSA-N,COCC12CN(CC(C1C=O)(C(CC2OCC3=CC=CC=C3)OC)O)CC4=CC=C(C=C4)OC,C1=C(C=C(C=C1F)F)C(C=O)Cl,CBZ3-P-920346538E983AFA,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
IJYRAELELNMUJA-UHFFFAOYSA-N,MGUKUZPEHNFJEA-UHFFFAOYSA-N,CC1(CC2=C(N1C(=O)C3=NC(=CC=C3)C(F)(F)F)C=C4C=NN(C4=C2)C5CCC(CC5)C=O)O,CC(C)(CC(C=O)(C(F)(F)F)O)C1=C(C=CC(=C1)F)F,CBZ3-P-72EFBF4D68C3F04E,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
MGUKUZPEHNFJEA-UHFFFAOYSA-N,IJYRAELELNMUJA-UHFFFAOYSA-N,CC(C)(CC(C=O)(C(F)(F)F)O)C1=C(C=CC(=C1)F)F,CC1(CC2=C(N1C(=O)C3=NC(=CC=C3)C(F)(F)F)C=C4C=NN(C4=C2)C5CCC(CC5)C=O)O,CBZ3-P-72EFBF4D68C3F04E,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BKVKFFINIXHUHI-UHFFFAOYSA-N,JADLEMMVUDFWNU-UHFFFAOYSA-N,CC(CCCC=O)O[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C(C)(C)C,CC1=CC=C(C=C1)S(=O)C(CC2=CC=CC=C2)(C=O)Cl,CBZ3-P-49524B5D5CC620A7,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
JADLEMMVUDFWNU-UHFFFAOYSA-N,BKVKFFINIXHUHI-UHFFFAOYSA-N,CC1=CC=C(C=C1)S(=O)C(CC2=CC=CC=C2)(C=O)Cl,CC(CCCC=O)O[Si](C1=CC=CC=C1)(C2=CC=CC=C2)C(C)(C)C,CBZ3-P-49524B5D5CC620A7,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
OYUOPKHJYOVCHI-UHFFFAOYSA-N,WDACUNFSVMXBFA-UHFFFAOYSA-N,CCOC(=O)C(C=O)C1CC1,C1=CC(=C(C=C1N2C(ON=C2C3=NON=C3[N+](=O)[O-])C=O)Cl)F,CBZ3-P-ECD3AB3B39D95058,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WDACUNFSVMXBFA-UHFFFAOYSA-N,OYUOPKHJYOVCHI-UHFFFAOYSA-N,C1=CC(=C(C=C1N2C(ON=C2C3=NON=C3[N+](=O)[O-])C=O)Cl)F,CCOC(=O)C(C=O)C1CC1,CBZ3-P-ECD3AB3B39D95058,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
AAHIKFYUQNIAQJ-UHFFFAOYSA-N,IKHXXTFAHYTFHY-UHFFFAOYSA-N,COC1=CC=CC=C1N2C(=CN3C2=NC4=C3C(=O)NC(=O)N4C(C=O)OC)C5=CC=C(C=C5)F,CC(C)(C)C1=CC=C(C=C1)CC(=O)N2CCC(CC2)N3C(NC4=CC=CC(=C43)C(F)(F)F)C=O,CBZ3-P-7D96540C687676F8,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
IKHXXTFAHYTFHY-UHFFFAOYSA-N,AAHIKFYUQNIAQJ-UHFFFAOYSA-N,CC(C)(C)C1=CC=C(C=C1)CC(=O)N2CCC(CC2)N3C(NC4=CC=CC(=C43)C(F)(F)F)C=O,COC1=CC=CC=C1N2C(=CN3C2=NC4=C3C(=O)NC(=O)N4C(C=O)OC)C5=CC=C(C=C5)F,CBZ3-P-7D96540C687676F8,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
WKOLCMQGXLXBNN-UHFFFAOYSA-N,YTOOSXILRUJVFB-UHFFFAOYSA-N,C1CN(CCN1)C2=C(C=C(C=C2)NC3=C4C(NC=CC4=CC(=N3)C5=CN=CN=C5)C=O)C(F)(F)F,C1=CC=C(C=C1)COC(=O)NC(CC2=CC=C(C=C2)O)C=O,CBZ3-P-42F74F5B4CBA678A,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
YTOOSXILRUJVFB-UHFFFAOYSA-N,WKOLCMQGXLXBNN-UHFFFAOYSA-N,C1=CC=C(C=C1)COC(=O)NC(CC2=CC=C(C=C2)O)C=O,C1CN(CCN1)C2=C(C=C(C=C2)NC3=C4C(NC=CC4=CC(=N3)C5=CN=CN=C5)C=O)C(F)(F)F,CBZ3-P-42F74F5B4CBA678A,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
BVODWLVTMBKADR-UHFFFAOYSA-N,PQAXKDDXTKILER-SNVBAGLBSA-N,CC(CC=O)C1=C(C=C(C(=C1)OC)CF)OC,C[C@@](CC1=CC=CC=C1)(C=O)O,CBZ3-P-FF79548E0A362B66,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
PQAXKDDXTKILER-SNVBAGLBSA-N,BVODWLVTMBKADR-UHFFFAOYSA-N,C[C@@](CC1=CC=CC=C1)(C=O)O,CC(CC=O)C1=C(C=C(C(=C1)OC)CF)OC,CBZ3-P-FF79548E0A362B66,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
JWYSIBPURBHLPT-UHFFFAOYSA-N,ZGGDFLZXBOFJBS-UHFFFAOYSA-N,CC1=CC(=CC(=C1F)C)NC2=C(N=C3N2CCN(C3)CC(C)(C=O)N)C4=CC=C(C=C4)F,C1C(CC1F)C=O,CBZ3-P-51EA47EE399A79DC,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
