donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_pair_id,new_scaffold_split,orientation,class_pair,stratum
PHQFWEBQUNTCTR-UHFFFAOYSA-N,WUTFYJZAGOCMPF-UHFFFAOYSA-N,C(C(C=O)C(F)(F)F)N,CCCNC1=CC2=C(C=C1C(F)(F)F)NC(=O)CN2C(C=O)P(=O)(O)O,CBZ3-P-1DF8DF7E334BB6E7,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
MZKAVJUFPSASHI-UHFFFAOYSA-N,NGTRHKQXNIIWBJ-NRFANRHFSA-N,CC1=CC(=C(C=C1)C(C)C=O)CC(C)C,CC(C)[Si](C#C[C@H](CC=O)CC1=CC=CC=C1)(C(C)C)C(C)C,CBZ3-P-C170DE875BAAF680,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WPUQGSJCMKVWSW-UHFFFAOYSA-N,XPOTYCKYRLKWGZ-UHFFFAOYSA-N,CC(CC=O)C1=C(C=CC=C1OC)CF,CCC(C)N1CCN(CC1)C2=NC(C3=C(S2)C(=CC(=C3)C(F)(F)F)[N+](=O)[O-])C=O,CBZ3-P-82370D27323B4127,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
XPOTYCKYRLKWGZ-UHFFFAOYSA-N,WPUQGSJCMKVWSW-UHFFFAOYSA-N,CCC(C)N1CCN(CC1)C2=NC(C3=C(S2)C(=CC(=C3)C(F)(F)F)[N+](=O)[O-])C=O,CC(CC=O)C1=C(C=CC=C1OC)CF,CBZ3-P-82370D27323B4127,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CDSUIJCAVBKROE-HNNXBMFYSA-N,WHQWXIAAAOMVBE-UHFFFAOYSA-N,C[C@](CCC(=O)NC)(C=O)N1CC2=C(C1=O)C=C(C=C2N)F,CCOC(=O)C(C=O)C1=CC=C(C=C1)C(=O)OC,CBZ3-P-A2F34535CD83165F,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
WHQWXIAAAOMVBE-UHFFFAOYSA-N,CDSUIJCAVBKROE-HNNXBMFYSA-N,CCOC(=O)C(C=O)C1=CC=C(C=C1)C(=O)OC,C[C@](CCC(=O)NC)(C=O)N1CC2=C(C1=O)C=C(C=C2N)F,CBZ3-P-A2F34535CD83165F,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
CXHNPSUBPIFFSP-UHFFFAOYSA-N,QTSPKVQNCIOVAH-UHFFFAOYSA-N,C1=C(C=C(C=C1F)F)C(C=O)Cl,COCC12CN(CC(C1C=O)(C(CC2OCC3=CC=CC=C3)OC)O)CC4=CC=C(C=C4)OC,CBZ3-P-920346538E983AFA,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
QTSPKVQNCIOVAH-UHFFFAOYSA-N,CXHNPSUBPIFFSP-UHFFFAOYSA-N,COCC12CN(CC(C1C=O)(C(CC2OCC3=CC=CC=C3)OC)O)CC4=CC=C(C=C4)OC,C1=C(C=C(C=C1F)F)C(C=O)Cl,CBZ3-P-920346538E983AFA,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
IJYRAELELNMUJA-UHFFFAOYSA-N,MGUKUZPEHNFJEA-UHFFFAOYSA-N,CC1(CC2=C(N1C(=O)C3=NC(=CC=C3)C(F)(F)F)C=C4C=NN(C4=C2)C5CCC(CC5)C=O)O,CC(C)(CC(C=O)(C(F)(F)F)O)C1=C(C=CC(=C1)F)F,CBZ3-P-72EFBF4D68C3F04E,train,A_donor_B_acceptor,aliphatic__aliphatic,category_balanced
MGUKUZPEHNFJEA-UHFFFAOYSA-N,IJYRAELELNMUJA-UHFFFAOYSA-N,CC(C)(CC(C=O)(C(F)(F)F)O)C1=C(C=CC(=C1)F)F,CC1(CC2=C(N1C(=O)C3=NC(=CC=C3)C(F)(F)F)C=C4C=NN(C4=C2)C5CCC(CC5)C=O)O,CBZ3-P-72EFBF4D68C3F04E,train,B_donor_A_acceptor,aliphatic__aliphatic,category_balanced
