pid,donor_smiles,acceptor_smiles,prod_smiles,grp,new_scaffold_split,label,gxtb_stored
151474,O=CC(F)(F)CC1CCCS1,O=CC(F)(F)CC1CCCS1,O=C(C(O)C(F)(F)CC1CCCS1)C(F)(F)CC1CCCS1,homo,train,-5.483694542220705,
93593,O=Cc1cc2cc(F)cc(OCc3ccccc3)c2[nH]1,O=Cc1cc2cc(F)cc(OCc3ccccc3)c2[nH]1,O=C(c1cc2cc(F)cc(OCc3ccccc3)c2[nH]1)C(O)c1cc2cc(F)cc(OCc3ccccc3)c2[nH]1,homo,train,6.755955514633437,
22273,COCOCCCCC=O,COCOCCCCC=O,COCOCCCCC(=O)C(O)CCCCOCOC,homo,test,-0.5677990346584281,
188320,CC(C)(C)OC(=O)c1ccc(F)c(-c2ccc(C=O)o2)c1,CC(C)(C)OC(=O)c1ccc(F)c(-c2ccc(C=O)o2)c1,CC(C)(C)OC(=O)c1ccc(F)c(-c2ccc(C(=O)C(O)c3ccc(-c4cc(C(=O)OC(C)(C)C)ccc4F)o3)o2)c1,homo,train,4.181402227523249,
98566,O=CC1OC(CO)CN1c1ccc(-n2ccn(-c3ccccc3F)c2=O)c(F)c1,O=CC1OC(CO)CN1c1ccc(-n2ccn(-c3ccccc3F)c2=O)c(F)c1,O=C(C(O)C1OC(CO)CN1c1ccc(-n2ccn(-c3ccccc3F)c2=O)c(F)c1)C1OC(CO)CN1c1ccc(-n2ccn(-c3ccccc3F)c2=O)c(F)c1,homo,test,4.547337240757808,
201940,CCC(C=O)CC(Br)C#N,CCC(C=O)CC(Br)C#N,CCC(CC(Br)C#N)C(=O)C(O)C(CC)CC(Br)C#N,homo,test,2.388515261719522,
16385,CC(=O)OCC(C)CC=O,CC(=O)OCC(C)CC=O,CC(=O)OCC(C)CC(=O)C(O)CC(C)COC(C)=O,homo,train,-5.508220772573958,
160053,CC(C)(C)OC(=O)CSc1cc(F)cc(C=O)c1,CC(C)(C)OC(=O)CSc1cc(F)cc(C=O)c1,CC(C)(C)OC(=O)CSc1cc(F)cc(C(=O)C(O)c2cc(F)cc(SCC(=O)OC(C)(C)C)c2)c1,homo,train,4.576559405006579,
61263,CCNC(=O)c1ccc(Nc2nc(-c3c(F)cccc3F)nc(C=O)c2C(=O)OCC)cc1,CCNC(=O)c1ccc(Nc2nc(-c3c(F)cccc3F)nc(C=O)c2C(=O)OCC)cc1,CCNC(=O)c1ccc(Nc2nc(-c3c(F)cccc3F)nc(C(=O)C(O)c3nc(-c4c(F)cccc4F)nc(Nc4ccc(C(=O)NCC)cc4)c3C(=O)OCC)c2C(=O)OCC)cc1,homo,train,5.042388525740339,
111956,CCC(=O)/C=C/COc1ccccc1C=O,CCC(=O)/C=C/COc1ccccc1C=O,CCC(=O)C=CCOc1ccccc1C(=O)C(O)c1ccccc1OCC=CC(=O)CC,homo,train,7.469302492428756,
101590,O=CC1OOC(C2CCC(F)(F)C2)O1,O=CC1OOC(C2CCC(F)(F)C2)O1,O=C(C1OOC(C2CCC(F)(F)C2)O1)C(O)C1OOC(C2CCC(F)(F)C2)O1,homo,test,-4.918159605502666,
218045,CCOCOc1c(C)c(C)c2c(c1C)CCC(C)(C=O)O2,CCOCOc1c(C)c(C)c2c(c1C)CCC(C)(C=O)O2,CCOCOc1c(C)c(C)c2c(c1C)CCC(C)(C(=O)C(O)C1(C)CCc3c(C)c(OCOCC)c(C)c(C)c3O1)O2,homo,train,2.519231075155196,
198646,CCN(CC)P(=O)(OCCCC=O)N(CCCl)CCCl,CCN(CC)P(=O)(OCCCC=O)N(CCCl)CCCl,CCN(CC)P(=O)(OCCCC(=O)C(O)CCCOP(=O)(N(CC)CC)N(CCCl)CCCl)N(CCCl)CCCl,homo,test,3.8580631253689432,
