id,bde_gxtb_kcal
220545,98.007
116061,109.858
89,105.776
111272,105.486
3485,108.063
112230,105.072
43277,97.665
100386,102.599
534,119.912
114981,106.939
220781,111.509
145967,105.28
116540,96.559
23383,110.459
500,104.844
114685,115.534
86712,106.908
33911,106.506
217739,106.339
90831,103.926
202686,113.6
111198,105.586
215807,103.995
21074,107.146
105195,113.778
101746,107.876
76124,105.247
176387,105.421
117456,80.89
24217,
2778,106.401
14909,129.631
18656,103.624
23704,105.484
184451,102.765
86692,108.051
19030,92.052
186431,107.233
7546,105.813
148739,107.218
200794,106.121
60812,110.258
26424,104.596
211579,92.758
19139,111.23
151324,109.77
111020,111.891
23936,106.987
92808,117.888
214796,131.582
114847,114.849
120221,104.778
218222,105.735
195723,113.13
182759,84.183
116582,107.885
216339,106.114
208922,106.53
88729,
44617,107.447
25552,104.916
120852,108.188
218223,106.96
20270,106.825
23921,107.014
18720,104.809
112434,107.65
27691,96.5
109137,102.249
151439,101.401
113524,105.244
128719,97.575
101550,106.95
27125,96.991
18294,105.276
214292,79.867
202102,107.641
210974,107.902
11524,103.714
117055,109.102
25347,115.382
122985,102.54
218794,102.758
26146,111.545
112918,103.019
151227,105.223
214452,107.358
206992,105.102
81347,106.851
18572,103.774
88299,107.004
43783,103.994
198036,101.195
8138,105.535
27737,105.863
6822,123.662
154804,101.98
129411,100.203
220239,108.392
207271,105.961
50018,105.136
217959,112.149
137217,101.722
113596,83.811
217106,107.815
218800,109.26
145890,111.998
201939,108.103
110007,114.109
12619,103.554
118107,108.619
12689,101.361
111770,106.964
6747,107.971
151285,105.326
205544,103.345
108248,105.139
216625,105.668
210018,108.212
112722,107.257
104621,104.652
23544,105.356
209149,101.514
84154,104.998
94268,116.404
136878,105.615
216375,107.422
29465,107.086
117364,110.383
4828,105.761
23706,107.193
112807,87.704
63961,104.667
25808,105.187
53822,49.66
92845,109.495
27192,112.872
47302,104.855
24095,
118118,106.483
12282,101.341
215032,104.969
111422,106.244
109327,104.498
27220,106.554
203720,107.957
209094,107.775
112630,105.353
118133,112.04
27122,106.179
211745,106.986
21717,109.479
4942,103.214
122447,105.571
26367,103.449
121500,109.017
110549,115.942
92423,111.621
49072,103.283
22255,109.415
15635,112.501
145806,105.408
15527,106.648
200119,107.574
113540,66.029
82508,100.635
210733,98.27
34761,71.652
54186,101.977
117550,113.016
70833,106.63
64653,104.053
212155,105.717
24187,
8656,106.977
219867,108.968
98987,103.181
24134,
215804,106.289
15450,108.942
25734,105.916
181774,111.581
73347,106.392
15166,97.926
33293,107.105
171366,111.434
213820,109.667
125902,110.847
17719,108.203
203007,111.739
86968,84.672
208691,101.784
122632,62.904
200073,112.069
108782,107.74
21803,111.771
201924,107.69
18798,107.806
148518,110.405
119279,115.853
18299,101.613
111312,100.826
21387,107.175
59013,97.862
219153,105.644
110491,117.949
120183,107.804
18959,104.879
72976,84.066
56661,104.758
73167,107.92
148353,107.789
33558,112.658
216463,112.021
253,106.749
211255,110.881
20236,106.538
220479,108.593
204457,107.928
209025,107.103
217924,107.766
212436,106.374
109815,105.756
25459,103.558
70271,105.414
220342,115.902
26245,110.737
27219,112.289
16518,95.618
25826,108.893
49739,110.585
216028,103.979
96277,72.638
117884,130.196
19239,92.174
216258,104.209
161687,109.601
197400,105.095
184561,106.268
80578,105.876
218558,108.726
212053,110.765
122480,106.942
846,110.032
51660,107.027
73796,105.124
15159,106.476
2832,111.115
111809,104.097
810,105.473
184515,100.816
48074,104.957
12850,102.445
219961,110.736
65054,124.348
112248,105.811
52261,106.656
16383,102.897
74086,
8323,107.082
5366,104.062
58538,109.356
17407,106.98
101644,103.05
145980,103.057
109609,110.098
22273,105.685
91907,87.758
182881,105.541
98704,111.726
96678,106.511
27135,102.292
53629,110.135
185641,103.127
212082,107.648
134299,101.091
8491,113.953
126194,107.439
111681,108.746
64797,102.015
37467,107.836
26031,
14453,106.395
15235,110.437
115051,107.764
211854,105.052
6819,106.88
220031,103.081
118288,108.248
220691,114.132
72813,108.33
26964,112.29
209209,99.083
117249,101.167
109236,107.12
74349,107.402
15273,110.043
123671,106.067
26157,115.106
8597,113.13
219084,109.367
83697,89.571
215375,104.645
8330,110.265
201407,106.606
26388,106.573
24040,
112132,113.183
211865,105.274
118202,115.151
146743,106.857
112462,106.78
34813,106.203
15243,103.37
123374,106.174
134283,105.852
120359,105.272
211894,105.52
118384,108.392
39348,104.907
203722,103.374
186603,98.897
14964,110.273
48523,111.031
213539,105.377
218131,98.92
10660,108.55
54677,107.662
181799,108.04
211692,102.021
112093,108.455
23623,105.799
204856,107.249
151165,106.637
201425,100.225
25373,101.469
201511,106.752
110541,109.841
27465,105.08
34915,114.046
16060,107.089
112665,108.794
148478,103.977
214568,130.019
29688,108.565
20980,109.07
73912,104.523
15,105.815
18869,103.124
26213,107.696
215687,104.854
23296,104.126
119762,104.067
220597,104.423
14996,108.914
218971,110.128
88287,104.613
118161,80.015
112655,24.308
11399,101.933
205604,95.125
117963,101.313
112374,95.458
129896,106.417
216963,110.401
113092,106.368
12612,
4437,118.101
217529,106.953
121119,
118235,101.15
146535,105.545
23107,104.747
26022,106.404
19253,108.048
23021,109.087
209338,104.33
211500,106.012
112521,106.171
27851,110.005
93483,79.788
32916,106.428
151261,104.421
15247,103.937
209652,107.333
144081,110.761
112225,110.786
182889,111.069
108265,108.914
77262,103.172
43629,0.569
2455,110.501
118769,117.71
15269,95.149
120076,107.344
18907,105.308
202960,106.571
34409,109.489
217573,104.983
110881,108.817
112720,67.115
49524,79.197
5829,104.271
208372,109.418
35745,104.252
115261,105.653
112274,99.507
140248,107.94
22903,108.211
170983,105.96
218036,106.376
123868,92.813
74241,102.336
24758,104.227
117576,112.113
55487,110.412
8716,109.857
111823,105.776
1540,105.325
72103,103.662
120960,108.815
111668,106.247
162986,97.932
206887,105.294
23806,84.298
40746,
114949,121.94
24666,109.909
118301,130.473
17978,110.265
20769,108.129
184682,101.734
205879,96.161
53496,122.865
35297,92.977
76444,115.314
10173,89.262
117339,124.148
16571,107.848
12820,104.43
23855,105.866
43684,109.461
146731,103.075
151218,107.787
25121,106.944
9144,105.519
25117,127.148
201030,103.808
66244,86.898
27375,52.167
16701,107.804
128607,109.465
182803,105.745
74608,102.499
218812,109.084
16636,108.788
27810,107.158
210585,108.014
118603,109.973
207536,114.918
19215,118.791
202151,99.842
202673,103.255
12302,109.594
14069,105.162
218183,105.662
111211,106.139
26159,117.309
121240,104.525
55113,107.048
25499,108.856
37466,107.99
26477,104.927
119818,106.449
202997,104.648
79197,109.883
97369,107.146
35059,110.305
21750,98.514
184886,83.124
119816,108.354
19457,105.215
24006,104.772
18328,98.176
203754,107.204
118031,83.45
207481,101.546
219671,108.773
34947,109.396
203014,105.672
117267,112.183
111089,109.74
81067,102.261
134369,106.266
108890,105.507
49245,105.83
120322,110.174
59232,106.316
96986,101.66
25554,105.358
20778,106.626
121863,107.313
215510,105.04
18522,106.424
100022,106.276
122099,112.336
109195,106.026
111491,104.56
119016,105.403
117460,104.181
22770,107.624
117011,112.424
11788,105.917
39559,103.573
214819,113.112
24189,
122366,109.87
123520,109.676
112160,83.818
30324,106.115
118884,99.623
206844,101.4
25058,108.257
81071,101.712
14914,113.802
21948,111.898
21274,107.716
147885,111.842
15097,108.736
81069,-4.732
121232,71.797
1169,109.628
11922,106.228
202600,108.145
215318,111.752
114869,91.857
35120,101.816
112206,106.102
1552,104.556
26669,105.675
123751,109.77
209827,103.599
211227,111.677
118924,107.253
29181,108.7
117098,100.34
