id,donor_ikey,scaffold_split
220545,CLQZAONKPJASEC-UHFFFAOYSA-N,test
116061,XPOFVTNEVVPUTI-QMMMGPOBSA-N,test
89,CWRKZMLUDFBPAO-UHFFFAOYSA-N,validation
111272,JKOBQFWGDCSYDS-SSDOTTSWSA-N,train
3485,YVDHZNIQWHUORH-BQBZGAKWSA-N,validation
112230,YILVPIWSAFXNGQ-SOFGYWHQSA-N,test
43277,UYVCPJZRLCVONZ-UHFFFAOYSA-N,train
100386,VUAITJIBZWVDGS-UHFFFAOYSA-N,train
534,LXJXRIRHZLFYRP-GSVOUGTGSA-N,validation
114981,OBKTVQLIZHWMDO-SMOXQLQSSA-N,validation
220781,KJBWSGQVSDIYTF-UHFFFAOYSA-N,test
145967,UEYMJIBIPZNXJK-UHFFFAOYSA-N,train
116540,IPMJCGUZKAXWQT-VHSXEESVSA-N,train
23383,OHCIZWAHBWVQKF-UHFFFAOYSA-N,validation
500,FDSNFOIVNIUNDP-UHFFFAOYSA-N,train
114685,XUSNIIKGKKSRDZ-UHFFFAOYSA-N,test
86712,GACRUMIZEREJIL-QHHAFSJGSA-N,train
33911,NIBLBRCRONBCBD-UHFFFAOYSA-N,train
217739,KASGQADLXHJOLZ-UHFFFAOYSA-N,train
90831,SNIBCYRLQDRHOV-UHNVWZDZSA-N,train
202686,UVHFCFUKILBIRN-UHFFFAOYSA-N,train
111198,RNUHVHTXFAUOMG-LMLFDSFASA-N,train
215807,CLMYXSXOZCKRFD-UHFFFAOYSA-N,validation
21074,KBQGCJGFHIUJOT-FNORWQNLSA-N,test
105195,NXQUTQOCPABGFR-SSDOTTSWSA-N,train
101746,JLMZNQDVTCECHE-UHFFFAOYSA-N,train
76124,TVYAPYHAEGNNBR-UHFFFAOYSA-N,train
176387,ZWBOQBWBEVZDQL-UHFFFAOYSA-N,train
117456,NBCMRFXJZUOGOW-IMSYWVGJSA-N,validation
24217,RJZJUYBEFPUCHX-UHFFFAOYSA-N,test
2778,AKUUEDVRXOZTBF-UHFFFAOYSA-N,validation
14909,BCUVLMCXSDWQQC-KVTDHHQDSA-N,train
18656,WMGVVACFAUMAHK-UHFFFAOYSA-N,train
23704,GAGFRDLDPADMCN-UHFFFAOYSA-N,train
184451,VZECBRJUUPGOLB-UHFFFAOYSA-N,train
86692,FEKHVNQATSQDDH-UHFFFAOYSA-N,train
19030,NIJGFQHESQFJAG-ZYUZMQFOSA-N,validation
186431,WMMBWDYAHBQJJG-UHFFFAOYSA-N,train
7546,BGLZMCSABBNRIJ-UHFFFAOYSA-N,train
148739,KIEUBRUPNUWHBP-UHFFFAOYSA-N,validation
200794,IIXHWHFGHUFMCO-SNVBAGLBSA-N,train
60812,LLAVVIOANPDDEK-VIFPVBQESA-N,train
26424,AITFWSQQPNPRNT-UHFFFAOYSA-N,train
211579,YBEDNRJWYNXVNS-UHFFFAOYSA-N,test
19139,YDGRBJGFXGBXQC-BYPYZUCNSA-N,test
151324,WFBPAOHHCYWRLM-UHFFFAOYSA-N,test
111020,IRGPZYQFXRPCNB-CMDGGOBGSA-N,train
23936,AIIKMMMSOHIJNB-GQCTYLIASA-N,validation
92808,ZCIJZHYFWXKCDL-JAMMHHFISA-N,train
214796,MRJWZGUJYIXMEU-UHFFFAOYSA-N,validation
114847,TUMNELWMVFRBFN-UHFFFAOYSA-N,train
120221,GWCCDDKHMZZWNP-UHFFFAOYSA-N,validation
218222,WIQNXMVHSIIEFK-HWKANZROSA-N,validation
