bdfe_gxtb_kcal,id,bde_gxtb_kcal
88.444,2.0,
89.508,15.0,
89.794,16.0,
93.288,0.0,
89.697,3.0,
91.824,10.0,
93.373,17.0,
91.6,13.0,
93.299,9.0,
91.756,1.0,
89.303,4.0,
90.441,33.0,
87.296,21.0,
89.738,7.0,
90.479,29.0,
88.307,27.0,
96.9,30.0,
64.48,36.0,
89.761,24.0,
90.899,11.0,
88.867,19.0,
89.013,37.0,
67.032,39.0,
90.147,34.0,
89.368,5.0,
86.266,41.0,
91.968,20.0,
89.107,28.0,
90.26,45.0,
91.263,42.0,
80.939,48.0,
89.477,6.0,
89.407,40.0,
89.051,49.0,
90.322,31.0,
91.765,54.0,
89.305,38.0,
89.069,50.0,
89.521,23.0,
93.372,59.0,
,53.0,
86.049,22.0,
89.516,25.0,
88.792,51.0,
90.02,62.0,
90.914,58.0,
89.348,26.0,
87.556,63.0,
88.718,65.0,
88.352,64.0,
81.116,66.0,
91.146,52.0,
99.587,72.0,
89.662,8.0,
89.859,14.0,
89.395,43.0,
87.886,76.0,
89.482,12.0,
90.454,68.0,
94.354,61.0,
89.287,44.0,
89.359,71.0,
83.454,79.0,
89.782,81.0,
93.418,77.0,
96.547,80.0,
88.788,86.0,
82.1,83.0,
89.828,56.0,
89.71,73.0,
89.356,75.0,
91.032,78.0,
66.617,55.0,
90.486,92.0,
89.921,91.0,
86.739,96.0,
89.644,93.0,
89.749,95.0,
89.3,46.0,
89.676,69.0,
89.809,100.0,
90.202,67.0,
83.827,35.0,
97.322,47.0,
91.362,99.0,
88.259,102.0,
89.74,87.0,
90.383,85.0,
85.99,103.0,
88.84,90.0,
89.759,82.0,
90.212,104.0,
89.353,94.0,
89.262,89.0,
89.118,18.0,
89.127,97.0,
89.106,32.0,
89.249,57.0,
88.996,70.0,
89.371,74.0,
91.534,120.0,
91.462,114.0,
46.664,107.0,
89.665,110.0,
93.129,116.0,
90.986,118.0,
93.102,108.0,
89.174,105.0,
91.853,109.0,
89.503,111.0,
89.423,128.0,
92.707,130.0,
89.787,126.0,
91.789,123.0,
89.517,117.0,
85.974,136.0,
89.448,98.0,
91.844,113.0,
91.876,115.0,
88.739,129.0,
97.078,133.0,
90.711,137.0,
84.461,140.0,
91.083,125.0,
93.546,119.0,
92.468,143.0,
86.99,141.0,
88.346,138.0,
93.806,145.0,
83.062,146.0,
87.14,131.0,
88.497,147.0,
,148.0,
91.074,149.0,
88.642,152.0,
89.888,135.0,
89.707,101.0,
91.606,156.0,
89.977,132.0,
67.832,153.0,
95.143,155.0,
86.09,160.0,
83.655,163.0,
89.526,134.0,
88.746,142.0,
89.194,127.0,
89.493,157.0,
89.935,164.0,
89.486,165.0,
93.729,139.0,
73.19,158.0,64.692
90.2,154.0,93.502
92.5,171.0,90.266
87.281,170.0,85.389
90.601,144.0,85.957
87.351,176.0,91.816
87.988,168.0,86.154
89.823,166.0,75.796
87.775,167.0,70.599
90.782,162.0,84.887
94.304,169.0,86.987
87.08,178.0,90.352
89.516,177.0,93.133
95.007,88.0,82.648
88.068,159.0,73.953
89.662,184.0,95.812
84.222,188.0,86.178
89.117,179.0,91.811
92.509,84.0,87.63
86.952,189.0,90.568
89.456,175.0,93.174
69.765,190.0,65.506
92.087,191.0,102.34
89.051,122.0,91.81
87.036,193.0,95.099
89.038,181.0,94.536
89.827,182.0,93.792
89.834,180.0,95.826
92.333,197.0,96.46
89.332,185.0,93.436
,192.0,
89.16,194.0,92.58
,198.0,
89.718,183.0,93.28
89.453,196.0,95.544
88.603,106.0,79.039
97.417,199.0,98.311
89.121,187.0,92.376
95.802,186.0,98.252
89.071,124.0,89.342
122.918,161.0,97.035
88.227,151.0,75.043
91.734,112.0,81.189
91.246,150.0,79.494
89.706,195.0,91.669
90.765,121.0,81.669
91.702,174.0,71.04
89.359,172.0,75.647
89.727,173.0,59.355
89.865,60.0,74.073
90.385,219.0,96.007
90.707,203.0,97.926
85.682,217.0,90.126
87.747,218.0,91.706
94.069,211.0,94.179
92.719,205.0,97.14
89.558,209.0,93.504
91.452,207.0,102.893
90.539,208.0,88.221
89.145,215.0,93.579
87.803,216.0,89.244
88.869,212.0,92.158
88.799,226.0,87.302
88.423,213.0,91.613
88.419,214.0,83.739
89.962,222.0,95.294
98.301,221.0,99.901
90.001,227.0,95.911
90.69,223.0,92.4
87.088,229.0,89.333
89.483,228.0,94.994
87.814,201.0,83.841
90.744,210.0,86.165
90.608,220.0,88.178
87.136,202.0,90.924
90.747,240.0,96.212
89.482,230.0,80.441
83.482,236.0,80.033
90.432,245.0,97.211
90.157,204.0,81.097
83.15,243.0,91.475
95.082,206.0,99.301
90.662,231.0,89.029
86.394,250.0,90.456
89.62,238.0,86.724
89.303,247.0,91.452
89.482,242.0,92.746
87.107,249.0,90.499
92.327,256.0,92.661
83.866,255.0,81.419
89.269,259.0,95.021
,260.0,
87.765,262.0,91.12
91.347,265.0,88.655
92.991,200.0,81.702
89.808,261.0,95.414
88.3,248.0,93.354
89.456,251.0,94.009
91.09,233.0,78.556
90.481,258.0,91.3
79.93,269.0,84.809
89.426,257.0,96.331
89.038,254.0,94.347
94.016,235.0,77.01
90.156,224.0,91.887
89.368,263.0,95.022
87.938,274.0,77.852
89.226,276.0,94.245
87.171,272.0,88.464
88.499,244.0,91.898
90.156,264.0,87.759
90.332,273.0,92.177
93.694,275.0,92.767
89.093,237.0,70.561
90.855,282.0,91.28
86.838,285.0,86.484
91.59,286.0,96.895
93.456,284.0,100.962
96.114,277.0,101.366
87.927,288.0,91.389
90.011,291.0,88.076
79.498,271.0,77.456
84.449,290.0,89.438
89.587,278.0,92.919
88.912,283.0,93.839
96.02,289.0,98.624
89.438,292.0,87.739
85.676,281.0,89.995
90.943,296.0,91.931
89.235,298.0,86.993
88.147,294.0,89.532
65.855,295.0,66.455
87.645,287.0,80.439
89.833,299.0,83.697
89.12,246.0,72.794
89.516,293.0,94.924
89.332,304.0,92.636
91.095,305.0,91.001
91.248,306.0,95.451
92.974,307.0,95.951
88.83,303.0,92.125
,300.0,
80.799,241.0,67.905
89.494,279.0,93.072
59.264,232.0,44.273
91.038,234.0,86.014
89.563,252.0,91.044
89.468,253.0,90.414
87.963,267.0,86.665
89.627,280.0,90.943
,308.0,
85.341,309.0,82.213
90.168,311.0,92.341
91.586,313.0,92.765
78.501,310.0,82.379
97.242,312.0,99.666
89.903,314.0,89.415
,301.0,
92.705,318.0,92.983
48.893,297.0,42.504
87.349,315.0,85.779
92.64,323.0,91.51
79.123,320.0,79.518
82.416,317.0,77.238
82.366,331.0,79.847
46.321,324.0,37.017
89.813,334.0,97.423
94.357,333.0,92.593
95.171,332.0,93.412
91.394,302.0,90.021
90.354,321.0,94.445
48.44,342.0,41.17
93.536,330.0,79.045
89.534,340.0,95.668
45.608,343.0,41.533
89.254,338.0,94.085
,346.0,
75.644,316.0,61.929
89.491,345.0,95.256
85.981,329.0,78.829
47.271,347.0,43.603
88.932,319.0,89.318
91.39,325.0,87.051
88.422,339.0,92.937
