bdfe_gxtb_kcal,ald_id
90.145,509.0
87.25,506.0
93.217,513.0
76.718,524.0
89.379,498.0
86.202,494.0
86.883,521.0
90.694,507.0
77.154,517.0
88.791,520.0
89.63,510.0
89.589,484.0
90.962,483.0
96.348,526.0
92.863,527.0
89.467,508.0
78.584,519.0
88.916,531.0
92.86,528.0
87.157,530.0
87.746,1510.0
92.468,1518.0
89.336,1512.0
98.733,1522.0
88.973,1519.0
93.202,1501.0
90.771,1505.0
91.506,1506.0
84.411,1507.0
97.138,1523.0
95.469,1514.0
89.179,1509.0
89.195,1520.0
47.171,1521.0
88.739,1515.0
85.049,1511.0
81.78,1517.0
99.162,1513.0
84.994,1516.0
89.021,1508.0
87.99,2519.0
94.875,2509.0
88.985,2523.0
95.138,2510.0
92.132,2512.0
96.711,2522.0
89.435,2528.0
89.13,2516.0
89.278,2520.0
93.54,2502.0
89.658,2505.0
77.749,2524.0
89.569,2515.0
90.26,2529.0
70.943,2499.0
97.309,2525.0
92.062,2531.0
97.038,2539.0
88.457,2514.0
87.604,2513.0
87.526,3514.0
86.086,3513.0
88.119,3517.0
90.672,3512.0
88.89,3504.0
88.996,3516.0
91.146,3503.0
90.851,3509.0
90.642,3507.0
90.337,3511.0
102.898,3521.0
90.834,3510.0
90.712,3508.0
90.577,3502.0
84.724,3527.0
95.014,3492.0
69.771,3528.0
90.808,3477.0
87.24,3520.0
89.4,3529.0
93.347,4521.0
94.798,4511.0
91.605,4519.0
84.214,4524.0
49.127,4513.0
86.164,4520.0
93.283,4528.0
69.564,4514.0
87.537,4522.0
86.835,4527.0
84.701,4532.0
89.389,4510.0
99.107,4502.0
87.369,4534.0
89.291,4509.0
89.178,4506.0
100.765,4518.0
77.05,4515.0
92.731,4536.0
87.96,4539.0
86.119,5523.0
91.185,5519.0
80.961,5507.0
93.399,5513.0
80.826,5518.0
84.969,5506.0
92.263,5504.0
95.152,5512.0
92.941,5514.0
,5526.0
88.693,5511.0
86.573,5527.0
87.088,5517.0
89.349,5515.0
93.851,5532.0
87.725,5516.0
91.349,5529.0
90.073,5524.0
86.304,5539.0
88.447,5540.0
88.27,6522.0
87.113,6517.0
85.84,6513.0
89.814,6519.0
92.733,6515.0
89.529,6512.0
86.355,6511.0
86.893,6508.0
88.508,6514.0
87.999,6527.0
47.757,6498.0
95.829,6510.0
85.126,6532.0
94.919,6529.0
91.603,6509.0
91.115,6523.0
88.147,6518.0
92.887,6516.0
89.613,6535.0
99.033,6538.0
88.154,7524.0
87.765,7526.0
92.692,7520.0
96.145,7508.0
93.02,7519.0
92.272,7518.0
93.844,7521.0
88.13,7530.0
95.132,7517.0
88.91,7502.0
86.362,7523.0
90.14,7531.0
95.237,7536.0
86.379,7535.0
93.702,7506.0
89.006,7533.0
93.558,7528.0
94.53,7540.0
97.894,7532.0
89.625,7534.0
89.774,8522.0
92.398,8517.0
88.286,8518.0
93.55,8516.0
90.578,8507.0
89.211,8513.0
92.07,8514.0
87.938,8528.0
87.604,8524.0
91.109,8515.0
90.56,8509.0
89.251,8511.0
90.469,8512.0
90.687,8532.0
89.672,8527.0
91.161,8531.0
99.001,8519.0
89.95,8533.0
88.933,8538.0
61.688,8540.0
90.15,9524.0
87.705,9512.0
91.35,9519.0
88.599,9515.0
91.247,9525.0
92.63,9518.0
84.108,9527.0
92.376,9522.0
89.594,9529.0
90.769,9514.0
82.813,9523.0
90.888,9530.0
90.661,9534.0
93.184,9506.0
,9531.0
91.206,9511.0
86.034,9541.0
90.756,9535.0
90.328,9540.0
91.554,9501.0
89.697,10517.0
88.504,10518.0
88.147,10523.0
80.919,10519.0
84.944,10515.0
88.227,10520.0
86.588,10509.0
79.234,10522.0
86.818,10512.0
86.455,10521.0
90.658,10531.0
94.612,10532.0
86.097,10514.0
95.787,10533.0
70.182,10503.0
81.47,10530.0
87.154,10540.0
88.866,10537.0
89.427,10525.0
84.57,10529.0
86.87,11520.0
81.218,11523.0
91.321,11519.0
92.668,11515.0
87.587,11521.0
82.868,11517.0
87.389,11527.0
89.538,11510.0
96.698,11529.0
93.596,11525.0
90.164,11516.0
85.037,11534.0
84.518,11533.0
86.561,11531.0
86.988,11535.0
91.208,11530.0
84.594,11512.0
89.036,11532.0
87.4,11536.0
96.05,11539.0
81.995,12513.0
86.564,12514.0
97.238,12512.0
91.93,12521.0
90.836,12527.0
90.99,12498.0
102.103,12509.0
90.467,12517.0
98.641,12511.0
87.676,12533.0
88.92,12505.0
91.047,12518.0
82.987,12496.0
85.397,12479.0
87.604,12529.0
84.428,12488.0
88.819,12532.0
90.139,12520.0
89.543,12519.0
77.759,12515.0
86.46,13513.0
88.436,13514.0
97.708,13515.0
66.546,13521.0
87.348,13509.0
84.732,13510.0
89.217,13522.0
90.262,13526.0
61.907,13499.0
,13504.0
89.223,13531.0
89.988,13508.0
88.826,13534.0
91.813,13502.0
62.898,13500.0
66.316,13533.0
84.574,13524.0
94.23,13501.0
89.383,13537.0
89.651,13536.0
96.688,14519.0
89.283,14512.0
89.395,14520.0
96.813,14516.0
88.505,14513.0
96.565,14517.0
91.463,14511.0
91.378,14525.0
99.804,14518.0
91.448,14524.0
85.341,14536.0
91.31,14526.0
86.833,14537.0
92.532,14539.0
93.522,14523.0
92.904,14540.0
78.83,14541.0
83.175,14545.0
93.56,14546.0
92.294,14527.0
87.566,15526.0
88.929,15525.0
86.688,15534.0
90.519,15527.0
86.964,15535.0
90.076,15536.0
87.589,15537.0
91.653,15519.0
90.674,15533.0
88.715,15538.0
84.955,15515.0
91.353,15532.0
97.737,15544.0
91.99,15523.0
89.728,15528.0
81.062,15542.0
82.097,15548.0
90.411,15552.0
96.371,15499.0
80.222,15524.0
89.783,16524.0
90.216,16526.0
86.401,16530.0
78.348,16528.0
82.674,16533.0
93.436,16529.0
89.801,16522.0
89.664,16534.0
89.733,16525.0
88.22,16523.0
92.009,16540.0
57.212,16546.0
92.845,16532.0
88.891,16541.0
84.458,16527.0
87.294,16503.0
85.405,16550.0
84.006,16548.0
91.239,16547.0
89.221,16545.0
89.391,17532.0
91.289,17540.0
94.811,17523.0
92.124,17522.0
92.96,17535.0
89.084,17525.0
88.203,17543.0
96.086,17537.0
96.908,17536.0
88.343,17531.0
88.84,17539.0
97.36,17524.0
96.076,17534.0
91.034,17538.0
96.648,17546.0
88.258,17526.0
88.47,17528.0
93.303,17544.0
93.636,17530.0
88.831,17527.0
82.462,18536.0
82.057,18531.0
99.861,18524.0
81.774,18537.0
94.937,18530.0
86.321,18532.0
99.109,18539.0
84.117,18533.0
85.566,18538.0
94.767,18534.0
81.403,18543.0
88.007,18522.0
93.457,18540.0
88.445,18506.0
90.157,18529.0
90.799,18523.0
89.681,18525.0
88.354,18554.0
84.578,18546.0
89.942,18521.0
84.716,19522.0
86.885,19526.0
91.745,19514.0
89.376,19532.0
90.634,19542.0
87.561,19527.0
90.689,19540.0
90.175,19541.0
84.951,19528.0
86.18,19538.0
88.196,19529.0
100.047,19544.0
87.982,19516.0
92.92,19494.0
88.267,19550.0
97.553,19551.0
87.916,19543.0
80.97,19531.0
88.028,19553.0
88.28,19558.0
89.609,20528.0
97.415,20527.0
87.961,20523.0
92.258,20530.0
92.405,20535.0
,20533.0
94.519,20529.0
90.189,20540.0
93.471,20532.0
93.618,20531.0
90.992,20518.0
93.106,20534.0
87.867,20543.0
85.364,20551.0
92.626,20546.0
84.628,20552.0
,20542.0
90.548,20519.0
91.6,20550.0
85.357,20545.0
89.966,21532.0
83.614,21533.0
82.086,21536.0
90.941,21541.0
87.262,21538.0
95.946,21543.0
88.803,21528.0
90.028,21545.0
95.506,21542.0
83.988,21535.0
95.065,21526.0
94.291,21550.0
94.288,21537.0
76.047,21527.0
98.821,21549.0
86.631,21534.0
89.178,21544.0
85.784,21555.0
86.385,21556.0
87.388,21553.0
87.746,22535.0
87.08,22532.0
88.582,22545.0
87.457,22533.0
92.644,22527.0
89.015,22531.0
89.318,22544.0
94.43,22525.0
90.655,22536.0
