bde_prod_CC_kcal,E_parent,E_fragA,E_fragB,id
106.986,-20.759197846568,-9.777323771181,-10.811381458159,2
105.815,-27.087213139367,-12.942405618781,-13.976180811487,15
74.993,-44.187458863557,-21.514392598456,-22.553557116341,3
76.925,-52.33793661104,-25.587549636559,-26.627799561291,10
107.031,-33.420232276528,-16.108057387669,-17.14160969881,16
81.537,-41.720332903321,-20.269488534204,-21.32090663563,0
79.699,-52.345784371917,-25.585467352404,-26.63330866575,17
85.778,-56.180687657725,-27.496514123585,-28.547477901084,9
105.511,-33.417103053409,-16.107787782257,-17.141173089012,4
105.514,-39.750906735858,-19.274877652204,-20.307881502193,7
76.498,-60.485844414687,-29.661307230522,-30.702630336346,13
78.262,-66.806299747583,-32.820694421958,-33.860887022241,1
75.746,-50.530575410643,-24.685304400681,-25.724562868465,27
106.776,-50.521399131429,-24.658659776943,-25.69258029694,21
99.376,-28.83288645814,-13.811537719929,-14.862982781388,33
83.085,-59.670863712552,-29.248266969062,-30.29019246753,30
74.803,-64.775564879334,-31.807320273886,-32.849038231735,29
92.163,-44.980064631413,-21.888873894822,-22.944319675704,36
105.626,-39.890079809558,-19.34451600722,-20.377237593492,19
107.667,-39.749132757245,-19.272557555837,-20.304997018864,24
