id,smiles,error,xtb_HOMO,xtb_LUMO,xtb_EA,xtb_eta,xtb_dipole,sterimol_L,sterimol_B1,sterimol_B5,SASA_total,P_int,bde_gxtb_kcal,grp,pred_abs_delta_mean,pred_abs_delta_std,acq_score,sample_group
112841,CC(C)(C)OC(=O)N[C@@H](CC1=CC=CC=C1)[C@@H](C=O)[Se]C2=CC=CC=C2,,-9.6892,-7.251,0.1887,3.5254,2.819,8.1098,4.0451,8.01,612.1814,20.5342,84.494,selenium,25.719500795076463,9.210982115581212,34.93048291065767,selenium
202163,CC[Si](CC)(CC)C([C@@H]1C[C@H]1C=O)[Se]C2=CC=CC=C2,,-9.6957,-7.1006,-0.2616,3.68655,4.464,10.5828,1.9213,7.4915,547.0208,20.0904,87.801,selenium,26.31916617274432,8.027545251834852,34.34671142457917,selenium
121074,CCOC(=O)[C@H]1CC=C(C[C@@]1(C=O)[Se]C2=CC=C(C=C2)Cl)O[Si](C)(C)C,,-9.893,-7.2912,0.389,3.39125,5.442,9.1387,3.5066,8.7901,626.4493,21.036,85.376,selenium,25.276142830170727,8.150548551138852,33.42669138130958,selenium
112299,C1=CC=C(C=C1)C(C=O)([Se]C2=CC=CC=C2)[Se]C3=CC=CC=C3,,-9.8711,-7.6703,0.847,3.1522,2.833,9.2595,3.6703,7.4105,537.8318,21.9765,77.267,selenium,26.02582735122688,6.502858480722296,32.528685831949176,selenium
123784,CCN(CC)C1=CC2=C(C=C1)C(C3=C([Se]2)C(=C(C=C3)O)C=O)C4=CC=CC=C4CO,,-9.2316,-7.6376,0.4993,2.90375,4.836,9.5809,2.3987,10.8109,643.5103,21.4786,75.307,selenium,25.5659140326516,6.432498985707168,31.998413018358768,selenium
123639,C1=CC=C(C=C1)COCCCC[C@@H](C=O)[Se]C2=CC=CC=C2,,-10.0414,-7.3924,0.3432,3.50515,2.62,5.178,3.403,7.7006,553.7499,20.4786,86.693,selenium,23.47396698650963,8.1464305291666,31.62039751567623,selenium
181574,CC1(C2=CC=CC=C2N(C3=C1C=C([Se]3)C=O)C4=CC(=CC(=C4)F)F)C,,-10.0046,-7.9682,1.0525,3.07875,6.871,11.1265,3.212,7.6431,544.8789,21.0974,87.32,selenium,24.35972086198787,6.160978981197373,30.520699843185245,selenium
201136,CN(C)C1=C[Se]C(=C1C=C2SC(=C(S2)C(=O)OC)C(=O)OC)C=O,,-9.9534,-8.2646,1.5268,2.75235,3.048,8.1553,2.4592,10.9646,578.0569,20.7523,65.66,selenium,23.10642854954001,5.302064036195738,28.408492585735743,selenium
121063,C[C@H]1CC=C(C[C@@]1(C=O)[Se]C2=CC=C(C=C2)Cl)O[Si](C)(C)C,,-10.1742,-7.5243,0.5162,3.344,3.15,6.5286,2.9317,8.4285,592.5501,20.3784,87.074,selenium,21.201300263484946,6.875448092380722,28.076748355865664,selenium
112840,C[C@@H]([C@@H](C=O)[Se]C1=CC=CC=C1)NC(=O)OC(C)(C)C,,-9.6776,-7.1047,-0.1171,3.74825,3.997,4.6809,2.9298,8.2387,530.7499,19.2976,85.358,selenium,18.527418391108647,8.978687573597552,27.5061059647062,selenium
110521,C[Se]CC[C@@H](C(=O)N[C@@H](CCCN=C(N)N)C=O)N,,-9.5796,-6.6665,-0.6909,3.6825,6.437,6.4322,2.9708,8.9977,528.3673,19.0067,79.037,selenium,18.59355925857675,8.794125303415553,27.3876845619923,selenium
