E_acyl_sp_gfn2geom_Eh,E_acyl_opt_dftgeom_Eh,E_parent_opt_dftgeom_Eh,bde_dft_sp_gfn2geom_kcal,bde_dft_opt_dftgeom_kcal,id,sample_group,smiles,bde_gxtb_kcal,bde_alfabet_kcal,E_parent_sp_gfn2geom_Eh,E_h_Eh,Delta_SP,Delta_geom,Delta_tot,error
-3907.909659938327,-3907.920920820891,-3908.544813016551,81.7444654918705,79.42121410334809,19758,selenium,CC1=C[C@@H]([C@](SC1)(C2=CC=C(C=C2)C(F)(F)F)C3=CC=C[Se]3)CC=O,67.274,,-3908.53725447074,-0.497326434673,-14.4704654918705,2.323251388522408,-12.147214103348093,
-1589.105613362457,-1589.114052057645,-1589.762231733376,95.46004398569364,94.66183794751969,13586,nitro,CC1=CC(=O)OC2=C1C=CC(=C2C3=NN(C=C3C=O)C4=C(C=C(C=C4)[N+](=O)[O-])[N+](=O)[O-])O,69.031,,-1589.755065060478,-0.497326434673,-26.429043985693625,0.7982060381739586,-25.630837947519662,
-1914.884745163627,-1914.900578080204,-1915.550821137526,95.37894340927802,95.95662944443872,81062,phosphorus,C[C@@](COCC1=CC=C(C=C1)F)(C=O)NP(=O)(OC2=CC=CC=C2)Cl,80.255,,-1915.534067619653,-0.497326434673,-15.123943409278027,-0.5776860351606956,-15.701629444438725,
-3265.408776873704,-3265.421051328182,-3266.069058337867,96.20894166128792,94.5534883677019,112840,selenium,C[C@@H]([C@@H](C=O)[Se]C1=CC=CC=C1)NC(=O)OC(C)(C)C,85.358,,-3266.059422016138,-0.497326434673,-10.85094166128792,1.655453293586021,-9.195488367701898,
-1497.45820399641,-1497.467432743355,-1498.114030974656,95.4466996013735,93.66946658521375,199982,nitro,C1=CC=C2C(=C1)C=CC(=C2C=O)OCC3=CN=NN3CC(=O)NC4=CC=C(C=C4)[N+](=O)[O-],63.654,,-1498.107634428801,-0.497326434673,-31.79269960137349,1.777233016159741,-30.01546658521375,
-1357.702286743038,-1357.710528006916,-1358.357385226778,94.46766907081992,93.8319843607388,64255,imine,CN(C)C(=NC1(C2COCCC2OC3=C1C=C(C=C3)C4=C(N=CC=C4)F)C=O)N,79.272,,-1358.350156990968,-0.497326434673,-15.195669070819903,0.635684710081108,-14.559984360738795,
-1895.444468109341,-1895.455024098093,-1896.103586729928,90.02700890696276,94.90214653103376,7351,control,CC(C)C[C@@H](C(=O)N[C@@H](C[C@@H]1CCNC1=O)C=O)NC(=O)OC(C)(C)C2=CC(=CC=C2)Cl,56.906,,-1896.085261714849,-0.497326434673,-33.121008906962764,-4.875137624070987,-37.99614653103375,
-2189.724524604391,-2189.738623439619,-2190.386993568438,96.04652719144948,94.78134906441996,83110,sulfonyl,C1=CC(=C(C=C1NCC(C=O)C2=C(C=CC(=C2)F)Cl)S(=O)(=O)N)N3C=C(C=N3)C#N,67.076,,-2190.374910922892,-0.497326434673,-28.97052719144949,1.2651781270295288,-27.705349064419963,
-1662.302341207381,-1662.314843472796,-1662.912191634995,63.00762004055743,62.76458162850871,64783,phosphorus,CC1=C(N=NC(=C1NC)C(N)NCC(C=O)C(C2CCC3=CC(=C(C=C23)P)F)N)C,35.49,,-1662.900076675943,-0.497326434673,-27.517620040557425,0.243038412048719,-27.274581628508702,
-3326.752468591936,-3326.756391677643,-3327.403472219066,94.08675710510428,93.97212075584208,120033,selenium,COC(=O)[C@@]1(CCCC[C@@H]1C[Se]C2=CC=CC=C2)CCC=O,83.251,,-3327.39973181801,-0.497326434673,-10.835757105104264,0.1146363492621844,-10.72112075584208,
