bdfe_gxtb_kcal,id,bde_gxtb_kcal
63.048,0,66.354
63.087,1,56.187
75.769,2,83.693
60.082,3,62.317
76.847,4,81.904
76.055,5,78.771
74.655,6,76.384
75.436,7,80.65
75.478,8,73.35
64.366,9,63.672
62.957,10,57.238
51.933,11,43.374
74.071,12,66.387
61.43,13,49.774
75.384,14,72.548
76.795,15,84.032
78.947,16,86.446
62.721,17,60.984
75.893,18,73.091
75.629,19,79.356
61.754,20,53.526
73.016,21,76.271
57.795,22,32.843
76.964,23,72.881
78.917,24,85.689
79.247,25,76.158
75.872,26,75.926
58.749,27,59.779
76.56,28,80.908
60.996,29,59.388
71.389,30,68.513
60.584,31,53.553
73.325,32,67.061
71.569,33,78.061
77.531,34,72.86
74.085,35,52.36
32.387,36,36.258
59.658,37,61.655
59.705,38,52.744
47.403,39,51.983
74.915,40,76.123
55.611,41,58.574
61.957,42,60.68
77.413,43,80.682
72.949,44,53.811
79.283,45,80.25
74.538,46,70.811
66.508,47,54.445
49.056,48,50.069
58.825,49,58.543
59.171,50,57.355
76.12,51,80.328
61.851,52,56.567
,53,
61.44,54,63.835
78.347,55,81.523
70.774,56,74.549
75.638,57,69.921
60.715,58,53.02
61.75,59,63.156
80.235,60,53.924
,61,
71.565,62,77.015
57.937,63,60.345
59.145,64,60.145
59.011,65,58.5
,66,
72.384,67,51.945
77.796,68,83.776
59.258,69,46.957
74.961,70,69.258
59.84,71,59.151
72.144,72,74.91
78.648,73,84.412
75.711,74,72.177
59.054,75,48.455
56.044,76,56.344
63.357,77,59.73
62.709,78,53.678
51.754,79,37.37
67.64,80,53.653
60.064,81,54.591
75.384,82,72.548
54.152,83,56.662
62.206,84,44.492
78.379,85,68.307
57.206,86,58.027
88.945,87,60.695
60.356,88,26.071
74.539,89,70.811
75.404,90,65.693
73.618,91,67.905
77.531,92,72.86
75.854,93,78.942
75.011,94,76.833
74.87,95,77.347
57.491,96,59.6
72.445,97,62.49
73.197,98,74.867
61.981,99,59.202
57.714,100,56.333
73.83,101,72.217
58.836,102,59.868
54.162,103,55.599
78.715,104,83.512
63.164,105,54.965
70.378,106,55.374
,107,
62.987,108,56.934
63.811,109,57.713
62.832,110,59.238
75.812,111,75.432
57.277,112,25.51
72.384,113,51.945
62.011,114,44.291
72.445,115,62.49
62.583,116,54.303
77.73,117,73.774
66.714,118,60.926
74.161,119,55.115
73.982,120,83.381
75.15,121,52.604
75.038,122,71.654
75.952,123,67.837
68.729,124,62.225
61.937,125,55.099
80.525,126,82.06
59.248,127,45.363
76.536,128,80.724
77.009,129,78.386
62.896,130,59.829
68.983,131,74.614
76.981,132,78.728
67.411,133,70.06
75.128,134,72.991
76.199,135,76.974
56.354,136,57.134
63.999,137,50.539
58.488,138,56.247
63.183,139,50.147
47.635,140,46.648
52.132,141,49.387
77.344,142,77.186
62.112,143,57.524
72.445,144,62.49
65.111,145,59.713
56.799,146,56.364
59.199,147,57.228
,148,
63.685,149,53.734
57.268,150,27.186
55.63,151,32.456
59.31,152,59.068
34.333,153,31.901
75.384,154,72.548
69.111,155,64.902
64.247,156,67.029
75.812,157,75.432
53.907,158,34.448
56.84,159,24.604
54.454,160,51.312
63.71,161,14.286
72.384,162,51.945
51.693,163,43.689
75.978,164,78.786
79.471,165,80.621
75.032,166,54.828
68.082,167,34.799
69.074,168,60.564
72.384,169,51.945
74.089,170,62.419
59.89,171,49.256
76.074,172,58.103
79.349,173,34.881
67.971,174,34.94
75.751,175,75.468
72.234,176,74.409
76.149,177,76.132
72.376,178,72.425
77.55,179,77.515
77.326,180,80.996
75.6,181,77.727
77.675,182,79.329
77.005,183,77.249
75.489,184,78.348
75.691,185,78.271
76.421,186,74.98
74.92,187,71.508
52.026,188,46.503
56.1,189,54.124
35.705,190,22.508
80.048,191,87.547
,192,
70.772,193,75.461
58.962,194,57.021
77.706,195,75.37
74.87,196,77.347
62.526,197,58.946
,198,
68.09,199,58.423
67.923,200,42.715
72.445,201,62.49
73.32,202,71.414
71.541,203,79.92
88.945,204,60.695
62.426,205,62.74
74.126,206,75.52
76.697,207,85.818
61.479,208,48.764
59.351,209,58.66
69.074,210,60.564
58.815,211,51.759
59.12,212,56.403
58.899,213,59.392
56.177,214,43.224
61.121,215,58.438
56.958,216,51.19
55.391,217,56.093
58.288,218,55.575
61.163,219,62.694
63.211,220,57.188
71.709,221,67.933
76.983,222,79.585
60.869,223,57.845
74.295,224,69.239
74.26,225,46.366
70.455,226,56.832
76.41,227,78.077
75.798,228,75.35
73.595,229,71.872
66.063,230,49.634
72.445,231,62.49
57.106,232,29.856
56.963,233,23.686
63.147,234,44.709
57.739,235,15.706
53.189,236,45.247
76.225,237,43.662
73.215,238,59.241
79.291,239,43.093
78.654,240,81.441
59.589,241,35.395
77.494,242,76.426
57.104,243,63.989
75.482,244,72.455
76.039,245,81.377
75.373,246,48.659
61.576,247,59.51
75.754,248,79.652
73.045,249,72.247
56.303,250,55.376
74.438,251,74.599
73.987,252,70.347
75.444,253,68.298
76.079,254,76.155
48.801,255,35.666
60.242,256,50.606
75.414,257,80.604
60.292,258,53.448
58.783,259,60.596
,260,
69.236,261,72.895
57.564,262,54.369
66.97,263,69.662
59.534,264,47.771
61.397,265,47.435
61.906,266,38.994
71.806,267,64.055
70.726,268,26.793
61.576,269,61.596
54.272,270,30.959
41.431,271,27.033
72.602,272,68.031
71.95,273,69.047
56.43,274,31.568
75.063,275,67.2
76.269,276,79.179
74.133,277,78.158
74.122,278,71.814
76.932,279,75.652
74.372,280,69.691
74.256,281,77.326
62.684,282,53.918
72.963,283,76.717
66.966,284,71.238
57.93,285,50.806
71.001,286,72.076
55.335,287,37.797
57.996,288,55.245
70.23,289,67.312
52.971,290,52.513
64.308,291,56.222
59.083,292,46.097
76.199,293,76.974
57.452,294,51.526
28.852,295,26.979
53.818,296,48.091
,297,
64.708,298,55.23
,299,
,300,
,301,
61.685,302,50.999
57.994,303,55.713
60.403,304,57.274
61.316,305,54.358
63.017,306,61.694
60.485,307,55.955
,308,
54.944,309,38.777
47.159,310,48.169
60.719,311,55.685
71.088,312,68.58
62.346,313,56.689
73.275,314,62.854
73.31,315,64.732
73.114,316,46.842
52.949,317,39.136
64.083,318,56.067
65.566,319,61.936
43.908,320,37.729
76.335,321,79.404
68.583,322,44.935
64.189,323,54.431
-1.502,324,-20.737
65.583,325,50.93
79.381,326,44.541
80.533,327,53.116
57.36,328,24.649
51.005,329,32.408
58.683,330,23.096
49.113,331,35.776
55.811,332,45.941
57.962,333,51.347
78.917,334,85.689
71.809,335,58.065
25.819,336,-13.563
75.894,337,72.652
74.935,338,74.316
70.8,339,73.411
69.633,340,75.231
74.8,341,73.962
,342,
,343,
77.225,344,75.209
71.097,345,75.907
,346,
,347,
63.881,348,58.448
62.183,349,56.684
59.183,350,58.989
73.349,351,74.411
73.081,352,78.204
78.979,353,75.982
60.795,354,51.756
61.818,355,57.479
69.786,356,69.896
76.385,357,74.597
69.243,358,66.842
71.889,359,77.536
76.437,360,72.782
58.909,361,37.023
75.105,362,60.101
56.914,363,42.216
56.596,364,43.709
66.062,365,49.634
62.548,366,55.815
72.445,367,62.49
68.549,368,61.229
76.805,369,78.532
75.521,370,77.174
75.551,371,78.369
62.56,372,53.511
57.094,373,51.234
57.151,374,55.414
70.625,375,59.695
75.044,376,72.692
55.451,377,54.935
59.267,378,58.2
75.847,379,68.22
79.301,380,84.826
59.473,381,61.997
71.317,382,66.313
59.588,383,57.094
