bdfe_gxtb_kcal,id
73.963,509
75.848,506
56.674,513
62.321,507
56.547,521
49.744,524
78.234,498
31.226,517
60.313,494
53.684,520
66.647,526
77.962,501
74.87,530
75.143,510
63.163,527
44.576,519
64.24,528
59.74,484
61.401,532
46.036,516
61.315,1518
57.279,1510
59.117,1519
73.043,1512
73.245,1522
49.664,1507
62.139,1506
62.01,1505
72.586,1523
57.888,1514
58.65,1515
59.563,1520
,1521
73.141,1501
74.439,1513
,1517
52.941,1511
60.429,1497
54.561,1516
73.0,1531
67.433,2519
68.28,2509
67.607,2510
76.841,2523
67.69,2522
59.406,2520
74.253,2528
62.012,2502
59.213,2512
75.128,2516
65.287,2505
54.506,2529
64.528,2525
65.214,2495
39.907,2499
64.555,2531
68.934,2484
77.302,2524
69.853,2539
66.693,2515
56.861,3514
71.85,3502
75.153,3509
71.423,3508
67.435,3510
73.545,3492
54.423,3517
75.763,3477
66.434,3511
60.642,3513
68.788,3507
79.033,3518
78.429,3504
66.798,3503
72.191,3519
,3522
73.544,3527
78.096,3520
71.511,3521
61.889,3512
62.601,4521
,4511
63.655,4519
,4513
51.912,4524
51.788,4520
32.859,4514
57.079,4522
61.051,4528
55.882,4527
59.16,4510
53.85,4532
57.376,4526
56.312,4534
,4515
63.125,4536
70.692,4502
49.299,4540
75.679,4518
57.226,4539
53.004,5523
62.309,5519
59.539,5511
37.262,5518
62.638,5504
63.848,5514
38.541,5507
64.825,5512
62.572,5513
,5526
51.043,5506
55.245,5527
59.102,5515
56.469,5517
44.029,5533
57.901,5516
62.124,5529
64.832,5532
60.184,5525
59.684,5540
57.155,6517
59.679,6522
55.703,6513
58.099,6519
65.565,6515
60.234,6514
59.136,6512
53.944,6511
66.093,6510
63.823,6509
59.867,6508
58.521,6527
,6498
57.444,6532
75.742,6523
66.103,6529
61.069,6516
57.308,6518
59.314,6535
68.345,6530
58.007,7524
74.638,7526
67.764,7506
57.847,7520
57.353,7519
60.313,7517
64.289,7507
58.661,7518
65.206,7495
72.052,7530
64.983,7508
66.987,7531
57.21,7521
73.038,7535
57.644,7528
59.28,7502
68.676,7536
64.028,7540
74.051,7534
73.911,7533
73.999,8522
74.821,8517
75.385,8513
71.475,8514
80.113,8511
73.528,8518
72.384,8512
59.038,8528
58.261,8524
69.624,8516
69.632,8515
59.476,8507
65.353,8509
70.755,8519
72.079,8532
73.32,8527
73.334,8538
75.738,8539
69.925,8533
27.778,8540
70.615,9524
58.809,9515
58.165,9512
69.019,9519
54.286,9523
63.707,9525
65.88,9506
52.304,9527
66.759,9522
53.471,9529
61.415,9530
75.787,9534
,9531
60.776,9518
78.344,9535
58.454,9510
67.94,9511
72.068,9521
55.107,9541
59.173,9514
62.608,10517
57.51,10518
56.21,10520
63.194,10523
50.406,10519
55.414,10509
39.871,10503
47.769,10522
56.763,10512
55.804,10521
43.972,10515
57.525,10511
75.232,10531
62.458,10532
53.763,10530
69.679,10525
54.521,10514
67.386,10533
56.846,10537
49.842,10529
56.04,11520
59.621,11516
59.359,11515
43.575,11523
60.341,11519
52.094,11521
53.087,11527
49.273,11517
69.419,11529
63.092,11530
65.104,11525
56.876,11531
54.075,11512
52.723,11533
75.956,11510
56.336,11535
54.854,11534
58.867,11532
54.941,11538
58.043,11536
55.915,12514
49.292,12513
69.524,12512
71.682,12521
58.624,12505
71.555,12527
74.002,12498
83.863,12509
72.445,12517
55.143,12479
58.262,12533
75.591,12518
75.445,12529
51.861,12496
72.046,12511
53.294,12488
71.025,12515
76.177,12520
61.543,12532
68.732,12519
54.0,13513
57.1,13514
40.442,13521
64.466,13515
56.196,13509
54.568,13508
57.361,13510
,13504
64.186,13522
64.325,13534
57.679,13531
41.774,13500
61.069,13526
55.051,13524
61.9,13502
72.685,13501
42.703,13499
58.872,13537
78.992,13518
62.374,13533
68.825,14519
59.052,14516
60.871,14511
59.969,14517
74.133,14507
53.591,14513
53.379,14498
77.954,14508
53.336,14512
59.816,14522
62.288,14492
61.324,14520
59.966,14500
51.651,14537
53.076,14536
60.49,14539
42.959,14541
61.519,14540
59.022,14545
58.777,14525
58.193,15526
57.41,15534
54.114,15525
75.033,15527
57.609,15535
57.415,15536
56.878,15537
58.874,15538
72.833,15533
53.013,15515
76.416,15543
71.682,15544
62.061,15519
63.024,15532
54.511,15542
48.802,15548
51.393,15524
75.105,15523
59.706,15552
,15528
71.654,16526
58.973,16524
78.71,16522
65.998,16529
78.857,16534
55.894,16528
51.811,16530
55.013,16533
65.206,16532
12.647,16546
53.184,16527
76.86,16541
77.271,16544
75.652,16547
79.111,16550
60.466,16540
74.598,16545
48.725,16525
57.166,16523
51.972,16548
58.963,17532
57.629,17540
55.225,17528
64.968,17522
57.011,17527
80.7,17524
56.251,17526
65.801,17523
93.532,17518
77.158,17525
71.658,17519
73.096,17513
56.401,17543
70.206,17521
66.415,17530
64.667,17546
64.659,17537
57.306,17535
55.412,17539
62.003,17536
47.303,18531
53.605,18536
53.305,18537
48.884,18532
,18533
74.703,18539
66.953,18524
69.97,18517
56.41,18538
63.185,18530
68.779,18506
66.553,18525
71.407,18523
68.345,18522
56.452,18543
56.042,18545
61.723,18540
67.194,18529
64.795,18534
56.715,18542
60.551,19522
50.393,19528
76.024,19532
65.547,19542
59.62,19541
61.532,19538
74.195,19540
66.942,19514
70.631,19544
72.556,19526
72.927,19527
57.416,19494
75.911,19516
82.515,19491
69.497,19529
72.894,19550
55.291,19533
73.931,19543
67.925,19558
57.088,19553
60.355,20535
66.325,20527
64.214,20524
62.28,20530
77.627,20529
74.428,20540
67.063,20519
64.251,20518
73.57,20531
59.896,20523
74.891,20534
62.432,20517
59.518,20551
75.027,20508
,20533
52.238,20552
73.558,20532
60.968,20550
61.529,20546
,20542
,21532
52.082,21535
62.675,21541
45.688,21536
59.352,21528
60.587,21545
67.416,21526
53.732,21534
66.931,21543
75.061,21549
66.831,21542
68.433,21537
62.594,21538
,21550
44.38,21544
60.714,21554
61.001,21553
61.296,21556
58.998,21555
70.175,21540
58.078,22535
,22533
75.862,22532
58.454,22545
61.382,22544
62.705,22525
80.556,22536
76.62,22537
77.303,22531
73.452,22553
41.233,22524
60.405,22548
73.297,22546
75.301,22554
69.92,22547
76.171,22557
63.042,22538
57.232,22561
73.186,22534
54.535,22542
55.363,23531
74.256,23537
64.815,23543
58.281,23533
68.009,23535
29.416,23536
75.018,23544
64.724,23530
60.386,23525
72.572,23549
63.414,23547
64.519,23556
69.391,23522
59.496,23557
57.556,23538
68.686,23554
73.233,23540
61.654,23546
60.497,23552
57.497,23514
72.257,24538
75.122,24531
58.748,24509
,24541
77.13,24547
70.785,24548
71.832,24525
68.855,24537
72.353,24532
82.42,24528
68.785,24522
74.1,24530
74.311,24559
71.326,24554
77.357,24535
72.221,24545
69.868,24544
73.434,24536
73.304,24533
57.467,24560
74.728,25533
45.215,25531
75.858,25528
72.046,25541
77.039,25532
66.33,25539
68.537,25544
73.915,25520
71.556,25538
72.783,25552
73.907,25547
79.916,25542
79.362,25524
57.671,25557
75.728,25554
77.47,25550
61.158,25556
72.205,25559
66.316,25545
73.979,25558
33.36,26536
,26543
57.622,26551
61.091,26550
52.479,26545
59.626,26541
73.847,26537
,26554
45.796,26552
76.521,26557
89.421,26558
75.214,26538
51.198,26529
56.547,26560
74.632,26562
71.987,26561
72.958,26559
73.548,26565
74.74,26544
64.729,26566
48.261,27548
66.642,27553
62.485,27556
62.529,27554
70.059,27560
