,high,low,ratio
P,0.034274193548387094,0.006352087114337568,4.79784760433505
B,0.004032258064516129,0.0006049606775559589,3.1354400982454433
sulfur_any,0.20665322580645162,0.0925589836660617,2.2194899695322077
hydroxyl,0.32560483870967744,0.15547489413188142,2.0872667179081503
alpha_N,0.3387096774193548,0.1705989110707804,1.9796726873122918
amide,0.32056451612903225,0.16273442226255294,1.9639396022260618
nitrile,0.03528225806451613,0.0205686630369026,1.682174643947078
alpha_O,0.16028225806451613,0.09709618874773139,1.644123590563512
tertiary_amine,0.3014112903225806,0.18481548699334543,1.627481622849934
ester,0.16733870967741934,0.11494252873563218,1.4519151127129457
n_rotbonds,5.821572580645161,4.29491833030853,1.3553732014795978
alpha_S,0.020161290322580645,0.015426497277676952,1.2882411852548816
heavy_atoms,23.237903225806452,18.088929219600725,1.2846320703470044
n_rings,2.119959677419355,1.690562613430127,1.2538463906568038
cyclopropyl,0.0655241935483871,0.052934059286146404,1.233435688484783
Si,0.023185483870967742,0.019056261343012703,1.2058819666005995
ring_aliphatic,0.5120967741935484,0.4277071990320629,1.1968466481365851
ketone_extra,0.05846774193548387,0.049304295220810646,1.1821603239733363
ether,0.4274193548387097,0.3702359346642468,1.1540352504565075
fluorine_any,0.6905241935483871,0.6509376890502118,1.0607213007670222
alpha_halogen,0.05342741935483871,0.05777374470659407,0.9260498820782518
beta_branch,0.1814516129032258,0.1996370235934664,0.9093616404164361
CC_double_bond,0.1280241935483871,0.14307320024198428,0.8955461066435605
alpha_branched(3deg),0.30544354838709675,0.3759830611010284,0.8128841319609645
alpha_quaternary,0.06451612903225806,0.09437386569872959,0.6869400600706779
CC_triple,0.009072580645161291,0.020871143375680582,0.46054202435348685
