donor_smiles,dG_gxtb_kcal,dG_orca_kcal,err
C1=CC(=CC=C1F)S(=O)(=O)CC(=O)C(C=O)S(C2=CC(=C(C=C2)Cl)Cl)(O)O,21.1088,3.5111656744692143,27.748929033782737
CCCC[C@H](C(C=O)NO)C(=O)[N+]1(C(CCC1(C2=CC=CC=N2)C(=O)N)F)[O-],-12.148,29.65117693734021,24.75769401192517
C1=CC(=CC=C1C2=C(C=CC(=C2)OF)CCCC=O)F,2.1969,30.18971009992288,24.511922925316558
C(=O)C1C(=S(=O)=O)C1(C(F)(F)F)C(F)(F)F,-24.6402,-47.34339534378663,23.608270357424175
CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)[C@](C=O)(C(C)C)C(=O)O,27.7308,17.23557040186729,23.485208388415916
C[C@@H]([C@H]([C@H]([C@H](C=O)OP(=O)(O)OP(=O)(O)O)O)O)O,6.939,43.07013085389924,23.167508760698553
C[C@@H]1[C@@H]2[C@H](C(=O)N2C(=C1S[C@@H](C[C@@H](C(=O)NC3=CC=CC(=C3)C(=O)O)N)C=O)C(=O)O)[C@@H](C)O,-5.1491,23.42537054698131,21.172672775527452
C1=CC=C2C(=C1)C=CC=C2CNC[C@@H](C=O)NC(=O)[C@H](CC(=O)OC(=O)C(F)(F)F)N,-18.9141,11.377922076963651,19.89181837212967
C(=O)[C@]([C@@H]([C@H]([C@@H](C(=O)O)O)O)O)(O)S(=O)(=O)O,16.3604,37.098653352117225,19.83967446989982
C1=CC(=CC=C1NC[C@](CCSC(F)(F)F)(C=O)NCl)Br,20.4369,8.369812879864167,19.396088546832612
CCC(C=O)C(CC(F)(F)F)C(=O)C(F)(F)F,-14.1008,9.166306950979084,18.756716669301838
C[C@@H](C=O)NC(=O)[C@H](C)NC(=O)[C@H](COP(=O)(O)O)N,-25.5295,3.6594818648524448,18.539702270431057
CC(C)(C)OC(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC1=CC=CC=C1)C=O,-13.5427,5.781915718510418,17.013488771107465
CN(C)S(=O)(=O)NC1=C(C=CC(=C1)C(C=O)Br)F,2.571,24.622137648438745,16.613656721925075
C(C=O)C(CO)OC(=O)C(F)(F)S(=O)(=O)O,7.5459,26.86935565918892,16.11515053872078
