w_gnn,mae,config
0.0,1.4849859133834635,tabular_only
0.05,1.471003813539755,blend
0.1,1.4587125717442089,blend
0.15,1.448544310839989,blend
0.2,1.4405624085992266,blend
0.25,1.4343936001839244,blend
0.3,1.4301636510051778,blend
0.35,1.4278201259004966,blend
0.4,1.42740443296557,blend
0.45,1.4288932694329362,blend
0.5,1.4323217270917836,blend
0.55,1.4375438214027183,blend
0.6,1.4447495362380072,blend
0.65,1.453708718418901,blend
0.7,1.4644026289919785,blend
0.75,1.4768329211372764,blend
0.8,1.4907918636347834,blend
0.85,1.5063940195183032,blend
0.9,1.5234787054389536,blend
0.95,1.5420866511908748,blend
1.0,1.562215805053711,gnn_only
