w_gnn,mae,config
0.0,1.470430932409107,tabular_only
0.05,1.458970909885953,blend
0.1,1.44897498017015,blend
0.15,1.440780371647675,blend
0.2,1.4349332762033107,blend
0.25,1.4318160342734538,blend
0.3,1.4311520499165147,blend
0.35,1.433194358473065,blend
0.4,1.4378077864348355,blend
0.45,1.4443987731585008,blend
0.5,1.4526165150740689,blend
0.55,1.4626983372122477,blend
0.6,1.474364354025988,blend
0.65,1.4877618050741266,blend
0.7,1.5029133616706203,blend
0.75,1.5194577448993896,blend
0.8,1.5375996200923727,blend
0.85,1.5567808628431465,blend
0.9,1.5771097436076211,blend
0.95,1.5991504897555022,blend
1.0,1.6226346492767334,gnn_only
