w_gnn,mae,config
0.0,1.4760624663485675,tabular_only
0.05,1.4634146768783374,blend
0.1,1.4524423403533409,blend
0.15,1.44331108780128,blend
0.2,1.4359502803817417,blend
0.25,1.4303121171321067,blend
0.3,1.4266287584713935,blend
0.35,1.4248605606581308,blend
0.4,1.424859649984718,blend
0.45,1.426439595646735,blend
0.5,1.4300076200931322,blend
0.55,1.4356728003725738,blend
0.6,1.4434706372742976,blend
0.65,1.4528411486481456,blend
0.7,1.4637082958176209,blend
0.75,1.4756223954880685,blend
0.8,1.488784559700656,blend
0.85,1.5034263964556993,blend
0.9,1.5196987301542288,blend
0.95,1.5373608033888446,blend
1.0,1.5565012693405151,gnn_only
