exp,run,mae,r2
exp2_scaffold_split,random_split,1.5887894009395584,0.8658035411916352
exp5_tabular_variants,XGB_d10_n2000,1.591233351540883,0.8585087171590813
gxtb_dft_viz_fullmetrics,XGB_d10,1.591233351540883,0.8585087171590813
gxtb_dft_viz_fullmetrics,Ensemble_MLP+XGB8+XGB10,1.591290183021673,0.8628069205661038
gxtb_dft_full_benchmark_20260626,Ensemble_f72_plus_global,1.6142806948457935,0.8552427401441494
gxtb_dft_full_benchmark_20260626,ref_GNN_dual_qm56,1.616,
exp2_scaffold_split,scaffold_split,1.618422902513672,0.860378607721061
exp1_gnn_dual_full,GNN_dual_qm_56full,1.6462160348892212,0.8534441590309143
gxtb_dft_full_benchmark_20260626,Ensemble_f56_prod_react,1.6479251323596786,0.8480114620824768
gxtb_dft_viz_fullmetrics,MLP_256-128,1.6735520645593627,0.850596189384617
exp5_tabular_variants,MLP_512-256-128,1.6775971630786586,0.8511400262450762
gxtb_dft_full_benchmark_20260626,XGB_f72_plus_global,1.6791617903376908,0.8450928714285463
exp5_tabular_variants,XGB_d8_n1500,1.6804464541112716,0.850672102996524
gxtb_dft_viz_fullmetrics,XGB_d8,1.6804464541112716,0.850672102996524
exp5_tabular_variants,MLP_256-128,1.6812911373436132,0.851836170663172
gxtb_dft_full_benchmark_20260626,MLP_f72_plus_global,1.6861180705081855,0.8434840285923553
exp5_tabular_variants,MLP_512-256-128-64,1.6931515517687934,0.8496475482822772
gxtb_dft_viz_fullmetrics,MLP_512-256-128,1.7005847355770278,0.8480130952397502
gxtb_dft_full_benchmark_20260626,XGB_f56_prod_react,1.7169209363127809,0.8375050755040824
gxtb_dft_full_benchmark_20260626,MLP_f56_prod_react,1.7269567754130573,0.8360042468693958
exp5_tabular_variants,MLP_128,1.7291305312305663,0.8462695062200158
exp5_tabular_variants,XGB_d6_n1200,1.8170927076854908,0.8309325711911743
exp1_gnn_arch_full,GNN_gine_hybrid_full,1.9910871982574463,0.7700162529945374
exp5_tabular_variants,XGB_d4_n800,2.0183244475887583,0.7964036491205613
gxtb_dft_full_benchmark_20260626,ref_3D_DimeNet++,2.04,
gxtb_dft_full_benchmark_20260626,Ridge_f72_plus_global,2.104831989899066,0.7817792141045719
exp5_tabular_variants,Ridge_a1,2.1093643988561785,0.7854883028159398
gxtb_dft_viz_fullmetrics,Ridge72,2.1093643988561785,0.7854883028159398
exp5_tabular_variants,LinearRegression,2.1093973791670515,0.7854851599246703
exp5_tabular_variants,Lasso_a01,2.1151472263969766,0.7833005278631373
gxtb_dft_full_benchmark_20260626,ref_GNN_gine_hybrid,2.13,
gxtb_dft_full_benchmark_20260626,Ridge_f56_prod_react,2.1430044903359677,0.7711936912902384
gxtb_dft_full_benchmark_20260626,Ensemble_f34_prod,2.2421131323702586,0.7143769827670621
gxtb_dft_full_benchmark_20260626,XGB_f34_prod,2.243439035707076,0.7142414789587684
gxtb_dft_full_benchmark_20260626,MLP_f34_prod,2.327763714849793,0.6970190424336664
exp1_gnn_dual_full,GNN_dual_56full,2.56811785697937,0.6589663028717041
exp1_gnn_arch_full,GNN_gine_big_full,2.5746567249298096,0.6499420404434204
exp1_gnn_dual_full,GNN_product_only_56full,2.5827395915985107,0.655917763710022
exp1_gnn_arch_full,GNN_gat_full,2.5843842029571533,0.6452617049217224
exp1_gnn_arch_full,GNN_gine_full,2.597808599472046,0.6464450359344482
exp1_gnn_arch_full,GNN_nnconv_full,2.6234452724456787,0.6407686471939087
exp1_gnn_arch_full,GNN_gcn_full,2.67600154876709,0.6345962882041931
gxtb_dft_full_benchmark_20260626,ref_Tier1_pure_smiles,2.75,
gxtb_dft_full_benchmark_20260626,Ridge_f34_prod,2.797491744814908,0.6091112946747292
exp4_tier1_distill,tier1_hard_DFT,2.8493633750853222,0.5789267719335025
exp4_tier1_distill,tier1_soft_teacher,2.87512429901927,0.5714298157502803
gxtb_dft_full_benchmark_20260626,baseline_raw_gxtb,4.25799075905327,0.12688827265781666
gxtb_dft_full_benchmark_20260626,baseline_raw_gfn2,15.701479651715852,
