,mean_abs_shap
P_int,1.9388725
ald_wbo_CO,0.83082044
ald_P_int,0.62529695
ald_xtb_dipole,0.60608983
ald_pa_CHO_O,0.48194724
xtb_dipole,0.40839025
wbo_CC_new,0.3377246
vbur_ketC,0.3215486
mulliken_carbC,0.2774141
ald_mordred_TPSA,0.24393426
fukui_plus_ketC,0.21804619
ald_mulliken_CHO_C,0.21566953
mordred_TPSA,0.20518255
ald_mordred_Mor02se,0.1600151
ald_mulliken_CHO_O,0.14953649
ald_mordred_WNSA3,0.1460249
mordred_GeomRadius,0.14584693
ald_mordred_PNSA3,0.14176874
mordred_Mor03v,0.13555615
ald_SASA_total,0.13492131
mordred_TopoPSA(NO),0.13468935
mordred_Mor02m,0.12732047
mulliken_ketC,0.11886169
wbo_CO_carb,0.116112575
mordred_Mor04m,0.11150393
mordred_PNSA1,0.105392136
g_TPSA,0.1041441
mordred_Mor02v,0.09914137
ald_mordred_GeomDiameter,0.09754648
ald_sterimol_B1,0.09743813
wbo_CO_ket,0.095483825
SASA_total,0.09479561
ald_dual_descriptor_CHO_C,0.09265011
ald_xtb_LUMO,0.092211455
ald_mordred_PNSA1,0.091070004
mordred_PPSA3,0.08948143
ald_mordred_Mor02m,0.08860504
mulliken_hydH,0.0860727
hb_dist,0.08549083
ald_mordred_Mor02,0.08508817
ald_vbur_CHO_C,0.08376425
mordred_Mor03p,0.08292887
ald_mordred_MOMI-Y,0.07521531
mordred_WNSA3,0.07507375
ald_sterimol_B5,0.07295013
ald_fukui_plus_CHO_C,0.07150153
pa_ketO,0.0694344
ald_mordred_Mor04se,0.0692281
mordred_Mor02p,0.06912129
ald_mordred_Mor02p,0.06700962
mordred_PNSA3,0.06591541
mordred_DPSA3,0.06258512
ald_fukui_minus_CHO_C,0.06136728
ald_mordred_GeomRadius,0.060074423
ald_mordred_WNSA1,0.06001753
mordred_GeomDiameter,0.059923902
mordred_PBF,0.05950376
xtb_EA,0.058017336
vbur_carbC,0.054907814
ald_mordred_DPSA3,0.05385029
ald_mordred_FPSA5,0.051780317
ald_mordred_TopoPSA(NO),0.049984526
ald_mordred_PPSA3,0.049157444
g_HBD,0.049097143
ald_mordred_WPSA3,0.046692107
dual_ketC,0.04622276
xtb_eta,0.04597449
mordred_WNSA5,0.045833644
ald_xtb_gap,0.04510995
ald_mordred_Mor04v,0.044830993
mordred_Mor04v,0.04453894
mordred_WPSA3,0.043950964
mordred_TopoPSA,0.042731468
sterimol_L,0.04189889
mordred_WNSA1,0.04166281
mulliken_ketO,0.040188424
xtb_LUMO,0.039413624
ald_sterimol_L,0.038915005
mulliken_hydO,0.03812469
mordred_Mor04p,0.037568554
ald_mordred_Mor03v,0.03743032
ald_mordred_Mor08,0.037137676
ald_mordred_Mor07,0.037036084
ald_mordred_RPCS,0.03678773
xtb_gap,0.035606943
ald_mordred_Mor04,0.03525183
mordred_RASA,0.03379921
ald_mordred_Mor04p,0.032517362
ald_mordred_TopoPSA,0.032257948
mordred_RPCS,0.032052353
fukui_plus_carbC,0.03203191
mordred_MOMI-Y,0.03169671
ald_mordred_MOMI-X,0.030390138
mordred_MOMI-Z,0.030164374
ald_mordred_Mor07se,0.029951716
ald_mordred_Mor02v,0.029874252
mordred_FPSA3,0.029635265
ald_mordred_RASA,0.028991338
ald_xtb_omega,0.028483603
sterimol_B1,0.028271357
hb_angle,0.027684696
ald_xtb_HOMO,0.027144063
xtb_omega,0.026706604
mordred_PNSA4,0.02666573
mordred_Mor07,0.024830427
ald_xtb_EA,0.024011103
mordred_Mor19m,0.023774045
ald_mordred_PBF,0.023514692
ald_mordred_FPSA3,0.023084251
ald_mordred_RNCS,0.023080632
sterimol_B5,0.022746954
ald_mordred_bpol,0.02169577
ald_mordred_Mor06m,0.021551028
fukui_minus_ketC,0.021112306
xtb_HOMO,0.020958956
fukui_minus_carbC,0.020587862
