,mean_abs_shap
P_int,1.8488586
ald_wbo_CO,0.8527347
ald_P_int,0.6099179
ald_bde_gxtb_kcal,0.5867875
ald_xtb_dipole,0.57227606
prod_bde_gxtb_kcal,0.48346636
ald_pa_CHO_O,0.4522258
xtb_dipole,0.38836676
wbo_CC_new,0.3311152
vbur_ketC,0.3038701
mulliken_carbC,0.2452235
ald_mulliken_CHO_C,0.23394164
ald_mordred_Mor02se,0.22792712
fukui_plus_ketC,0.21137959
prod_bdfe_gxtb_kcal,0.19104722
mordred_TopoPSA(NO),0.18917793
ald_mordred_PNSA3,0.17990129
mordred_PNSA3,0.17415722
mordred_Mor03v,0.17066363
mordred_GeomRadius,0.16867873
ald_SASA_total,0.16677664
ald_mulliken_CHO_O,0.1661707
ald_mordred_GeomDiameter,0.15058738
ald_mordred_TPSA,0.14895773
ald_mordred_WNSA3,0.14547725
mordred_Mor02m,0.13959241
g_TPSA,0.13210636
ald_mordred_Mor02m,0.13145758
mordred_RASA,0.12706481
mordred_Mor02v,0.119812496
mulliken_ketC,0.11826065
wbo_CO_carb,0.11308183
mordred_PPSA3,0.1105696
mordred_Mor04m,0.109343715
ald_mordred_Mor04se,0.10855464
SASA_total,0.10658021
ald_sterimol_B1,0.10351251
ald_bdfe_gxtb_kcal,0.09910481
mordred_WNSA5,0.09667723
mordred_PNSA1,0.089422345
wbo_CO_ket,0.08886088
mulliken_hydH,0.08556973
ald_mordred_WNSA1,0.08308229
ald_xtb_LUMO,0.08301395
ald_dual_descriptor_CHO_C,0.080275916
ald_sterimol_B5,0.07920533
ald_mordred_FPSA5,0.075765915
hb_dist,0.075060956
mordred_Mor04v,0.073443726
mordred_PBF,0.069427215
ald_fukui_minus_CHO_C,0.06880049
pa_ketO,0.06755917
vbur_carbC,0.06553598
ald_vbur_CHO_C,0.064722024
ald_fukui_plus_CHO_C,0.06254244
dual_ketC,0.06148579
ald_mordred_WPSA3,0.06060414
ald_mordred_Mor07,0.058052555
xtb_EA,0.056183822
ald_xtb_gap,0.056095645
xtb_eta,0.054855667
ald_mordred_Mor04v,0.054799702
ald_sterimol_L,0.054720696
ald_mordred_Mor03v,0.052582607
mordred_MOMI-Y,0.049318545
xtb_gap,0.045957554
ald_mordred_RPCS,0.0427286
sterimol_L,0.041969158
mordred_MOMI-Z,0.041511085
ald_mordred_Mor08,0.040735867
mulliken_hydO,0.040418103
g_HBD,0.03978134
mordred_FPSA3,0.03792118
ald_xtb_HOMO,0.03413819
xtb_omega,0.032546774
xtb_LUMO,0.0320879
mordred_RPCS,0.03179467
ald_mordred_Mor14se,0.031736676
mordred_Mor04,0.030676626
fukui_plus_carbC,0.03061613
ald_mordred_FPSA3,0.030589512
sterimol_B1,0.03034678
ald_mordred_Mor03se,0.02974687
xtb_HOMO,0.028871795
ald_mordred_FNSA3,0.027659785
mulliken_ketO,0.027524322
mordred_PNSA4,0.0271945
mordred_DPSA2,0.026823524
ald_mordred_Mor06m,0.026505891
mordred_Mor19m,0.026092831
hb_angle,0.025711505
ald_mordred_AMW,0.02570447
mordred_Mor05m,0.025384743
