,mean_abs_shap_hard,mean_abs_shap_background,hard_rank,background_rank,rank_shift
P_int,2.2283232,1.7589937,1,1,0
ald_wbo_CO,0.9628948,0.8126527,2,2,0
ald_P_int,0.8078414,0.5496813,3,3,0
ald_bde_gxtb_kcal,0.74278545,0.5418211,4,4,0
ald_xtb_dipole,0.71050656,0.53006226,5,5,0
prod_bde_gxtb_kcal,0.59979975,0.4358978,6,7,1
ald_pa_CHO_O,0.5225134,0.43619707,7,6,-1
xtb_dipole,0.47252566,0.36437792,8,8,0
vbur_ketC,0.3635814,0.2852968,9,10,1
wbo_CC_new,0.3463142,0.32735303,10,9,-1
ald_mordred_Mor02se,0.2848324,0.21184956,11,14,3
mordred_TopoPSA(NO),0.2617313,0.16958795,12,16,4
ald_mulliken_CHO_C,0.2517395,0.227959,13,12,-1
prod_bdfe_gxtb_kcal,0.23823656,0.17452304,14,15,1
mordred_PNSA3,0.22714114,0.15475811,15,21,6
mulliken_carbC,0.22694772,0.2432693,16,11,-5
ald_SASA_total,0.22170067,0.14602217,17,22,5
ald_mordred_PNSA3,0.21664529,0.16706544,18,17,-1
fukui_plus_ketC,0.21530183,0.21378285,19,13,-6
mordred_GeomRadius,0.20411545,0.15815882,20,20,0
ald_mordred_TPSA,0.19397098,0.13575059,21,23,2
ald_mordred_WNSA3,0.1862119,0.1318219,22,25,3
ald_mordred_Mor02m,0.18509018,0.11351377,23,32,9
ald_mordred_GeomDiameter,0.18341912,0.13483353,24,24,0
g_TPSA,0.1783354,0.120159596,25,27,2
ald_mulliken_CHO_O,0.17581373,0.16201536,26,19,-7
mordred_Mor02m,0.17277099,0.13171837,27,26,-1
mordred_Mor03v,0.17238295,0.16570729,28,18,-10
mordred_RASA,0.14951847,0.12003182,29,28,-1
SASA_total,0.1457987,0.094309576,30,37,7
mordred_PPSA3,0.14515391,0.09776906,31,36,5
mordred_WNSA5,0.13789164,0.081301905,32,41,9
ald_mordred_Mor04se,0.13392279,0.09894549,33,35,2
mulliken_ketC,0.12456496,0.11531175,34,30,-4
mordred_Mor02v,0.12360651,0.11877159,35,29,-6
ald_bdfe_gxtb_kcal,0.11934085,0.09072782,36,38,2
mordred_Mor04m,0.117166266,0.10629421,37,33,-4
wbo_CO_carb,0.11491364,0.11404317,38,31,-7
mulliken_hydH,0.11437337,0.07596344,39,45,6
ald_sterimol_B1,0.113002025,0.100056395,40,34,-6
ald_mordred_WNSA1,0.10339788,0.07472447,41,47,6
mordred_PNSA1,0.10021068,0.08617106,42,40,-2
ald_sterimol_B5,0.10016755,0.07279939,43,48,5
wbo_CO_ket,0.09601166,0.086974286,44,39,-5
