id,ald_smiles,smiles,cls,error,struct_cluster,ald_sulfonyl,ald_sulfonyl_F,ald_nitro,ald_nitrile,ald_imine,ald_has_B,ald_has_Si,ald_has_P,ald_soft_S_thioether,ald_furan_O,ald_thiophene_S,ald_azine_N,ald_halogen,ald_ester,ald_amide,prod_sulfonyl,prod_sulfonyl_F,prod_nitro,prod_nitrile,prod_imine,prod_has_B,prod_has_Si,prod_has_P,prod_soft_S_thioether,prod_furan_O,prod_thiophene_S,prod_azine_N,prod_halogen,prod_ester,prod_amide
118582,CCOC(=O)C1(C(C1(C#N)C(=O)OCC)C2=CC=CC=C2C=O)C#N,CCOC(=O)C1(C#N)C(c2ccccc2C(=O)C(O)c2ccccc2C2C(C#N)(C(=O)OCC)C2(C#N)C(=O)OCC)C1(C#N)C(=O)OCC,aromatic,2.7492823327664846,0,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False
56364,CC1=C(C(=C(C(=C1Cl)O)CCCCCCCCCCCC(=O)OF)O)C=O,Cc1c(Cl)c(O)c(CCCCCCCCCCCC(=O)OF)c(O)c1C(=O)C(O)c1c(C)c(Cl)c(O)c(CCCCCCCCCCCC(=O)OF)c1O,aromatic,3.067706377147722,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
118189,C1=CC=C(C=C1)COC(=O)NCC(=O)OC[C@H]([C@H]([C@@H]([C@@H](C=O)O)O)O)O,O=C(CNC(=O)OCc1ccccc1)OCC(O)C(O)C(O)C(O)C(=O)C(O)C(O)C(O)C(O)C(O)COC(=O)CNC(=O)OCc1ccccc1,aliphatic,2.211428255900522,5,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True
3830,C1=CC(=NC(=C1N)C=O)NNC(=S)N,NC(=S)NNc1ccc(N)c(C(=O)C(O)c2nc(NNC(N)=S)ccc2N)n1,aromatic,11.108665283468005,2,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
1711,C1=CC(=C(C=C1S(=O)(=O)NCC2=CSC(=C2)C(=O)N[C@@H](CC(=O)O)C=O)C(=O)O)O,O=C(O)CC(NC(=O)c1cc(CNS(=O)(=O)c2ccc(O)c(C(=O)O)c2)cs1)C(=O)C(O)C(CC(=O)O)NC(=O)c1cc(CNS(=O)(=O)c2ccc(O)c(C(=O)O)c2)cs1,aliphatic,5.918842643311802,4,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True
25313,C[C@H]([C@H]([C@@H]([C@H](C=O)NC(=O)C)O)NC(=O)C)O,CC(=O)NC(C(=O)C(O)C(NC(C)=O)C(O)C(NC(C)=O)C(C)O)C(O)C(NC(C)=O)C(C)O,aliphatic,3.586336833411244,5,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
125954,C[C@@H]1CC[C@@H]2[C@](CCCC2(C)C)(C(C1=O)C3=CC(=C(C(=C3O)C=O)O)O)C,CC1CCC2C(C)(C)CCCC2(C)C(c2cc(O)c(O)c(C(=O)C(O)c3c(O)c(O)cc(C4C(=O)C(C)CCC5C(C)(C)CCCC45C)c3O)c2O)C1=O,aromatic,3.573368555331605,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
58899,CCC(CC)(C1=C(C=C(C=C1)C=O)Br)P(=O)(OF)OF,CCC(CC)(c1ccc(C(=O)C(O)c2ccc(C(CC)(CC)P(=O)(OF)OF)c(Br)c2)cc1Br)P(=O)(OF)OF,aromatic,7.747662263551145,2,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False
39683,CC1=C(OC=C1)C(=O)NC2=C(C=CC(=C2)OC3=CC(=NC=C3)C4=CC(=CN4)C(=O)NCCC=O)F,Cc1ccoc1C(=O)Nc1cc(Oc2ccnc(-c3cc(C(=O)NCCC(=O)C(O)CCNC(=O)c4c[nH]c(-c5cc(Oc6ccc(F)c(NC(=O)c7occc7C)c6)ccn5)c4)c[nH]3)c2)ccc1F,aliphatic,3.341389536261815,2,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True
50825,CCCOC1=C2C(=C(C3=CC=CC=C31)OCC4=CC=CC=C4)C(=O)N(C2=O)C5=CC(=C(C=C5)CC=O)F,CCCOc1c2c(c(OCc3ccccc3)c3ccccc13)C(=O)N(c1ccc(CC(=O)C(O)Cc3ccc(N4C(=O)c5c(c(OCc6ccccc6)c6ccccc6c5OCCC)C4=O)cc3F)c(F)c1)C2=O,aliphatic,1.050999646397166,2,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True
