id,ald_id,smiles,ald_smiles,cls,dG_orca_kcal,dG_gxtb_kcal,dG_pred,error,uncertainty_pi_width,route_to_dft
78143,78143,Cc1cc(CC(=O)C(O)Cc2cc(C)c(OC(C)(C)C(=O)OF)c(C)c2)cc(C)c1OC(C)(C)C(=O)OF,CC1=CC(=CC(=C1OC(C)(C)C(=O)OF)C)CC=O,aliphatic,-18.32818078602649,21.8693,17.29363982225091,35.6218206082774,10.78602,True
38211,38211,[CH]C(CCC(F)(F)Cc1cccnc1)C(=O)C(O)C([CH])CCC(F)(F)Cc1cccnc1,[CH][C@@H](CCC(CC1=CN=CC=C1)(F)F)C=O,aliphatic,-52.24202262465151,-16.1648,-27.309851983110583,24.932170641540928,8.880965,False
75245,75245,CCCCC(C(=O)[N+]1([O-])C(F)CCC1(C(N)=O)c1ccccn1)C(NO)C(=O)C(O)C(NO)C(CCCC)C(=O)[N+]1([O-])C(F)CCC1(C(N)=O)c1ccccn1,CCCC[C@H](C(C=O)NO)C(=O)[N+]1(C(CCC1(C2=CC=CC=N2)C(=O)N)F)[O-],aliphatic,29.65117693734021,-12.148,7.245704450277245,22.405472487062966,22.203915,True
201203,201203,C=CCc1c(O)c(C(=O)OC)c(COC(=O)C(C)(C)C)c(C(=O)C(O)c2c(O)c(CC=C)c(O)c(C(=O)OC)c2COC(=O)C(C)(C)C)c1O,CC(C)(C)C(=O)OCC1=C(C(=C(C(=C1C(=O)OC)O)CC=C)O)C=O,aromatic,30.25556533153228,0.9801,10.759525852580905,19.496039478951374,14.596869,True
90673,90673,O=C(c1cn(C2OC(COP(O)OP(=O)(O)O)C(O)C2F)c(=O)nc1NO)C(O)c1cn(C2OC(COP(O)OP(=O)(O)O)C(O)C2F)c(=O)nc1NO,C1=C(C(=NC(=O)N1C2C([C@@H](C(O2)COP(O)OP(=O)(O)O)O)F)NO)C=O,aromatic,14.468402794848926,23.7105,33.542025233504326,19.0736224386554,25.391106,True
117833,117833,COc1ccccc1P(Cl)(CC(=O)C(O)CP(Cl)(c1ccccc1)(c1ccccc1)c1ccccc1OC)(c1ccccc1)c1ccccc1,COC1=CC=CC=C1P(CC=O)(C2=CC=CC=C2)(C3=CC=CC=C3)Cl,aliphatic,48.10013165663872,25.7231,29.485539768440365,18.61459188819836,11.343716,True
65792,65792,O=C(OS(=O)(=O)C(F)(F)F)C(C(=O)C(O)C(C(=O)OS(=O)(=O)C(F)(F)F)C(F)(F)F)C(F)(F)F,C(=O)C(C(=O)OS(=O)(=O)C(F)(F)F)C(F)(F)F,aliphatic,-5.320621643254694,15.8422,12.852972004048375,18.17359364730307,10.01579,False
215126,215126,NC(N)=NCCCC(NC(=O)Cn1cncc(NS(=O)(=O)Cc2ccccc2)c1=O)C(=O)C(O)C(CCCN=C(N)N)NC(=O)Cn1cncc(NS(=O)(=O)Cc2ccccc2)c1=O,C1=CC=C(C=C1)CS(=O)(=O)NC2=CN=CN(C2=O)CC(=O)NC(CCCN=C(N)N)C=O,aliphatic,50.34170077869134,8.3167,32.6332240729422,17.708476705749142,32.408638,True
77803,77803,C=CC1CC(C(=O)N(C)OS(=O)c2ccc(C(F)(F)F)cc2)C1C(=O)C(O)C1C(C=C)CC1C(=O)N(C)OS(=O)c1ccc(C(F)(F)F)cc1,CN(C(=O)C1CC(C1C=O)C=C)OS(=O)C2=CC=C(C=C2)C(F)(F)F,aliphatic,45.93105405115428,26.6562,28.77213021653585,17.158923834618427,11.810326,True
84945,84945,CC(C)C(N)C(=O)OCC1(F)OC(n2cc(C(=O)C(O)c3cn(C4OC(F)(COC(=O)C(N)C(C)C)C(O)C4O)c(=S)[nH]c3=O)c(=O)[nH]c2=S)C(O)C1O,CC(C)[C@@H](C(=O)OC[C@@]1([C@H]([C@H]([C@@H](O1)N2C=C(C(=O)NC2=S)C=O)O)O)F)N,aromatic,-5.328320216752925,10.134,11.773403001041155,17.10172321779408,18.70884,True
73276,73276,CC(=O)c1c(C(=O)C(O)c2cccc(C(=O)C(F)(F)F)c2C(C)=O)cccc1C(=O)C(F)(F)F,CC(=O)C1=C(C=CC=C1C(=O)C(F)(F)F)C=O,aromatic,-0.0933761111057388,-20.8223,-17.14348871304308,17.050112601937343,8.866257,False
36417,36417,CC(C)(C)c1cc(C(=O)C(O)c2ccc(OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O)c(C(C)(C)C)c2)ccc1OS(=O)(=O)C(F)(F)C(F)(F)C(F)(F)S(=O)(=O)O,CC(C)(C)C1=C(C=CC(=C1)C=O)OS(=O)(=O)C(C(C(F)(F)S(=O)(=O)O)(F)F)(F)F,aromatic,37.5208316182105,4.6378,21.079857777552945,16.440973840657556,19.242975,True
67165,67165,C=C(C)C=C(CNCc1cnccc1C(=O)C(O)c1ccncc1CNCC(=CC(=C)C)C1NCCC(F)(F)CCN1)C1NCCC(F)(F)CCN1,CC(=C)/C=C(/CNCC1=C(C=CN=C1)C=O)\C2NCCC(CCN2)(F)F,aromatic,-1.505720805208674,15.2268,14.286698868888562,15.792419674097236,13.688719,True
215988,215988,O=C(C1C=CC(Cl)(N2CCNCC2C(=O)c2ccc(Cl)cc2Cl)C=C1Cl)C(O)C1C=CC(Cl)(N2CCNCC2C(=O)c2ccc(Cl)cc2Cl)C=C1Cl,C1CN(C(CN1)C(=O)C2=C(C=C(C=C2)Cl)Cl)C3(C=CC(C(=C3)Cl)C=O)Cl,aliphatic,-2.724119753783912,12.2558,12.562582198055273,15.286701951839184,10.932574,True
53484,53484,CC(C(N)=O)=C(Nc1cccc(CC(=O)C(O)Cc2cccc(NC(SC(C)c3c(F)cc(C(C)(C)O)cc3F)=C(C)C(N)=O)n2)n1)SC(C)c1c(F)cc(C(C)(C)O)cc1F,CC(C1=C(C=C(C=C1F)C(C)(C)O)F)S/C(=C(\C)/C(=O)N)/NC2=CC=CC(=N2)CC=O,aliphatic,-3.940725102636586,9.6038,11.213794738349609,15.154519840986195,15.741814,True
59806,59806,O=C(c1cc(N2CCCCC2n2ncc(COc3ccc(-n4cnnn4)cc3F)n2)cc(=O)[nH]1)C(O)c1cc(N2CCCCC2n2ncc(COc3ccc(-n4cnnn4)cc3F)n2)cc(=O)[nH]1,C1CCN(C(C1)N2N=CC(=N2)COC3=C(C=C(C=C3)N4C=NN=N4)F)C5=CC(=O)NC(=C5)C=O,aromatic,-3.943752667142837,12.4723,11.02682897639258,14.970581643535416,12.799263,True
53835,53835,O=C(CP1(F)=NP(F)(F)=NP(F)(F)=N1)C(O)CP1(F)=NP(F)(F)=NP(F)(F)=N1,C(C=O)P1(=NP(=NP(=N1)(F)F)(F)F)F,aliphatic,28.623272892155903,6.3708,13.67350929317233,14.949763598983573,19.306047,True
121045,121045,O=C(C(O)C(c1ccccc1)P(Cl)(c1ccccc1)(c1ccccc1)c1ccccc1)C(c1ccccc1)P(Cl)(c1ccccc1)(c1ccccc1)c1ccccc1,C1=CC=C(C=C1)C(C=O)P(C2=CC=CC=C2)(C3=CC=CC=C3)(C4=CC=CC=C4)Cl,aliphatic,34.46191628087726,11.3395,19.5920916455625,14.86982463531476,12.845392,True
90084,90084,CNCCN(C(=O)NC(c1csc(C(F)(F)F)n1)C1CCC(C(F)(F)F)CC1)C(C)C(=O)C(O)C(C)N(CCNC)C(=O)NC(c1csc(C(F)(F)F)n1)C1CCC(C(F)(F)F)CC1,CC(C=O)N(CCNC)C(=O)NC(C1CCC(CC1)C(F)(F)F)C2=CSC(=N2)C(F)(F)F,aliphatic,18.16031191611465,-19.7778,3.7516266981086375,14.408685218006013,21.317583,True
192638,192638,COc1cc(F)c(C(=O)C(O)c2c(F)cc(OC)cc2S(=O)(=O)Cl)c(S(=O)(=O)Cl)c1,COC1=CC(=C(C(=C1)S(=O)(=O)Cl)C=O)F,aromatic,26.95652261116536,-6.2449,12.600205482906201,14.35631712825916,22.365864,True
47298,47298,NC1=C(c2ccncc2)N(F)CC=C1c1c(F)ccc(C(=O)C(O)c2ccc(F)c(C3=CCN(F)C(c4ccncc4)=C3N)c2F)c1F,C1C=C(C(=C(N1F)C2=CC=NC=C2)N)C3=C(C=CC(=C3F)C=O)F,aromatic,-15.074425300313749,-34.0962,-29.385986920879287,14.311561620565538,9.343889,False
