pid,grp,new_scaffold_split,donor_smiles,acceptor_smiles,prod_smiles,label,gxtb_stored,round
SPOMMIQLONEYFA-OEMAIJDKSA-N__KBJUYJHOJLRYGD-UHFFFAOYSA-N,test,test,Cc1cc(C(F)(F)F)nn1C(C=O)c1nc(C2=NO[C@@H](c3ccccc3)C2)cs1,Cn1cnnc1-c1cc(F)ccc1-c1cccc(-c2nc3ccc(C=O)cc3s2)c1,Cc1cc(C(F)(F)F)nn1C(C(=O)C(O)c1ccc2nc(-c3cccc(-c4ccc(F)cc4-c4nncn4C)c3)sc2c1)c1nc(C2=NOC(c3ccccc3)C2)cs1,11.17924526508619,-1.9294,round1
BDZSNXFYQFYOSR-UHFFFAOYSA-N__ADWSFKXHBAUKKO-UHFFFAOYSA-N,test,test,O=CC12CNCCn3c(NC4CCOC5(CCC5)C4)nc(c31)CC(F)C2,CC(C)c1c2cc(-c3nc(Nc4ccc5c(n4)CCC(C(O)C=O)N5)ncc3F)cc(F)c2nn1C,CC(C)c1c2cc(-c3nc(Nc4ccc5c(n4)CCC(C(O)C(O)C(=O)C46CNCCn7c(NC8CCOC9(CCC9)C8)nc(c74)CC(F)C6)N5)ncc3F)cc(F)c2nn1C,5.924587138343984,6.1826,round2
XTJSAFHBGDWJMM-UHFFFAOYSA-N__CRLFTKITXPMUMZ-UHFFFAOYSA-N,test,test,CSC1=CC=C(C=C1)C2=C(OC(=O)C(=C2)C3=CC=CC=C3)C=O,CCC(CC)NC1=C(C(=NC(=N1)C)N2CCC3=C2C(=CC(=C3)OC)Cl)C=O,CCC(CC)Nc1nc(C)nc(N2CCc3cc(OC)cc(Cl)c32)c1C(O)C(=O)c1oc(=O)c(-c2ccccc2)cc1-c1ccc(SC)cc1,13.01310444456215,4.958,round3
NQPPJKGYVRVYFS-UHFFFAOYSA-N__ZMAVHCQIROTNQP-AEFFLSMTSA-N,test,test,CCC(CC=O)C(OC)OC,C[C@H](CC=O)CC(=O)CC[C@H]1CC(=O)CN(C1)C(=O)OCC2=CC=CC=C2,CCC(CC(=O)C(O)CC(C)CC(=O)CCC1CC(=O)CN(C(=O)OCc2ccccc2)C1)C(OC)OC,-2.239061135745995,2.0246,round4
QWBWDVDEAGKENZ-UHFFFAOYSA-N__PFLPFKSORSLUOY-UHFFFAOYSA-N,test,test,C1=CC(=C(N=C1)SC2=NC=C(C=C2)C(F)(F)F)C=O,CCOC1=C(C(=C(C=C1C(C)N2C3=NC=NC(=C3C(=N2)C=O)N)Cl)F)C4CN(C4)C(C)(C)C,CCOc1c(C(C)n2nc(C(O)C(=O)c3cccnc3Sc3ccc(C(F)(F)F)cn3)c3c(N)ncnc32)cc(Cl)c(F)c1C1CN(C(C)(C)C)C1,10.516772974148292,-0.5292,round5
ABMAWPRTPYBBDU-UHFFFAOYSA-N__ADCIHVFLVVBMPF-UHFFFAOYSA-N,test,test,CC1(CCCN1C)C2=CC=C(C=C2)C3=C(C4=C(C=C(C=C4N3C)F)C(=O)OC)C=O,CC(CCCCC=O)C(F)(F)F,COC(=O)c1cc(F)cc2c1c(C(=O)C(O)CCCCC(C)C(F)(F)F)c(-c1ccc(C3(C)CCCN3C)cc1)n2C,5.871668823700543,4.8113,round6
YSDFIHXJIJIAAL-UHFFFAOYSA-N__NYSJBGFOVAYLTL-UHFFFAOYSA-N,test,test,C1=CC=C(C=C1)OC2=CC3=C(C=C2)NC=C3C=O,C1=CC(=C(C=C1C=O)[N+](=O)[O-])OCC(=O)NCCC2=CNC3=C2C=CC(=C3)F,O=C(COc1ccc(C(O)C(=O)c2c[nH]c3ccc(Oc4ccccc4)cc23)cc1[N+](=O)[O-])NCCc1c[nH]c2cc(F)ccc12,1.997027714982381,2.7012,round7
ORVKHRNDGSSICU-UHFFFAOYSA-N__FKVIJRPKBQIPBO-UHFFFAOYSA-N,test,test,Cc1ccnc(Nc2c(C=O)cccc2-c2ccccc2F)c1[N+](=O)[O-],Cn1c(C2CC23CCN(c2cccc(OCc4ccc(C#N)cc4F)n2)CC3)nc2cc(C=O)oc21,Cc1ccnc(Nc2c(C(=O)C(O)c3cc4nc(C5CC56CCN(c5cccc(OCc7ccc(C#N)cc7F)n5)CC6)n(C)c4o3)cccc2-c2ccccc2F)c1[N+](=O)[O-],15.866664109177076,0.0174,round1
RPVSGCNZVIJFSR-UHFFFAOYSA-N__CWJKDZGESUOPSV-UHFFFAOYSA-N,test,test,C=C(N=S(N)(=O)c1sc(C)nc1C)Nc1c(C(C)C)cc(F)cc1C(C)C=O,C=Cc1ccc(F)cc1C(C)(C)CC(=O)C(=O)Nc1ccc2c(c1)C(C)=NOC2C=O,C=Cc1ccc(F)cc1C(C)(C)CC(=O)C(=O)Nc1ccc2c(c1)C(C)=NOC2C(O)C(=O)C(C)c1cc(F)cc(C(C)C)c1NC(=C)N=S(N)(=O)c1sc(C)nc1C,-6.375481682404284,-14.3264,round2
PMDNXTNFZNADQS-VWLOTQADSA-N__PJVCFMWHRGYLTG-UHFFFAOYSA-N,test,test,C1COCCC1[C@@H](C2=CC=CC=C2F)N3C4=CC(=C(C=C4C5=C3C=C(C=N5)CC=O)F)Cl,C1C(C(C2=C(S1)NC(=O)S2)C3=CC=C(C=C3)OCC4=CC=CC=C4)C=O,O=C(Cc1cnc2c3cc(F)c(Cl)cc3n(C(c3ccccc3F)C3CCOCC3)c2c1)C(O)C1CSc2[nH]c(=O)sc2C1c1ccc(OCc2ccccc2)cc1,3.03022719426494,2.5765,round3
IVBUMEAAAWEYJF-UHFFFAOYSA-N__ASJSAQIRZKANQN-BRJRFNKRSA-N,test,test,CN1C(=CC(=O)N(C1=O)C2=NC(=CC=C2)OC3=C(C=CN=C3)OCC=O)C(F)(F)F,C(C=O)C([C@@H](CO)O)O,Cn1c(C(F)(F)F)cc(=O)n(-c2cccc(Oc3cnccc3OCC(=O)C(O)CC(O)C(O)CO)n2)c1=O,-0.3934542646549551,11.7173,round4
XHWUCEASPYLAIG-UHFFFAOYSA-N__YMCSXQTXZJYNGN-FHDQPZTMSA-N,test,test,CCN1C=CC2=C(OC(=C(C=CC(=C21)C3=CC=CC(=C3)C=O)C(=O)NC)C4=CC=C(C=C4)F)C,C[C@H]1CN(CCN1C2=CC(=CC(=C2)F)F)CC(CC3(C(=O)NC(=O)N3)C4=COC=N4)C=O,CCn1ccc2c(C)oc(-c3ccc(F)cc3)c(C(=O)NC)ccc(-c3cccc(C(=O)C(O)C(CN4CCN(c5cc(F)cc(F)c5)C(C)C4)CC4(c5cocn5)NC(=O)NC4=O)c3)c21,0.7534500217062172,-10.2185,round5
UATVBWGCMVLOQT-UHFFFAOYSA-N__IXAFUAIZNPYVPO-LMWSTFAQSA-N,test,test,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)C=O)C(=O)NC4=CC(=CC=C4)F,C1C[C@H](CN(C1)C2CC(C2)SC3=C(C=CC(=C3)F)F)C=O,O=C(Nc1cccc(F)c1)c1cn(-c2ccccc2)nc1-c1ccc(C(=O)C(O)C2CCCN(C3CC(Sc4cc(F)ccc4F)C3)C2)cc1,-0.5955590648603126,-1.4231,round6
JSHBMDIJOGPLJT-FVMZRBCSSA-N__UWQQZAOIJAEVDJ-UHFFFAOYSA-N,test,test,CC(=O)C(C[C@@H]1C/C=C\2/[C@](CCNC1)(C3=CC=CC=C3N2)O)C=O,C1C(=O)COC2=C(O1)C=CC(=C2)C=O,CC(=O)C(CC1CC=C2Nc3ccccc3C2(O)CCNC1)C(=O)C(O)c1ccc2c(c1)OCC(=O)CO2,5.843836336325244,7.1091,round7
COPMILBJICBDOE-MHLNXUHPSA-N__HTPMQCREKYXQGU-UHFFFAOYSA-N,test,test,COC(=O)Cc1[nH]c2ccccc2c1CCN(Cc1ccccc1)[C@H]1C=CC[C@@H](C)[C@@H]1C=O,COc1cccc(-c2c(C=O)cc3c4c(ccc(OC)c24)C=CC3=O)c1,COC(=O)Cc1[nH]c2ccccc2c1CCN(Cc1ccccc1)C1C=CCC(C)C1C(=O)C(O)c1cc2c3c(ccc(OC)c3c1-c1cccc(OC)c1)C=CC2=O,8.200687542243434,-4.7455,round1
IJIMLODXDFZQRB-UHFFFAOYSA-N__SAUXNXJPLASOMO-UHFFFAOYSA-N,test,test,O=CC1NC(=O)C=C(C(F)(F)F)N1,O=CCCCCS(=O)CCCC(F)(F)C(F)(F)F,O=C1C=C(C(F)(F)F)NC(C(=O)C(O)CCCCS(=O)CCCC(F)(F)C(F)(F)F)N1,13.395962570703034,5.9262,round2
RGUHJVDDKVEHIW-UHFFFAOYSA-N__LJFIFMREBAPVSN-UHFFFAOYSA-N,test,test,C1=CC(=CC(=C1)Br)NNC(=O)C2=CC(=C(C(=C2)F)O)C=O,C1C(CN(C1C(=O)NC2=CC=NC(=O)N2)C(=O)CN3C4=C(C=C(C=C4)C5=CN=NC=C5)C(=N3)C=O)F,O=C(NNc1cccc(Br)c1)c1cc(F)c(O)c(C(=O)C(O)c2nn(CC(=O)N3CC(F)CC3C(=O)Nc3ccnc(=O)[nH]3)c3ccc(-c4ccnnc4)cc23)c1,15.504280512459218,-0.7683,round3
JOTIMGOWEJJIMS-UHFFFAOYSA-N__PAIVGFRXYIGODL-UHFFFAOYSA-N,test,test,CC1=CC=C(S1)C2=NC(=C(C(=C2C=O)CNC)F)NC3CCOCC3N,CC(=CCC(C=O)C(=C)C)C,C=C(C)C(CC=C(C)C)C(O)C(=O)c1c(-c2ccc(C)s2)nc(NC2CCOCC2N)c(F)c1CNC,5.879872245026102,1.4944,round4
BUINBYHSMCIDIA-HCVVJDORSA-N__SVAQNPABCZRVFL-UHFFFAOYSA-N,test,test,C[C@@]12CC3=C(C[C@@H]1C2(F)F)C(=NN3)C(=O)NC4=CN(N=C4)C5CCC(CC5)C=O,CN(CC1=CC=C(C=C1)NSC2=CC=CC=C2F)C(=NC(C=O)(C3=CC=CC=C3)C4=CC=CC=C4)N,CN(Cc1ccc(NSc2ccccc2F)cc1)C(N)=NC(c1ccccc1)(c1ccccc1)C(O)C(=O)C1CCC(n2cc(NC(=O)c3n[nH]c4c3CC3C(F)(F)C3(C)C4)cn2)CC1,3.892297135522331,-1.3985,round5
