pid,grp,label_stored,gxtb_stored,error,dG_r2scan_kcal,dG_b973c_kcal,dG_gxtb_kcal,resid_gxtb,resid_b973c,repro_r2scan,repro_gxtb,gxtb_mode
XDRHTXYNCZQNHD-FHZGLPGMSA-N__FHCWFDZNJKWFNC-UHFFFAOYSA-N,hetero_hardtail,4.794461412697623,4.3014,,1.6161924699199437,8.312333782301693,3.0698259023649257,-1.4536334324449822,-6.696141312381749,-3.178268942777679,-1.2315740976350744,cosmo
SGCLSPFAYOHOOF-RYUDHWBXSA-N__IMJXZJWZJYUUQK-UHFFFAOYSA-N,hetero_hardtail,-3.3992578965845355,-5.8277,,-7.524509739771008,-1.7456739470224416,-5.728880312516926,-1.7956294272540818,-5.778835792748566,-4.125251843186472,0.0988196874830737,cosmo
ZLZWAXBVZOQQPM-UHFFFAOYSA-N__WVHRAVATCKTJDN-TWMUNHRGSA-N,hetero_hardtail,8.437024008990369,4.1646,,2.1430843645953277,5.678603707922042,3.130936080069363,-0.9878517154740356,-3.5355193433267145,-6.293939644395041,-1.0336639199306372,cosmo
WVHRAVATCKTJDN-TWMUNHRGSA-N__ZLZWAXBVZOQQPM-UHFFFAOYSA-N,hetero_hardtail,9.578877831163048,4.6749,,-1.5577190614229592,2.7093692805776244,3.356669033373363,-4.9143880947963225,-4.267088342000584,-11.136596892586008,-1.3182309666266372,cosmo
QZEUHYUQYMNXDY-UHFFFAOYSA-N__DOZZDBKGOKGEAB-UHFFFAOYSA-N,hetero_hardtail,9.319895670322866,0.4464,,-0.8546417263720508,4.673706510497481,0.4498079470886255,-1.3044496734606763,-5.528348236869531,-10.174537396694918,0.0034079470886255,cosmo
YHQFISOOVYLPRR-HFIQGDHTSA-N__HSJRAEQQVXRGGM-UHFFFAOYSA-N,hetero_hardtail,1.5368401030105678,-1.1411,,4.62272082484226,9.181475760497804,3.1328124695027872,1.4899083553394723,-4.558754935655545,3.085880721831692,4.273912469502787,cosmo
FKVIJRPKBQIPBO-UHFFFAOYSA-N__ORVKHRNDGSSICU-UHFFFAOYSA-N,hetero_hardtail,3.9636432306966887,3.2582,,3.0109768204176213,8.247604088042944,4.057276225190359,-1.0462994047727374,-5.236627267625323,-0.9526664102790674,0.7990762251903587,cosmo
BRNJAHPTWFIDAS-UHFFFAOYSA-N__MFMGRPSKVVJIDV-JOCHJYFZSA-N,hetero_hardtail,-3.0278769062130046,-1.6199,,-6.174390962796965,-1.291906208908055,-1.667292016093502,-4.507098946703463,-4.882484753888909,-3.14651405658396,-0.0473920160935019,cosmo
HSJRAEQQVXRGGM-UHFFFAOYSA-N__YHQFISOOVYLPRR-HFIQGDHTSA-N,hetero_hardtail,-6.8757750882846524,-5.1591,,-2.447268782791547,2.905897267608065,-0.9326535159487904,-1.5146152668427564,-5.353166050399612,4.428506305493105,4.226446484051209,cosmo
YSDFIHXJIJIAAL-UHFFFAOYSA-N__NYSJBGFOVAYLTL-UHFFFAOYSA-N,hetero_hardtail,1.997027714982381,2.7012,,1.5697161951527472,4.329664283294949,2.69776123399172,-1.128045038838973,-2.7599480881422016,-0.4273115198296338,-0.0034387660082799,cosmo
IHMYPEVMLKWGJZ-UHFFFAOYSA-N__AURNBZNZWOPUSH-UHFFFAOYSA-N,hetero_hardtail,8.49365892320997,-3.4523,,-2.2591979467097514,3.665062308288005,-3.3582127898017964,1.099014843092045,-5.9242602549977565,-10.752856869919722,0.0940872101982037,cosmo
MFMGRPSKVVJIDV-JOCHJYFZSA-N__BRNJAHPTWFIDAS-UHFFFAOYSA-N,hetero_hardtail,7.210165762144646,4.836,,1.4155060972031055,5.693995627438789,4.844222610263384,-3.4287165130602784,-4.278489530235683,-5.79465966494154,0.0082226102633837,cosmo
ZQYULIXQISCKLV-UHFFFAOYSA-N__QAIJMKLVIVRPAR-UHFFFAOYSA-N,hetero_hardtail,1.5662959726870151,0.8669,,-1.2031519297282698,4.42663542749132,0.8617320525797585,-2.0648839823080283,-5.629787357219589,-2.769447902415285,-0.0051679474202415,cosmo
QRPZPCSXPJIVIJ-UHFFFAOYSA-N__AURNBZNZWOPUSH-UHFFFAOYSA-N,hetero_hardtail,12.65382721846013,4.3453,,4.293014940671702,11.384274425445703,4.346140785108637,-0.0531258444369351,-7.091259484774003,-8.360812277788428,0.0008407851086369,cosmo
GMUINPOVQMNENA-UHFFFAOYSA-N__ZRZVLMMRTDOQKG-UHFFFAOYSA-N,hetero_hardtail,-4.278403335952965,-1.4977,,-4.5070070310208985,-0.5963849645099453,-1.5347111481674474,-2.972295882853451,-3.910622066510953,-0.2286036950679335,-0.0370111481674473,cosmo
AURNBZNZWOPUSH-UHFFFAOYSA-N__IHMYPEVMLKWGJZ-UHFFFAOYSA-N,hetero_hardtail,11.658395313691546,2.1075,,5.430570948709107,11.126938884869327,2.1352462680248685,3.2953246806842387,-5.69636793616022,-6.227824364982439,0.0277462680248685,cosmo
GQARTARCLXCWLH-UHFFFAOYSA-N__QRPZPCSXPJIVIJ-UHFFFAOYSA-N,hetero_hardtail,9.542565664872852,3.6839,,6.094163519198272,12.776566952757513,3.684486746380884,2.4096767728173885,-6.682403433559241,-3.44840214567458,0.0005867463808835,cosmo
QWKTZIDRAPHMCH-UHFFFAOYSA-N__QAPOSPOTJMNSNV-RPBOFIJWSA-N,hetero_hardtail,17.760544682451386,15.4184,,12.048665508562683,17.26100211365563,13.972062708947016,-1.923397200384331,-5.212336605092943,-5.7118791738887005,-1.446337291052984,cosmo
MSEGSYMVTMWEDB-UHFFFAOYSA-N__RTSFIEXZIAALMT-UHFFFAOYSA-N,hetero_hardtail,2.6865848213100154,-0.3091,,-3.610390839039357,-0.9178946988552292,-1.2164175527400698,-2.3939732862992877,-2.692496140184128,-6.296975660349372,-0.90731755274007,cosmo
KDHWWKAFVYQSCW-UHFFFAOYSA-N__KVHDANCBLMYBDM-UHFFFAOYSA-N,hetero_hardtail,5.007150013666847,-9.811,,-6.134835525407083,-0.2335444584786214,-9.798213484100136,3.6633779586930535,-5.9012910669284615,-11.14198553907393,0.0127865158998634,cosmo
NYSJBGFOVAYLTL-UHFFFAOYSA-N__YSDFIHXJIJIAAL-UHFFFAOYSA-N,hetero_hardtail,12.148649707162472,5.3829,,5.0887832970412346,10.941044194172136,5.382964538976762,-0.2941812419355276,-5.852260897130901,-7.059866410121237,6.453897676195197e-05,cosmo
QAPOSPOTJMNSNV-RPBOFIJWSA-N__QWKTZIDRAPHMCH-UHFFFAOYSA-N,hetero_hardtail,10.104018288852142,2.9603,,3.421754488782284,8.279737442698059,1.518254864629312,1.903499624152972,-4.857982953915775,-6.682263800069858,-1.442045135370688,cosmo
AURNBZNZWOPUSH-UHFFFAOYSA-N__QRPZPCSXPJIVIJ-UHFFFAOYSA-N,hetero_hardtail,12.40424442034597,3.6325,,7.505112850165609,13.263489818613689,3.755053512843414,3.7500593373221935,-5.758376968448078,-4.899131570180361,0.1225535128434143,cosmo
SAUXNXJPLASOMO-UHFFFAOYSA-N__IJIMLODXDFZQRB-UHFFFAOYSA-N,hetero_hardtail,5.048951183842153,1.4644,,0.1612097278106762,4.603881355866837,3.228474014848557,-3.067264287037881,-4.442671628056161,-4.887741456031477,1.764074014848557,cosmo
ZRZVLMMRTDOQKG-UHFFFAOYSA-N__GMUINPOVQMNENA-UHFFFAOYSA-N,hetero_hardtail,5.874216990449232,8.1498,,5.69648791404649,10.817289921416672,8.15031619302687,-2.453828278980379,-5.120802007370181,-0.1777290764027412,0.0005161930268684,cosmo
HMGYKXSHMZADER-UHFFFAOYSA-N__UTIOXIXWTMRAJY-UHFFFAOYSA-N,hetero_hardtail,6.600295712899026,2.8617,,4.611850626141308,8.557424444521738,2.847602394797418,1.76424823134389,-3.9455738183804296,-1.988445086757718,-0.0140976052025818,cosmo
MHDBTMMIJGXGOF-AAORUROXSA-N__IIJAQEXWPIAVJU-RVQMFNDTSA-N,hetero_hardtail,7.2856468135223,12.6271,,8.238990174244035,12.873922123126151,12.738446584109786,-4.499456409865751,-4.634931948882118,0.9533433607217354,0.1113465841097856,cosmo
FHCWFDZNJKWFNC-UHFFFAOYSA-N__XDRHTXYNCZQNHD-FHZGLPGMSA-N,hetero_hardtail,2.5283437883640563,8.1065,,3.187787163874454,10.451648433300903,8.031544713207895,-4.843757549333441,-7.2638612694264495,0.6594433755103979,-0.0749552867921057,cosmo
IIJAQEXWPIAVJU-RVQMFNDTSA-N__MHDBTMMIJGXGOF-AAORUROXSA-N,hetero_hardtail,3.5938453693465444,7.6733,,3.4295737512788222,8.193757183205458,7.395943162234112,-3.96636941095529,-4.764183431926636,-0.1642716180677221,-0.2773568377658879,cosmo
QAIJMKLVIVRPAR-UHFFFAOYSA-N__ZQYULIXQISCKLV-UHFFFAOYSA-N,hetero_hardtail,-4.175265688078901,-5.1574,,-9.744746777211034,-4.685188923039487,-5.157405712074436,-4.587341065136599,-5.059557854171548,-5.569481089132133,-5.7120744356709e-06,cosmo
ORVKHRNDGSSICU-UHFFFAOYSA-N__FKVIJRPKBQIPBO-UHFFFAOYSA-N,hetero_hardtail,15.866664109177076,0.0174,,9.709868964558815,15.814907743001616,1.068871206908913,8.640997757649902,-6.1050387784428,-6.156795144618261,1.051471206908913,cosmo
UTIOXIXWTMRAJY-UHFFFAOYSA-N__HMGYKXSHMZADER-UHFFFAOYSA-N,hetero_hardtail,21.81340874440642,2.2346,,10.472569274900016,16.91271040727265,2.2403714419172767,8.232197832982738,-6.440141132372636,-11.340839469506404,0.0057714419172767,cosmo
QVRKJZUJNTYHPY-UHFFFAOYSA-N__WGHJLRMUHZIXGD-UHFFFAOYSA-N,hetero_hardtail,1.3352825113544702,4.3099,,1.1150759042121312,6.12139880928069,4.312927985675554,-3.197852081463423,-5.006322905068559,-0.2202066071423389,0.0030279856755539,cosmo
HFHBKZVTGPODJB-UHFFFAOYSA-N__JNSVSGMMMTZTNL-UHFFFAOYSA-N,hetero_hardtail,4.675308518007935,3.2918,,1.6056418135559825,6.300654527301553,3.409097767244069,-1.8034559536880868,-4.695012713745571,-3.069666704451952,0.1172977672440693,cosmo
GBYONEKVKONQAH-UHFFFAOYSA-N__MBDVTIVIOBOLDR-UHFFFAOYSA-N,hetero_hardtail,6.860469637173557,5.4854,,4.788788208282937,8.45164178919298,5.484486031202012,-0.6956978229190751,-3.662853580910043,-2.07168142889062,-0.0009139687979882,cosmo
AYIUVSGXXGAHQH-UHFFFAOYSA-N__OUPHGQPIQOTSHW-UHFFFAOYSA-N,hetero_hardtail,11.097597939076277,-0.309,,3.05373472167934,8.719607705246684,-0.308935214501723,3.362669936181063,-5.665872983567344,-8.043863217396936,6.478549827698687e-05,cosmo
GMBOJSOBSILDFR-UHFFFAOYSA-N__FYXDAYQQMWSHPJ-GUBZILKMSA-N,hetero_hardtail,8.828896514307969,-4.8518,,0.9344287090639434,6.212632678622627,0.3821381696103041,0.5522905394536393,-5.278203969558684,-7.894467805244026,5.233938169610304,cosmo
JNSVSGMMMTZTNL-UHFFFAOYSA-N__HFHBKZVTGPODJB-UHFFFAOYSA-N,hetero_hardtail,8.98548099326655,6.0893,,6.227207342894966,10.622864106845627,5.763135784462429,0.4640715584325363,-4.395656763950663,-2.758273650371585,-0.3261642155375703,cosmo
DOZZDBKGOKGEAB-UHFFFAOYSA-N__QZEUHYUQYMNXDY-UHFFFAOYSA-N,hetero_hardtail,21.521257953095773,-2.4515,,2.606972935895179,8.453176678398501,-2.4751987711640497,5.082171707059229,-5.846203742503322,-18.914285017200594,-0.0236987711640499,cosmo
SAUXNXJPLASOMO-UHFFFAOYSA-N__KKZKJADYHRMRGQ-UHFFFAOYSA-N,hetero_hardtail,-0.4463186198685114,2.7438,,-1.073835312374294,3.345357211358695,3.3738910094144754,-4.447726321788769,-4.419192523732988,-0.6275166925057825,0.6300910094144756,cosmo
PBBISWMMBXAYNP-UHFFFAOYSA-N__HEWKRXBEFZRQOD-DCIOMXRHSA-N,hetero_hardtail,26.451502723501203,12.3389,,9.41162965734795,17.286204540379607,11.369103361959027,-1.9574737046110773,-7.8745748830316575,-17.039873066153255,-0.9697966380409736,cosmo
