bde_gxtb_kcal,E_gxtb_parent,E_gxtb_fragA,E_gxtb_fragB,note,id
67.135,-2724.977135144477,-1522.62128019941,-1202.248869244453,,DCRLHIXKKWZFKM-KBPBESRZSA-N__VJCITDLJAWDIFK-LOACHALJSA-N
36.752,-2724.973917811918,-1201.039191167587,-1523.876158740269,,VJCITDLJAWDIFK-LOACHALJSA-N__DCRLHIXKKWZFKM-KBPBESRZSA-N
47.285,-4659.291969076007,-1127.80191900405,-3531.414697030948,,SPRNEBIBFPVGIR-UHFFFAOYSA-N__XHGDJRFKXPWFJK-UHFFFAOYSA-N
37.728,-4659.292758083501,-3530.210461617281,-1129.022173245436,,XHGDJRFKXPWFJK-UHFFFAOYSA-N__SPRNEBIBFPVGIR-UHFFFAOYSA-N
41.211,-4130.983613389933,-2322.290181188421,-1808.627758010763,,QLFKJVOCDZPVDC-MWQLRAMZSA-N__SCKNNUPFOMJIBM-UHFFFAOYSA-N
66.8,-1984.216876464591,-724.564855388019,-1259.545568743208,,FDRBZYABCFFEQL-UHFFFAOYSA-N__HZCRBSGUKWCPMN-UHFFFAOYSA-N
59.939,-1984.2374278809632,-1258.339374707113,-725.802533939374,,HZCRBSGUKWCPMN-UHFFFAOYSA-N__FDRBZYABCFFEQL-UHFFFAOYSA-N
,-4007.0755599658273,,,determine_bonds_failed,QRJPAILKJWWSOJ-UHFFFAOYSA-N__RSVZHGTYMCODNB-LBPRGKRZSA-N
,-4007.071095751163,,,determine_bonds_failed,RSVZHGTYMCODNB-LBPRGKRZSA-N__QRJPAILKJWWSOJ-UHFFFAOYSA-N
66.484,-2424.3812355511063,-730.594682074335,-1693.680604354791,,PITUYFZNOCPYJK-UHFFFAOYSA-N__FWRKDEZPJATNSQ-UHFFFAOYSA-N
,-2925.5068631567674,,,determine_bonds_failed,PTWCKBGQFIVTAV-AWEZNQCLSA-N__ZSWSRWBUFAKKFP-UHFFFAOYSA-N
74.126,-2215.374585191401,-346.323698094677,-1868.932759155568,,LJETUHAGNKIBHP-HXFLIBJXSA-N__XQSJHQXYQAUDFC-UHFFFAOYSA-N
37.415,-2596.379424643176,-1551.416254590832,-1044.903545755601,,DCQJXHICESGQSL-UHFFFAOYSA-N__KTNSZPKSSQEVRE-UHFFFAOYSA-N
42.792,-2596.3828175194076,-1043.688562262569,-1552.626062089658,,KTNSZPKSSQEVRE-UHFFFAOYSA-N__DCQJXHICESGQSL-UHFFFAOYSA-N
49.809,-2548.568235614803,-1240.131959858576,-1308.356899596733,,LOYRCBRDTNCHDN-UHFFFAOYSA-N__OQKVIKJUIWSONY-UHFFFAOYSA-N
30.31,-3597.7606128333064,-1563.206191929271,-2034.506119048219,,LOWUGTUWNCTLFS-UHFFFAOYSA-N__VYWDATYXBUGJBE-UHFFFAOYSA-N
37.737,-3597.7584179049118,-2033.292411386617,-1564.405868917401,,VYWDATYXBUGJBE-UHFFFAOYSA-N__LOWUGTUWNCTLFS-UHFFFAOYSA-N
20.986,-3100.810777220999,-1479.838080578097,-1620.939253867827,,DFYGGVYRXLEMFU-REWJHTLYSA-N__VZIVQRJXMZEXOR-UHFFFAOYSA-N
51.036,-4913.3377389690695,-3500.603937981486,-1412.652469676357,,AMHKZFKVAAIEGV-UHFFFAOYSA-N__JFBZMWJNUMOWIE-BXWFABGCSA-N
55.625,-3560.33667763483,-1963.899502349313,-1596.348530725001,,YSOUBZRQFBSXHA-UHFFFAOYSA-N__YTFLWTYCVNDCLJ-UHFFFAOYSA-N
61.998,-2979.4495647570284,-817.499357457029,-2161.851406646253,,MLWMCLHAIMOZKS-UHFFFAOYSA-N__BJLPTYIOVPDCJX-UHFFFAOYSA-N
76.615,-4789.304939969482,-3399.854599436528,-1389.328247210649,,MISWULBTYIDZRG-UHFFFAOYSA-N__SKGODXITNDAXPG-UHFFFAOYSA-N
58.985,-4789.31179890262,-1388.14467702678,-3401.073123232898,,SKGODXITNDAXPG-UHFFFAOYSA-N__MISWULBTYIDZRG-UHFFFAOYSA-N
36.051,-2913.909958728672,-1373.387509967426,-1540.464998248762,,LWLKQWVUOALQCM-YAJDGLSUSA-N__YZSKKUJHIVHDJN-UHFFFAOYSA-N
47.338,-2913.8914184210757,-1539.236609170459,-1374.579371989311,,YZSKKUJHIVHDJN-UHFFFAOYSA-N__LWLKQWVUOALQCM-YAJDGLSUSA-N
46.775,-2720.807878294455,-1434.842822779124,-1285.890515169304,,MBYDAMHYDQJTME-UHFFFAOYSA-N__ZHPKHLZEHZDDHM-UHFFFAOYSA-N
41.118,-2108.228442242174,-427.094305869482,-1681.068609924877,,KGOQHCDPEGGLAR-SNAWJCMRSA-N__CHWKQYCXSKYAKV-UHFFFAOYSA-N
51.954,-1483.328725929346,-828.667083790208,-654.578848009878,,JKOWHPFEFXJTDW-UHFFFAOYSA-N__ICZJVEZKPMFPJB-UHFFFAOYSA-N
50.508,-5120.214757769326,-189.11416076079,-4931.020107905899,,RLOGSXQYJOAQBZ-UHFFFAOYSA-N__UNGFCRDFNSZYMK-XIBHMRAESA-N
43.898,-5120.183475135851,-189.114025250349,-4930.999493542367,,UNGFCRDFNSZYMK-XIBHMRAESA-N__RLOGSXQYJOAQBZ-UHFFFAOYSA-N
64.897,-2032.102585105069,-829.671890692663,-1202.327274259687,,IPLAFEFDZYQZSQ-UHFFFAOYSA-N__QDGSZKOPAHCYJR-UHFFFAOYSA-N
48.742,-2032.090397544663,-1201.12073888554,-830.891984094069,,QDGSZKOPAHCYJR-UHFFFAOYSA-N__IPLAFEFDZYQZSQ-UHFFFAOYSA-N
64.565,-3980.957717305087,-3250.04702317801,-730.807803663371,,VOVQHAUUFIGGGB-UHFFFAOYSA-N__ZOZPHXRZQWTMGJ-UHFFFAOYSA-N
78.119,-3980.95566329944,-729.58659459175,-3251.244578875164,,ZOZPHXRZQWTMGJ-UHFFFAOYSA-N__VOVQHAUUFIGGGB-UHFFFAOYSA-N
19.039,-3260.377355689548,-1816.814752500984,-1443.532262274389,,JOFZCZQENWPRLO-KGIXHMLZSA-N__YTWXCBAUNTZDRN-UHFFFAOYSA-N
48.856,-2890.505593431002,-1698.546363728987,-1191.881373194335,,AHQIJZBVYMGJJD-UHFFFAOYSA-N__KAHPEKAICPXXGL-UHFFFAOYSA-N
67.701,-2890.511098829452,-1190.660239311207,-1699.742971576594,,KAHPEKAICPXXGL-UHFFFAOYSA-N__AHQIJZBVYMGJJD-UHFFFAOYSA-N
40.759,-4810.686266285111,-3247.492865608329,-1563.128446609039,,KYMDEVMDTKRURR-UHFFFAOYSA-N__WVTKTQNBBPAUQF-UHFFFAOYSA-N
26.188,-4810.69321598079,-1561.938163964242,-3248.713318609683,,WVTKTQNBBPAUQF-UHFFFAOYSA-N__KYMDEVMDTKRURR-UHFFFAOYSA-N
47.452,-2752.342718935358,-2067.533758675863,-684.733340442522,,OZQPJGBGTUMBGP-UHFFFAOYSA-N__IAJCOVDMUXKLEZ-UHFFFAOYSA-N
70.563,-2752.3381906417007,-683.499403299408,-2068.726337267543,,IAJCOVDMUXKLEZ-UHFFFAOYSA-N__OZQPJGBGTUMBGP-UHFFFAOYSA-N
48.951,-2526.433445491425,-1164.505771067719,-1361.849665810334,,LHETYGHMZCMEFE-UHFFFAOYSA-N__VSCYOYFKZMFEOP-UHFFFAOYSA-N
66.325,-3092.962383911143,-857.107840450001,-2235.748847555581,,OYMURVHDQCRTEG-UHFFFAOYSA-N__HPOMOFTVRJSGIY-UHFFFAOYSA-N
40.659,-2831.271736342638,-1340.907444867104,-1490.299497004738,,FQQMFVLFLAQHPH-UHFFFAOYSA-N__CBXCYFCZVVXCTN-HNNXBMFYSA-N
69.602,-2526.458099050828,-1360.629807948862,-1165.717373423802,,VSCYOYFKZMFEOP-UHFFFAOYSA-N__LHETYGHMZCMEFE-UHFFFAOYSA-N
54.054,-3092.9688339650406,-2234.543989117988,-858.338703630372,,HPOMOFTVRJSGIY-UHFFFAOYSA-N__OYMURVHDQCRTEG-UHFFFAOYSA-N
43.993,-2507.5178713102227,-1152.665880480449,-1354.781882899614,,HQZFGOUCUDRTOK-UHFFFAOYSA-N__PVGZNNPJIJAIQL-MXYBEHONSA-N
47.024,-2831.2456510897864,-1489.059591583125,-1342.111122733114,,CBXCYFCZVVXCTN-HNNXBMFYSA-N__FQQMFVLFLAQHPH-UHFFFAOYSA-N
44.353,-1635.032355160153,-737.390660621718,-897.571013134831,,VUHCVGPJROTBKR-UHFFFAOYSA-N__ULAGTNZFLIEKMR-DTWKUNHWSA-N
35.306,-1635.051173588007,-896.377512043167,-738.617398126734,,ULAGTNZFLIEKMR-DTWKUNHWSA-N__VUHCVGPJROTBKR-UHFFFAOYSA-N
44.129,-2692.235575934128,-2192.19528113763,-499.969970113571,,NBAMZGXDVSQHTA-JEWWICQWSA-N__ILNCBJURZWZZJA-UHFFFAOYSA-N
49.696,-2692.257391477745,-2192.208352584909,-499.969843658034,,ILNCBJURZWZZJA-UHFFFAOYSA-N__NBAMZGXDVSQHTA-JEWWICQWSA-N
47.04,-2068.837178958816,-1535.691223138859,-533.070992399887,,IGCJSRSARAVPOK-DFLSAPQXSA-N__DUMDWTOBALQSBO-UHFFFAOYSA-N
49.672,-4961.074669154856,-1283.169620095111,-3677.825892453238,,DPZGJLRCKGTPQX-NRFANRHFSA-N__IDIAGOCHJMOJNI-UHFFFAOYSA-N
65.826,-4961.081306040327,-3676.602572860546,-1284.373832419979,,IDIAGOCHJMOJNI-UHFFFAOYSA-N__DPZGJLRCKGTPQX-NRFANRHFSA-N
38.623,-2180.894337098995,-887.053479910368,-1293.779307323184,,LLVWSTUDAPZLON-UHFFFAOYSA-N__UBCGCAFFUFJSHB-UHFFFAOYSA-N
57.999,-2489.469400006573,-1526.703536655156,-962.673435542174,,HTWPXXDVJMJGSM-VWLOTQADSA-N__MNUCRXMVLDLHBT-UHFFFAOYSA-N
53.493,-2180.900492475026,-1292.562786588918,-888.252459185153,,UBCGCAFFUFJSHB-UHFFFAOYSA-N__LLVWSTUDAPZLON-UHFFFAOYSA-N
55.146,-2489.446039257306,-961.455589688037,-1527.902568370831,,MNUCRXMVLDLHBT-UHFFFAOYSA-N__HTWPXXDVJMJGSM-VWLOTQADSA-N
38.741,-2984.208883675623,-1817.608867142129,-1166.538278310154,,XLSXTKPMEVPFCI-QGMIFYJMSA-N__ZETOSWREBWGSHW-UHFFFAOYSA-N
31.177,-2984.217009137181,-1165.338269441922,-1818.829056763338,,ZETOSWREBWGSHW-UHFFFAOYSA-N__XLSXTKPMEVPFCI-QGMIFYJMSA-N
45.791,-4578.684552829157,-3343.520797636488,-1235.090782742005,,FEYXOUHOJCLHGQ-UHFFFAOYSA-N__HUULOHHLGLJHED-UHFFFAOYSA-N
61.566,-4578.691355297085,-1233.876142506643,-3344.717101472414,,HUULOHHLGLJHED-UHFFFAOYSA-N__FEYXOUHOJCLHGQ-UHFFFAOYSA-N
25.195,-5153.015115868222,-1724.022645209511,-3428.952319405616,,UWECEVUNEUXULU-ZRCAFCQKSA-N__WZBAFVKLYDTWBZ-UHFFFAOYSA-N
51.755,-5153.019926575084,-3427.736060931362,-1725.201388155745,,WZBAFVKLYDTWBZ-UHFFFAOYSA-N__UWECEVUNEUXULU-ZRCAFCQKSA-N
33.529,-3245.533609086326,-1497.319272884862,-1748.16090399733,,OWEUWWYATSEISE-UHFFFAOYSA-N__LICMRPQMAKFRLO-JGWLITMVSA-N
20.206,-3245.52193567842,-1611.871779047153,-1633.617955942785,,LICMRPQMAKFRLO-JGWLITMVSA-N__OWEUWWYATSEISE-UHFFFAOYSA-N
36.248,-2767.2922004427373,-1297.391754074176,-1469.842681720388,,YGEHCIVVZVBCLE-NIKVEEOSSA-N__VMOSZMNTDQXCCL-UHFFFAOYSA-N
45.071,-2767.28165078027,-1468.617689062505,-1298.592136711676,,VMOSZMNTDQXCCL-UHFFFAOYSA-N__YGEHCIVVZVBCLE-NIKVEEOSSA-N
33.364,-2051.652965629907,-1092.472055432472,-959.127741007163,,AZZGJGBTYMSBEC-UHFFFAOYSA-N__TTZBWSUVERMAMY-UHFFFAOYSA-N
48.386,-2051.65886278433,-957.912573005423,-1093.669181270316,,TTZBWSUVERMAMY-UHFFFAOYSA-N__AZZGJGBTYMSBEC-UHFFFAOYSA-N
76.156,-1254.775661761119,-495.289287153752,-759.365011676189,,QDGNLJGBOMVNFY-UHFFFAOYSA-N__SFLIEIBHHQRBIM-UHFFFAOYSA-N
56.369,-1254.7657347519162,-758.168107289721,-496.507797803557,,SFLIEIBHHQRBIM-UHFFFAOYSA-N__QDGNLJGBOMVNFY-UHFFFAOYSA-N
