id,donor_id,acceptor_id,pair_key,reaction_type,donor_smiles,acceptor_smiles,smiles,dG_xtb_kcal,dG_gxtb_kcal,dG_pred_correction_mean,dG_pred_correction_std,dG_pred
WYBYAFZCWYOSGO-ZXXMMSQZSA-N__MOVWATLPCYUIEJ-UHFFFAOYSA-N,WYBYAFZCWYOSGO-ZXXMMSQZSA-N,MOVWATLPCYUIEJ-UHFFFAOYSA-N,MOVWATLPCYUIEJ-UHFFFAOYSA-N__WYBYAFZCWYOSGO-ZXXMMSQZSA-N,aliph-aliph,C([C@H]([C@@H]([C@H]([C@@H](C=O)OP(=O)(O)O)O)OP(=O)(O)O)O)OP(=O)(O)O,C1CCC(CC1)NC(C=O)OC(F)(F)S(=O)(=O)O,O=C(C(O)C(NC1CCCCC1)OC(F)(F)S(=O)(=O)O)C(OP(=O)(O)O)C(O)C(OP(=O)(O)O)C(O)COP(=O)(O)O,-9.5718,0.2601,6.025853142142296,2.4032118169091463,6.285953142142295
HYUXRIVFDTZSGH-UHFFFAOYSA-N__PSADNAYTESIEJB-HNNXBMFYSA-N,HYUXRIVFDTZSGH-UHFFFAOYSA-N,PSADNAYTESIEJB-HNNXBMFYSA-N,HYUXRIVFDTZSGH-UHFFFAOYSA-N__PSADNAYTESIEJB-HNNXBMFYSA-N,aliph-hetero,C1CCC(CC1)NC(C=O)S(=O)(=O)C(F)(F)S(=O)(=O)O,CC1=CC(=CC=C1)S(=O)(=O)NC2=CC=CN(C2=O)CC(=O)N[C@@H](CCCN=C(N)N)C=O,Cc1cccc(S(=O)(=O)Nc2cccn(CC(=O)NC(CCCN=C(N)N)C(O)C(=O)C(NC3CCCCC3)S(=O)(=O)C(F)(F)S(=O)(=O)O)c2=O)c1,-46.1928,-26.5838,-0.43710638731718066,2.3532286437000574,-27.02090638731718
FHLOJGMKBOAKDB-UHFFFAOYSA-N__NCVDMYMPTTVCNG-VCANKDNSSA-N,FHLOJGMKBOAKDB-UHFFFAOYSA-N,NCVDMYMPTTVCNG-VCANKDNSSA-N,FHLOJGMKBOAKDB-UHFFFAOYSA-N__NCVDMYMPTTVCNG-VCANKDNSSA-N,carbo-carbo,C1C=NN(C(C1F)(C=O)C(F)(F)F)C2=CC=CC=C2,CN1C=CN(C1S(=O)(=O)O)C2=C(C=C(C=C2)N3C[C@@H](OC3C=O)CO)F,CN1C=CN(c2ccc(N3CC(CO)OC3C(O)C(=O)C3(C(F)(F)F)C(F)CC=NN3c3ccccc3)cc2F)C1S(=O)(=O)O,-16.7746,1.9525,-6.091229343414307,2.301572665750958,-4.138729343414307
YDKVTTUBIKYBSG-UHFFFAOYSA-N__KVKHPFKVAVHCSF-UHFFFAOYSA-N,YDKVTTUBIKYBSG-UHFFFAOYSA-N,KVKHPFKVAVHCSF-UHFFFAOYSA-N,KVKHPFKVAVHCSF-UHFFFAOYSA-N__YDKVTTUBIKYBSG-UHFFFAOYSA-N,hetero-hetero,CNCC1=C(C=CC(=C1)C2=C(N=C(N(C2=O)C)N3CCC(CC3)N)C4=CC(=C(C=C4)C#N)F)C=O,CCCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=C(C=CC(=C3)C(=O)NN)C=O)Cl)CO,CCCCc1nc(CO)c(Cl)n1Cc1ccc(-c2cc(C(=O)NN)ccc2C(O)C(=O)c2ccc(-c3c(-c4ccc(C#N)c(F)c4)nc(N4CCC(N)CC4)n(C)c3=O)cc2CNC)cc1,-7.3227,2.4096,2.4082743520848453,2.14180408929312,4.8178743520848455
BCUVLMCXSDWQQC-KCDKBNATSA-N__PLOQHIAUHMLUSN-UHFFFAOYSA-N,BCUVLMCXSDWQQC-KCDKBNATSA-N,PLOQHIAUHMLUSN-UHFFFAOYSA-N,BCUVLMCXSDWQQC-KCDKBNATSA-N__PLOQHIAUHMLUSN-UHFFFAOYSA-N,aliph-carbo,C([C@H]([C@@H]([C@@H]([C@H](C=O)O)O)O)O)OS(=O)(=O)O,CC(C)N1CCCC2=C(C=CC=C21)CNC3=CC(=C(C=C3)CCC=O)F,CC(C)N1CCCc2c(CNc3ccc(CCC(O)C(=O)C(O)C(O)C(O)C(O)COS(=O)(=O)O)c(F)c3)cccc21,-9.9609,1.7245,-5.654226857423782,2.007555265203962,-3.9297268574237822
CWZVGEKTOYPYNT-UHFFFAOYSA-N__CNTVFQIJHVMIKV-UHFFFAOYSA-N,CWZVGEKTOYPYNT-UHFFFAOYSA-N,CNTVFQIJHVMIKV-UHFFFAOYSA-N,CNTVFQIJHVMIKV-UHFFFAOYSA-N__CWZVGEKTOYPYNT-UHFFFAOYSA-N,aliph-hetero,CN1C=C(C(=O)N=C1SCC2=CC=C(C=C2)F)CC3=CN(C(=O)N=C3)C(C=O)N(C)CCOC,C(=O)C(C(F)(F)F)(C(F)(F)Cl)F,COCCN(C)C(C(=O)C(O)C(F)(C(F)(F)F)C(F)(F)Cl)n1cc(Cc2cn(C)c(SCc3ccc(F)cc3)nc2=O)cnc1=O,-18.5132,21.3858,-5.661040830612182,1.9731777202279566,15.724759169387816
ABAGBPUXYIJNBR-UHFFFAOYSA-N__MKUOKILZGUXPLK-HNNXBMFYSA-N,ABAGBPUXYIJNBR-UHFFFAOYSA-N,MKUOKILZGUXPLK-HNNXBMFYSA-N,ABAGBPUXYIJNBR-UHFFFAOYSA-N__MKUOKILZGUXPLK-HNNXBMFYSA-N,hetero-hetero,CCN1C2=CC=CC(=C2C=C1C=O)C(F)(F)F,CC1=C(C=C(C=C1)F)S(=O)(=O)NC2=C(C=CNC2=O)N([C@@H](CCCN=C(N)N)C=O)C(=O)C,CCn1c(C(=O)C(O)C(CCCN=C(N)N)N(C(C)=O)c2cc[nH]c(=O)c2NS(=O)(=O)c2cc(F)ccc2C)cc2c(C(F)(F)F)cccc21,-11.5858,-1.4847,-2.951899407058954,1.9529945871525352,-4.436599407058954
VPXWDPNVFSEPLU-UHFFFAOYSA-N__HZSKELXZRDDBSY-UHFFFAOYSA-N,VPXWDPNVFSEPLU-UHFFFAOYSA-N,HZSKELXZRDDBSY-UHFFFAOYSA-N,HZSKELXZRDDBSY-UHFFFAOYSA-N__VPXWDPNVFSEPLU-UHFFFAOYSA-N,aliph-carbo,C1=CC(NC=C1)(C=O)F,C1=C(C=C(C(=C1C(F)(F)F)C=O)F)C(=O)CCl,O=C(CCl)c1cc(F)c(C(O)C(=O)C2(F)C=CC=CN2)c(C(F)(F)F)c1,-16.9482,-1.6544,0.15809673219919204,1.9092545431946137,-1.4963032678008081
KZUPAYDXLPMMLC-AWEZNQCLSA-N__ZDONKAUOPBOIOS-UHFFFAOYSA-N,KZUPAYDXLPMMLC-AWEZNQCLSA-N,ZDONKAUOPBOIOS-UHFFFAOYSA-N,KZUPAYDXLPMMLC-AWEZNQCLSA-N__ZDONKAUOPBOIOS-UHFFFAOYSA-N,hetero-hetero,COC1=CC=CC=C1S(=O)(=O)NC2=CC=CN(C2=O)CC(=O)N[C@@H](CCCN=C(N)N)C=O,CC1=CC=C(C=C1)S(=O)(=O)N2C=C(C3=C2C=CC=C3I)C=O,COc1ccccc1S(=O)(=O)Nc1cccn(CC(=O)NC(CCCN=C(N)N)C(=O)C(O)c2cn(S(=O)(=O)c3ccc(C)cc3)c3cccc(I)c23)c1=O,-17.8588,-6.5287,7.5590662270784374,1.8989042127201454,1.0303662270784377
YYQWNJQKDSNAES-QRTARXTBSA-N__YIUNMKIFDFDNKL-SLPGGIOYSA-N,YYQWNJQKDSNAES-QRTARXTBSA-N,YIUNMKIFDFDNKL-SLPGGIOYSA-N,YIUNMKIFDFDNKL-SLPGGIOYSA-N__YYQWNJQKDSNAES-QRTARXTBSA-N,aliph-carbo,C[C@@H](C(=O)N[C@@H](CC(=O)O)C=O)NC(=O)[C@H](C(C)C)NC(=O)OCC1=CC=CC=C1,C([C@H]([C@H]([C@@H]([C@H](C=O)O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-])O[N+](=O)[O-],CC(NC(=O)C(NC(=O)OCc1ccccc1)C(C)C)C(=O)NC(CC(=O)O)C(=O)C(O)C(O[N+](=O)[O-])C(O[N+](=O)[O-])C(O[N+](=O)[O-])C(CO[N+](=O)[O-])O[N+](=O)[O-],-17.2703,-6.3994,1.3516857720911504,1.8303507207850027,-5.04771422790885
