donor_id,acceptor_id,donor_smiles,acceptor_smiles,source_reaction_id,source_pair_id,split,orientation,class_pair
DLDKHPYZQGLIRE-UHFFFAOYSA-N,HHPBASULRUAEBX-UHFFFAOYSA-N,CCCC(C=O)C1CC(=CC=C1)C(F)(F)F,CC(C)CC(CC1=CC=C(C=C1)F)C=O,CBZ3-R-8D94BE3769E93E15-AB,CBZ3-P-8D94BE3769E93E15,train,A_donor_B_acceptor,aliphatic__aliphatic
GVLMQAAGWMYNFA-UHFFFAOYSA-N,WTZHAGLRDMSVQK-UHFFFAOYSA-N,COC1=C(C=C(C=C1)C(C(=O)CC=O)(F)F)F,CC(CCCCCN(CC=O)C(=O)NC)NSC1=CC(=C(C=C1)F)OCC2CC2,CBZ3-R-5E9C0F5BD18308A9-AB,CBZ3-P-5E9C0F5BD18308A9,train,A_donor_B_acceptor,aliphatic__aliphatic
XKYUAQLPYBWUJH-UHFFFAOYSA-N,KGKBFGAWKXDXHO-UHFFFAOYSA-N,C1C(CN1C(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)F)(CC=O)O,C=CCN(CC=C)C(C=O)C1=CC=C(C=C1)F,CBZ3-R-F34A77CEA40B93C4-BA,CBZ3-P-F34A77CEA40B93C4,train,B_donor_A_acceptor,aliphatic__aliphatic
KGKBFGAWKXDXHO-UHFFFAOYSA-N,XKYUAQLPYBWUJH-UHFFFAOYSA-N,C=CCN(CC=C)C(C=O)C1=CC=C(C=C1)F,C1C(CN1C(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)F)(CC=O)O,CBZ3-R-F34A77CEA40B93C4-AB,CBZ3-P-F34A77CEA40B93C4,train,A_donor_B_acceptor,aliphatic__aliphatic
ACJINRWHOBJLNS-UHFFFAOYSA-N,VPFZNMBIEBYLCT-BSYVCWPDSA-N,CC(C=O)C1=C(C(=CC(C1(C)Cl)(C(=O)O)OCC=C)N2C(=O)C=C(N(C2=O)N)C(F)(F)F)F,CN(C)C1=CC=C(C=C1)/C(=N/N(C)C2=CC(=CC=C2)F)/CC(C=O)C(=O)OC,CBZ3-R-4C717468BC099EF2-AB,CBZ3-P-4C717468BC099EF2,train,A_donor_B_acceptor,aliphatic__aliphatic
WTZHAGLRDMSVQK-UHFFFAOYSA-N,GVLMQAAGWMYNFA-UHFFFAOYSA-N,CC(CCCCCN(CC=O)C(=O)NC)NSC1=CC(=C(C=C1)F)OCC2CC2,COC1=C(C=C(C=C1)C(C(=O)CC=O)(F)F)F,CBZ3-R-5E9C0F5BD18308A9-BA,CBZ3-P-5E9C0F5BD18308A9,train,B_donor_A_acceptor,aliphatic__aliphatic
PEGLUOTUNVJHDT-UHFFFAOYSA-N,AOSZYSCIRYJEOF-UHFFFAOYSA-N,CC1=NC2=C(C=C1)NC(=N2)C3=C(C=C(C=C3)C4=CN=C(N=C4)OC5CC(C5)C=O)F,CCCCOC1=C(C(=C(C=C1)C2=CC=C(C=C2)C3CCC(CC3)C=O)F)F,CBZ3-R-1315AB905410F2C8-BA,CBZ3-P-1315AB905410F2C8,train,B_donor_A_acceptor,aliphatic__aliphatic
QLTQRLUTLFDCOB-ARQDHWQXSA-N,YCOYMKOMXJTBMK-UHFFFAOYSA-N,C([C@H]([C@@H]([C@@H]([C@@H](C=O)O)O)Br)O)O,CC(C)(C1=CC(=C(C=C1)F)F)C(C=O)SC2=NC(=CC(=N2)OC)OC,CBZ3-R-956E33FE76177F8E-AB,CBZ3-P-956E33FE76177F8E,train,A_donor_B_acceptor,aliphatic__aliphatic
PBINDANZCUXLSF-UHFFFAOYSA-N,MFEFAXLQZGNVQU-UHFFFAOYSA-N,CC(C)(C)OC(=O)N(C1=CC=C(C=C1)F)C(C=O)C2CC2,CC(CCCOC(=O)C)CC=O,CBZ3-R-535F25EE7E67F84A-BA,CBZ3-P-535F25EE7E67F84A,train,B_donor_A_acceptor,aliphatic__aliphatic
TUKANODGLOKJPS-HLTSFMKQSA-N,XNMXOKYPDVTNLO-HHHXNRCGSA-N,CC1([C@@H]2CC[C@H]1[C@H](C2)C=O)C,C1C2=C(C=C(C=C2)F)C(=O)N1C[C@@](C=O)(C3=CC=C(C=C3)C4=CC=CC5=C4N=CC=C5)NC(=O)N,CBZ3-R-1C759E39911B84C0-AB,CBZ3-P-1C759E39911B84C0,train,A_donor_B_acceptor,aliphatic__aliphatic
